"","x"
"1",309050.482633405
"2",760769.464031681
"3",261830.31394846
"4",530647.35126856
"5",459793.275203256
"6",514628.476656253
"7",826621.358221024
"8",330870.809723966
"9",226270.704814613
"10",638591.90508955
"11",260943.464653373
"12",282158.410276897
"13",245284.185637527
"14",292245.963442644
"15",490269.164769794
"16",603170.090646655
"17",803504.278404074
"18",510145.623279711
"19",689309.720577393
"20",273004.699021409
"21",904622.444489597
"22",149126.534382162
"23",395697.405001024
"24",452155.125867939
"25",767547.95646831
"26",326956.549938125
"27",1239044.33662196
"28",492953.641746997
"29",234428.706658607
"30",312465.257387556
"31",161454.591213451
"32",1030774.64512953
"33",635132.222992771
"34",146247.58286566
"35",297405.046146248
"36",429731.591494929
"37",194052.403753612
"38",1204789.0631217
"39",852587.828086071
"40",265058.761296578
"41",722960.361719035
"42",315824.930748018
"43",234125.521253495
"44",401398.039343875
"45",171086.1709155
"46",1043730.11599673
"47",845260.042641543
"48",526191.599537966
"49",401653.33595551
"50",510592.410829242
"51",348751.84481182
"52",450185.608614402
"53",1437330.73018317
"54",1437330.73018317
"55",545776.397166847
"56",474249.207520567
"57",187750.4755124
"58",306202.82005234
"59",878179.885607891
"60",470471.860800446
"61",1034993.19983243
"62",721337.454590938
"63",345966.99259668
"64",629314.921989837
"65",481793.5437314
"66",178298.410410176
"67",164252.073867677
"68",998301.196210293
"69",455194.184047538
"70",483198.785336382
"71",730756.396085787
"72",971043.539332516
"73",399418.181476592
"74",469455.272832794
"75",449688.88167439
"76",959175.596792135
"77",449659.668042786
"78",710234.735820139
"79",321360.626286864
"80",1312380.70811766
"81",701978.825825945
"82",436125.324171784
"83",267047.479277549
"84",629455.984986297
"85",412859.683372361
"86",700153.209941433
"87",473374.739473157
"88",447805.464301424
"89",1149998.9581282
"90",1361548.25721214
"91",743435.903408764
"92",180955.926122966
"93",94718.5365748868
"94",272096.475211428
"95",157639.424170312
"96",429842.820132066
"97",273058.285074105
"98",392600.972819586
"99",319235.224535813
"100",285469.256895135
"101",1087521.10243467
"102",425539.422126256
"103",273213.804220709
"104",712092.277836525
"105",537679.762583647
"106",1030472.35369182
"107",217424.20842727
"108",301696.96365716
"109",1498964.42416945
"110",176733.932324763
"111",1641269.65324214
"112",173478.92188291
"113",258520.683670109
"114",326567.922251753
"115",2005538.47695508
"116",355538.421909014
"117",1376525.8981095
"118",119123.06156906
"119",400499.470423493
"120",668404.99724315
"121",236019.894556053
"122",268936.345652467
"123",277365.851482885
"124",663180.148574161
"125",301181.981246644
"126",429159.850286243
"127",753285.462170172
"128",1170723.731327
"129",425158.526701015
"130",635452.701268596
"131",499687.69007693
"132",617094.913352828
"133",353752.342655988
"134",324462.050223947
"135",728186.165204262
"136",386705.399610225
"137",997618.277165226
"138",228246.718924908
"139",476692.371220609
"140",375788.383611603
"141",551610.789441478
"142",748120.852694082
"143",490641.146070891
"144",317334.41980889
"145",731928.060146433
"146",604350.938198638
"147",186129.456637044
"148",267821.479446123
"149",578815.641096168
"150",261121.658592956
"151",277711.966441601
"152",335581.283565078
"153",266159.966275893
"154",1251141.31015967
"155",343611.80330419
"156",402778.92255283
"157",559771.614635384
"158",489957.978883823
"159",592365.654281599
"160",658708.970186183
"161",1247039.06092686
"162",748209.549684065
"163",262599.130690902
"164",1155140.0194772
"165",401718.309655049
"166",628720.347385977
"167",327930.100853789
"168",443812.081608658
"169",282033.368988014
"170",192098.818983378
"171",458187.32727478
"172",665433.015332071
"173",311112.086011762
"174",341740.082006219
"175",337574.238859574
"176",246294.366109702
"177",397888.710620876
"178",325659.513464144
"179",472303.949901076
"180",140639.626796046
"181",613403.3295031
"182",212278.980344637
"183",1047412.99976615
"184",806373.832796556
"185",845099.365888327
"186",1250854.64228855
"187",291252.986460175
"188",452394.399714703
"189",262521.914588103
"190",450391.074915794
"191",180195.010012726
"192",555772.595602901
"193",213145.115756198
"194",302081.679287201
"195",309242.110614889
"196",385232.019074447
"197",207826.837952521
"198",229380.564713273
"199",471225.651331606
"200",154793.133506918
"201",373341.869741809
"202",200943.402881632
"203",211992.945361398
"204",247455.33292016
"205",548588.597150425
"206",278874.187814182
"207",401259.83759773
"208",195566.055284005
"209",507175.112866587
"210",251150.069442865
"211",132345.12619349
"212",623350.11504106
"213",397405.599208101
"214",563563.913372843
"215",884538.113109465
"216",257626.478930137
"217",732626.453990379
"218",249453.51185421
"219",333824.585175061
"220",350041.843911224
"221",291527.617589762
"222",619500.799253032
"223",285531.894539013
"224",202310.332777724
"225",407439.892285256
"226",127267.43302598
"227",962644.554550642
"228",581336.731030626
"229",475311.3913497
"230",699363.204879442
"231",395732.780104409
"232",347081.843682802
"233",453947.639764215
"234",449489.888328559
"235",150860.345405107
"236",516389.862783672
"237",495909.957327093
"238",537859.535593671
"239",409855.990793042
"240",902836.958875444
"241",390161.08442552
"242",422626.236773459
"243",553308.848311576
"244",352694.633811016
"245",736793.562352091
"246",665015.695512277
"247",280967.070492394
"248",212798.979308024
"249",366492.879627575
"250",748968.935179798
"251",725062.052335255
"252",414940.88763664
"253",435058.13741037
"254",365510.552728228
"255",235735.342331603
"256",418948.507638826
"257",204708.688160529
"258",544919.087547859
"259",434095.398083698
"260",369772.900460023
"261",1012927.71290601
"262",618059.022996691
"263",284649.050281073
"264",545225.172846292
"265",639164.277846439
"266",453279.185249349
"267",508320.631176396
"268",567482.593575873
"269",410526.199209628
"270",528451.539231767
"271",817586.379084342
"272",363635.698437066
"273",212264.153660203
"274",999824.890727487
"275",616493.704808839
"276",498744.013854951
"277",373249.549929521
"278",234368.454793235
"279",667859.194917831
"280",391888.77144248
"281",1122941.10852512
"282",310914.581265452
"283",664273.38679867
"284",326539.091269215
"285",580271.282150693
"286",626631.355758834
"287",601002.019660387
"288",1551191.65426226
"289",223827.10384772
"290",575727.324309674
"291",238572.841627711
"292",349502.166250337
"293",524340.702051801
"294",458008.704727419
"295",694719.306154704
"296",269986.819260329
"297",680329.507950958
"298",182360.349826932
"299",584380.303971385
"300",1108057.16632325
"301",291718.32031615
"302",384000.818663626
"303",824281.808528177
"304",711106.590893663
"305",473324.223479744
"306",1178606.59316603
"307",297788.087719965
"308",345703.199798056
"309",500759.358208294
"310",546188.770122639
"311",452960.608014136
"312",742195.03200949
"313",149573.61568631
"314",602801.944250603
"315",732229.804828624
"316",1638153.39626145
"317",379087.90144247
"318",219852.57794629
"319",1153552.54359684
"320",439359.873051669
"321",801852.841583004
"322",543107.327691811
"323",293422.236328501
"324",290013.187613996
"325",560562.298942928
"326",313430.745883454
"327",553850.252052876
"328",500360.567852063
"329",305406.772515516
"330",959153.445456679
"331",334643.900437367
"332",491093.327080432
"333",1238252.71345428
"334",443525.020846807
"335",512570.603243732
"336",235429.234315321
"337",687977.452227902
"338",555046.19728105
"339",340479.004863648
"340",570460.620334334
"341",192599.598260486
"342",354823.860134449
"343",287737.257510177
"344",195998.974967605
"345",265549.280973871
"346",348519.28665196
"347",209752.840356445
"348",380694.911118945
"349",518979.497784211
"350",528507.217969497
"351",320905.612370652
"352",481815.717071234
"353",304911.893975262
"354",673055.10937731
"355",380429.895051397
"356",370296.282747175
"357",457180.598020265
"358",347399.419494912
"359",293565.89796967
"360",383017.454302767
"361",439275.519182717
"362",895317.871449978
"363",1330486.34466596
"364",455084.89443174
"365",170743.435731116
"366",872045.948800555
"367",402325.123784028
"368",341825.094098071
"369",611661.601740239
"370",527533.085121937
"371",323829.048689765
"372",405876.501745421
"373",510166.712923344
"374",704200.438713657
"375",453125.121546051
"376",1561127.1347898
"377",186283.539000066
"378",586970.571496068
"379",454649.863108689
"380",453016.614214157
"381",549729.951054696
"382",666712.266917701
"383",339031.785556827
"384",339031.785556827
"385",435442.706937424
"386",591010.507850253
"387",583531.633586878
"388",959667.797731741
"389",332617.59972574
"390",829378.561213628
"391",1444805.80855253
"392",561412.862902073
"393",754938.972794759
"394",903530.121249491
"395",577390.548989072
"396",332287.742436677
"397",214643.078251493
"398",432211.035859585
"399",828088.137609372
"400",455405.323126927
"401",966620.185808133
"402",161050.316262319
"403",614389.236503063
"404",123125.592202739
"405",230650.97390877
"406",809814.262661543
"407",174528.410887971
