"","x"
"1",307760.577308414
"2",859422.174663673
"3",263359.474061698
"4",536459.615140299
"5",480002.713065311
"6",486501.207392757
"7",667577.815942187
"8",305865.145655463
"9",239853.878586556
"10",597147.560769525
"11",260095.327008565
"12",284975.15804
"13",213247.769875199
"14",315021.881931032
"15",502486.850283568
"16",688553.746886029
"17",760561.800383291
"18",435103.858069029
"19",651005.12926366
"20",326366.159096372
"21",876000.519813678
"22",175824.794599118
"23",304319.330407156
"24",415214.92440982
"25",751583.616456535
"26",305617.319419417
"27",1140565.26593873
"28",470803.660105667
"29",210684.137860846
"30",321545.565722305
"31",190708.254225227
"32",949836.51987134
"33",616113.670517691
"34",172536.532969115
"35",233152.873907518
"36",457847.677393427
"37",167277.071408119
"38",1181828.50303527
"39",1637209.44999487
"40",244379.415022617
"41",675425.557083951
"42",978436.313935542
"43",227065.372340017
"44",354191.364953947
"45",160994.611840234
"46",1140532.90763533
"47",823067.668278716
"48",535552.368460547
"49",395046.455758672
"50",632656.515534621
"51",345616.171308493
"52",365562.651904701
"53",1447911.36953244
"54",1465922.93727194
"55",547363.545449449
"56",486531.123736823
"57",167527.510187186
"58",294888.500421956
"59",932605.143706046
"60",514862.502539395
"61",967330.27790262
"62",670743.386708492
"63",379509.440984871
"64",558829.329940954
"65",462358.741727442
"66",191720.747944403
"67",123345.670112876
"68",960530.24749828
"69",600223.405726503
"70",473256.538461529
"71",798778.579153895
"72",931659.374444438
"73",391711.208774468
"74",462673.44853057
"75",423861.064803908
"76",909779.484430377
"77",388247.327351977
"78",655353.740660937
"79",301073.090346902
"80",1313796.6345884
"81",645173.090894458
"82",476184.568336648
"83",257583.844013954
"84",588188.955841184
"85",504733.398333691
"86",659791.830893643
"87",472244.71349717
"88",471111.741027638
"89",1172881.32168532
"90",1319200.36906611
"91",736659.995412607
"92",232281.305853684
"93",103686.084438095
"94",320164.362600693
"95",176647.68277424
"96",428895.734360658
"97",271779.929015338
"98",412781.205288793
"99",283693.377378485
"100",301041.718388542
"101",1076583.34721455
"102",434646.313779751
"103",335807.957945367
"104",735686.073755016
"105",525161.144840105
"106",991090.723142589
"107",189249.380036426
"108",313470.206015109
"109",1414055.6748703
"110",199950.286160891
"111",1760365.1300626
"112",182389.882251057
"113",258927.683577934
"114",328196.971740804
"115",2660914.76856204
"116",365977.823272876
"117",1446361.16310927
"118",121673.991146321
"119",417957.848366495
"120",685793.43393361
"121",242751.609878943
"122",247094.663630444
"123",263956.846624763
"124",814959.071587442
"125",262826.128227579
"126",382481.006240071
"127",819026.595576024
"128",1102362.28769229
"129",441859.005938359
"130",611258.766853048
"131",513627.722406017
"132",579305.861698883
"133",369227.077973918
"134",303551.040583223
"135",686322.945384543
"136",420109.10309976
"137",1074733.26389285
"138",251000.251410545
"139",497018.885724245
"140",266073.940714119
"141",522253.078041618
"142",936797.105774711
"143",486805.963202646
