"","x"
"1",310196.942129575
"2",845551.189204126
"3",305946.047658627
"4",532806.485256793
"5",485256.551442044
"6",469122.812141032
"7",649505.403040801
"8",296207.147761313
"9",232566.674289056
"10",640855.471564669
"11",309504.753744639
"12",276381.357337678
"13",203457.942394722
"14",299164.145634787
"15",506955.083035084
"16",682490.257182012
"17",754561.82172451
"18",437915.722702354
"19",646969.886320433
"20",323579.861865619
"21",845684.796315769
"22",190384.230360777
"23",283359.368130693
"24",420132.585842596
"25",742286.478400328
"26",285037.251720632
"27",1126932.7235904
"28",479434.996074447
"29",201349.280193204
"30",305770.480374812
"31",201805.376253597
"32",948282.25060684
"33",618892.684872552
"34",155254.595739497
"35",214053.712270801
"36",458603.192827326
"37",176779.686047447
"38",1165190.42505567
"39",1626675.14923977
"40",254383.516343183
"41",664906.647963992
"42",1031359.73802062
"43",244702.038614309
"44",356922.932387014
"45",147940.138884408
"46",1217284.54674954
"47",826625.72954218
"48",554931.260573559
"49",388426.656421512
"50",679901.15177184
"51",343992.826451952
"52",369408.776715084
"53",1429369.21045538
"54",1449287.6013653
"55",544977.19187935
"56",475388.545259808
"57",162837.26910663
"58",296268.706975077
"59",936500.829793971
"60",492516.256209454
"61",1020787.21610925
"62",661699.581668631
"63",358334.604777744
"64",538623.564022898
"65",461189.554703917
"66",212084.340118179
"67",125141.399702254
"68",932599.194839175
"69",646244.416757049
"70",475748.731402961
"71",793969.653119115
"72",932769.041243584
"73",362676.588390066
"74",512345.247940998
"75",400307.77140203
"76",913777.502113402
"77",388112.953991746
"78",665184.648386877
"79",299553.58090845
"80",1291393.11163602
"81",645712.321260339
"82",487282.970119465
"83",248493.740156107
"84",580056.444377704
"85",486240.666026311
"86",669245.735173674
"87",526600.302395098
"88",453585.072072341
"89",1190191.28668898
"90",1319718.81237378
"91",778372.543458629
"92",255326.988056422
"93",111511.842083459
"94",310619.589288567
"95",236476.832549005
"96",442386.96842513
"97",256356.60734359
"98",426809.716778354
"99",282512.245467819
"100",284485.033297253
"101",1077722.76680905
"102",443448.10988914
"103",359858.676853748
"104",731361.760881038
"105",512635.277246297
"106",986790.8268405
"107",187695.998690321
"108",292494.700049677
"109",1458837.93417362
"110",261392.369383405
"111",1761909.03325825
"112",193818.132286443
"113",274967.106203074
"114",328565.552789965
"115",2687406.60704698
"116",378331.388113225
"117",1503171.08197048
"118",132242.411666049
"119",400659.387417816
"120",654900.223655837
"121",253004.68887906
"122",241123.372605102
"123",256425.063733601
"124",814109.622275919
"125",262312.271949728
"126",382949.727220997
"127",823357.147299308
"128",1104315.88567254
"129",432479.30368006
"130",604247.138171499
"131",506176.294475789
"132",588401.851242412
"133",355785.638467293
"134",298229.723843893
"135",698546.211299488
"136",433192.943772848
"137",1073349.70393338
"138",245891.83649826
"139",473685.21008798
"140",271565.534100526
"141",528198.15511777
"142",940355.256653017
"143",474253.018125961
"144",359889.589286175
"145",715079.961507662
"146",700805.050972704
"147",218631.756387116
"148",324432.548466932
"149",581724.928308355
"150",245579.720163441
"151",227918.943237608
"152",310742.876819735
"153",257337.524790726
"154",1175425.24312715
"155",542067.598379232
"156",386591.50903162
"157",531594.956494665
"158",484013.548415359
"159",609995.241582012
"160",871830.521002736
"161",1307115.33068084
"162",799265.208301707
"163",334671.68027239
"164",1148356.10113425
"165",422744.947569146
"166",551260.662664689
"167",279200.890403761
"168",475909.193007336
"169",245453.341866503
"170",188344.319516697
"171",433784.110143857
"172",674409.11091582
"173",315829.679656456
"174",320804.031261295
"175",333842.325290515
"176",276388.275870505
"177",401169.492315359
"178",287562.99526023
"179",431040.962215695
"180",170738.235286006
"181",578109.38290517
"182",241074.669448512
"183",1004544.38901195
"184",794346.932745018
"185",861441.262596248
"186",1225820.53536081
"187",290201.146025918
"188",476054.449402123
"189",222199.713872472
"190",460647.802594612
"191",181994.232903776
"192",565864.540093075
"193",254737.654430288
"194",292676.426487571
"195",273879.023370504
"196",378745.539561581
"197",193381.255636352
"198",249760.147314858
"199",431625.254995684
"200",182485.536312506
"201",370611.741359698
"202",224790.935896975
"203",143794.774666963
"204",254204.177014402
"205",575074.889869578
"206",285562.737677705
"207",347751.772103519
"208",209009.675309263
