"","x"
"1",310775.581304625
"2",876457.64929061
"3",252137.647379111
"4",519090.9392769
"5",472113.680069763
"6",490477.928825993
"7",712561.266831651
"8",331771.287852377
"9",234763.39280685
"10",594761.820356201
"11",249952.339650556
"12",299566.989106029
"13",243963.382618025
"14",272056.240594294
"15",525805.374651693
"16",722640.755082514
"17",761871.010134418
"18",511442.508438312
"19",679868.86927611
"20",292070.835077509
"21",892913.093900871
"22",155316.349802662
"23",369261.588558923
"24",444274.561305508
"25",738314.655000828
"26",270407.754303899
"27",1178193.79202424
"28",496295.514412846
"29",226415.06474511
"30",310461.063145544
"31",201938.015355386
"32",983380.138236195
"33",609206.327151965
"34",142625.35221152
"35",231176.337162901
"36",433724.177195959
"37",202418.033945736
"38",1159328.8140301
"39",1700790.42500696
"40",248422.026284385
"41",708664.330517698
"42",997155.246643834
"43",230882.272649139
"44",399337.437665354
"45",125502.460004888
"46",1056069.24140939
"47",833965.250374515
"48",485533.900167346
"49",395492.417733733
"50",639324.472636972
"51",332413.993082412
"52",372151.462373663
"53",1495860.98195002
"54",1495860.98195002
"55",528178.088052776
"56",470232.747061528
"57",183484.912941836
"58",248771.682242949
"59",898760.637476414
"60",461620.72874397
"61",984545.949136902
"62",696389.227010701
"63",349937.572673585
"64",579174.657439932
"65",478660.004798003
"66",180630.388850927
"67",173170.807893131
"68",950631.385832634
"69",558545.718457013
"70",494512.259594098
"71",827453.763912063
"72",927837.197460257
"73",389483.801945243
"74",468002.651510172
"75",421903.520244736
"76",908295.021762758
"77",402320.632432122
"78",648286.036852177
"79",315365.476136029
"80",1290073.60251593
"81",668275.391538445
"82",433225.618006982
"83",287060.992866252
"84",596286.647086561
"85",457908.882235374
"86",677361.1730395
"87",469486.404235803
"88",443815.587094549
"89",1139259.75311881
"90",1296662.34405881
"91",723391.11219126
"92",186389.79923436
"93",112445.813085422
"94",294311.324750077
"95",165907.816831198
"96",402136.335018992
"97",283859.25259953
"98",366130.806524862
"99",243461.564285487
"100",271216.055410311
"101",999740.608115345
"102",463805.357017584
"103",314501.873167586
"104",688491.864367817
"105",492063.872136887
"106",1006607.29552643
"107",192916.350010786
"108",334146.09284367
"109",1434573.05385338
"110",203444.659023616
"111",1713396.38591721
