"","x"
"1",327352.432354868
"2",834911.701750097
"3",305195.650229647
"4",529885.570342302
"5",482893.08801369
"6",485664.391994139
"7",658214.720685437
"8",305802.082358731
"9",239838.339759477
"10",654871.556751636
"11",292587.121074267
"12",272222.357924923
"13",223024.109893789
"14",282879.660879252
"15",513118.206374428
"16",683155.417416032
"17",768714.413278545
"18",459113.157747074
"19",659173.303706694
"20",304698.056043911
"21",860389.957644495
"22",173715.024786282
"23",305089.970565798
"24",426113.477693793
"25",724921.235921074
"26",270177.459768347
"27",1117581.18344978
"28",466835.268202564
"29",214518.537520498
"30",305717.794152853
"31",187116.73614859
"32",956985.196054725
"33",622955.958602363
"34",145766.88365559
"35",232577.845079586
"36",443386.527096051
"37",194609.21058299
"38",1180828.93521706
"39",1629412.83734345
"40",258286.108762127
"41",658190.106931648
"42",1029546.30213138
"43",246798.065966857
"44",371259.898026544
"45",134928.494651388
"46",1187186.53502604
"47",838850.895182426
"48",534167.588954868
"49",389637.488101694
"50",690199.885881353
"51",327982.833708004
"52",359738.655808829
"53",1444801.886899
"54",1444801.886899
"55",554983.33716749
"56",474607.385635444
"57",174674.124703259
"58",301735.150666427
"59",942913.408974599
"60",474110.885950019
"61",1031459.70510568
"62",679435.87686502
"63",367068.755277137
"64",544836.858400268
"65",473103.562834974
"66",214185.931054947
"67",143080.537844811
"68",936983.156283001
"69",639759.767117478
"70",478497.860897549
"71",798306.404215094
"72",934553.82532298
"73",361468.603158904
"74",513957.200569316
"75",417308.682791361
"76",911779.831644607
"77",395304.72734422
"78",668398.793109221
"79",315890.745429078
"80",1312022.97669054
"81",630222.307458108
"82",466039.954710154
"83",266131.292199107
"84",586124.685582891
"85",475067.650278491
"86",673826.378212979
"87",516835.771878922
"88",449757.29001147
"89",1176459.14694938
"90",1325387.84787451
"91",786237.390946009
"92",237755.908723609
"93",120304.472524771
"94",304327.959049121
"95",224929.784381661
"96",428131.197652131
"97",259625.661018174
"98",416069.409497755
"99",295105.117044985
"100",267284.259297497
"101",1057225.633543
"102",440072.88384723
"103",349264.636971503
"104",719318.657012113
"105",522390.818113975
"106",988571.032367404
"107",207299.008539932
"108",293475.775536881
"109",1452674.99315514
"110",243539.436170724
"111",1780034.19421678
"112",180975.914611842
"113",261810.038369763
"114",314699.026889263
"115",2674459.53302389
"116",380034.62577689
"117",1502082.41455782
"118",140255.31743281
"119",401228.645055412
"120",656123.560365889
"121",245898.614961859
"122",254952.373414218
"123",253973.59186666
"124",829148.620455298
"125",264153.779350154
"126",393208.77538051
"127",823583.011814375
"128",1112804.27928517
"129",422435.840102516
"130",583871.126292966
"131",510035.368223338
"132",606193.531776948
"133",370753.169914268
"134",312495.084652234
"135",680704.631289003
"136",428862.718703289
"137",1052153.39710126
"138",227460.649968193
"139",470966.264101999
"140",289629.9920045
"141",542941.816664399
"142",952513.377619893
"143",479605.947845396
"144",370090.370890106
"145",726289.706453183
"146",691882.006576894
"147",224960.498444685
"148",334890.26605496
"149",591103.757079904
"150",256832.369868754
"151",243898.901436827
"152",316218.062050223
"153",256570.612350238
"154",1194303.69444247
"155",557302.659929369
"156",379324.797309572
"157",538760.994107314
"158",478902.653501638
"159",623299.836660496
"160",866348.567621996
"161",1298774.89524061
"162",787598.707815099
"163",319470.54655391
"164",1131646.01210103
"165",411023.010071949
"166",571251.584679514
"167",277437.387837244
"168",470613.850547501
"169",258815.227441739
"170",189967.498978869
"171",425207.85736889
"172",665555.462987292
"173",327128.565648312
"174",299485.501274322
"175",327865.087603328
"176",293303.783749091
"177",412981.038473201
"178",286506.134345777
"179",443432.192914618
"180",169969.85721148
"181",588579.636094336
"182",226537.22528465
"183",1022026.47980203
"184",798203.327494285
"185",875604.943195577
"186",1243853.60230546
"187",298163.828780261
"188",488165.256579951
"189",232831.780442907
"190",458902.510922536
"191",188922.530514573
"192",549543.010003532
"193",236510.26059818
"194",307755.301609763
"195",277768.09548802
"196",371938.362822474
"197",183617.202802574
"198",246110.558643203
"199",441191.859969492
"200",173800.606870864
"201",355104.893933268
"202",204643.362462952
"203",157401.178020753
"204",256187.366818032
"205",591832.005309004
"206",270204.269450617
"207",369486.406061659
"208",229397.388458498
"209",518435.45951175
"210",241364.539865498
"211",121243.108290805
"212",593814.237294417
"213",437070.458777531
"214",594602.604785016
"215",832602.811979254
"216",274015.399896265
"217",717514.521301029
"218",248582.158913267
"219",299757.561017864
"220",367962.648928287
"221",244690.265395863
"222",626725.550487322
"223",212408.447899813
"224",181331.984326067
"225",353885.096446771
"226",126516.510811491
"227",950916.83024468
"228",563816.252096339
"229",460731.615923227
"230",786399.533954404
"231",359201.818023034
"232",337971.781372168
"233",403219.208826309
"234",452082.941638153
"235",151752.421553373
"236",480358.355964278
"237",497652.621782672
"238",504265.590535535
"239",416800.648797268
"240",903579.360920717
"241",361026.673024603
"242",423373.780586418
"243",536451.592540139
"244",363019.105741441
"245",761725.964232327
"246",651037.581283265
"247",303830.361888326
"248",229467.512069294
"249",403961.477808118
"250",879151.250224724
"251",659072.973279904
"252",412411.448486755
"253",407756.462992555
"254",358805.53013516
"255",228702.036551159
"256",391006.129005928
"257",167763.638141772
"258",530729.668531674
"259",445859.652766011
"260",351609.952250651
"261",1045626.44556151
"262",612305.18044394
"263",329842.523492412
"264",563836.734504589
"265",642136.18758598
"266",532628.413984966
"267",499227.861679859
"268",586075.079835788
"269",439295.934284111
"270",490791.048065032
"271",783040.021942794
"272",354368.757579755
"273",133471.819852623
"274",1004311.11886984
"275",684808.300699982
"276",461244.15740687
"277",444163.056703011
