"","x"
"1",516509.388237958
"2",931050.529674986
"3",294554.630530587
"4",581359.335689565
"5",416305.253831308
"6",621784.141402905
"7",894781.396048651
"8",371857.554706277
"9",252630.705982029
"10",817900.761391472
"11",272673.188999965
"12",275796.35494711
"13",318583.63091599
"14",391764.087441553
"15",548774.061705994
"16",784473.070882155
"17",831092.495075103
"18",304884.085550603
"19",632120.445918071
"20",436232.186836048
"21",767161.375184386
"22",179613.522945642
"23",306861.700318033
"24",358556.651396155
"25",693808.892632057
"26",360915.785168827
"27",1055468.31800128
"28",286394.853985098
"29",276939.489276752
"30",382468.655446037
"31",124195.991173419
"32",576914.725811134
"33",717720.429391426
"34",245616.826891032
"35",355315.811708134
"36",427685.682099249
"37",185785.983262553
"38",1095149.48425645
"39",1658546.18058063
"40",302722.919573568
"41",543367.434092252
"42",1058177.93873982
"43",230636.633924251
"44",423449.648351649
"45",280127.146322885
"46",1266779.81049704
"47",981941.990222022
"48",794413.616202426
"49",396382.715629407
"50",793488.456817656
"51",374488.58149381
"52",485538.036681543
"53",1229540.30578684
"54",1247138.01863546
"55",534486.808233669
"56",516199.364591258
"57",101685.142055593
"58",418024.966832483
"59",685886.256820628
"60",469986.484867872
"61",659396.182267227
"62",818187.855698461
"63",527281.31451278
"64",686084.481501167
"65",533364.425707493
"66",186189.086094757
"67",137315.460137327
"68",650075.449429203
"69",597925.003235366
"70",370328.082668057
"71",809987.460197305
"72",954694.142064516
"73",425121.582832189
"74",653333.149523733
"75",541086.570074783
"76",659889.643787999
"77",476051.96848664
"78",564762.93785467
"79",435416.358189181
"80",1000346.66661822
"81",605775.338928147
"82",425761.291736335
"83",251652.324277818
"84",427672.577442128
"85",801357.61736104
"86",781554.733510607
"87",649098.789535301
"88",380077.701014371
"89",741090.956441527
"90",1231080.66985005
"91",790674.604135262
"92",103868.397742767
"93",63970.2049638179
"94",444759.840756814
"95",119823.178588735
"96",563806.604880333
"97",290177.989042314
"98",589188.414236657
"99",503590.797372904
"100",286832.159618287
"101",1326188.4456749
"102",356291.459453282
"103",397431.555679907
"104",648198.251239863
"105",570689.491039498
"106",774410.839937682
"107",235338.601987689
"108",386054.277671774
"109",1362047.10968741
"110",176645.686833272
"111",1726440.20587326
"112",17272.8564098897
"113",328099.964792238
"114",409120.605756845
"115",2262241.72534911
"116",432400.757066744
"117",1510361.13110994
"118",154178.306577426
"119",425045.285162314
"120",437232.641040299
"121",354594.324399975
"122",219218.456767954
"123",319430.169959872
"124",916808.312254957
"125",184038.92231104
"126",374902.156030395
"127",916498.064765924
"128",877012.470641317
"129",423789.563770943
"130",907576.188210605
"131",470804.308043674
"132",686211.579531639
"133",269857.659507254
"134",329633.915098885
"135",989651.939918181
"136",562536.540691781
"137",1056671.73176902
"138",80484.6284116397
"139",488910.719928544
"140",314867.059749996
"141",472231.730466838
"142",765417.129342006
"143",389561.160384565
"144",486090.062548
"145",774881.257806435
"146",676537.157836039
"147",178700.676022091
"148",355323.209024667
"149",705589.223238794
"150",281579.49421202
"151",257183.920937981
"152",284217.904201037
"153",249542.161655088
"154",1207105.48012059
"155",599804.142963383
"156",329486.766126324
"157",447525.554636975
"158",494928.886610129
"159",547143.840119733
"160",813638.636223155
"161",1351271.11487864
"162",674388.35551757
"163",367214.150950345
"164",631663.245343544
"165",265295.737454055
"166",506425.847043891
"167",294756.979230728
"168",383208.18891046
"169",265448.987619287
"170",243111.118463383
"171",500737.157292138
"172",843134.074538693
"173",353983.938184722
"174",392657.50657775
"175",175423.952716698
"176",328300.903332773
"177",341543.694398858
"178",315247.112487978
"179",666199.392941437
"180",106658.061283252
"181",455661.138969158
"182",190779.191571903
"183",997059.338569603
"184",640643.636978035
"185",725210.164629616
"186",907012.229221825
"187",383397.538696996
"188",657019.603942815
"189",215137.950705045
"190",383202.398709087
"191",170431.064833231
"192",703624.534087284
"193",119172.941326628
"194",438514.472280325
"195",312739.315325289
"196",333375.275529601
"197",253339.421665713
"198",165089.206462561
"199",511289.994560324
"200",159058.285622558
"201",403589.067370448
"202",226827.17025236
"203",165589.48290376
"204",308357.007429051
"205",525127.25155325
"206",317366.692636501
"207",335392.880723924
"208",194246.20835276
"209",547042.530749865
"210",274012.882589926
"211",182168.347316699
"212",498516.976894728
"213",369910.268637538
"214",536278.406555349
"215",624396.350713177
"216",149089.394374292
"217",549859.987567761
"218",283251.677888787
"219",322251.9377425
"220",475261.40453876
"221",372793.907743368
"222",884820.468786077
"223",331692.606601249
"224",118899.31950273
"225",342823.74239538
"226",126021.156245182
"227",879151.512539683
"228",604385.720095883
"229",532964.44609448
"230",764175.59027173
"231",358775.253385061
"232",338739.359106685
"233",411378.70847931
"234",406168.155171254
"235",-101320.342768729
"236",446565.668794391
"237",438724.92883126
"238",690436.524172837
"239",509296.925817654
"240",791246.821664899
"241",366047.178906848
"242",579239.613979804
"243",463865.190128383
"244",396871.297070411
"245",604813.559533307
"246",485094.081623719
"247",283385.156112225
"248",262558.818179004
"249",345708.516135689
"250",861946.368563609
"251",937225.838428788
"252",516119.08860209
"253",618493.101299772
"254",477158.425196319
"255",273578.122674884
"256",514574.437891127
"257",240446.027343561
"258",592235.579985248
"259",675452.456079768
"260",405546.72185016
"261",1074432.59632002
"262",646763.802191331
"263",299310.316560165
"264",530258.133208269
"265",609430.60880608
