"","x"
"1",157472.129559644
"2",688035.228291199
"3",225523.455128744
"4",540238.808922163
"5",444648.18175
"6",1454926.92866913
"7",265185.139660549
"8",123516.207660626
"9",332425.431557912
"10",321760.626575096
"11",918264.575430357
"12",475197.46809883
"13",340785.440999136
"14",621644.663350912
"15",337498.279306179
"16",548617.278132879
"17",181439.209875967
"18",116961.054118678
"19",320595.619537591
"20",1272687.72574802
"21",295530.157011174
"22",96608.4426618623
"23",443285.939873237
"24",939640.242127305
"25",824771.515293422
"26",526053.114503793
"27",692722.261591627
"28",232713.388465076
"29",662716.334162653
"30",327857.845352049
"31",769367.867321483
"32",414644.745502906
"33",791095.98278605
"34",40524.0878247581
"35",625859.174968325
"36",895790.430653602
"37",735036.128408702
"38",132503.769723731
"39",738293.399584292
"40",10788.3054143992
"41",666756.953640342
"42",483565.068549771
"43",1431241.0292298
"44",163704.115939621
"45",578977.407419621
"46",511569.170096685
"47",638653.132207826
"48",977404.806928487
"49",1005976.30441325
"50",468306.832637956
"51",935231.155313023
"52",354305.940804091
"53",479433.896171649
"54",548454.766767428
"55",468396.472602229
"56",587437.345191822
"57",808260.838942276
"58",1308764.89208618
"59",355539.962637711
"60",33570.9744256599
"61",1355910.60935964
"62",1296862.88097905
"63",370532.824958278
"64",406670.004228684
"65",843863.468179651
"66",462592.892036875
"67",397436.184986571
"68",286306.830309569
"69",781916.249268511
"70",429606.662490128
"71",490771.143230035
"72",334628.816467387
"73",283948.825487845
"74",896883.732895458
"75",394289.826968112
"76",583358.742075718
"77",372581.067242099
"78",313263.761166564
"79",1088878.50046945
"80",72038.2699782458
"81",572466.612460442
"82",572466.612460442
"83",1204768.33566804
"84",22604.9695653451
"85",235269.25170623
"86",538132.97327333
"87",953054.867737197
"88",651679.521231484
"89",539528.917182472
"90",1431943.23623006
"91",168443.756104029
"92",435841.892490315
"93",522446.756006871
"94",182298.12409215
"95",734578.937493273
"96",542640.321073913
"97",502070.927639482
"98",191343.176921262
"99",434381.962023407
"100",1285054.07712452
"101",555749.351332759
"102",115704.582272366
"103",295544.59364924
"104",502148.720462093
"105",723745.010352188
"106",417070.878105829
"107",409482.173868862
"108",495280.298392503
"109",1388916.41950382
"110",450594.557297007
"111",286914.709076712
"112",707654.861455051
"113",343373.110546382
"114",37449.9981862945
"115",458471.066165299
"116",1035557.34826239
"117",477165.746834405
"118",678998.863633806
