"","x"
"1",425752.437361233
"2",833207.201477966
"3",552226.704377163
"4",593253.166208035
"5",332318.720238063
"6",616046.762777075
"7",1079191.25095651
"8",470116.130494779
"9",318094.586286471
"10",868124.506788137
"11",437833.77786348
"12",424864.092604864
"13",444210.504056132
"14",505981.946523738
"15",493645.092848129
"16",801628.410807647
"17",785012.813771162
"18",218106.531963355
"19",647714.952457463
"20",329489.655918877
"21",803817.677004606
"22",282365.606898418
"23",408153.081216299
"24",482438.047119442
"25",652627.386430707
"26",428656.037323361
"27",1051902.34065445
"28",212759.805855787
"29",431288.865909208
"30",501731.612024477
"31",147711.334125687
"32",576327.851024724
"33",602130.390105966
"34",329723.4124056
"35",455763.635745705
"36",336193.766437733
"37",328689.830850181
"38",1024459.54132649
"39",876523.92239352
"40",428271.768796328
"41",574073.054738438
"42",311414.895914583
"43",364454.39056183
"44",600554.603281103
"45",313057.086976277
"46",1286077.08083556
"47",862320.261223448
"48",665606.25982455
"49",498309.139405442
"50",689085.341786989
"51",507954.005414399
"52",621684.821455722
"53",1132079.16661112
"54",1146974.99407613
"55",537239.969264615
"56",540278.729007183
"57",225284.579638384
"58",447091.765424404
"59",639272.555316998
"60",407496.76388261
"61",638385.112550834
"62",727867.520433999
"63",368070.858684879
"64",694335.063359694
"65",589338.756510787
"66",266911.867152785
"67",129507.363361749
"68",637781.087099246
"69",430273.5255373
"70",369739.142611873
"71",729218.715432018
"72",915658.057066961
"73",484028.129228532
"74",564800.22164008
"75",474157.719317786
"76",669342.680599609
"77",477214.011007015
"78",581571.581637346
"79",336207.489527439
"80",985626.372070869
"81",654548.130763168
"82",324787.722805464
"83",376841.879368008
"84",395932.875382376
"85",730423.895651386
"86",781870.83131317
"87",551300.359080837
"88",302710.510661167
"89",610980.363461419
"90",1122461.72037037
"91",844782.052941247
"92",109899.633365239
"93",146991.599144896
"94",278543.860908106
"95",217441.540529479
"96",708471.585709542
"97",386098.503601625
"98",679917.78579168
"99",644272.170458999
"100",289917.797249108
"101",1322354.94577022
"102",301061.856642906
"103",370477.216130041
"104",686178.370793526
"105",658867.687645418
"106",663648.364636462
"107",275384.312913116
"108",264396.182398958
"109",1572879.14663272
"110",250363.560672773
"111",1548042.19162346
"112",157049.473201621
"113",422737.698670938
"114",430472.275327899
"115",1592237.28905779
"116",509497.739152183
"117",1434624.80220817
"118",223161.860065746
"119",517172.366738382
"120",433760.196229974
"121",353159.16215784
"122",352853.786379697
"123",415849.95647704
"124",766037.407275361
"125",435668.219373523
"126",362490.670395563
"127",909259.820892689
"128",895628.175284668
"129",517011.615348853
"130",854572.693309789
"131",502037.502414381
"132",821627.859386127
"133",176435.434521053
"134",442444.082373608
"135",939614.848931832
"136",392891.12435675
"137",911343.496053586
"138",186534.09038053
"139",560799.751486621
"140",228865.294501966
"141",420687.072580932
"142",570527.05558666
"143",284086.862388645
"144",479186.72799454
"145",704966.107119301
"146",621281.903942517
"147",285054.351870584
"148",219998.085635795
"149",661275.611977035
"150",384877.439272858
"151",366812.594129021
"152",295154.474914752
"153",292345.426139978
"154",1104094.37979533
"155",457356.814081763
"156",440589.579226871
"157",445383.153009427
"158",462806.314478747
"159",441821.922738308
"160",584096.588888793
"161",1206069.67951584
"162",608192.361748814
"163",126310.536574905
"164",650740.556257355
"165",258370.453804121
"166",541942.028014845
"167",171874.35616224
"168",389895.111963522
"169",456787.259036656
"170",247394.168761299
"171",437970.178983397
"172",633195.589725815
"173",396863.101135023
"174",406575.373121949
"175",216336.943962836
"176",396447.575659721
"177",253718.766544955
"178",189608.351467306
"179",590386.197757347
"180",213982.846603001
"181",363512.779274926
"182",352191.496269582
"183",992279.074377948
"184",716311.725788772
"185",785278.196513068
"186",812957.619584791
"187",248499.669827456
"188",492864.741290654
"189",214334.451460766
"190",360447.040195759
"191",278112.851488685
"192",836107.897583236
"193",218124.254532541
"194",286723.109950021
"195",476066.147830274
"196",340471.495832612
"197",348005.983672145
"198",488892.351819484
"199",686461.065243255
"200",278928.433839504
"201",500614.397349064
"202",313974.954532923
"203",183728.95823198
"204",389229.021809279
"205",505342.650612422
"206",415831.251125101
"207",404019.936714318
"208",260369.810079225
"209",475165.567183473
"210",484833.068500034
"211",234254.132443146
"212",433041.958196415
"213",210079.340895588
"214",496171.067613763
"215",594562.114171663
"216",139161.312044468
"217",530403.36895754
"218",243717.015033417
"219",220473.29606513
"220",583587.311294282
"221",481400.283377101
"222",1052137.89242073
"223",260554.598207634
"224",211273.376031389
"225",338755.639366439
"226",265362.325366179
"227",790379.460469098
"228",713957.568226892
"229",629725.805431704
"230",823913.702516875
"231",309386.723145043
"232",438312.493485906
"233",533262.427047147
"234",279518.895046072
"235",95065.4472066065
"236",492983.033384215
"237",479779.125682506
"238",532261.182212424
"239",436941.403097734
"240",843700.09773558
"241",357724.106724571
"242",462344.351906043
"243",474486.121487073
"244",420077.45782398
"245",586788.306547529
"246",466340.420788609
"247",208210.311780019
"248",259573.988146958
"249",319508.959258514
"250",611391.687587161
"251",1094840.19360938
"252",542049.522515829
"253",533148.678573109
"254",584196.088168419
"255",370051.853088286
"256",547505.169707028
"257",257466.7129727
"258",600006.678721586
"259",517050.264599906
"260",404709.531152969
"261",958073.848232429
"262",652372.447993031
