"","x"
"1",529388.476264656
"2",533738.891673947
"3",520716.865936773
"4",539562.363584922
"5",515491.55465892
"6",540436.400027287
"7",552356.641379888
"8",541575.139738332
"9",527979.876727748
"10",515971.973903052
"11",568241.41577932
"12",537750.693161614
"13",537796.242750056
"14",538317.914451644
"15",527600.869774865
"16",550022.439828794
"17",540830.876651717
"18",540668.445100481
"19",534304.394111583
"20",518091.318904891
"21",508971.947528363
"22",527807.991488345
"23",531575.71593606
"24",561164.0410469
"25",538752.784107334
"26",538808.64681014
"27",561386.632431926
"28",538915.21565857
"29",536416.00427765
"30",546167.053908984
"31",530534.091385277
"32",534720.356390939
"33",542281.588072278
"34",525124.003475067
"35",531681.425358293
"36",542370.108970571
"37",537192.066133554
"38",553962.049515912
"39",543944.577763503
"40",534979.903102437
"41",564093.824952524
"42",523772.985493359
"43",534630.116640252
"44",536053.326422509
"45",518065.536118981
"46",513698.791611946
"47",542827.323707383
"48",544015.050711658
"49",540878.145092553
"50",517095.243942551
"51",540358.192243358
"52",532348.340087177
"53",546035.561700841
"54",546035.561700841
"55",512411.371168818
"56",544100.99333136
"57",545770.85843216
"58",521348.544191579
"59",514497.198548974
"60",515641.094817201
"61",533341.836770926
"62",542162.127830893
"63",527850.962798196
"64",528612.414408751
"65",540832.595504111
"66",542690.674942058
"67",535257.497764073
"68",533203.469153207
"69",508860.222122751
"70",529011.188164167
"71",533955.467075595
"72",545627.334257259
"73",537870.153402999
"74",530931.146288299
"75",528424.200071605
"76",535425.945298688
"77",544846.115844172
"78",531296.40242203
"79",559954.828387699
"80",530837.468832824
"81",530627.768840752
"82",519721.650400629
"83",539120.618519656
"84",537388.015306474
"85",516516.850111959
"86",558222.225174516
"87",532090.512228072
"88",520083.468829572
"89",541074.953691669
"90",548050.056706644
"91",514125.067005666
"92",717977.523232886
"93",529502.779948859
"94",532577.80688178
"95",538247.441503489
"96",539044.989014319
"97",540553.281990081
"98",542949.362227359
"99",528352.867697253
"100",515089.343198717
"101",688833.521465903
"102",530435.257372621
"103",535447.430953613
"104",515559.449328484
"105",509009.762281032
"106",541589.749983681
"107",539191.091467812
"108",526224.928433443
"109",516916.483293571
"110",528513.580396095
"111",733742.837390933
"112",532460.924918986
"113",536211.46084276
"114",539274.455808922
"115",548352.574727994
"116",537081.200154139
"117",526252.430071748
"118",524290.360063962
"119",622590.669052365
"120",508928.976218512
"121",528590.069327629
"122",540964.947138451
"123",540949.477466905
"124",521424.173696916
"125",552601.577846037
"126",539939.651685412
"127",548833.853398322
"128",536478.742390032
"129",557220.134228797
"130",548161.782112256
"131",536162.47354953
"132",559336.041525848
"133",534856.145730067
"134",544436.169548196
"135",535608.143652455
"136",559354.089475986
"137",541392.081958368
"138",549942.513192472
"139",537852.964879059
"140",537637.248903608
"141",523830.567048559
"142",513994.43422372
"143",525407.614120082
"144",532491.004835881
"145",552875.734802885
"146",551965.602460246
"147",539656.900466594
"148",527728.92427822
"149",527094.667744823
"150",541144.567213627
"151",533175.967514902
"152",524575.689561371
"153",536730.554265757
"154",564207.26921053
"155",535034.046952849
"156",542028.916770356
"157",534907.711301888
"158",517242.20582224
"159",528553.114001157
"160",527122.169383127
"161",536653.205908026
"162",535442.274396431
"163",721830.330874105
"164",532466.940902365
"165",530356.190162495
"166",531346.249141457
"167",539238.359908647
"168",564915.436396871
"169",534654.180573768
"170",526991.536601181
"171",535015.999002712
"172",550361.913176615
"173",542361.514708601
"174",540158.805365651
"175",534289.783866234
"176",534743.560898258
"177",539896.680375561
"178",535910.661673805
"179",540280.843885627
"180",535449.149806007
"181",536751.180494486
"182",539094.835733746
"183",536155.598139954
"184",515366.078434156
"185",510420.94009653
"186",535812.687087345
"187",536811.340328277
"188",541941.25529826
"189",537473.957926175
"190",529889.521737516
"191",537697.408737399
"192",514591.735430645
"193",542410.502001831
"194",526006.634179401
"195",539568.379568301
"196",569788.382933947
"197",534907.711301888
"198",515394.439498658
"199",547865.280074286
"200",528876.258251235
"201",541896.565136016
"202",538009.380446916
"203",525998.899343628
"204",532449.752378424
"205",517299.78737744
"206",540553.281990081
"207",510282.572478811
"208",538017.115282689
"209",541337.078681759
"210",527073.182089897
"211",527119.591104536
"212",536002.620276885
"213",737758.076583388
"214",536294.82518387
"215",520009.558176629
"216",540982.135662391
"217",509725.664303145
"218",526303.995643569
"219",528672.574242542
"220",526991.536601181
"221",530729.181132
"222",532885.481460311
"223",536700.474348862
"224",520622.329055101
"225",539781.517265161
"226",529891.24058991
"227",540747.512310606
"228",542428.549951968
"229",543727.142935658
"230",539403.369738474
"231",525636.221488488
"232",531213.038080919
"233",528595.225884811
"234",520324.108164737
"235",538370.339449662
"236",509199.695470572
"237",536460.694439894
"238",540613.441823872
"239",540696.806164982
"240",565770.565462901
"241",538604.10337525
"242",531579.153640848
"243",540863.534847203
"244",527425.546830673
"245",536398.815753709
"246",508787.170896005
"247",535842.76700424
"248",539013.19024503
"249",533365.900704443
"250",529823.345920346
"251",542905.531491311
"252",538301.585353901
"253",533458.71873372
"254",540946.899188314
"255",532906.107689039
"256",535191.321946903
"257",526648.625548572
"258",533381.370375989
"259",591454.517360701
"260",542009.149967825
"261",545641.085076411
"262",515464.053020616
"263",538388.387399799
"264",537210.973509889
"265",563133.845890458
"266",532758.286383153
"267",619674.635965892
"268",543966.063418428
"269",534893.960482736
"270",541239.963521496
"271",538072.118559298
"272",534126.492888801
"273",523830.567048559
"274",508267.21804681
"275",515244.899340377
"276",538801.771400564
"277",531859.326581075
"278",533548.09905821
"279",512132.917080985
"280",523423.199031174
"281",536012.073965052
"282",543238.129429556
"283",540383.975029269
"284",533827.41257224
"285",548936.125115767
"286",541105.033608565
"287",539139.525895991
"288",553365.607735184
"289",521000.476581788
"290",533745.767083523
"291",534243.374851595
"292",535212.807601828
"293",526129.532125575
"294",527851.822224393
"295",524011.905976129
"296",525964.522295748
"297",542780.914692744
"298",596256.990949622
"299",517441.592699948
"300",564383.451580919
"301",522778.629383412
"302",512008.300282418
"303",542946.783948768
"304",509144.692193963
"305",526275.634579067
"306",534227.045753852
"307",514174.913725093
"308",528298.723846841
"309",538490.659117244
"310",538294.709944325
"311",542501.601178714
"312",506874.088181449
"313",530757.542196501
"314",532590.698274735
"315",512122.603966621
"316",565117.401553169
"317",535827.297332694
"318",530491.120075427
"319",535058.970312563
"320",531686.581915475
"321",569760.881295643
"322",541595.76596706
"323",523759.234674207
"324",519770.637693859
"325",532941.344163117
"326",527754.70706413
"327",540513.748385018
"328",524661.632181072
"329",542860.841329067
"330",540795.640177639
"331",514012.482173857
"332",532178.173700168
"333",540167.399627621
"334",540796.499603836
"335",570819.694370365
"336",522709.015861454
"337",509759.181924829
"338",527267.412410423
"339",532817.586790747
"340",531879.952809803
"341",649767.44425438
"342",539145.54187937
"343",534105.007233876
"344",520495.99340414
"345",522941.060934648
"346",537993.051349172
"347",530313.218852645
"348",537858.121436241
"349",539541.737356194
"350",538412.451333316
"351",531470.865940024
"352",536556.090747763
"353",568954.739522842
"354",563009.229091891
"355",535598.689964288
"356",533613.415449183
"357",521192.988049919
"358",518362.038156951
"359",515531.94769018
"360",543948.015468291
"361",522530.255212475
"362",516149.875125834
"363",526257.58662893
"364",538241.42552011
"365",539818.472591633
"366",514672.521493165
"367",540069.425041161
"368",527926.592303533
"369",537449.893992659
"370",521529.023692952
"371",524822.344879914
"372",540928.851238176
"373",514575.406332902
"374",527643.841084715
"375",515125.439098992
"376",517786.222604951
"377",534284.627309052
"378",538812.084514928
"379",514893.394025798
"380",547180.317395265
"381",531268.041357528
"382",546125.801451527
"383",525117.987491688
"384",525117.987491688
"385",532044.103213433
"386",525684.349355521
"387",533478.485536252
"388",509255.558173378
"389",551557.375016664
"390",539757.453331645
"391",558504.116967137
"392",505872.856661926
"393",540573.048792612
"394",513404.00842637
"395",531208.740949934
"396",536821.653442641
"397",538189.859948289
"398",607380.54421759
"399",544090.680216995
"400",526813.635378399
"401",542835.058543156
"402",535590.095702318
"403",548787.444383683
"404",517463.078354873
"405",537217.848919465
"406",542728.489694726
"407",538172.671424349
"408",534331.036323691
"409",541671.395472398
"410",518786.594698277
"411",517037.662387351
"412",527469.377566721
"413",537998.207906355
"414",528970.795132907
"415",528347.711140071
"416",533719.984297613
"417",525179.006751676
"418",540114.974629603
"419",542410.502001831
"420",529938.509030746
"421",537591.699315166
"422",545015.422804984
"423",523488.515422147
"424",514152.568643971
"425",571804.596792145
"426",529738.262726841
"427",517475.969747828
"428",552061.858194311
"429",545582.644095014
"430",510256.789692901
"431",542489.569211956
"432",543072.260173532
"433",536526.010830867
"434",525989.445655461
"435",541265.746307406
"436",526742.303004046
"437",516410.281263529
"438",528568.583672704
"439",538096.182492814
"440",537425.830059142
"441",538227.674700958
"442",545604.129749939
"443",508644.5061473
"444",541465.992611311
"445",525956.787459974
"446",539251.251301603
"447",538822.397629292
"448",540127.866022558
"449",539019.206228409
"450",542579.808962643
"451",542629.655682069
"452",530852.079078173
"453",554164.874098408
"454",539337.193921304
"455",539013.19024503
"456",531373.750779761
"457",530117.269679725
"458",537912.265286653
"459",509552.919637545
"460",538006.802168325
"461",559558.632910875
"462",533935.700273064
"463",533798.192081541
"464",534598.317870962
"465",530637.222528919
"466",534919.743268646
"467",523296.003954015
"468",522872.306838887
"469",522710.734713848
"470",542051.261851478
