"","x"
"1",533226.366058533
"2",959127.879713402
"3",289522.96483778
"4",566664.319204674
"5",571939.114481178
"6",563331.036068918
"7",778559.444092587
"8",293777.912173901
"9",269088.55177159
"10",800274.718462988
"11",278832.015431471
"12",241824.931940983
"13",224357.854061158
"14",301498.918401231
"15",520542.227366501
"16",764007.642251419
"17",849249.976564427
"18",357995.101045829
"19",689547.246283491
"20",447769.423099586
"21",797376.801584216
"22",212070.273496764
"23",323755.203291463
"24",352738.994764025
"25",733612.081342225
"26",324416.918976078
"27",1071192.72265553
"28",335256.519436107
"29",244648.095310206
"30",379070.470383234
"31",99249.159326816
"32",711385.309409787
"33",665369.961196763
"34",186798.689793315
"35",309681.433758434
"36",496567.656908311
"37",196977.671095171
"38",1096853.85158661
"39",1714104.07150601
"40",287010.446125749
"41",735494.189328362
"42",930120.038304451
"43",244372.949080326
"44",409052.583932505
"45",213611.575596786
"46",1269245.25353825
"47",928355.662173458
"48",735054.822795196
"49",488250.020444571
"50",872398.665911481
"51",400450.134134888
"52",452066.11314389
"53",1378245.22997572
"54",1378245.22997572
"55",579600.38940417
"56",491443.306651399
"57",83503.4354427845
"58",270709.028194688
"59",865733.334782435
"60",488565.287948245
"61",787202.084118136
"62",869772.64719143
"63",483362.213129366
"64",734138.103527676
"65",558982.576223294
"66",193060.495656956
"67",-68010.1676979916
"68",713208.221234491
"69",658069.811808102
"70",389303.437826107
"71",829560.211409184
"72",1003018.69108603
"73",361967.366270899
"74",647958.319166011
"75",503262.355399122
"76",644090.745438998
"77",438941.832098735
"78",746132.077535688
"79",469462.902720077
"80",881635.888073043
"81",579613.060918629
"82",463557.711527704
"83",231415.374764294
"84",544747.66598006
"85",696025.156362278
"86",678432.192860497
"87",614347.173373469
"88",420910.144723267
"89",665933.665964891
"90",1294464.61319895
"91",890572.024771487
"92",32430.4050591446
"93",156892.338461393
"94",415967.045796581
"95",197304.238749636
"96",546554.673522567
"97",327795.739348837
"98",499344.604211964
"99",339253.762258305
"100",129380.778718308
"101",1130149.98195362
"102",391366.063577363
"103",390890.37190144
"104",760863.195315996
"105",596493.39163576
"106",887582.294496351
"107",211925.30247072
"108",405916.129565101
"109",1370698.46351449
"110",168455.535725385
"111",1669387.2078817
"112",10422.4115956062
"113",296545.126979487
"114",404238.77028713
"115",2365333.001663
"116",454044.408955752
"117",1535096.75778138
"118",156339.82825386
"119",376195.720317164
"120",594183.231955952
"121",309604.388607196
"122",201764.892750975
"123",236147.348281396
"124",831529.186321789
"125",203404.618890252
"126",418191.346390383
"127",920839.31118787
"128",889032.331236395
"129",503838.177014564
"130",755544.775617443
"131",519737.72647491
"132",717473.887975215
"133",310733.503006952
"134",336887.179777655
"135",947257.674289429
"136",583874.562850971
"137",1103440.59672343
"138",143108.00082909
"139",434811.053593089
"140",286345.71641629
"141",502329.146841652
"142",849387.264564547
"143",295495.181845044
"144",523780.175718179
"145",783240.461148908
"146",700740.981651131
"147",196325.378107741
