"","x"
"1",207195.572745943
"2",840605.422257482
"3",438819.75843693
"4",501171.73888214
"5",403950.211702853
"6",1471670.37622608
"7",290090.405289703
"8",167574.97662127
"9",369553.737432094
"10",350327.160180914
"11",877900.42550333
"12",399048.406158591
"13",317382.179363161
"14",561791.770726013
"15",492193.149560346
"16",487509.653971918
"17",210562.582089416
"18",152759.127158357
"19",432248.028267607
"20",1223732.59426621
"21",316965.363285383
"22",65153.1869810646
"23",554745.237767792
"24",723995.339547709
"25",544069.029858793
"26",423992.241723779
"27",714281.686922778
"28",397672.670147477
"29",647551.078793914
"30",354174.821050395
"31",770983.969784304
"32",279712.364168419
"33",802595.093030052
"34",22758.7824055211
"35",610140.443894034
"36",926823.221052947
"37",497597.502283344
"38",172600.099472046
"39",920715.117163899
"40",43242.2260591633
"41",647587.893870645
"42",420359.108386211
"43",950373.200812439
"44",154718.779645293
"45",633883.067414591
"46",472779.063067454
"47",561133.991420015
"48",783239.263231815
"49",726425.266558811
"50",527178.065012499
"51",1226410.82991966
"52",435692.814108625
"53",813370.138718636
"54",697862.569135454
"55",404537.851687193
"56",385506.235697042
"57",835621.932719464
"58",703363.003855346
"59",382098.091967788
"60",21390.0619209091
"61",745690.317909521
"62",1237584.53578766
"63",447248.706208349
"64",389995.217354337
"65",929644.399915209
"66",335609.973315553
"67",248049.262262003
"68",381062.607653309
"69",735007.573209312
"70",439303.168222187
"71",476819.579425029
"72",351014.110197967
"73",303343.915629024
"74",675478.106253733
"75",481271.412352571
"76",628814.809253967
"77",463966.536826957
"78",192465.199834257
"79",975963.944851506
"80",114063.040926827
"81",489514.755624077
"82",506500.768292061
"83",863877.753389948
"84",55759.3686245299
"85",234222.194792786
"86",619617.296944482
"87",759585.951458474
"88",666606.259645902
"89",750344.8258492
"90",917598.259247684
"91",172617.609295006
"92",535642.29538251
"93",484004.483160309
"94",220395.367425405
"95",944022.162992587
"96",492555.458232319
"97",537201.039332537
"98",177091.798558516
"99",633179.661545913
"100",1444000.92645329
"101",513544.793853847
"102",206721.658131931
"103",361212.472450695
"104",454294.383646475
"105",959399.867852694
"106",428028.617024431
"107",345565.423424393
"108",587639.139263956
"109",942629.94025415
"110",694649.135322341
"111",320513.427921526
"112",758066.135074869
"113",383842.940015411
"114",45143.104189293
"115",385291.005064169
"116",1022583.19023776
"117",351924.392337771
"118",629268.674248278
"119",212114.452726275
"120",232380.254212409
"121",676364.574959281
"122",324634.080598228
"123",369722.188036919
"124",289728.67330232
"125",503187.336711748
"126",1069811.3849503
"127",486167.479861017
"128",310017.293450853
"129",392588.526636106
"130",395266.549682457
"131",346484.707261276
"132",1513795.59699401
"133",291032.233072911
"134",147592.75293481
"135",873680.735570049
"136",465837.656969102
"137",204802.194646737
"138",326990.626497477
"139",513873.356797113
"140",953655.883589859
"141",543365.420070557
"142",428945.754386038
"143",379191.218856906
"144",774519.481729912
"145",548543.788904749
"146",403374.054071061
"147",450202.951112561
"148",652668.330653016
"149",346768.971396685
"150",357553.121972133
"151",346549.184200348
"152",472459.775884984
"153",683512.566981964
"154",820772.491089468
"155",44665.0753187092
"156",773112.610881665
"157",1132478.8838802
"158",234072.47802093
"159",483254.13911634
"160",451277.628832653
"161",597268.90100149
"162",431867.333801729
"163",151205.705894452
"164",666462.123954321
"165",718212.367048729
"166",367113.169677468
"167",284165.524682697
"168",543843.79705988
"169",528189.315017963
"170",420899.608388633
"171",200887.990842152
"172",179429.712797296
"173",313710.104611734
"174",127838.768798016
"175",306196.854289111
"176",179352.237354898
"177",692277.896784827
"178",161558.239689611
"179",279124.605691886
"180",535032.067510778
"181",580033.628319833
"182",419970.165876146
"183",1136909.53681867
"184",512631.817545499
"185",1288250.58704207
"186",577267.189021852
"187",683751.778578727
"188",660782.765671625
"189",482450.981116035
"190",346781.033119175
"191",395507.024530454
"192",242720.953664203
"193",432625.627306739
"194",878608.487197278
"195",630679.745608106
"196",419610.137890573
"197",156690.254550417
"198",687972.786342522
"199",408885.635647499
"200",638310.931954856
"201",1124456.114359
"202",968559.115244432
"203",212048.438265182
"204",198962.613041743
"205",515498.748141251
"206",163726.055158224
"207",593502.087577611
"208",634370.261401288
"209",203732.275735597
"210",325812.514865354
"211",545805.960189194
"212",747056.098092647
"213",203300.436786889
"214",287259.202574541
"215",287129.46632857
"216",787018.839014653
"217",520719.042384394
"218",310834.034154468
"219",42986.8657443712
"220",685455.331765028
"221",512808.451129069
"222",266580.493076119
"223",283990.101540828
"224",299126.739268102
"225",226661.82344644
"226",369870.06933551
"227",389452.354114616
"228",1655219.8270701
"229",1677955.76255437
"230",463985.925086438
"231",219415.101057213
"232",379005.776214749
"233",616829.039558065
"234",598017.847689951
"235",970166.416891225
"236",406624.327797427
"237",646533.14564074
"238",546381.360200745
"239",617726.613849908
"240",450049.375216182
"241",511992.846304744
"242",401249.816227844
"243",467546.238244359
"244",921877.216947076
"245",756850.362883516
"246",852654.157963219
"247",130677.016652402
"248",681147.62381451
"249",471561.884166693
"250",442762.3986993
"251",1570516.89675541
"252",526972.679368042
"253",654299.742057312
"254",602409.554835547
"255",645363.205673883
"256",530095.312666152
"257",471985.135879294
"258",902875.890444227
"259",953975.500859995
"260",262733.742202709
"261",1450531.32418237
"262",324211.587814038
"263",844627.631868735
"264",413293.145344249
"265",74251.0172637543
"266",692485.969069808
"267",216538.179816802
"268",437621.664883066
"269",962215.177635033
"270",170693.725708034
"271",626990.365016192
"272",885717.435973985
"273",399099.975465886
