"","x"
"1",202686.409445044
"2",601979.544444067
"3",247008.606553102
"4",529640.335168934
"5",463385.809023075
"6",1032704.16464792
"7",259623.295759188
"8",143029.142207209
"9",223189.5574345
"10",297760.785444603
"11",555403.268694285
"12",505330.395354103
"13",447121.485747645
"14",628216.505781964
"15",362650.446322176
"16",597361.616955487
"17",157188.369519186
"18",212672.148241465
"19",332144.965311624
"20",1637992.32988073
"21",343570.621571103
"22",136111.949302401
"23",427294.098765504
"24",765462.322779398
"25",985131.534147869
"26",481827.246856627
"27",710161.294687523
"28",323863.025404165
"29",588208.985601887
"30",233462.860769937
"31",666242.627719389
"32",298548.440089904
"33",753727.790930801
"34",128528.746351067
"35",658254.052510021
"36",946769.432696811
"37",737433.723962046
"38",213664.089283223
"39",677505.063556352
"40",126742.868560844
"41",693176.548402908
"42",566612.281209156
"43",655243.952042598
"44",226824.566625323
"45",380565.855256587
"46",515980.606983442
"47",469341.026638585
"48",869793.047173959
"49",1037747.44782442
"50",384123.721830111
"51",1590967.144982
"52",358669.198682021
"53",687891.756344817
"54",588998.711953176
"55",589353.023810062
"56",513211.462480258
"57",651415.789053693
"58",1328755.02446214
"59",349369.307010826
"60",164725.681394653
"61",1107078.94609277
"62",1004026.9605419
"63",425395.521501938
"64",414451.806375991
"65",627264.205598152
"66",431205.978055228
"67",441057.274780281
"68",325785.240587257
"69",740472.497861984
"70",387041.380897765
"71",308792.299723289
"72",312173.287816115
"73",352941.436361873
"74",795677.398553645
"75",536271.546133845
"76",392447.745241771
"77",341739.451894898
"78",381024.816706721
"79",1205701.64265948
"80",145363.739612146
"81",516903.743636323
"82",516903.743636323
"83",1092998.01152607
"84",195784.435622744
"85",265687.679273163
"86",597203.128576188
"87",879968.025987858
"88",566318.783844816
"89",534933.431682407
"90",1446266.98888164
"91",215401.760989002
"92",273058.103086567
"93",533166.197954168
"94",191538.583448745
"95",792137.044747376
"96",602813.365267943
"97",539976.942064036
"98",214093.954705724
"99",442624.080925504
"100",938127.47222589
"101",564881.381259781
"102",186077.515499473
"103",276285.244354012
"104",568089.845893083
"105",634851.803903342
"106",434012.42283959
"107",441927.244540383
"108",522975.898503982
"109",1259242.11608195
"110",422818.40448916
"111",192576.208954489
"112",699576.668290832
"113",377988.380305225
"114",142741.753199556
"115",441072.613119563
"116",658061.342040791
"117",435235.746807145
"118",691956.347347417
"119",217379.136704073
"120",160325.286552279
"121",385164.511695604
"122",365184.266900892
"123",659549.460743938
"124",222601.502414685
"125",584167.904862185
"126",946922.798833008
"127",575949.398020774
"128",224935.761517983
"129",470186.098614802
"130",528744.781845261
"131",495457.499278638
"132",1423744.26972059
"133",447129.808177675
"134",244833.121249459
"135",521881.143638699
"136",224789.655441581
"137",249615.195486072
"138",363890.321155932
"139",475110.332793043
"140",872217.787330769
"141",392652.286457888
"142",379037.416261969
"143",195366.93553185
"144",492778.836625266
"145",446306.992173496
"146",257284.820117891
"147",343758.693273276
"148",810713.062957425
"149",516256.006356938
"150",518093.141041676
"151",327295.144833007
"152",385637.024559332
"153",469265.175205876
"154",725284.078513126
"155",159659.778989035
"156",607817.907544299
"157",935153.518673104
"158",187898.20759809
"159",502233.09773789
"160",553624.279901889
"161",480131.623273118
"162",390714.044956999
"163",213597.099460537
"164",991952.349854229
"165",388957.65279939
"166",306167.91711703
"167",223282.039877847
"168",399162.822318488
"169",523717.9163162
"170",433204.020372844
"171",227244.214187968
"172",248157.426333143
"173",494494.743898435
"174",152042.123890808
"175",430189.500888478
"176",192650.392876456
"177",515709.321435524
"178",254336.983338747
"179",685390.45130209
"180",576029.317697383
"181",455456.716255116
"182",432339.919669912
"183",1328682.32509614
"184",441109.566754369
"185",928762.116844943
"186",454297.708694474
"187",698284.919531956
"188",544088.374939263
"189",297954.872678195
"190",319354.780647434
"191",354418.624325729
"192",192544.417872799
"193",408039.036414808
"194",954628.96314238
"195",544867.457873204
"196",270230.114620105
"197",275831.779545388
"198",458187.245813352
"199",358451.746539361
"200",732674.392532385
"201",852689.556492175
"202",610550.707642821
"203",241302.350716975
"204",300761.609107979
"205",533767.17193598
"206",189354.235755029
"207",631042.198786524
"208",461999.129254538
"209",229165.418085332
"210",322960.268788131
"211",481175.317300206
"212",692803.886156559
"213",284033.486262861
"214",294744.201749469
"215",247819.034105784
"216",803375.52237712
"217",332823.160919653
"218",275399.436875234
"219",259408.000608508
"220",683334.470378592
"221",891700.585293332
"222",195235.932684505
"223",405609.189714218
"224",297491.163647189
"225",282984.599849288
"226",492905.885960878
"227",183638.860918914
"228",2239401.23235905
"229",1632668.75279254
"230",328208.472547308
"231",218725.705948111
"232",615158.506125995
"233",455813.813206973
"234",499861.207842608
"235",667908.207566329
"236",385063.810983831
"237",336601.006460759
"238",473539.603524788
"239",488481.300871117
"240",381668.969116233
"241",570400.358638768
"242",517812.082216085
"243",399178.749157542
"244",689606.836693524
"245",457309.138079758
"246",869314.300027804
"247",184041.969317978
"248",523075.369504132
"249",319649.309474212
"250",333664.403453227
"251",1312869.46609017
"252",400926.964580368
"253",514949.03339691
"254",860292.608636278
"255",497860.232651058
"256",574675.196334138
"257",688768.897599731
"258",541436.019920104
"259",858869.040612055
"260",297405.424048803
"261",1924780.9377862
"262",233841.145710469
"263",499661.532489104
"264",320915.913443236
"265",207249.442528023
"266",893523.960640161
"267",195708.685695505
"268",282811.868177583
"269",716472.108739217
"270",211326.339519756
"271",646315.38395477
"272",880260.154895416
"273",411717.0399403
"274",377859.514721818
"275",329400.229408624
"276",651949.29269929
"277",276286.85046278
"278",730093.098645791
"279",483070.729025661
"280",306381.213841537
"281",187358.314971233
"282",187358.314971233
"283",221347.380133917
"284",347702.482250867
"285",287419.872885704
"286",183181.369233125
"287",441106.597194221
"288",315077.385117679
"289",606018.378814908
"290",749698.061825161
"291",414930.78070887
"292",604542.178627279
"293",295333.146938224
"294",592063.398628651
"295",339703.691357681
"296",634892.220086219
"297",541943.373996791
"298",293582.384764379
"299",424804.279689195
"300",683303.549540322
"301",296419.781674098
"302",817234.886498392
"303",175037.050606893
"304",681809.263094632
"305",624201.010286008
"306",214140.572171866
"307",707101.816297353
"308",422877.344043528
"309",498402.364227186
"310",1213473.95972794
"311",425729.425596633
"312",208618.712612837
