"","x"
"1",347703.801485505
"2",841619.951866338
"3",354096.27963021
"4",539973.54684752
"5",367028.793310652
"6",557264.264305952
"7",948465.670198327
"8",434790.061081835
"9",320130.923397331
"10",558049.015460912
"11",465312.260078811
"12",383941.858279527
"13",395564.30463434
"14",421827.329001949
"15",379410.056818176
"16",858890.323796194
"17",770495.720797508
"18",373859.273691808
"19",683729.694631822
"20",305638.43787978
"21",570377.65909181
"22",321553.297187175
"23",482177.557052147
"24",527963.564682826
"25",709829.33796057
"26",363715.097227882
"27",1214658.01480799
"28",394857.978488535
"29",376820.781381556
"30",484766.926662156
"31",241705.388861001
"32",766441.59472018
"33",557407.21637974
"34",259282.010467009
"35",429321.516743456
"36",450506.520266614
"37",417192.001102363
"38",1037581.60866255
"39",1028026.33692287
"40",454596.990122055
"41",931686.442011888
"42",253964.648923531
"43",386929.557933
"44",584943.162446956
"45",260734.816261361
"46",965576.269402302
"47",828959.413097408
"48",618819.372851533
"49",634283.436654282
"50",559224.760015514
"51",499294.984605672
"52",559973.938744509
"53",1602311.57540724
"54",1602311.57540724
"55",409029.607998247
"56",498800.572006052
"57",346775.840295282
"58",343214.488279061
"59",620219.359305877
"60",321696.249260962
"61",684142.814257351
"62",875706.56549889
"63",343375.816106958
"64",685883.738582914
"65",551453.041128546
"66",338059.005529172
"67",203655.780693777
"68",649305.907197419
"69",329554.55421496
"70",367900.130532641
"71",728353.910458286
"72",1034758.08513861
"73",479759.086694467
"74",530774.870783688
"75",426961.534551046
"76",542241.793762815
"77",484623.974588368
"78",633467.995533338
"79",435371.529654198
"80",655096.665127135
"81",596569.453222729
"82",302809.77393439
"83",372319.411924713
"84",580802.012987277
"85",458962.914981685
"86",694261.063496159
"87",517121.843759901
"88",304262.579728742
"89",602742.929415592
"90",1411103.81327269
"91",623020.050527001
"92",289183.999479495
"93",276516.317562272
"94",314319.700219925
"95",317225.311808628
"96",577252.084901043
"97",445398.218140873
"98",499997.23022254
"99",365861.678058811
"100",207826.32403011
"101",1023665.82154504
"102",401675.974696515
"103",380190.37356537
"104",667897.69668961
"105",410018.433197487
"106",925797.650562236
"107",356594.020329911
"108",306882.28716987
"109",1146414.48284581
"110",282383.951102849
"111",1642863.71963529
"112",260591.864187573
"113",369062.339810177
"114",462831.887673093
"115",2185421.07617781
"116",521425.4578868
"117",1261999.05867076
"118",244753.952523492
"119",509838.743469796
"120",380104.045459817
"121",333524.47268442
"122",373772.217719065
"123",396433.659605303
"124",529343.951415017
"125",401488.047881026
"126",432608.870139283
"127",836366.394142954
"128",786333.632461589
"129",673973.173696889
"130",691347.999236747
"131",476050.091896046
"132",793597.661433347
"133",292527.61330465
"134",502664.576789487
"135",864157.275224034
"136",518750.861804753
"137",1011656.14450277
"138",302697.253865111
"139",502972.690662676
"140",320362.913694887
"141",429470.88344893
"142",441009.368753309
"143",286742.368485904
"144",510622.745126105
"145",741791.065436307
"146",680312.312598971
"147",347734.233490013
"148",284769.171733271
"149",442726.579100751
"150",376820.781381556
"151",441295.272900884
"152",318790.637672259
"153",383757.122303697
"154",1441582.30294957
"155",550442.77755584
"156",633702.314336542
"157",549022.973976725
"158",317507.179783677
"159",471954.568747871
"160",616528.822037234
"161",1252073.94704052
"162",670109.168913454
"163",339511.811323523
"164",656220.690026982
"165",314289.268215416
"166",591845.911167055
"167",405410.807579835
"168",413461.954761672
"169",497803.115843224
"170",276429.775851654
"171",439729.947037254
"172",728572.861213354
"173",488136.518845971
"174",378273.587175907
"175",305108.452854195
"176",453620.640307363
"177",428220.020751719
"178",373590.051953963
"179",520342.925975151
"180",304150.059659463
"181",486420.315958656
"182",341459.029717495
"183",667806.210177849
"184",499684.329806722
"185",571247.313482106
"186",647813.061978948
"187",331258.957152525
"188",484766.926662156
"189",335268.901693797
"190",330045.091814727
"191",340964.617117875
"192",616315.164375105
"193",291100.785868959
"194",289790.932148394
"195",496825.651330146
"196",364703.922427122
"197",430235.96451011
"198",300199.51316541
"199",708443.894243419
"200",325911.71457023
"201",483951.485541212
"202",352587.063472689
"203",243301.146729141
"204",362756.70403315
"205",433207.580529287
"206",457020.664495686
"207",262187.622055712
"208",353545.45666742
"209",510071.557835033
"210",419149.745235853
