"","x"
"1",310196.942129582
"2",845551.189204129
"3",305946.047658644
"4",532806.48525679
"5",485256.551442047
"6",469122.812141038
"7",649505.403040806
"8",296207.147761328
"9",232566.674289069
"10",640855.471564678
"11",309504.753744663
"12",276381.357337688
"13",203457.942394733
"14",299164.145634798
"15",506955.083035099
"16",682490.25718201
"17",754561.821724512
"18",437915.722702358
"19",646969.886320447
"20",323579.861865634
"21",845684.796315775
"22",190384.230360795
"23",283359.368130703
"24",420132.585842612
"25",742286.478400333
"26",285037.251720645
"27",1126932.72359041
"28",479434.996074455
"29",201349.280193221
"30",305770.480374821
"31",201805.376253611
"32",948282.250606846
"33",618892.684872555
"34",155254.59573951
"35",214053.712270812
"36",458603.192827334
"37",176779.686047462
"38",1165190.42505568
"39",1626675.14923977
"40",254383.516343189
"41",664906.647964
"42",1031359.73802064
"43",244702.038614325
"44",356922.932387039
"45",147940.138884417
"46",1217284.54674955
"47",826625.729542185
"48",554931.260573563
"49",388426.656421521
"50",679901.151771847
"51",343992.826451946
"52",369408.7767151
"53",1429369.2104554
"54",1449287.60136532
"55",544977.191879363
"56",475388.545259816
"57",162837.269106645
"58",296268.706975091
"59",936500.829793973
"60",492516.256209466
"61",1020787.21610926
"62",661699.581668643
"63",358334.604777758
"64",538623.564022899
"65",461189.554703921
"66",212084.340118191
"67",125141.399702267
"68",932599.194839182
"69",646244.416757064
"70",475748.731402968
"71",793969.653119118
"72",932769.041243594
"73",362676.588390077
"74",512345.247941011
"75",400307.771402038
"76",913777.502113406
"77",388112.953991749
"78",665184.648386884
"79",299553.580908456
"80",1291393.11163602
"81",645712.32126036
"82",487282.97011948
"83",248493.740156117
"84",580056.444377709
"85",486240.66602632
"86",669245.735173686
"87",526600.302395111
"88",453585.072072356
"89",1190191.28668898
"90",1319718.81237379
"91",778372.543458639
"92",255326.988056437
"93",111511.842083468
"94",310619.589288576
"95",236476.83254902
"96",442386.96842514
"97",256356.607343594
"98",426809.716778364
"99",282512.245467831
"100",284485.033297257
"101",1077722.76680905
"102",443448.109889151
"103",359858.676853762
"104",731361.760881042
"105",512635.27724631
"106",986790.826840523
"107",187695.998690337
"108",292494.700049692
"109",1458837.93417363
"110",261392.369383421
"111",1761909.03325826
"112",193818.132286457
"113",274967.106203087
"114",328565.552789971
"115",2687406.60704699
"116",378331.38811323
"117",1503171.08197049
"118",132242.411666057
"119",400659.387417833
"120",654900.223655844
"121",253004.68887907
"122",241123.372605113
"123",256425.063733611
"124",814109.622275931
"125",262312.271949743
"126",382949.727221002
"127",823357.147299316
"128",1104315.88567255
"129",432479.303680065
"130",604247.138171503
"131",506176.294475792
"132",588401.851242418
"133",355785.638467304
"134",298229.723843901
"135",698546.211299494
"136",433192.943772852
"137",1073349.70393339
"138",245891.836498271
"139",473685.210087987
"140",271565.53410054
"141",528198.155117785
"142",940355.256653018
"143",474253.018125974
"144",359889.589286178
"145",715079.961507664
"146",700805.05097271
"147",218631.756387128
"148",324432.548466944
"149",581724.928308368
"150",245579.720163454
"151",227918.943237608
"152",310742.876819741
"153",257337.524790741
"154",1175425.24312715
"155",542067.598379235
"156",386591.50903163
"157",531594.956494672
"158",484013.548415364
"159",609995.241582026
"160",871830.521002741
"161",1307115.33068086
"162",799265.208301713
"163",334671.680272401
"164",1148356.10113426
"165",422744.947569161
"166",551260.662664688
"167",279200.890403765
"168",475909.193007349
"169",245453.341866516
"170",188344.31951671
"171",433784.110143866
"172",674409.110915826
"173",315829.679656457
"174",320804.031261311
"175",333842.325290524
"176",276388.275870506
"177",401169.492315365
"178",287562.995260244
"179",431040.962215709
"180",170738.23528602
"181",578109.382905174
"182",241074.669448523
"183",1004544.38901196
"184",794346.932745029
"185",861441.262596261
"186",1225820.53536082
"187",290201.146025929
"188",476054.449402138
"189",222199.713872486
"190",460647.802594624
"191",181994.232903792
"192",565864.540093081
"193",254737.654430304
"194",292676.426487582
"195",273879.023370518
"196",378745.539561584
"197",193381.255636366
"198",249760.147314872
"199",431625.254995697
"200",182485.536312521
"201",370611.741359697
"202",224790.935896992
"203",143794.774666976
"204",254204.177014417
"205",575074.889869593
"206",285562.737677713
"207",347751.772103528
"208",209009.67530928
"209",539519.860150455
"210",255639.308030811
"211",134776.968770816
"212",580295.651481071
"213",452381.164361683
"214",588349.96976836
"215",832927.7980557
"216",266274.223354871
"217",727154.069862228
"218",238326.826200386
"219",281136.652141263
"220",381996.986026996
"221",240161.988897792
"222",643096.612966002
"223",229878.177296255
"224",161927.056377762
"225",337928.270323799
"226",138949.305119432
"227",938796.083931317
"228",577502.860615561
"229",475642.149312379
"230",775164.841685918
"231",339098.195770733
"232",319441.367379044
"233",396372.639574549
"234",453380.772138532
"235",163269.391023604
"236",491095.00032446
"237",498070.169897518
"238",483730.595201366
"239",431216.549759642
"240",925455.902464927
"241",356640.530837247
"242",444756.334975141
"243",532038.310581814
"244",383061.641221416
"245",747109.40808081
"246",651233.282382375
"247",305235.723978723
"248",235274.711691753
"249",408465.244622486
"250",873062.861929492
"251",663599.662668048
"252",430720.560240627
"253",420392.104308431
"254",343192.046618417
"255",219351.671221566
"256",392330.504629188
"257",188923.189476884
"258",553961.669796731
"259",456931.444442925
"260",373100.433293983
"261",1044596.05717063
"262",594364.036027104
"263",312686.975004619
"264",556896.138654358
"265",622331.879335764
"266",520386.01850566
"267",505232.028274337
"268",575315.072572042
"269",421845.124766247
"270",509730.155037254
"271",774108.456512426
"272",352507.331752908
"273",141351.08828908
"274",991223.773556609
"275",671237.836295097
"276",481236.788576688
