"","x"
"1",403855.970844405
"2",675129.800214136
"3",382645.259906031
"4",691875.098323379
"5",304500.535396232
"6",763321.703589481
"7",916262.092987231
"8",639406.497581085
"9",311198.654639929
"10",612614.020606297
"11",423950.328575496
"12",518840.351194538
"13",548981.887791175
"14",518840.351194538
"15",618195.786642711
"16",822488.423575472
"17",837001.015270149
"18",297802.416152535
"19",688526.03870153
"20",283289.824457858
"21",680711.566250551
"22",352503.723309394
"23",343572.897651132
"24",459673.631208547
"25",810208.538295361
"26",353620.076516677
"27",1023432.00088638
"28",279940.764836009
"29",445161.03951387
"30",545632.828169326
"31",245333.815410241
"32",653919.089275762
"33",737645.579821976
"34",198446.980704362
"35",444044.686306588
"36",406088.677258971
"37",371481.727833203
"38",1108274.84463988
"39",845931.840928411
"40",421717.622160931
"41",533352.942889215
"42",192865.214667948
"43",416135.856124516
"44",547865.534583892
"45",262079.113519484
"46",947519.98279115
"47",1104925.78501803
"48",637173.79116652
"49",622661.199471843
"50",514374.938365407
"51",605915.9013626
"52",419484.915746365
"53",1095994.95935977
"54",1095994.95935977
"55",355852.782931243
"56",636057.437959237
"57",379296.200284183
"58",334642.071992869
"59",602566.841740751
"60",315664.06746906
"61",751041.81830937
"62",708620.396432622
"63",397157.851600708
"64",486466.108183336
"65",727598.40095643
"66",388227.025942445
"67",156025.558827614
"68",684060.625872399
"69",300035.122567101
"70",471953.516488659
"71",734296.520200127
"72",1051340.83106845
"73",474186.222903224
"74",454091.865172133
"75",390459.732357011
"76",719783.92850545
"77",569076.245522266
"78",545632.828169326
"79",442928.333099305
"80",977661.519387787
"81",592519.662875206
"82",269893.585970464
"83",495396.933841598
"84",371481.727833203
"85",737645.579821976
"86",662849.914934025
"87",488698.814597901
"88",245333.815410241
"89",739878.286236541
"90",1226608.28461186
"91",593636.016082489
"92",380412.553491465
"93",224123.104471867
"94",340223.838029283
"95",329060.305956455
"96",727598.40095643
"97",533352.942889215
"98",551214.594205741
"99",391576.085564294
"100",185050.742216968
"101",1400759.38494799
"102",343572.897651132
"103",448510.099135719
"104",473069.869695941
"105",362550.90217494
"106",807975.831880795
"107",344689.250858414
"108",319013.127090909
"109",1125020.14274912
"110",284406.177665141
"111",1706640.16374348
"112",294453.356530686
"113",444044.686306588
"114",574658.01155868
"115",1536507.93495358
"116",634941.084751954
"117",1118322.02350543
"118",202912.393533493
"119",511025.878743558
"120",310082.301432646
"121",321245.833505475
"122",498745.993463447
"123",522747.587420028
"124",532236.589681932
"125",521073.057609104
"126",370365.37462592
"127",1010035.76239899
"128",943054.569962019
"129",711969.45605447
"130",745460.052272956
"131",533352.942889215
"132",958683.514863979
"133",258730.053897635
"134",586937.896838792
"135",816906.657539058
"136",565727.185900418
"137",930774.684681908
"138",268777.232763181
"139",543400.121754761
"140",311980.101885027
"141",364783.608589506
"142",531120.236474649
"143",324594.893127323
"144",488698.814597901
"145",857095.37300124
"146",679595.213043268
"147",344689.250858414
"148",256497.34748307
"149",604799.548155317
"150",525538.470438235
"151",354736.42972396
"152",263195.466726767
"153",353620.076516677
"154",1264564.29365948
"155",533352.942889215
"156",557912.713449438
"157",504327.759499861
"158",260962.760312201
"159",498745.993463447
"160",533352.942889215
"161",1011152.11560627
"162",709736.749639904
"163",447393.745928436
"164",571308.951936832
"165",306733.241810798
"166",451859.158757567
"167",273242.645592312
"168",618195.786642711
"169",387110.672735162
"170",358085.489345809
"171",403855.970844405
"172",905098.560914402
"173",581356.130802377
"174",502095.053085295
"175",271009.939177747
"176",546749.181376609
"177",337991.131614717
"178",254264.641068504
"179",553447.300620306
"180",291104.296908838
"181",422833.975368213
"182",377063.493869617
"183",833428.685006844
"184",445161.03951387
"185",525538.470438235
"186",940821.863547453
"187",345805.604065697
"188",632708.378337388
"189",277708.058421444
"190",438462.920270173
"191",358085.489345809
"192",536702.002511064
"193",379296.200284183
"194",329060.305956455
"195",448510.099135719
"196",459673.631208547
"197",433997.507441042
"198",380412.553491465
"199",638290.144373802
"200",330176.659163737
"201",487582.461390618
"202",396041.498393425
"203",181701.682595119
"204",413903.149709951
"205",381528.906698748
"206",532236.589681932
"207",212959.572399039
"208",428415.741404628
"209",500978.699878013
"210",387333.943376619
"211",254264.641068504
"212",420601.268953648
"213",493164.227427033
"214",566843.5391077
"215",495396.933841598
"216",308965.948225363
"217",435113.860648325
"218",325711.246334606
"219",274358.998799595
"220",396041.498393425
"221",484233.40176877
"222",899516.794877988
"223",224123.104471867
"224",142629.32034022
"225",343572.897651132
"226",247566.521824807
"227",926309.271852776
"228",877189.730732331
"229",722016.634920016
"230",825837.48319732
"231",258730.053897635
"232",408321.383673537
"233",498745.993463447
"234",323478.53992004
"235",272126.29238503
"236",321245.833505475
"237",506560.465914427
"238",680711.566250551
"239",413903.149709951
"240",940821.863547453
"241",416135.856124516
"242",419484.915746365
"243",596985.075704337
"244",313431.361054495
"245",681827.919457833
"246",360318.195760374
"247",367016.315004071
"248",276591.705214161
"249",417252.209331799
"250",660617.208519459
"251",1098227.66577433
"252",696340.51115251
"253",493164.227427033
"254",659500.855312177
"255",458557.278001265
"256",460789.98441583
"257",277708.058421444
"258",518840.351194538
"259",581356.130802377
"260",484233.40176877
"261",1111623.90426173
"262",428415.741404628
"263",388227.025942445
"264",640522.850788368
"265",639406.497581085
"266",570192.598729549
"267",734296.520200127
"268",732063.813785561
"269",685176.979079682
"270",781183.354906006
"271",421717.622160931
"272",421717.622160931
"273",180585.329387836
"274",592519.662875206
"275",495396.933841598
"276",521073.057609104
"277",345805.604065697
"278",440695.626684739
"279",638178.509053074
"280",303384.182188949
"281",612614.020606297
"282",549316.79375336
"283",745460.052272956
"284",307849.595018081
"285",812441.244709926
"286",748809.111894804
"287",749925.465102087
"288",1591655.78339335
"289",188399.801838816
"290",485349.754976053
"291",401623.264429839
"292",599217.782118903
"293",543400.121754761
"294",550098.240998458
"295",612614.020606297
"296",258730.053897635
"297",802394.065844381
"298",327943.952749172
"299",394925.145186142
"300",979894.225802353
"301",291104.296908838
"302",207377.806362625
"303",837001.015270149
"304",423950.328575496
"305",476418.92931779
"306",862677.139037654
"307",226355.810886433
"308",241984.755788393
"309",773368.882455027
"310",735412.87340741
"311",650570.029653914
"312",421717.622160931
"313",245333.815410241
"314",555680.007034872
"315",522189.410816387
"316",1485155.68741857
"317",397157.851600708
"318",445161.03951387
