"","x"
"1",397147.53029689
"2",896118.258875265
"3",281321.524646382
"4",602167.506114361
"5",518313.632018424
"6",397507.496763266
"7",357783.663622064
"8",315680.015942546
"9",299529.121517607
"10",464996.304942276
"11",346096.517200987
"12",365394.930116459
"13",281934.653912062
"14",259195.246460255
"15",602880.697253769
"16",787930.819152087
"17",644900.009914929
"18",555004.939427331
"19",727336.342697382
"20",355511.125472777
"21",790870.189442109
"22",228083.490342574
"23",298761.302829182
"24",560148.1934532
"25",769355.655358542
"26",357783.663622064
"27",764565.849921051
"28",587385.610160144
"29",305635.577339899
"30",315680.015942546
"31",450606.276684859
"32",1051302.54340328
"33",644900.009914929
"34",244020.356761822
"35",211752.520027988
"36",671459.259363549
"37",239915.341250902
"38",764565.849921051
"39",1345722.17291913
"40",217175.933799094
"41",659156.337416644
"42",1050165.59592848
"43",228083.490342574
"44",270915.209256936
"45",224108.333361451
"46",789443.570294206
"47",671459.259363549
"48",397147.53029689
"49",273006.442525224
"50",926534.760133706
"51",365394.930116459
"52",315764.350960904
"53",1284280.0319854
"54",1284280.0319854
"55",514807.38311871
"56",602167.506114361
"57",273006.442525224
"58",298761.302829182
"59",927879.235803199
"60",556826.69577987
"61",1123738.35732288
"62",576938.853797606
"63",397530.438133937
"64",434579.803683836
"65",477739.883106132
"66",263616.264678739
"67",406733.647617962
"68",1093321.85606444
"69",930526.114789553
"70",727336.342697382
"71",1070619.26044862
"72",659156.337416644
"73",397507.496763266
"74",427946.939392378
"75",434579.803683836
"76",1051302.54340328
"77",298761.302829182
"78",542649.054253496
"79",421258.363121458
"80",1337189.28973822
"81",542649.054253496
"82",518313.632018424
"83",365394.930116459
"84",506920.802930798
"85",567391.251112692
"86",602880.697253769
"87",427946.939392378
"88",556826.69577987
"89",1295169.97707706
"90",644900.009914929
"91",587243.197038311
"92",323375.617455298
"93",217175.933799094
"94",487285.084394678
"95",346096.517200987
"96",273660.703281386
"97",315680.015942546
"98",202001.044100662
"99",224108.333361451
"100",381193.882248403
"101",659156.337416644
"102",602880.697253769
"103",427858.043378905
"104",506920.802930798
"105",464901.490269637
