"","x"
"1",282715.993474191
"2",723722.836802478
"3",476221.04978179
"4",391739.653485024
"5",466375.873723661
"6",1651326.83962627
"7",296400.039044875
"8",188318.671125961
"9",432373.453185649
"10",343985.392527755
"11",811460.176254859
"12",435372.152896443
"13",360671.322889307
"14",451310.553964302
"15",614480.425147298
"16",473229.412477963
"17",169453.884453682
"18",172819.622837679
"19",435037.284305783
"20",1173789.61136617
"21",326203.27522651
"22",163449.209645243
"23",497498.048767316
"24",649459.638786479
"25",450076.134820972
"26",449798.556503033
"27",705643.935787003
"28",498303.699977529
"29",588724.049147819
"30",358207.143198309
"31",576728.500377287
"32",499729.379240973
"33",633299.318387597
"34",128997.982949769
"35",631814.074566378
"36",972531.869065019
"37",492628.473667565
"38",256795.295250358
"39",919436.06203873
"40",94082.5070170849
"41",587817.341099451
"42",354933.798153827
"43",726730.952317239
"44",216767.550612239
"45",575305.79517533
"46",413295.241222554
"47",585345.3531589
"48",706094.299260341
"49",686009.821778356
"50",476736.146695431
"51",1272804.47826507
"52",448286.557836446
"53",740157.664209591
"54",586525.999907284
"55",496237.248061006
"56",412361.60293149
"57",617177.681082968
"58",659634.30790216
"59",354624.043062068
"60",120370.487197263
"61",808600.094291562
"62",1279006.74841642
"63",446844.651744159
"64",413485.253532007
"65",1082607.85018849
"66",413830.159803317
"67",259505.004035482
"68",447183.4251817
"69",692228.412376489
"70",429475.877823877
"71",540023.372391769
"72",384732.555038554
"73",397168.963881073
"74",617691.189813404
"75",374815.862346959
"76",746449.268451243
"77",436943.691925376
"78",271210.029964778
"79",862229.624251335
"80",158008.206757182
"81",482535.508527675
"82",482535.508527675
"83",705881.683517275
"84",72580.6088628187
"85",327983.357465492
"86",707433.461291838
"87",537405.275006697
"88",564368.084911101
"89",738335.116586468
"90",712252.949458583
"91",257871.928866645
"92",451790.964758629
"93",507653.23947753
"94",206405.215180857
"95",868181.890624567
"96",489505.793899286
"97",377916.232574598
"98",231953.159248652
"99",683891.716783048
"100",1138737.76176371
"101",550452.341813029
"102",239913.54847406
"103",331599.363942684
"104",422071.707626488
"105",877873.748379713
"106",479176.091386022
"107",385659.746304886
"108",464933.996277769
"109",712737.200298969
"110",697437.414663238
"111",321079.02625777
"112",619287.600965946
"113",434741.583942666
"114",65862.2345230668
"115",441334.950460588
"116",1077217.06242023
"117",442957.690775721
"118",624988.263299853
"119",164592.996786078
"120",286267.019618174
"121",686668.05305151
"122",444616.75995559
"123",379650.014032272
"124",347911.596935769
"125",465920.776772616
"126",981647.913153104
"127",577382.032293472
"128",331192.964705744
"129",458900.537226865
"130",444450.166142265
"131",381582.645782587
"132",1603532.42576517
"133",307187.297152074
"134",229745.671604378
"135",920456.800013769
"136",400223.950639149
"137",67092.3543510775
"138",337970.597713651
"139",510357.105192201
"140",895792.47704919
"141",548373.73592727
"142",492497.848725216
"143",273920.250602806
"144",715832.837011216
"145",485602.428103974
"146",349015.505838262
"147",492836.263494842
"148",627026.656914114
"149",373739.501272214
"150",350245.796848362
"151",428065.669138295
"152",512359.947048319
"153",511242.78121008
"154",713675.516719218
"155",190603.766475643
"156",810051.604507513
"157",1164925.20885084
"158",192952.106781961
"159",495619.872157733
"160",386600.675069932
"161",619908.559433782
"162",504411.232519997
"163",243861.690183596
"164",520825.704654323
"165",613888.499689968
"166",433746.551134893
"167",248765.576872341
"168",431105.41266669
"169",483188.973167005
"170",461088.631927922
"171",226647.317741369
"172",209408.012680256
"173",379814.77191819
"174",147848.314808195
"175",285193.05234708
"176",201672.028039263
"177",527493.59736121
"178",218565.531658183
"179",371587.109442103
"180",542487.458811367
"181",501391.822711154
"182",403291.692118204
"183",1108617.6171558
"184",453092.363466936
"185",1247721.30412538
"186",522780.051832543
"187",690195.219175167
"188",688347.684677771
"189",414776.586588801
"190",398776.724158275
"191",252396.83709363
"192",299688.004976568
"193",459234.295637257
"194",726940.829648438
"195",497198.40459718
"196",368565.811388978
"197",309876.041868141
"198",625339.324748963
"199",407645.976941926
"200",508177.179254014
"201",1151011.6997773
"202",881400.74685589
"203",159713.703289752
"204",226561.699095284
"205",504030.94120767
"206",174031.277435185
"207",584273.575873045
"208",498285.767171263
"209",198514.708987256
"210",285969.582431295
"211",442273.012748586
"212",719220.789580691
"213",323579.428304046
"214",360688.308503745
"215",248582.286135863
"216",671397.520243701
"217",503049.456564581
"218",318866.217901835
"219",249854.770522682
"220",703051.820592734
"221",500813.251157336
"222",222052.893311074
"223",290442.970486795
"224",265835.436927705
"225",285891.617545193
"226",412354.899217361
"227",285752.406814972
"228",1585892.25635812
"229",2059171.64307836
"230",434415.192422112
"231",303438.305639324
"232",328240.173884673
"233",557980.18560624
"234",487280.162925673
"235",977353.075519125
"236",386876.026393609
"237",556284.944161305
"238",502951.487909905
"239",685748.960620129
"240",511515.277641838
"241",618725.708623835
"242",467671.632165497
"243",352631.063914782
"244",952253.007804358
"245",772107.656351491
"246",833407.822407584
"247",204000.884769229
"248",605532.387581668
"249",523306.00765646
"250",482849.284979404
"251",2017392.62740374
"252",457995.12042994
"253",531483.28444728
"254",498960.438343251
"255",532537.950367929
"256",594982.139876469
"257",411116.696777922
"258",768413.588034595
"259",742625.732091859
"260",333122.224088755
"261",1235631.2400499
"262",371846.940496688
"263",719456.231783135
"264",313995.255147697
"265",143387.860626613
"266",737948.833865504
"267",180791.506552772
"268",351108.894290099
"269",912193.5351605
"270",204644.04048278
"271",617965.454968987
"272",785723.658470928
"273",316955.295561678
"274",390760.137813882
"275",274160.431218687
"276",450494.894905776
"277",328654.394260624
"278",738231.512864708
"279",811193.318584818
"280",165245.353763716
"281",174919.482211904
"282",174919.482211904
"283",271924.976037906
"284",707741.618861252
"285",403415.370041156
"286",186982.73177739
"287",459974.118601827
"288",285222.199576034
"289",437212.581068633
"290",717407.397964067
"291",421345.967472824
"292",550264.054494984
"293",269866.601331464
"294",548355.312862819
"295",404899.133133902
"296",589680.882784884
"297",606146.014686519
"298",321052.482298399
"299",617994.141307564
"300",650805.605875495
"301",334373.408748715
"302",817498.642657115
"303",261759.820245163
"304",579847.935598045
"305",372049.966673017
"306",621976.462086362
"307",1165147.1941723
"308",640652.290577757
"309",640797.809942228
"310",1395522.36651352
"311",480405.086520465
"312",341135.918190108
"313",604860.490627588
"314",358867.894143254
"315",1035000.29243382
"316",529677.823642594
"317",471455.272077472
"318",429981.407522124
"319",265817.843875058
"320",498240.9283332
"321",553192.824198668
"322",393131.842132012
"323",420909.549650338
"324",221833.050243904
"325",342791.511226027
"326",1015031.34583112
"327",240940.787451095
"328",165078.88543334
"329",897557.784834008
"330",603579.414643946
"331",534846.030859051
"332",622436.219349432
"333",1844969.04754443
"334",396379.140141205
"335",529050.576871312
"336",468072.557771332
"337",332893.751430956
"338",197839.059504849
"339",384216.091298012
"340",429742.530604159
"341",452629.166794202
"342",454579.207456305
"343",243553.061948213
"344",703829.331318024
"345",361797.112633278
"346",1142485.5019967
"347",867270.213122717
"348",487405.000566792
