,x
1,310196.9421
2,845551.1892
3,305946.0477
4,532806.4853
5,485256.5514
6,469122.8121
7,649505.403
8,296207.1478
9,232566.6743
10,640855.4716
11,309504.7537
12,276381.3573
13,203457.9424
14,299164.1456
15,506955.083
16,682490.2572
17,754561.8217
18,437915.7227
19,646969.8863
20,323579.8619
21,845684.7963
22,190384.2304
23,283359.3681
24,420132.5858
25,742286.4784
26,285037.2517
27,1126932.724
28,479434.9961
29,201349.2802
30,305770.4804
31,201805.3763
32,948282.2506
33,618892.6849
34,155254.5957
35,214053.7123
36,458603.1928
37,176779.686
38,1165190.425
39,1626675.149
40,254383.5163
41,664906.648
42,1031359.738
43,244702.0386
44,356922.9324
45,147940.1389
46,1217284.547
47,826625.7295
48,554931.2606
49,388426.6564
50,679901.1518
51,343992.8265
52,369408.7767
53,1429369.21
54,1449287.601
55,544977.1919
56,475388.5453
57,162837.2691
58,296268.707
59,936500.8298
60,492516.2562
61,1020787.216
62,661699.5817
63,358334.6048
64,538623.564
65,461189.5547
66,212084.3401
67,125141.3997
68,932599.1948
69,646244.4168
70,475748.7314
71,793969.6531
72,932769.0412
73,362676.5884
74,512345.2479
75,400307.7714
76,913777.5021
77,388112.954
78,665184.6484
79,299553.5809
80,1291393.112
81,645712.3213
82,487282.9701
83,248493.7402
84,580056.4444
85,486240.666
86,669245.7352
87,526600.3024
88,453585.0721
89,1190191.287
90,1319718.812
91,778372.5435
92,255326.9881
93,111511.8421
94,310619.5893
95,236476.8325
96,442386.9684
97,256356.6073
98,426809.7168
99,282512.2455
100,284485.0333
101,1077722.767
102,443448.1099
103,359858.6769
104,731361.7609
105,512635.2772
106,986790.8268
107,187695.9987
108,292494.7
109,1458837.934
110,261392.3694
111,1761909.033
112,193818.1323
113,274967.1062
114,328565.5528
115,2687406.607
116,378331.3881
117,1503171.082
118,132242.4117
119,400659.3874
120,654900.2237
121,253004.6889
122,241123.3726
123,256425.0637
124,814109.6223
125,262312.2719
126,382949.7272
127,823357.1473
128,1104315.886
129,432479.3037
130,604247.1382
131,506176.2945
132,588401.8512
133,355785.6385
134,298229.7238
135,698546.2113
136,433192.9438
137,1073349.704
138,245891.8365
139,473685.2101
140,271565.5341
141,528198.1551
142,940355.2567
143,474253.0181
144,359889.5893
145,715079.9615
146,700805.051
147,218631.7564
148,324432.5485
149,581724.9283
150,245579.7202
151,227918.9432
152,310742.8768
153,257337.5248
154,1175425.243
155,542067.5984
156,386591.509
157,531594.9565
158,484013.5484
159,609995.2416
160,871830.521
161,1307115.331
162,799265.2083
163,334671.6803
164,1148356.101
165,422744.9476
166,551260.6627
167,279200.8904
168,475909.193
169,245453.3419
170,188344.3195
171,433784.1101
172,674409.1109
173,315829.6797
174,320804.0313
175,333842.3253
176,276388.2759
177,401169.4923
178,287562.9953
179,431040.9622
180,170738.2353
181,578109.3829
182,241074.6694
183,1004544.389
184,794346.9327
185,861441.2626
186,1225820.535
187,290201.146
188,476054.4494
189,222199.7139
190,460647.8026
191,181994.2329
192,565864.5401
193,254737.6544
194,292676.4265
195,273879.0234
196,378745.5396
197,193381.2556
198,249760.1473
199,431625.255
200,182485.5363
201,370611.7414
202,224790.9359
203,143794.7747
204,254204.177
205,575074.8899
206,285562.7377
207,347751.7721
208,209009.6753
209,539519.8602
210,255639.308
211,134776.9688
212,580295.6515
213,452381.1644
214,588349.9698
215,832927.7981
216,266274.2234
217,727154.0699
218,238326.8262
219,281136.6521
220,381996.986
221,240161.9889
222,643096.613
223,229878.1773
224,161927.0564
225,337928.2703
226,138949.3051
227,938796.0839
228,577502.8606
229,475642.1493
230,775164.8417
231,339098.1958
232,319441.3674
233,396372.6396
234,453380.7721
235,163269.391
236,491095.0003
237,498070.1699
238,483730.5952
239,431216.5498
240,925455.9025
241,356640.5308
242,444756.335
243,532038.3106
244,383061.6412
245,747109.4081
246,651233.2824
247,305235.724
248,235274.7117
249,408465.2446
250,873062.8619
251,663599.6627
252,430720.5602
253,420392.1043
254,343192.0466
255,219351.6712
256,392330.5046
257,188923.1895
258,553961.6698
259,456931.4444
260,373100.4333
261,1044596.057
262,594364.036
263,312686.975
264,556896.1387
265,622331.8793
266,520386.0185
