"","x"
"1",202229.177472344
"2",566388.287689905
"3",232501.117719572
"4",519175.039086869
"5",444875.030767289
"6",1550559.42444824
"7",237148.316253101
"8",145230.608455721
"9",336106.639679872
"10",297318.262647256
"11",778364.40991363
"12",491836.646371184
"13",359756.241849442
"14",591117.4073273
"15",347181.719909223
"16",564477.552764612
"17",170511.250898373
"18",179493.322623314
"19",351864.430295718
"20",1315193.67623931
"21",296141.576078948
"22",121222.539504989
"23",384970.485972306
"24",844184.180721836
"25",857942.952824587
"26",539493.446681116
"27",631600.890699663
"28",247723.161140985
"29",620219.510879771
"30",311651.207684899
"31",671853.252613429
"32",471820.460758963
"33",702727.130536135
"34",155716.627729857
"35",623088.160535472
"36",841584.211865981
"37",715712.324576638
"38",213815.516878994
"39",607691.464215714
"40",99359.2507579454
"41",681816.233916302
"42",514614.84811241
"43",1306718.49198393
"44",229550.105291927
"45",523662.887190989
"46",520043.631241471
"47",577265.363915106
"48",908682.441092119
"49",998120.815193813
"50",389056.698764624
"51",1020334.56015781
"52",370461.745835966
"53",568114.857485357
"54",452143.900411579
"55",526626.408752901
"56",586604.557493536
"57",673795.629124898
"58",1373779.9366779
"59",301561.019119589
"60",146095.557535456
"61",1250289.43790383
"62",1448338.29301071
"63",377149.198169956
"64",389947.208191392
"65",953226.967926482
"66",482820.51553973
"67",450322.334556284
"68",349697.353466969
"69",815595.32922471
"70",388779.084170554
"71",433657.446164426
"72",356620.589289075
"73",347859.05044436
"74",891578.029356522
"75",353513.250241038
"76",621603.302817685
"77",308081.037965722
"78",331758.744966468
"79",1112017.18408543
"80",138034.523608583
"81",581081.172211727
"82",581081.172211727
"83",999885.436890531
"84",104944.166991564
"85",273070.137767742
"86",615824.051481501
"87",903022.192731506
"88",591620.704147722
"89",470895.523347953
"90",1220815.73543555
"91",226712.345787861
"92",387900.379806504
"93",550122.532756967
"94",177569.942090186
"95",795285.711141782
"96",507739.890400931
"97",499924.376139149
"98",243158.0872117
"99",501981.950230094
"100",961078.528587342
"101",545706.44799162
"102",130426.8205623
"103",266367.561802885
"104",523984.960230848
"105",710733.732394924
"106",416186.562217211
"107",432901.142758316
"108",437654.013549123
"109",1191421.84057383
"110",480843.248820582
"111",293285.783345126
"112",625467.294934997
"113",348980.37006654
"114",109710.390372276
"115",484351.320102615
"116",895220.842475779
"117",485657.28733094
"118",712473.883109347
"119",179906.309816038
"120",243160.230714785
"121",497414.179683314
"122",357498.41906912
"123",654602.015106341
"124",266359.55436876
"125",573269.678189193
"126",751875.648700519
"127",476051.870828919
"128",293148.075944824
"129",547656.561084061
"130",536618.046621453
"131",505223.483002318
"132",1955922.9002332
"133",417367.125351885
"134",214281.469347332
"135",719884.620243987
"136",348242.05669538
"137",165863.03561006
"138",347430.284583125
"139",453612.196532308
"140",913123.187579441
"141",464729.193213859
"142",405783.631855911
"143",167439.456280362
"144",607721.134873712
"145",370478.927192392
"146",274382.749231866
"147",344988.827571501
"148",649748.715387906
"149",547800.20154743
"150",531825.443631915
"151",380848.071947063
"152",405096.0303741
"153",522025.451930641
"154",553667.399698203
"155",126276.804817112
"156",749221.295841312
"157",1246035.44188936
"158",186853.866552188
"159",447284.7868637
"160",508318.341358147
"161",596717.590234063
"162",420121.125788631
"163",217301.177857242
"164",886157.962481125
"165",475429.765049324
"166",303466.514588351
"167",207155.318679923
"168",352709.970178298
"169",518257.619598542
"170",421693.353406863
"171",228831.9143443
"172",214361.190546792
"173",522790.5499427
"174",125824.644468803
"175",450747.834680743
"176",140834.494397845
"177",410070.59631875
"178",252516.216663327
"179",668582.435089601
"180",604289.156474299
"181",498530.419608464
"182",410652.313837699
"183",1259711.37906322
"184",422598.885590795
