"","x"
"1",285595.35169091
"2",677518.138777086
"3",169992.22744247
"4",505523.246602577
"5",426574.771506081
"6",1481100.83172356
"7",436443.330893143
"8",251760.290935269
"9",454770.655469115
"10",485786.127828453
"11",956657.390011125
"12",279956.174898303
"13",339167.531220675
"14",463229.420658026
"15",485786.127828453
"16",404018.064335654
"17",291234.528483517
"18",305332.470465034
"19",409657.241128261
"20",812858.38179965
"21",592930.486887983
"22",254579.879331572
"23",643683.078021445
"24",643683.078021445
"25",347626.296409585
"26",381461.357165226
"27",677518.138777086
"28",288414.940087213
"29",609848.017265804
"30",533719.130565611
"31",601389.252076893
"32",420935.594713474
"33",618306.782454714
"34",296873.705276124
"35",677518.138777086
"36",966525.949398187
"37",395559.299146744
"38",313791.235653944
"39",843873.854158988
"40",232023.172161145
"41",598569.66368059
"42",305332.470465034
"43",729116.606429439
"44",288414.940087213
"45",841054.265762685
"46",350445.884805889
"47",511162.423395184
"48",722631.553117941
"49",750827.437080975
"50",635224.312832535
"51",869250.149725719
"52",474507.774243239
"53",559095.426132342
"54",663138.237955939
"55",387100.533957833
"56",420935.594713474
"57",733909.906703154
"58",719811.964721637
"59",584471.721699073
"60",234842.760557448
"61",855152.207744202
"62",1297827.58596384
"63",308152.058861337
"64",623945.959247321
"65",920002.74085918
"66",449131.478676509
"67",246121.114142662
"68",350445.884805889
"69",925641.917651787
"70",615487.194058411
"71",522440.776980398
"72",426574.771506081
"73",223564.406972235
"74",556275.837736039
"75",702894.434343817
"76",733909.906703154
"77",406837.652731957
"78",243301.525746359
"79",945379.036425911
"80",291234.528483517
"81",398378.887543047
"82",398378.887543047
"83",883348.091707236
"84",279956.174898303
"85",463229.420658026
"86",607028.4288695
"87",536538.718961915
"88",511162.423395184
"89",570373.779717556
"90",776203.732647706
"91",294054.11687982
"92",612667.605662107
"93",423755.183109778
"94",302512.882068731
"95",838234.677366381
"96",604208.840473197
"97",308152.058861337
"98",387100.533957833
"99",539358.307358218
"100",1187863.63850801
"101",401198.47593935
"102",201007.699801807
"103",395559.299146744
"104",406837.652731957
"105",629585.136039928
"106",361724.238391103
"107",169992.22744247
"108",544997.484150825
"109",728270.729910548
"110",544997.484150825
