"","x"
"1",210036.775286985
"2",837878.938432999
"3",438025.407434295
"4",505852.688365987
"5",411331.937577931
"6",1482902.54655324
"7",286467.835336585
"8",171213.425144233
"9",369234.413153948
"10",347326.752459231
"11",879539.787075827
"12",399211.165352096
"13",322361.108872923
"14",560974.788369477
"15",488923.532961707
"16",482779.950559089
"17",210071.720993505
"18",154874.361027365
"19",432265.998264384
"20",1226541.72364621
"21",314446.389799083
"22",70077.2302482651
"23",551476.991380564
"24",714792.000129791
"25",539236.831030837
"26",425168.967837556
"27",713638.491846684
"28",382412.894767223
"29",642579.452240077
"30",358710.417850674
"31",771077.957999401
"32",274276.460966957
"33",796215.175890004
"34",23995.266891501
"35",609148.418843578
"36",928217.29573452
"37",488890.902647182
"38",171773.903361943
"39",920734.584782627
"40",45990.96005046
"41",643878.207975885
"42",425341.371387332
"43",957948.056687781
"44",157816.474790604
"45",633895.134172344
"46",475117.731638571
"47",563952.497407453
"48",780583.541972229
"49",727834.911776351
"50",525467.957480251
"51",1227085.93808743
"52",433629.839638225
"53",816933.866752631
"54",693992.834560658
"55",390667.317535008
"56",390707.747678463
"57",833952.28120616
"58",702335.865151124
"59",380624.252148095
"60",22775.4585604323
"61",744070.814036346
"62",1240017.71380349
"63",452566.994190974
"64",387956.009063875
"65",925194.061148949
"66",335327.483432211
"67",251130.885817834
"68",381487.512661599
"69",734560.234314671
"70",437511.939360373
"71",475178.461502996
"72",355909.732642075
"73",305991.206523172
"74",667833.321775916
"75",483830.07240488
"76",627255.390124526
"77",459185.361253338
"78",187342.903579061
"79",978249.769470313
"80",117006.920724981
"81",492835.662490527
"82",509804.157692002
"83",869973.461751956
"84",59337.9283568722
"85",250112.524394247
"86",616884.280023829
"87",753511.108234255
"88",663326.3272356
"89",737578.089582611
"90",917736.185655539
"91",171715.020773514
"92",537813.73233492
"93",478411.754559335
"94",226483.068629278
"95",943981.18750836
"96",490687.20609314
"97",536630.824856191
"98",178867.67105431
"99",634697.814653119
"100",1440930.01029626
"101",504545.557419154
"102",207657.073618065
"103",366518.326666787
"104",449717.328009235
"105",966072.380556975
"106",436138.783303478
"107",347884.705881638
"108",583933.505417927
"109",940015.892599927
"110",699895.557393152
"111",323693.317303753
"112",753234.377048876
"113",381278.083205528
"114",48731.4108384062
"115",389548.243052891
"116",1021394.06169109
"117",346961.403563378
"118",621140.326988473
"119",215894.150483429
"120",232247.253167427
"121",678170.718594401
"122",330521.120894766
"123",372451.422750557
"124",288118.649128001
"125",504887.287488029
"126",1036473.18844776
"127",506383.681118389
"128",310067.689702902
"129",393622.989396011
"130",392035.560442506
"131",343583.256592833
"132",1510963.15193532
"133",293879.380974093
"134",149608.079060862
"135",867451.592931525
"136",470070.274617508
"137",203647.564377703
"138",331479.378449854
"139",521545.034224859
"140",953468.584068023
"141",549490.519386985
"142",433317.946667926
"143",379537.379862751
"144",777455.642426447
"145",554884.131142575
"146",406762.49648245
"147",449981.676259507
"148",649464.904597414
"149",353085.350637475
"150",358709.289569761
"151",346867.43685925
"152",474731.994131891
"153",682420.190160391
"154",819655.788534996
"155",38483.6793863771
"156",767857.248918785
