"","x"
"1",390110.751585444
"2",688365.817176696
"3",350644.815014484
"4",585507.146837428
"5",332983.847102209
"6",619062.466524216
"7",1164818.3693125
"8",515880.107041324
"9",325840.493627062
"10",562531.285676527
"11",473013.282137543
"12",430391.751217414
"13",451028.230576528
"14",450202.821072991
"15",491250.200622877
"16",802353.190975923
"17",727753.738573759
"18",321536.208529823
"19",707305.674099815
"20",333108.728887977
"21",572229.168208111
"22",361420.071004277
"23",395031.892481774
"24",531768.582836588
"25",660092.158398437
"26",337394.286093976
"27",1146503.2147371
"28",350028.454945974
"29",406161.406094725
"30",473773.661425281
"31",293993.95289094
"32",638164.075340788
"33",624202.004122609
"34",287023.790859426
"35",452730.53298883
"36",414973.08157173
"37",398498.89054715
"38",987775.515711612
"39",1755127.08285242
"40",452587.074708805
"41",560177.751031797
"42",1054022.28264557
"43",379557.665612371
"44",568713.855251057
"45",340172.839197254
"46",1023502.04103366
"47",979344.150379249
"48",629756.388628614
"49",504661.400289434
"50",538942.187378435
"51",519926.114748038
"52",501311.348999845
"53",1328572.49444075
"54",1328572.49444075
"55",415613.759161572
"56",545725.523830055
"57",367802.330700634
"58",413394.611978358
"59",492488.632586844
"60",372969.241872357
"61",607078.303022746
"62",763307.222120503
"63",385283.235920641
"64",572875.037125429
"65",588225.266766823
"66",380206.088775886
"67",295100.50689185
"68",552976.526727716
"69",391668.396206013
"70",401177.455620209
"71",774585.054222655
"72",937055.994929157
"73",478134.85399887
"74",505437.897046613
"75",432708.648366796
"76",580856.188852585
"77",461109.316528768
"78",471801.667326782
"79",409514.584863108
"80",846489.991119727
"81",616855.934252668
"82",342683.489152347
"83",415925.984113577
"84",380301.117668309
"85",596075.256556457
"86",764403.014105025
"87",511324.959466207
"88",321429.387584323
"89",702838.642317224
"90",1174059.85277449
"91",567604.353866212
"92",384924.913804322
"93",274595.613798809
"94",353432.398440074
"95",342464.803834864
"96",618123.861561455
"97",445855.632425414
"98",514039.307006384
"99",395313.845497119
"100",280619.730048133
"101",1505916.39532696
"102",388661.65352688
"103",408256.327080217
"104",433810.384478399
"105",419699.179775793
"106",661466.553763534
"107",377492.633285538
"108",306330.707170176
"109",1431192.92334475
"110",308737.084003697
"111",2022611.14749061
"112",327888.765463517
"113",409691.914575209
"114",473215.002482647
"115",2533299.67881176
"116",517185.041590664
"117",1308132.5113252
"118",294246.110604435
"119",517246.011354639
"120",331122.746043331
"121",409631.1332777
"122",418060.24715576
"123",462271.83293203
"124",567973.862826436
"125",459919.20435021
"126",393514.894652928
"127",922472.813714619
"128",806448.688392239
"129",574229.233997921
"130",723472.504930258
"131",466682.758638503
"132",824893.023658059
"133",295809.982418018
"134",503539.616857719
"135",972943.772444176
"136",525411.072922458
