"","x"
"1",420283.634851151
"2",863145.522921054
"3",273041.575898251
"4",603550.236704841
"5",564231.279922662
"6",442744.878207186
"7",625541.748803345
"8",415786.337852588
"9",241956.923630001
"10",506700.556609616
"11",259772.755091404
"12",268441.286876584
"13",206883.658403563
"14",203385.95798468
"15",404921.570959179
"16",640498.230755381
"17",716960.786448103
"18",526786.288938246
"19",586613.833146238
"20",294767.806753992
"21",578271.941219258
"22",138289.859360205
"23",228854.696704639
"24",389784.225847826
"25",687401.175931926
"26",247385.001045579
"27",1118643.29186598
"28",541511.11703004
"29",252575.66163959
"30",335186.079794847
"31",175994.780696554
"32",824142.200264526
"33",623675.569793721
"34",135332.34971847
"35",218586.02579397
"36",505708.203428691
"37",176399.64763124
"38",1455180.72634186
"39",1566682.3596529
"40",230677.796240149
"41",662467.859363954
"42",986213.713332118
"43",122538.36421027
"44",197998.589109295
"45",135251.706915422
"46",1260199.29051263
"47",819577.282483258
"48",590382.688207024
"49",382035.109594573
"50",687679.226922733
"51",359672.309459475
"52",326671.409817031
"53",1626251.19415279
"54",1626251.19415279
"55",513897.730876809
"56",479660.141146249
"57",187262.073380227
"58",280974.43898691
"59",859570.384819974
"60",480211.545531816
"61",935907.95507827
"62",701335.225854949
"63",361489.71376655
"64",427641.70461179
"65",432510.904448867
"66",235538.972457129
"67",120175.908741779
"68",941745.558916211
"69",659022.671034091
"70",330980.015854976
"71",722424.491661499
"72",893468.214529032
"73",377203.536589909
"74",453296.321999503
"75",393408.044033768
"76",835882.795959123
"77",384635.530091899
"78",719895.48274753
"79",377901.98367567
"80",1288725.06917235
"81",501570.985103849
"82",481534.558055117
"83",267976.214200407
"84",689578.000613499
"85",299847.634389923
"86",521884.934066049
"87",455075.773543605
"88",455503.408152452
"89",1111954.54690264
"90",1385886.2729404
"91",736374.697634774
"92",242557.856383591
"93",109345.138143395
"94",323410.991945727
"95",240194.882747915
"96",382209.465102897
"97",273033.222808383
"98",335934.03694919
"99",312881.765213524
"100",244247.931204928
"101",1498207.6125381
"102",381340.500996591
"103",337039.561040073
"104",649268.084973597
"105",529666.647566193
"106",933444.051274004
"107",238661.209041725
"108",221716.373312603
"109",1530484.40531905
"110",197610.329226941
"111",3045053.18796139
"112",161859.853968062
"113",285462.16098261
"114",321023.415095265
"115",2918772.09391955
"116",245448.034122476
"117",1736181.81884961
"118",129371.579744876
"119",416975.39414737
"120",644707.870712041
"121",224537.34828243
"122",257313.162346567
"123",282333.581497813
"124",848836.198745096
"125",218552.436228719
"126",492556.439420312
"127",813987.664504156
"128",1017149.25549738
"129",325483.268450921
"130",691910.619148587
"131",540127.431119317
"132",519288.158607264
"133",389336.325800737
"134",276032.450135177
"135",682119.059809262
"136",349678.924506543
"137",1031626.46368226
"138",237154.985763972
"139",426393.870984114
"140",303268.583879083
"141",535283.253877877
"142",876763.180601801
"143",429907.955965632
"144",339831.584016479
"145",692284.940830485
"146",626449.193661526
"147",213058.43761352
"148",348735.442827382
"149",419071.894954206
"150",305359.811019173
"151",284612.582394008
"152",323868.808881242
"153",255612.116588067
"154",1094650.16836844
"155",518521.53541668
"156",367763.756063266
"157",502138.327061955
"158",499568.808369137
"159",528345.876279418
"160",807291.349784562
"161",1332141.96514055
"162",733826.759824172
"163",361628.215379259
"164",1049987.23187709
"165",380971.094241848
"166",574014.289760209
"167",298464.537789576
"168",393720.265900979
"169",161381.948185526
"170",108218.184768224
"171",474942.341314423
"172",597910.229700429
"173",302106.74587927
"174",341026.289114514
"175",332772.739563104
"176",270817.168486969
"177",466344.003783802
"178",232064.800781688
"179",297101.926394045
"180",184717.109675798
"181",580032.263576401
"182",269444.994751832
"183",726864.077109328
"184",731300.938900754
"185",863230.500157416
"186",1143447.06865103
"187",291614.772758058
"188",532081.769656926
"189",268218.261499522
"190",440510.40949454
"191",200407.593588603
"192",410204.603347798
"193",193494.117702732
"194",302378.437393906
"195",278643.690531492
"196",388830.181807223
"197",111147.151798984
"198",214219.801515427
"199",354934.637276075
"200",130147.51645217
"201",460947.154543286
"202",208413.191139804
"203",144644.340606068
"204",253468.738711734
"205",539032.298502991
"206",278239.752355899
"207",365134.708693725
"208",224871.355963473
"209",540168.164301748
"210",181477.526776592
"211",119819.140171381
"212",595513.502628003
"213",451988.069892642
"214",596692.352336368
"215",797327.957802698
"216",267119.407660789
"217",653341.570099603
"218",229823.498996321
"219",293032.187239359
"220",392529.399223975
"221",258645.029801467
"222",644672.733142717
"223",255030.587867503
"224",163806.979257213
"225",441087.369484701
"226",69259.9012841629
"227",904372.798100799
"228",522031.65336764
"229",426774.82263385
"230",838646.935259999
"231",290876.201549555
"232",243250.62932331
"233",167031.806662969
"234",439344.605488621
"235",131640.749891943
"236",411974.019658625
"237",527198.347236545
"238",467927.752895179
"239",399567.735619316
"240",846467.886325276
"241",405606.80099823
"242",493923.083834955
"243",565950.612899007
"244",405378.226724769
"245",707819.467032521
"246",612999.785025572
"247",315668.497909447
"248",246118.596073413
"249",415228.810107287
"250",756967.691545259
"251",651430.557894651
"252",377390.812642697
"253",381011.624822743
"254",363914.953935103
"255",190458.307431527
"256",421768.37911789
"257",174101.002093539
"258",513554.663754333
"259",334110.399119843
"260",348857.334809278
"261",1018119.15295221
"262",543541.072655439
"263",316227.620903781
"264",522127.535872152
"265",640148.558220535
"266",466667.673062592
"267",504402.787235589
"268",545490.553226557
"269",417449.763909467
"270",418073.104648492
"271",763344.806098292
"272",346863.906872699
"273",126113.49836532
"274",937058.49782424
"275",709993.700554581
"276",478352.921715175
"277",454722.209150423
"278",281829.277101122
"279",626356.357891055
"280",330777.831948153
"281",965070.498916912
"282",319952.085181463
"283",668980.852256676
"284",274097.138135894
"285",606584.980056329
"286",561409.345294941
"287",530354.058334361
"288",2290684.90727275
"289",284063.298373648
"290",575810.739343277
"291",236197.081415586
"292",299949.299418814
"293",345510.423036106
"294",1371629.99109921
"295",666238.862662556
"296",340891.506699687
"297",722445.950511882
"298",194304.160689842
"299",621931.675970767
"300",1238653.78219909
"301",314049.161365324
"302",342872.944705731
"303",727158.213777265
"304",704858.026720204
"305",359905.729408481
"306",1218441.31840212
"307",463740.553660236
"308",333702.98826201
"309",447424.04158753
"310",512011.264178846
"311",445631.666217224
"312",725238.196089973
"313",96072.0636282028
"314",529290.962708486
"315",1000505.24902167
"316",3223914.29934099
"317",447657.445736589
"318",224380.823406617
"319",1029973.34877696
"320",422944.089401322
"321",768472.949399485
"322",517919.783365307
"323",303208.304553998
"324",168153.320059783
"325",551208.441485482
"326",287594.879088889
"327",518415.263903249
"328",398746.494982438
"329",262067.481233407
"330",953663.172824232
"331",389935.64042453
"332",502384.223969205
"333",1192686.31073678
"334",350289.43409617
"335",404261.069019566
"336",271098.987238806
"337",814543.702614528
"338",516570.904596325
"339",351361.438307566
"340",488894.51991388
"341",132832.357680248
"342",311699.524021559
"343",299283.150311601
"344",235695.127551452
"345",263057.41276831
"346",316529.986185641
"347",164219.94330162
"348",294587.741169199
"349",465260.789797307
"350",570690.850007012
"351",298583.327195984
"352",436849.100147145
"353",273142.077701164
"354",344869.024691565
"355",366887.319596861
"356",419416.749454249
"357",506178.787194191
"358",224004.031232135
"359",302236.34677041
"360",309551.643974814
"361",505257.9671282
"362",961315.40066949
"363",1469321.99216473
"364",359906.392281616
"365",182499.223905907
"366",806284.238885936
"367",286748.297966956
"368",209359.170993655
"369",617935.03430785
"370",530554.014176188
"371",306732.248192154
"372",367255.616034431
"373",567150.244993447
"374",540956.958391731
"375",458088.963649261
"376",1661450.21105114
"377",133393.637305694
"378",665007.041244423
"379",517068.215803399
"380",444915.04981574
"381",554351.556125137
"382",699040.455256676
"383",295296.626799186
"384",295296.626799186
"385",422654.736587636
"386",536376.45209403
"387",644239.152369605
"388",986554.936874987
"389",219764.800158151
"390",752069.021325044
"391",2654643.48078643
"392",686269.344838063
"393",698765.217484715
"394",1171487.63191878
"395",547308.448426352
"396",323139.657539191
"397",182089.396288578
"398",385635.566296356
"399",751146.105956316
"400",404479.519904638
"401",935822.045304652
"402",153814.027522483
"403",559565.356253595
"404",110607.770819291
"405",257889.213316015
"406",871248.099902829
"407",204465.447384233
"408",899281.540277957
"409",589536.493306204
"410",376486.692542772
"411",304154.34067626
"412",571888.602314105
"413",348225.734776841
"414",110886.330531312
"415",1165906.09259963
"416",307766.904670719
"417",247743.820274967
"418",285518.449636972
"419",259819.486919608
"420",62606.4797711004
"421",510017.648066172
"422",957758.127917316
"423",262270.726010582
"424",973513.564456571
"425",702145.777723454
"426",434417.787702407
"427",1060567.83129145
"428",1921738.9053015
"429",1043883.72739354
"430",616811.524346077
"431",878102.336595989
"432",342725.685320014
"433",533617.577730292
"434",533854.596988576
"435",268591.883432319
"436",656261.132850768
"437",446976.943343351
"438",938294.798375148
"439",511983.064123617
"440",226598.017064049
"441",657276.299290244
"442",239944.405312998
"443",807388.269785454
"444",1185211.93516027
"445",146245.560715346
"446",304766.600200465
"447",211303.975429115
"448",372061.628119531
"449",350153.753052426
"450",654583.661892992
"451",1060917.87388373
"452",191422.238202747
"453",407049.264499585
"454",563524.744906616
"455",520491.493447363
"456",495386.8639053
"457",168556.114108054
"458",728806.619242349
"459",867502.589189152
"460",258459.199788412
"461",1323401.34578441
"462",252642.521063055
"463",1111482.50702477
"464",548478.312546696
"465",402018.745558733
"466",526597.772747395
"467",371100.679519729
"468",311651.29065394
"469",132926.043487024
"470",776206.750417306
"471",808518.893096551
"472",125313.723458359
