"","x"
"1",330223.240402707
"2",832471.846956706
"3",269343.127035412
"4",506427.494195302
"5",478306.328517974
"6",453106.594440078
"7",661078.198430909
"8",261187.893632372
"9",229579.616199978
"10",639496.747203358
"11",312530.406867228
"12",271653.045886394
"13",198911.824407173
"14",313401.837606574
"15",592432.987104008
"16",673808.860709901
"17",747804.49946843
"18",485509.18080005
"19",657459.528520442
"20",338177.003566779
"21",924102.180318257
"22",206628.26443986
"23",247883.97516107
"24",387682.208000468
"25",736013.995546057
"26",296734.354227625
"27",1213554.88649929
"28",475098.893204202
"29",195299.334680424
"30",308772.337291579
"31",234778.458553593
"32",965081.88690081
"33",565362.959572808
"34",138918.42595814
"35",230595.956959831
"36",478380.319149963
"37",168934.893729953
"38",1184362.54869854
"39",1494584.08755795
"40",235531.473064021
"41",672811.488743821
"42",1004691.87282792
"43",265634.482607879
"44",341758.576766366
"45",157271.846804733
"46",1443040.96163158
"47",783491.045758881
"48",561663.813365285
"49",401167.118223099
"50",673725.568822931
"51",304742.195720056
"52",275048.602192946
"53",1421384.90737771
"54",1444233.51394128
"55",525445.763248611
"56",500382.794173997
"57",181338.991218979
"58",299169.650917516
"59",936924.24491016
"60",513912.529792495
"61",1029887.91855413
"62",602725.453564423
"63",379748.988542219
"64",478855.590275319
"65",459200.772380505
"66",234339.315271415
"67",43775.3371785683
"68",946374.254168458
"69",636922.624944095
"70",500935.149017518
"71",782217.626918196
"72",920399.462443356
"73",358347.72306909
"74",455218.618510994
"75",410714.994219384
"76",903440.543817707
"77",410993.954428883
"78",638360.869970239
"79",325229.484164815
"80",1314551.00833577
"81",609674.426672178
"82",497050.389816238
"83",255618.222071236
"84",613348.203981399
"85",603760.179549941
"86",645058.733446952
"87",511850.090784219
"88",453521.035689058
"89",1201210.90858163
"90",1306611.13471299
"91",792405.317334429
"92",448844.792361418
"93",130220.644519376
"94",312718.243882333
"95",257322.975166535
"96",421087.513779666
"97",249140.542107521
"98",458043.983188952
"99",252477.355731638
"100",308459.215122615
"101",906589.669530967
"102",433996.976113741
"103",366378.331637469
"104",718586.607387156
"105",488562.92771501
"106",964648.747472374
"107",219402.289827674
"108",321356.267556095
"109",1673096.64948009
"110",275282.23640594
"111",1285884.20888852
"112",197433.705239833
"113",270215.19310362
"114",330525.381474637
"115",2518253.07246784
"116",396551.885117283
"117",1599860.45830155
"118",138065.985899738
"119",465005.514358603
"120",631066.454187853
"121",260964.485460035
"122",237568.451158404
"123",247737.402638927
"124",774917.214156472
"125",270637.615792583
"126",405604.294681833
"127",766109.040280025
"128",1136062.25028673
"129",478514.591333425
"130",633768.392039457
"131",507233.868971359
"132",589984.367001795
"133",397242.783505078
"134",284518.058703224
"135",656992.256644258
"136",467281.736536076
"137",1032201.66321491
"138",336304.075411415
"139",505777.984435904
"140",312852.70514748
"141",507001.337877151
"142",875692.415883871
"143",499623.155961409
"144",390946.585716249
"145",723967.900352305
"146",707512.511466761
"147",271470.885639346
"148",332174.387370496
"149",571364.741687584
"150",220755.085247413
"151",242504.749227083
"152",327494.168681393
"153",283569.731705876
"154",1140253.60740547
"155",516575.798041404
"156",397066.127340329
"157",535005.333200013
"158",456004.015154345
"159",614626.388817138
"160",806072.56123106
"161",1312340.71920214
"162",827386.820565269
"163",498826.182679819
"164",1058914.0392791
"165",453628.5547054
"166",474628.545606328
"167",337939.2412694
"168",514996.973469631
"169",216322.022109794
"170",198399.118028257
"171",448812.749104588
"172",640424.723671171
"173",312496.317689645
"174",304877.13137424
"175",377619.98620372
"176",296677.62917216
"177",431132.091485924
"178",341814.747316779
"179",459271.806657278
"180",194154.749490094
"181",597040.777540264
"182",251307.8897677
"183",886963.184580964
"184",717790.270251649
"185",886055.108090492
"186",1387809.4225742
"187",312112.115942893
"188",444943.804760229
"189",257642.258105964
"190",473194.296852242
"191",216694.996761948
"192",548542.718183756
"193",288827.108591834
"194",296672.777811331
"195",250083.077360112
"196",426889.957053608
"197",206028.393835221
"198",204746.264338618
"199",412388.415590969
"200",195678.698588228
"201",377625.912408028
"202",249950.653566792
"203",156405.586796025
"204",266630.352001021
"205",540873.284023026
"206",286153.118655235
"207",272383.330002417
"208",214964.336338712
"209",550700.927712031
"210",255385.412252111
"211",158959.837893025
"212",582575.757200522
"213",635244.392480619
"214",621561.843866254
"215",838864.789469802
"216",324366.113081738
"217",746234.346499657
"218",272894.155337867
"219",306166.069941542
"220",335828.482716044
"221",246502.603616156
"222",631733.261972746
"223",297096.579283302
"224",169754.521219392
"225",334143.830203403
"226",135331.3098618
"227",932672.287668033
"228",539516.059562353
"229",489221.998144478
"230",764300.238994577
"231",317678.221384464
"232",270659.199473826
"233",381105.866712676
"234",479753.723761243
"235",189507.409490206
"236",410725.056812388
"237",497059.099787489
"238",458200.313949922
"239",427634.741219411
"240",926986.764191217
"241",376844.948963217
"242",453080.506321443
"243",514928.233411849
"244",390913.402021659
"245",783169.230449306
"246",659713.793878036
"247",338316.70291519
"248",288845.116651182
"249",434070.907923885
"250",854518.430412786
"251",612786.153508503
"252",428614.253868682
"253",372274.436428032
"254",333395.853124442
"255",228979.190619898
"256",384291.328476154
"257",191937.686324894
"258",532640.518227881
"259",539671.952942615
"260",416318.151650352
"261",1004698.4078326
"262",548993.398979176
"263",290118.611376198
"264",579791.713916867
"265",653437.844301844
"266",450739.329867587
"267",524942.831581034
"268",616517.499278375
"269",440664.052848789
"270",497947.354964575
"271",712525.15125714
"272",371435.328792282
"273",113359.474030784
"274",970492.239839601
"275",699539.927285912
"276",499898.432885342
"277",450115.397386206
"278",253358.758247658
"279",637825.225340575
"280",327586.094253619
"281",922273.212257122
"282",266173.102852974
"283",702214.932234937
"284",305133.152035675
"285",550411.670469488
"286",545094.929554137
"287",552932.827324054
"288",1379596.71040005
"289",284757.47765091
"290",555833.771742179
"291",279819.063442129
"292",338095.677594399
"293",461593.810691487
"294",1322530.08010167
"295",726243.357057251
"296",338163.590067133
"297",712833.731620713
"298",275631.725964344
"299",613711.390657376
"300",1071469.48642995
"301",305013.593272209
"302",349000.364326786
"303",784813.846858753
"304",775939.336635443
"305",494670.420602691
"306",1267663.9023422
"307",414798.135732362
"308",350491.70318193
"309",452537.758083844
"310",540769.283868404
"311",432012.937733056
"312",658238.983690607
"313",169129.419314913
"314",580641.145769548
"315",832902.913800087
"316",1712995.88608278
"317",521550.018705644
"318",294875.846940642
"319",1117533.83430024
