"","s1"
"1",334650.490658436
"2",852945.680080461
"3",304383.297060847
"4",601613.156372383
"5",554248.705320831
"6",475935.346849087
"7",648608.031683612
"8",318583.860326999
"9",231787.86259404
"10",644071.40951668
"11",310695.091424622
"12",271051.198679527
"13",199570.165133777
"14",295235.342055662
"15",498990.526492118
"16",700819.041200669
"17",758296.588279274
"18",438643.875735303
"19",651895.569781162
"20",318076.607477201
"21",845385.082996469
"22",193760.714517801
"23",284085.053843364
"24",405336.359208525
"25",744651.367978271
"26",292412.188515914
"27",1119834.60247434
"28",476605.889406131
"29",199444.922745239
"30",305014.259065875
"31",195986.343988318
"32",942542.325038053
"33",625175.561545484
"34",156129.217260435
"35",219068.309953803
"36",464681.444131536
"37",173142.97788477
"38",1156892.94293346
"39",1626291.54868776
"40",253626.785905116
"41",663437.586271255
"42",1043722.15554035
"43",246391.641089045
"44",354506.605723999
"45",147034.823796255
"46",1216137.52159679
"47",826126.704579773
"48",554043.974577542
"49",409986.209140345
"50",688731.502232152
"51",342428.204498933
"52",377811.372604317
"53",1430576.80869679
"54",1450168.33054529
"55",540609.381082649
"56",471966.447299751
"57",165064.301898929
"58",293294.682517295
"59",937572.236294639
"60",489161.276494894
"61",1022276.40866209
"62",662211.363359501
"63",361718.533122616
"64",539079.279840893
"65",460429.003023081
"66",211002.030947541
"67",128738.222627802
"68",932726.405162369
"69",645008.708169995
"70",480857.492402475
"71",793946.190867395
"72",938490.956356431
"73",357897.221683872
"74",522654.273513962
"75",400718.920940603
"76",910511.629665007
"77",387890.443504866
"78",664346.199566983
"79",316065.361318221
"80",1293487.80315185
"81",641017.748664369
"82",485217.431896791
"83",252508.11932361
"84",579851.373789998
"85",491176.686137556
"86",669747.874106708
"87",530394.361214725
"88",455199.537239066
"89",1193518.85237198
"90",1327514.28863684
"91",776174.8550163
"92",269423.554493781
"93",114412.92046699
"94",313219.578912077
"95",238976.600802809
"96",445167.733474095
"97",259806.57111114
"98",424979.343238768
"99",276692.92506054
"100",278510.125934152
"101",1078329.17380574
"102",437569.772948407
"103",365357.870835412
"104",731167.097007613
"105",516820.876269974
"106",985241.230045675
"107",188076.235300342
"108",292860.115754647
"109",1464717.39340733
"110",258988.09157672
"111",1766533.14836274
"112",184014.61979558
"113",270469.448671094
"114",327099.638139012
"115",2678190.85673437
"116",376288.578291525
"117",1501423.00462306
"118",137260.430185019
"119",397588.874626038
"120",654183.779685609
"121",255986.426014925
"122",239643.521364013
"123",267634.401974479
"124",812389.606870256
"125",256109.076004918
"126",383643.44950388
"127",827923.230488028
"128",1102241.77103917
"129",440187.248976139
"130",603010.002074658
"131",507703.784153913
"132",587863.55087326
"133",357617.952627577
"134",285303.407149902
"135",700986.621412962
"136",436444.04254711
"137",1065352.05646364
"138",245097.593697164
"139",472404.439187402
"140",272822.966161274
"141",527026.167055128
"142",943700.165047275
"143",475894.20815162
"144",366004.566977484
"145",712440.188525563
"146",694537.071978579
"147",242606.949659454
"148",319030.116277114
"149",581924.421600665
"150",244797.909782622
"151",226294.32010319
"152",306207.39194983
"153",252330.183220432
"154",1169629.74717314
"155",549291.861152517
"156",383659.662058845
"157",533433.953009935
"158",485441.712246553
"159",609347.341046032
"160",867775.757255407
"161",1312162.91731557
"162",792809.425334369
"163",340668.127895446
"164",1146313.73722498
"165",426351.096867563
"166",552698.615715842
"167",271658.404711872
"168",465298.276357467
"169",248365.494028483
"170",187085.387641053
"171",432249.74101442
"172",669754.725346611
"173",317678.382118425
"174",314399.683693295
"175",334979.775459198
"176",275432.749133418
"177",408344.7061046
"178",286835.291800768
"179",432592.819498419
"180",172981.941353543
"181",582861.611280255
"182",237359.394903772
"183",1005334.99404066
"184",796221.095681619
"185",862325.482328267
"186",1224911.25193861
"187",285421.287078836
"188",471520.993975534
"189",220495.740668454
"190",454526.725393313
"191",200752.348443632
"192",563112.414796472
"193",249895.851227894
"194",289095.006916689
"195",267062.645154355
"196",382075.501193245
"197",199144.031100465
"198",250996.96097236
"199",431630.906338223
"200",187781.917591782
"201",363959.135400363
"202",223699.684927075
"203",147022.03720142
"204",247604.783088351
"205",573041.309779199
"206",283448.64376312
"207",346492.363364808
"208",210141.177580922
"209",544317.201049576
"210",256013.699183568
"211",134558.199828794
"212",586027.422828568
"213",448845.11556407
"214",578368.367655521
"215",831370.047448618
"216",265703.925320851
"217",725349.90676989
"218",244505.145042364
"219",279763.44961657
"220",382574.766795182
"221",236196.327570007
"222",643767.954823377
"223",227568.189970895
"224",154204.734957392
"225",338494.047796153
"226",145165.572456892
"227",934519.407060252
"228",573429.239099225
"229",483077.647472593
"230",776897.281886845
"231",338931.365537304
"232",321010.848265129
"233",397285.187699657
"234",450969.049220047
"235",160781.191263663
"236",486904.720750653
"237",500007.889045251
"238",479206.71253867
"239",432640.222840743
"240",912562.058511409
"241",353975.498838413
"242",447615.856033131
"243",539866.881167897
"244",385335.14678171
"245",746146.785661444
"246",649481.234879971
"247",304433.1753995
"248",222787.194945319
"249",414810.585707562
"250",872520.965011717
"251",664961.025844053
"252",427672.358668516
"253",419074.623376801
"254",367969.997158471
"255",219588.616047178
"256",391162.000058612
"257",185850.830623354
"258",555289.358029266
"259",461223.192994915
"260",360923.054553022
"261",1049173.05056097
"262",592201.799676989
"263",313304.541063886
"264",555082.073777101
"265",634998.803742901
"266",527374.543917987
"267",495820.636042317
"268",573052.997474748
"269",428266.904614425
"270",507361.955166404
"271",776921.886011168
"272",350436.316557555
"273",148870.164247506
"274",988564.740812524
"275",674917.207253719
"276",478280.075266779
"277",443219.069496295
"278",244025.750986179
"279",652818.962982716
"280",335373.572474739
"281",990504.373101747
"282",283628.915070729
"283",693913.633248389
"284",284712.87848043
"285",644120.794401946
"286",595140.494704553
"287",565921.828678695
"288",1458257.11071177
"289",281200.16822944
"290",580013.92670371
"291",243677.490808193
"292",318839.209983843
"293",478784.890331617
"294",1350555.08886248
"295",690777.204417902
"296",328145.21490344
"297",741588.641899857
"298",181551.710745409
"299",626391.34125474
"300",1037294.28595918
"301",320276.220864269
"302",379951.761543213
"303",789086.338644779
"304",788978.758932577
"305",473562.062845344
"306",1219753.84544825
"307",463931.132258262
"308",332233.99112188
"309",457665.839981203
"310",531731.236500752
"311",438957.280081207
"312",756257.423321143
"313",146004.175852564
"314",551785.425758716
"315",874747.501575074
"316",1485328.32401902
"317",489946.937094979
"318",286232.389022621
"319",1105818.96440029
"320",477137.789836413
"321",770022.143407809
"322",529700.899157384
"323",276389.873511569
"324",260306.748209304
"325",575054.526773966
"326",299097.025797782
"327",529046.371889525
"328",474199.194009085
"329",281209.408686199
"330",992383.383009724
"331",460820.612394922
"332",488616.868945567
"333",1201000.00000346
"334",383664.406520301
"335",412580.72562711
"336",250285.615245698
"337",818916.976437144
"338",598541.400145697
"339",368289.680140845
"340",599696.635314895
"341",231987.012671394
"342",360581.06206087
"343",274744.023020001
"344",234035.972737408
"345",268865.507195698
"346",335765.35682393
"347",218651.956238114
"348",342555.868861783
"349",476524.772817508
"350",460919.820935566
"351",308837.219941903
"352",396020.764895878
"353",341427.440509038
"354",557797.262493154
"355",349196.394490506
"356",503819.60045512
"357",453354.967626601
"358",337563.008401885
"359",300606.419194406
"360",319793.416133049
"361",489569.545482736
"362",1011677.14422577
"363",1485293.55672741
"364",410850.002763552
"365",149026.299251951
"366",838733.452118517
"367",364175.777927761
"368",331626.824800414
"369",658550.601080085
"370",552578.797162703
"371",321183.792205654
"372",417795.001783913
"373",536496.575537239
"374",666706.440395776
"375",427650.581773479
"376",1604054.41685821
"377",159501.300906429
"378",632478.615215547
"379",504652.026232715
"380",455654.427653095
"381",600849.480735484
"382",771947.451595073
"383",351846.041851167
"384",369523.449496064
"385",484599.607390871
"386",531634.32184416
"387",612067.393104616
"388",995915.259097431
"389",302164.460792455
"390",810525.422946476
"391",1449480.8190343
"392",648996.027914508
"393",754119.896490572
"394",1071324.87907743
"395",582262.660973551
"396",358489.346501217
"397",171703.807599576
"398",418732.709007188
"399",829004.719518469
"400",418597.281753339
"401",909104.829742267
"402",136474.698559715
"403",597970.359965905
"404",134871.905735281
"405",224287.600928913
"406",876598.720998293
"407",190068.723030821
"408",889632.439098001
"409",601817.18860426
"410",334484.59847989
"411",334563.990903632
"412",654891.073700723
"413",323403.798238081
"414",154448.785349807
"415",1143746.2293021
"416",367375.672871984
"417",304692.865474659
"418",239923.633138872
"419",291716.088911152
"420",145604.474651162
"421",434301.010283
"422",999472.474816564
"423",254530.340088293
"424",939744.71689409
"425",680249.496154963
"426",490253.3957305
"427",1034411.19511308
"428",1387239.2576911
"429",1113440.78112196
"430",687153.416340505
"431",828253.840704286
"432",342231.22220573
"433",665421.906727154
"434",589594.346473947
"435",259699.213604849
"436",703193.112920114
"437",399817.56365122
"438",1038650.74974744
"439",522810.164618908
"440",189010.601928749
"441",542035.779819415
"442",276109.883412502
"443",799044.54789058
"444",1262781.14587766
"445",207714.580427342
"446",344044.217664057
"447",297614.075913744
"448",416794.038290766
"449",260693.040441072
"450",666348.537290229
"451",850555.802941028
"452",271833.052465071
"453",453885.148642962
"454",443225.167697903
"455",507722.419880558
"456",524192.803339097
"457",185844.895018772
"458",658144.052246755
"459",923171.183444335
"460",197992.93977629
"461",1144734.30976669
"462",280774.110997102
"463",1239488.82985063
"464",656547.844647905
"465",471150.65443928
"466",591498.256613449
"467",400833.062049702
"468",311285.940629849
"469",164608.791846957
"470",800519.264464093
"471",774680.823209947
"472",244799.238284461
"473",239674.322032744
"474",912195.893573297
"475",365621.251570547
"476",470239.613964687
"477",378010.652018757
"478",475119.032798443
"479",301272.489064965
"480",459205.354390346
"481",287200.542427739
"482",286356.019054348
"483",635735.937349923
"484",771878.084558666
"485",438512.895459776
"486",597658.313007705
"487",511087.511816604
"488",1211486.84127748
"489",260234.650691474
"490",241453.0504244
"491",393854.899603288
"492",496472.281762279
"493",114764.080006508
"494",322918.769311882
"495",1435002.20311063
"496",290423.573610407
"497",325759.811289667
"498",1351821.09386619
"499",800933.662341177
"500",407560.229314823
"501",160049.235465711
"502",263811.124614766
"503",321135.946813984
"504",469693.637167939
"505",299229.079848959
"506",214103.066591324
"507",118974.802916706
"508",522577.256244927
"509",943209.8255856
"510",638279.098085039
"511",392809.516372934
"512",228040.021145285
"513",602225.832859441
"514",757310.017286827
"515",1111800.06584135
"516",1313557.82997045
"517",1339342.07424232
"518",277863.110200402
"519",129525.228014138
"520",388733.328592001
"521",572424.573447648
"522",373127.123050091
"523",563538.895656102
"524",566180.913038251
"525",499585.442302397
"526",233265.085975486
"527",506919.340237166
"528",261829.601405584
"529",1097158.48286635
"530",565845.342506323
"531",410490.879179246
"532",1143153.17450143
"533",869468.954966785
"534",832276.721230887
"535",678626.356955356
"536",473519.361610896
"537",935824.517810028
"538",575496.474729446
"539",318104.906892943
"540",459393.343391208
"541",578962.999735298
"542",304461.628505125
"543",417361.127892755
"544",692668.310709323
"545",1058080.0779078
"546",296684.246467872
"547",416861.087233576
"548",241349.327502204
"549",829770.072006745
"550",580596.431660766
"551",174205.647997329
"552",580687.626271024
"553",685274.370649889
"554",775113.809411611
"555",600682.878466982
"556",275777.802643016
"557",244564.913126604
"558",550560.353092885
"559",163931.325753059
"560",810110.604478535
"561",543368.007883073
"562",439942.147515642
"563",298789.055549814
"564",910890.844640056
"565",178912.253785442
"566",427726.314276194
"567",665121.869142493
"568",484062.188611165
"569",1170939.81771522
"570",331074.491165809
"571",415859.103928199
"572",620840.923481687
"573",267291.511317647
"574",473389.553455014
"575",270278.54079506
"576",159789.183812563
"577",556008.385108374
"578",330937.083454397
"579",973886.599278469
"580",335419.849490673
"581",677901.389613671
"582",309699.003436726
"583",657143.984857663
"584",535029.316081546
"585",534357.574537035
"586",424015.00158678
"587",295674.737030757
"588",976665.993939073
"589",291826.971065736
"590",254504.532833582
"591",107364.189114672
"592",169419.31010476
"593",508141.455594504
"594",460799.09732849
"595",348667.833631304
"596",1381369.17917127
"597",408224.377657491
"598",622128.222340026
"599",565567.071243729
"600",840216.183868884
"601",686482.206374023
"602",683691.655312775
"603",576430.503793914
"604",278113.846681996
"605",462844.836484071
"606",744426.950422152
"607",123939.522327238
"608",462958.290610663
"609",336374.907847455
"610",487574.23188376
"611",1819507.76276127
"612",558014.594926761
"613",609903.324247427
"614",263327.077987855
"615",420086.188912699
"616",231605.900468684
"617",1050963.27846696
"618",179570.31014219
"619",392524.606234011
"620",553036.220427076
"621",854914.872094169
"622",288773.032483866
"623",511369.404532733
"624",229864.988024647
"625",436255.289217122
"626",712834.065860743
"627",344945.643111588
"628",1041068.82988424
"629",502382.527936096
"630",473529.892403702
"631",480776.424302578
"632",264399.110004175
"633",495158.090674177
"634",131550.519362308
"635",500941.588217638
"636",563272.187254274
"637",476270.523769012
"638",460568.627766144
"639",132316.039162398
"640",458494.091495155
"641",250528.880944015
"642",486069.345301437
"643",447654.910110807
"644",422446.593208563
"645",362961.923527706
