"","x"
"1",393213.22651007
"2",772845.862950292
"3",364210.317375872
"4",720934.003808873
"5",281574.926502356
"6",738250.977360939
"7",881176.215134104
"8",670591.820997152
"9",274379.408981643
"10",636020.578517292
"11",460538.492815753
"12",544174.709589312
"13",569866.759634348
"14",511043.776980953
"15",630038.244284224
"16",836701.790828482
"17",783178.819248301
"18",318118.627207865
"19",794309.259662728
"20",253817.910340083
"21",720105.89975918
"22",336722.441766012
"23",405412.038795356
"24",541345.643342696
"25",806369.462804274
"26",318854.807187571
"27",950593.941873106
"28",330207.430898111
"29",464699.313218821
"30",556747.752639486
"31",164344.656331722
"32",732871.872451671
"33",752592.039080897
"34",57566.3860381276
"35",499337.396122326
"36",420004.996318608
"37",436839.680955282
"38",916536.418853704
"39",901611.396985346
"40",504068.506241294
"41",589890.114536264
"42",39814.1379659571
"43",410314.831246732
"44",633606.588236753
"45",178877.813481097
"46",945914.818653014
"47",969662.172631523
"48",697316.670764761
"49",630968.00347354
"50",633709.723012908
"51",642703.032041971
"52",527858.087883407
"53",1037221.94899651
"54",1037221.94899651
"55",412877.87779542
"56",624042.818991368
"57",369475.316580572
"58",358013.049990672
"59",633459.525412203
"60",295599.112829308
"61",738500.367010007
"62",782588.327942249
"63",400018.603088646
"64",604691.108657594
"65",731862.760303579
"66",374806.745347781
"67",-81194.7859628067
"68",683814.101154738
"69",309287.37363822
"70",477755.439431249
"71",835704.078120813
"72",903688.020411709
"73",569213.647638336
"74",589721.560355848
"75",448085.601813618
"76",710919.489343251
"77",569506.473802689
"78",598082.006190944
"79",414655.137614436
"80",879375.830593722
"81",710102.363028128
"82",223491.703390347
"83",516466.032035967
"84",448977.289671085
"85",739591.659625466
"86",757291.433148168
"87",599342.26048138
"88",190097.380281048
"89",758086.421865747
"90",995080.016238482
"91",688076.794394605
"92",265306.5460675
"93",129041.694223545
"94",314454.74898004
"95",305445.601856867
"96",721630.756721869
"97",557428.139433373
"98",575568.008209017
"99",365400.880257611
"100",24314.1032350644
"101",995601.778528076
"102",419528.924772478
"103",476163.859454078
"104",534846.125296107
"105",420173.609537546
"106",775956.412220254
"107",315759.442501052
"108",368212.891946236
"109",1019597.17998528
"110",235948.719203482
"111",1098742.60869865
"112",251481.544430446
"113",458962.205723983
"114",609868.788088407
"115",1065355.2539709
"116",642420.903061633
"117",1002638.97168373
"118",71699.6782481993
"119",544403.744209473
"120",305967.381133944
"121",296979.910643611
"122",525669.299804572
"123",572161.761438961
"124",631718.208723883
"125",485845.094935337
"126",404136.53461684
"127",907045.981558594
"128",850810.612127392
"129",667121.035302726
"130",747708.494287465
