"","x"
"1",364681.973630364
"2",771161.336737816
"3",388161.842868435
"4",645670.72214101
"5",271715.594988773
"6",716893.583721314
"7",1084462.76955417
"8",605378.791330529
"9",291903.425224071
"10",675831.280008085
"11",437571.896379204
"12",491482.75623001
"13",518002.000113031
"14",491499.813412663
"15",564632.124796678
"16",871398.601126783
"17",792529.370149596
"18",279094.625490464
"19",781816.760503974
"20",261573.527873848
"21",676436.738247638
"22",316253.188615031
"23",468289.882014759
"24",516018.677626749
"25",757562.624299121
"26",351542.540452299
"27",1088334.58955376
"28",282846.918293514
"29",421098.201030152
"30",509445.219422733
"31",213468.751018608
"32",693398.389228925
"33",686543.019862547
"34",173489.263745124
"35",453817.032583284
"36",379630.634279928
"37",419932.890508605
"38",1037526.36677871
"39",1000708.56428128
"40",460442.894651973
"41",556540.312057144
"42",160300.279692461
"43",405157.360561875
"44",650819.453915381
"45",217727.969979952
"46",1048450.53944984
"47",1026333.42531222
"48",663034.927968864
"49",581311.862989381
"50",546028.792157589
"51",561651.333612099
"52",534834.834578651
"53",1215009.85078532
"54",1215009.85078532
"55",366480.603565238
"56",569509.545710674
"57",354070.72975734
"58",324218.357776443
"59",560044.196718618
"60",276428.796781764
"61",696740.391536563
"62",791350.28440827
"63",362825.058445043
"64",618224.82471099
"65",694887.144270388
"66",351125.657547621
"67",112150.306822484
"68",630942.382218934
"69",273087.047284661
"70",443244.130903721
"71",843444.203316571
"72",985914.220088711
"73",533427.773797079
"74",556181.523716794
"75",415955.669307671
"76",679625.532931961
"77",542531.243076604
"78",519270.875627866
"79",396622.375478343
"80",923056.26077519
"81",708842.883585509
"82",234380.224640752
"83",467785.698452789
"84",374045.984376691
"85",679414.735313314
"86",777114.401126242
"87",566742.184251892
"88",220719.122136921
"89",709827.031736667
"90",1150429.97507694
"91",665041.957779099
"92",189221.413990465
"93",203735.282617343
"94",304430.694489623
"95",301049.438146641
"96",692196.710833441
"97",494235.788961108
"98",570029.900035337
"99",376756.644365046
"100",146717.983756317
"101",1233639.1299415
"102",390484.519990318
"103",425156.496457916
"104",515311.736619737
"105",372678.592739824
"106",762159.739521531
"107",318074.047043131
"108",310181.921589289
"109",1270130.58739873
"110",268601.436106441
"111",1514739.41700682
"112",258385.052907715
"113",412851.935243792
"114",534385.888668118
"115",1431706.13549729
"116",609918.722491346
"117",1186320.88430612
"118",169312.809835712
"119",537081.43741441
"120",286242.240995523
"121",295097.9183483
"122",471734.665740075
"123",485579.819449819
"124",567200.471951619
"125",457505.772007929
"126",348184.09153237
"127",952457.120976485
"128",888644.686227554
"129",648854.124057687
"130",801334.717836203
"131",498905.769345961
"132",888936.672867522
"133",239328.340936666
"134",546094.571239839
"135",996472.511364039
"136",542937.173554773
"137",882798.900820527
"138",247741.467796377
"139",589479.235992504
"140",297205.498679483
"141",406260.296403364
"142",489301.325445656
"143",296036.796410963
"144",488724.157056445
"145",789051.904054937
"146",765292.254628392
"147",330955.289759142
"148",231273.99161546
"149",626544.785591443
"150",469929.527411114
"151",342155.097274967
"152",241364.412914816
"153",365253.586283529
"154",1183812.27150511
"155",546804.770788165
"156",545680.829833038
"157",528843.407827648
"158",263802.561304772
"159",540633.9162742
"160",596350.341991395
"161",1091940.28147576
"162",661081.631461991
"163",241259.072055049
"164",668389.911337178
"165",281704.784904992
"166",528585.225679994
"167",285038.898153508
"168",532838.26591522
"169",467307.356345678
"170",328511.707923544
"171",392336.207089683
"172",843802.020839284
"173",534796.931768178
"174",458591.770236137
"175",259248.067052407
"176",507482.20099735
"177",321307.275292344
"178",295483.048407188
"179",590855.695491423
"180",268687.145625962
"181",431998.12835908
"182",350862.857884374
"183",814412.638760452
"184",509969.840573838
"185",583097.819180405
"186",958237.381068445
"187",321019.06219039
"188",564432.168349568
"189",287748.794161221
"190",420300.072189999
"191",336869.35196611
"192",601065.858947865
"193",327689.847581238
"194",281204.156668048
"195",511061.147659096
"196",370682.329079079
"197",466965.46480245
"198",365392.578442855
"199",760639.603831694
"200",305721.96691054
"201",459268.236505119
"202",369984.6901934
"203",156455.57169693
"204",387970.06633262
"205",439297.146824508
"206",503178.359124142
"207",191760.472733035
"208",390533.532455015
"209",483574.366440173
"210",391844.570687255
"211",203813.621031452
"212",454733.036697738
"213",285226.556993718
"214",521403.226178645
"215",528664.381406036
"216",262071.616046147
"217",400276.572426104
"218",308483.347965791
"219",247874.23352524
"220",490510.960956215
"221",458708.34924308
"222",888672.997490735
"223",214000.49877899
"224",131825.990458357
"225",346233.841667861
"226",281801.420567875
"227",878950.996790597
"228",828876.253158749
"229",684516.20069268
"230",803416.115913234
"231",303894.613282218
"232",505008.422186615
"233",618576.756647195
"234",298067.705680016
"235",241691.635843054
"236",407205.504314986
"237",481447.280486193
"238",648416.347830003
"239",466866.142074904
"240",872729.648024199
"241",394848.440975073
"242",410843.833397794
"243",553574.767173662
"244",316038.453063755
"245",724538.251586675
"246",326848.18497251
"247",387793.474452211
"248",259446.076802287
"249",421943.425077936
"250",728113.661657142
"251",1098919.79823337
"252",648013.549061449
"253",573805.471189539
"254",619630.048327859
"255",432997.55808761
"256",526375.956378428
"257",217414.906409894
"258",610527.360806073
"259",499206.265747686
"260",477531.701912286
"261",1047238.16965735
"262",508969.414318673
"263",441891.4910358
"264",708252.663141003
"265",570456.345429642
"266",686076.224888507
"267",613330.434369046
"268",666204.83289822
"269",650989.367745125
"270",769254.28065915
"271",417522.836359077
"272",407604.013600537
"273",165228.894132247
"274",562930.477482672
"275",438881.68291358
"276",513221.517090086
"277",318559.939757429
"278",449979.329714362
"279",798785.037225057
"280",329001.014215657
"281",810610.744046115
"282",519472.385627602
"283",688557.336188867
"284",278173.91153084
"285",765243.775694133
"286",695986.432744347
"287",725329.490955934
"288",1518687.39213318
"289",179926.818961623
"290",520764.820426573
"291",357154.868104717
"292",561914.538252437
"293",641397.045611561
"294",493472.033410826
"295",619803.998542997
"296",222855.39341738
"297",756319.125425076
"298",291028.935159278
"299",441839.553124336
"300",1023338.9323212
"301",253094.643440151
"302",164518.362628516
"303",807334.112782043
"304",391967.989309218
"305",464569.346927805
"306",939969.669673527
"307",193552.117231694
"308",218754.092881171
"309",733490.600730678
"310",691275.083788211
"311",604689.689359335
"312",407204.855415909
"313",217377.318351877
"314",579287.4578091
"315",560700.956207775
"316",1682809.90143645
"317",373240.747661007
"318",426455.902147016
"319",668789.924588303
"320",407781.169982345
"321",744521.735926612
"322",829270.524101374
"323",288541.30131432
"324",348127.858885096
"325",519567.024432056
"326",265845.140146214
"327",622778.338395947
"328",342187.421979907
"329",382146.988661317
"330",644781.749938255
"331",448674.209051982
"332",373452.897078672
"333",682492.557005596
"334",746115.531625913
"335",611013.655540452
"336",358367.763495738
"337",207128.280310677
"338",642889.098000977
"339",466927.368061772
"340",530227.931486724
"341",329366.80185566
"342",642300.475764921
"343",352793.155229201
"344",340914.681267054
"345",243670.148222686
"346",533875.391225572
"347",392220.288357809
"348",393575.805498589
"349",605524.703644636
"350",262855.86777882
"351",219606.641104179
"352",443717.983288762
"353",397292.786966902
"354",962356.121691142
"355",464644.555258521
"356",459405.92350854
"357",279643.400993336
"358",551424.074261791
"359",310637.033806233
"360",506223.697830899
"361",275485.459484094
"362",715928.30142484
"363",1166145.05502447
"364",552976.511913737
"365",290622.439892637
"366",568359.373775566
"367",686848.704012794
"368",504968.198959856
"369",547046.397078077
"370",579293.750477643
"371",258160.925862539
"372",609991.362465549
"373",295554.466666515
"374",604928.100881102
"375",245864.072962039
"376",963984.333027268
"377",391769.906250579
"378",446677.314069249
"379",283555.802553663
"380",612941.371621976
"381",492864.194918009
"382",714427.626774972
"383",500354.360997643
"384",500354.360997643
"385",541025.968975315
"386",505291.55879502
"387",496996.368663652
"388",678437.742924524
"389",560981.06863873
"390",762362.976400719
"391",1539167.13072679
"392",353018.215242025
"393",739969.33030118
"394",878453.82046018
"395",380906.760374153
"396",514949.094839861
"397",314427.809306233
"398",481531.30951289
"399",644255.191552616
"400",169988.926659267
"401",999267.161940621
"402",291416.619424167
"403",758656.698837636
"404",213215.47723872
"405",421771.601348878
"406",759773.597332579
"407",343895.678906128
"408",517503.611912936
"409",540453.528208372
"410",164854.480892281
"411",243063.794100477
"412",625953.821430836
"413",379945.587197684
"414",278500.721167586
"415",709065.240660712
"416",429525.411738913
"417",297235.175640624
"418",438045.287963243
"419",587810.297521838
"420",260704.413660827
"421",263146.253435819
"422",1083393.00611721
"423",165994.341751354
"424",625331.840208641
"425",696279.049932147
"426",598193.023266055
"427",631686.465682362
"428",1445054.76267229
"429",958825.703563778
"430",478796.561593342
"431",881449.861102874
"432",553268.269060149
"433",745673.696365431
"434",460492.753294619
"435",459085.121228044
"436",648912.48987922
"437",366410.294139592
"438",552816.382030695
"439",591914.165744986
"440",473799.762970268
"441",358339.85807087
"442",477159.698078674
"443",337318.331612967
"444",696279.198367535
"445",366696.157385095
"446",634098.222894208
"447",581318.531864424
"448",740344.314826148
"449",405274.453791362
"450",721638.875185807
"451",1086054.33974963
"452",448542.307278165
"453",557081.734805849
"454",408277.948980497
"455",461597.44935631
"456",564071.599916129
"457",321804.846180506
"458",610440.333223857
"459",496872.358628051
"460",435089.376112786
"461",1168359.24378272
"462",218539.753131363
"463",761721.487495442
"464",569199.002227793
"465",420812.686943003
"466",833356.207956943
"467",443388.445009379
"468",127072.660542704
"469",146568.472248589
"470",626972.289158074
"471",879070.968823739
"472",372666.49334257
"473",496197.500986863
"474",557967.254719577
"475",524951.472685373
"476",544518.489449586
"477",571372.713035454
"478",558696.923344354
"479",381355.741551807
"480",555545.55403672
"481",208057.364389793
"482",500495.616510796
"483",418845.042400553
"484",1002295.7113272
"485",551622.179689917
"486",370324.228818584
"487",465379.555570245
"488",813830.12233142
"489",463329.49360342
"490",193690.975201569
"491",675124.575373659
"492",507110.685294784
"493",231296.556934399
"494",422230.954300767
"495",903041.364920501
"496",285488.989408564
"497",698359.290332012
"498",1060303.25291987
"499",850654.383135734
"500",541210.899047606
"501",317054.675501337
"502",367091.556182221
"503",627405.060574746
"504",443001.697051647
"505",261523.478840515
"506",387793.49347303
"507",223534.107080964
"508",340288.733246213
"509",1037237.74554265
"510",903968.115389467
"511",364939.582005572
"512",392148.465408466
"513",669156.928298718
"514",623817.698681192
"515",773675.028902317
"516",1089074.21588712
"517",1089074.21588712
"518",353785.10307607
"519",296431.056934243
"520",596194.098432136
"521",359693.767827577
"522",371291.25900262
"523",691563.523322128
"524",488348.25027025
"525",574464.639128401
"526",219524.720412325
"527",209178.97397363
"528",254560.990399547
"529",1001768.05438761
"530",548788.276507391
"531",390276.374456289
"532",1050994.39360943
"533",977805.838202144
"534",732024.611635694
"535",581902.882968723
"536",822959.991444016
"537",791157.991162467
"538",698122.469478451
"539",422412.564081471
"540",446294.56359405
"541",634055.227918034
"542",465904.113831936
"543",590228.483695826
"544",607206.390411634
"545",656940.551004827
"546",305314.506757799
"547",414344.08484225
"548",500356.022382581
"549",933325.331428436
"550",632968.066176549
"551",376042.747744485
"552",729531.115721214
"553",828478.533658264
"554",903733.878938713
"555",502877.53851642
"556",556307.229456961
"557",438446.797822192
"558",541350.275058259
"559",336830.210237812
"560",529362.426025445
"561",641808.823921672
"562",637812.23916773
"563",351485.299328248
"564",775560.677530858
"565",262288.4022873
"566",510167.79326126
"567",571435.838789365
"568",292771.204171448
"569",842479.581295167
"570",387889.019728084
"571",313837.035353822
"572",579757.049006987
"573",421027.944466231
"574",259423.304359279
"575",418162.567244522
"576",244317.722098289
"577",451007.689590837
"578",280045.57695431
"579",1001667.29918538
"580",503566.075986215
"581",671880.272450268
"582",412252.953183643
"583",641476.69960092
"584",416558.412860268
"585",350773.408874657
"586",354529.017169993
"587",297650.561650404
"588",507012.046446361
"589",268039.055997018
"590",319498.124478273
"591",147606.309834514
"592",165365.704560905
"593",561571.821369951
"594",410746.587451621
"595",532359.342860401
"596",727285.243512273
"597",542851.158075918
"598",510246.751708429
"599",538964.669748411
"600",592010.029782401
"601",593221.777723953
"602",752481.925055237
"603",544618.905338662
"604",364897.246060745
"605",305808.784020019
"606",612114.181880161
"607",200267.254277199
"608",538260.739924994
"609",422315.451281034
"610",659038.592398871
"611",1133186.58048492
"612",564398.068134773
"613",503830.324083375
"614",515367.22832543
"615",570512.069011754
"616",254403.883641882
"617",866341.232773669
"618",205805.579067477
"619",423446.2550799
"620",541007.015087212
"621",545768.061343815
"622",263757.966302277
"623",248991.574751839
"624",253378.824749101
"625",635056.624416688
"626",550294.040844671
"627",337865.166063071
"628",279152.327792842
"629",654146.515776675
"630",500987.057316316
"631",255890.785559415
"632",498916.018680879
