"","x"
"1",482510.440552272
"2",833481.090248629
"3",214833.416603781
"4",609284.413829997
"5",398253.03084705
"6",663005.74719049
"7",1096775.73473037
"8",405164.800515413
"9",235980.186528131
"10",766040.562547378
"11",301181.427622952
"12",246740.138981596
"13",346837.800458252
"14",413706.637752257
"15",489321.161752492
"16",734170.992394872
"17",875922.206694782
"18",375759.753946438
"19",689345.605591305
"20",411329.793754272
"21",742078.230425298
"22",202274.537261233
"23",347028.703833975
"24",409166.689920262
"25",732534.799966209
"26",345979.6155781
"27",1199256.94658286
"28",341676.357111298
"29",263009.782340772
"30",389934.254277885
"31",127738.088923477
"32",660880.237703152
"33",777145.091949314
"34",194971.107863195
"35",375182.717686668
"36",461314.437948294
"37",238054.161378525
"38",1067099.82028542
"39",1023969.20509472
"40",360524.309432775
"41",576427.306219362
"42",266112.778808452
"43",290952.665259957
"44",505799.564461119
"45",247952.304859571
"46",1103924.67034406
"47",1054306.95571087
"48",845696.351686992
"49",420729.828613907
"50",620814.365270682
"51",381685.707723811
"52",547664.079842865
"53",1208979.74715774
"54",1225234.35990527
"55",518705.671762556
"56",514958.357203268
"57",160782.563885555
"58",374135.112458944
"59",614437.543737806
"60",441371.260118268
"61",676821.358938999
"62",943262.049483448
"63",530035.180770598
"64",781476.410633765
"65",525359.15938621
"66",201224.673398726
"67",119423.310837701
"68",610139.222931169
"69",442944.793574587
"70",375129.609796479
"71",774559.062413499
"72",993356.195230633
"73",438006.214110725
"74",700586.573922992
"75",542911.424684726
"76",661033.864746846
"77",519787.342595704
"78",521228.22728543
"79",420990.644215107
"80",971504.104994185
"81",639028.962726779
"82",428436.272764824
"83",226529.502434194
"84",443450.175312795
"85",641857.276311934
"86",900936.828800946
"87",703357.092842706
"88",380491.258673579
"89",828598.289520226
"90",1273609.81538864
"91",738163.891433068
"92",146813.339859016
"93",84135.8434959427
"94",438525.907610424
"95",123994.575353287
"96",588288.32997299
"97",287974.289622985
"98",591252.204204291
"99",387415.369938441
"100",237885.049844399
"101",1399907.8530178
"102",386374.418723181
"103",367153.222477466
"104",557091.762597688
"105",495416.42983342
"106",832661.924437247
"107",299596.550401375
"108",399515.958668329
"109",1403379.59648427
"110",178885.776641123
"111",1588669.21302085
"112",16966.645507358
"113",319755.973499939
"114",433228.579125814
"115",1606733.65778112
"116",479435.608627334
"117",1410291.69641118
"118",126730.024053507
"119",381176.880472414
"120",368818.081095211
"121",313924.743572742
"122",208852.030506052
"123",361778.075297832
"124",709689.082889155
"125",157186.472240202
"126",433259.374156937
"127",821955.38672629
"128",890144.431739502
"129",459409.586658791
"130",951406.113806009
"131",441767.056801498
"132",725013.655329183
"133",263080.112568721
"134",403230.130398542
"135",1126654.43538638
"136",616619.53258086
"137",991113.008646689
"138",20817.2381164953
"139",475115.005369373
"140",398659.607629068
"141",495054.771454483
"142",531595.572837591
"143",400131.416734606
"144",453608.135453284
"145",801755.981960513
"146",691252.134222403
"147",210620.664554186
"148",348521.354583792
"149",603365.39540039
"150",279805.92383045
"151",293623.325631902
"152",310186.750026345
"153",289579.215101182
"154",1297673.55404647
"155",515622.866327263
"156",375599.013295546
"157",511894.408042446
"158",444522.734920494
"159",575832.514307745
"160",702878.7741974
"161",1322050.64384256
"162",664220.744352214
"163",430884.434835598
"164",685708.38848903
"165",261401.177687012
"166",528987.168518834
"167",412410.533970021
"168",402279.44013837
"169",355183.659858026
"170",263840.570750147
"171",490081.888723128
"172",928057.82287351
"173",412107.17043557
"174",418055.005417816
"175",173100.831816204
"176",354642.888322577
"177",385235.456712328
"178",436598.165739834
"179",704714.089686565
"180",92800.8761060014
"181",501446.157642081
"182",159054.495476007
"183",1099856.49229872
"184",610901.949366249
"185",645031.603572376
"186",964382.586655743
"187",410575.628980838
"188",684159.820491396
"189",291357.688788936
"190",309442.565820821
"191",193330.821473122
"192",638745.074219756
"193",137391.130757406
"194",469061.872090429
"195",364111.448393069
"196",293585.467914358
"197",335946.675429508
"198",-5138.47454898804
"199",573695.965013646
"200",182498.693226121
"201",375518.325882114
"202",268902.873090997
"203",183003.231524512
"204",285470.117379278
"205",513355.270093821
"206",334337.510232277
"207",248967.663339004
"208",235999.924281232
"209",589891.083400041
"210",290668.77685824
"211",174599.353973754
"212",526243.070018962
"213",419272.177357793
"214",516536.566031963
"215",633393.513341844
"216",156135.424207509
"217",505392.643922091
"218",320638.870336585
"219",339943.237241589
"220",435523.063264437
"221",319373.886342362
"222",864425.69086995
"223",409181.297517851
"224",80251.2414190397
"225",422742.075260505
"226",173893.044648819
"227",940553.656406619
"228",645400.148293577
"229",552153.990029596
"230",720749.234343842
"231",397458.946926564
"232",388065.207502253
"233",472168.987430781
"234",430062.934255816
"235",-76709.4830308184
"236",362624.590508975
"237",415572.359161504
"238",764109.69694566
"239",507677.699520171
"240",818176.986410871
"241",401419.56959302
"242",528308.243237689
"243",481866.888875186
"244",394775.220994316
"245",679679.209024727
"246",423432.275997698
"247",311553.827015705
"248",186985.006300531
"249",332920.878043517
"250",795791.744655654
"251",1015201.71045744
"252",497070.31408485
"253",656780.811846644
"254",526392.908564858
"255",253337.320847191
"256",559030.836706214
"257",245323.945152074
"258",656748.259508252
"259",708639.068600737
"260",389225.850266375
"261",1009739.94419256
"262",653355.468421906
"263",342405.335020736
"264",545635.646004558
"265",609857.665736794
"266",603576.157822765
"267",562707.773185782
"268",781878.139566831
"269",564103.264283329
"270",686966.556317724
"271",505525.6167152
"272",581309.483085252
"273",187204.355363153
"274",590984.428899631
"275",634880.113086775
"276",490898.829477452
"277",406715.007278867
"278",350865.635093711
"279",886369.140770204
"280",407073.452451587
"281",956197.875278987
"282",388526.80057656
"283",592362.340607941
"284",284748.193970352
"285",778332.336352788
"286",836919.354778051
"287",669912.39355959
"288",1531256.41072997
"289",224352.850185528
"290",486297.56440407
"291",299970.551330224
"292",435052.735256702
"293",622607.912613325
"294",721293.62241023
"295",689324.19893904
"296",405803.151255287
"297",703440.422196515
"298",189583.404288702
"299",540525.339853637
"300",1092260.84783999
"301",470156.769369602
"302",301034.255881563
"303",899497.600286499
"304",495494.011554837
"305",536883.615546674
"306",917312.654258907
"307",278956.87711747
"308",188113.641872451
"309",657851.014428958
"310",613878.162169151
"311",421166.966004856
"312",473455.148564465
"313",154385.811730161
"314",488907.025118612
"315",695495.52552183
"316",1693447.29200293
"317",553206.573864415
"318",273131.023977228
"319",655766.144852161
"320",525279.127356321
"321",800083.718878143
"322",628357.572886407
"323",350117.43786829
"324",301070.505144909
"325",728365.232329778
"326",471266.924242184
"327",608357.030311078
"328",385880.660616122
"329",153931.341183767
"330",531260.052157745
"331",499535.01261875
"332",441688.133572444
"333",796415.069292128
"334",586974.255659796
"335",403141.391103931
"336",362997.050560243
"337",320756.717395112
"338",657527.8768479
"339",467933.623619154
"340",419271.780141458
"341",223117.55418428
"342",534144.217277303
"343",461593.348712176
"344",216111.996253021
"345",380364.219086081
"346",462230.612108089
"347",162831.482236497
"348",564034.783066742
"349",785195.285494484
"350",416776.540522553
"351",348358.639125608
"352",565116.244002968
"353",209477.240236722
"354",769802.192948513
"355",476623.481312409
"356",497720.620716497
"357",349544.330549471
"358",510487.256054431
"359",316557.956280336
"360",394215.578375846
"361",314363.146765023
"362",761878.144207604
"363",1295970.19142915
"364",538427.056807376
"365",167184.857668579
"366",649229.84557236
"367",494953.041280933
"368",449028.98567684
"369",493062.838079453
"370",741440.157343939
"371",447780.552281156
"372",609735.165254079
"373",487072.155400068
"374",738503.235115558
"375",393535.038064294
"376",1080317.35073511
"377",174849.458126798
"378",544990.056878932
"379",387468.423650205
"380",565789.288129807
"381",417188.266840346
"382",687517.522917636
"383",408627.108518437
"384",423293.626917079
"385",613225.600148477
"386",470538.599026494
"387",609031.55895561
"388",758707.743675612
"389",379166.845862947
"390",742489.745822921
"391",1459507.36639445
"392",462097.637997024
"393",636182.195187598
"394",942189.323370859
"395",435329.360729776
"396",355429.718841039
"397",220930.557836182
"398",384347.094581164
"399",605018.44356481
"400",373666.0525776
"401",966989.381750099
"402",123157.852825947
"403",772633.320595942
"404",25108.8859904408
"405",293350.846941032
"406",945526.568854608
"407",197766.147304878
"408",537332.112783179
"409",689364.198568627
"410",252839.879566997
"411",222208.377696276
"412",718163.117512561
"413",407403.383313164
"414",-37043.5205209479
"415",837070.092069969
"416",320599.420404293
"417",465000.655831791
"418",231809.885829449
"419",452959.321213335
"420",79006.8916565627
"421",371384.134091154
"422",1074505.14309584
"423",209482.630282305
"424",528746.875709467
"425",785798.33400815
"426",696953.156843632
"427",740187.008878283
"428",1430712.99148657
"429",922993.193554975
"430",625781.245151676
"431",865449.605677709
"432",471683.309168831
"433",719352.248829655
"434",626671.737541012
"435",344134.814027734
"436",703177.80326885
"437",371920.362588346
"438",536585.250121929
"439",742738.774574943
"440",343016.888671301
"441",414042.509163074
"442",164183.086575538
"443",433797.633403659
"444",700084.624500662
"445",332177.145284384
"446",469748.555961281
"447",473131.017633118
"448",565046.404482223
"449",195221.996232413
"450",707083.70109126
"451",1027213.49165308
"452",401097.055125684
"453",550017.048204511
"454",492428.435432822
"455",469241.13035807
"456",666492.946464367
"457",15890.1446465477
"458",694290.358830795
"459",577386.800721183
"460",334662.056462787
"461",1217120.02191749
"462",163016.784386374
"463",764112.001020685
"464",611710.417231143
"465",358566.668314941
"466",996636.345845558
"467",142431.152892768
"468",167220.136260144
"469",152119.462657906
"470",607807.125145406
"471",1078869.98087343
"472",294138.424201518
"473",372727.672221109
"474",668947.788765788
"475",727817.629467279
"476",736696.227084257
"477",503832.779941291
"478",387060.748983607
"479",348274.812207893
"480",601054.111042947
"481",191752.444653496
"482",274092.725734904
"483",547775.404916696
"484",820138.493074223
"485",584900.949127041
"486",532811.270297974
"487",636985.780884594
"488",889972.590904504
"489",284371.481884673
"490",323330.371196359
"491",676354.839579724
"492",658766.305797167
"493",36523.7516798377
"494",244629.688397855
"495",995424.992357016
"496",231367.160834156
"497",507773.162301086
"498",1280388.29742781
"499",920683.836201675
"500",527051.938687563
"501",270596.166125126
"502",135608.661403954
"503",336644.213143185
"504",438862.522043101
"505",299250.179276638
"506",183849.368817516
"507",124112.238346994
"508",466920.594655409
"509",987503.009333961
"510",717980.230085097
"511",380792.003184669
"512",269991.331027858
"513",850537.499529004
"514",784116.474626698
"515",861452.658367984
"516",1092653.39577246
"517",1114045.96082527
"518",105666.185029082
"519",117759.867600329
"520",472214.957248345
"521",479397.749021053
"522",442742.760341145
"523",652620.761376642
"524",500546.576172143
"525",372162.301304393
"526",293252.258854337
"527",344432.595222406
"528",381496.845923968
"529",1115869.75879615
"530",745058.149782807
"531",480734.313694216
"532",1125745.39684714
"533",1142123.24663056
"534",830744.193487599
"535",702313.872727923
"536",643613.192986503
"537",915890.540542528
"538",644226.332336627
"539",508912.542293571
"540",614808.981705301
"541",606758.174791567
"542",226378.473945253
"543",477721.778758004
"544",627843.986674853
"545",800242.853646494
"546",372378.963290401
"547",417354.699879721
"548",311001.502590016
"549",950851.002901159
"550",604387.073129073
"551",220564.083656266
"552",492361.220983505
"553",720620.976552799
"554",821924.425980963
"555",572496.340677202
"556",467013.747655697
"557",287389.945221975
"558",573909.150897548
"559",217205.929468393
"560",496297.666717105
"561",538873.615768775
"562",537602.330939658
"563",111399.949722201
"564",854678.61795038
"565",172360.537901886
"566",552554.215168327
"567",710316.548564479
"568",379015.018064797
"569",871776.706893414
"570",320448.922078259
"571",348165.669563502
"572",552155.136636205
"573",211623.263079531
"574",421231.137490489
"575",430242.710161567
"576",197148.504020303
"577",521200.970337138
"578",378449.152402736
"579",1056254.06476328
"580",466974.916405983
"581",744017.974167697
"582",338307.627049245
"583",693637.16058021
"584",389576.210337244
"585",456249.561851457
"586",363973.042767823
"587",299888.946936473
"588",490413.064796664
"589",322217.740026899
"590",264228.195697755
"591",2997.33100839704
"592",25891.4815903828
"593",553628.349603526
"594",408764.720122412
"595",285805.405044429
"596",773178.468176842
"597",666385.349925749
"598",696774.656515174
"599",587623.062708281
"600",660988.759260491
"601",546689.582457215
"602",934996.04426121
"603",557738.854576454
"604",346448.983157046
"605",304083.279434577
"606",757211.066306815
"607",127637.551808201
"608",725640.603391759
"609",403987.851304181
"610",771799.343554862
"611",1238988.61888943
"612",669240.194329791
"613",597747.756547593
"614",448231.112126037
"615",493591.883835338
"616",267410.090612575
"617",960407.634754799
"618",187928.334705621
"619",331251.813620627
"620",499323.320987538
"621",619430.684656635
"622",480914.914776117
"623",433621.80489856
"624",6573.2568384856
"625",507399.204069354
"626",648422.546304405
"627",467026.59945026
"628",301043.872714743
"629",610616.120012924
"630",520027.590663344
"631",412991.28730914
"632",348239.814662464
"633",479636.182778351
"634",212918.282166101
"635",350263.731426015
"636",543652.191192158
"637",694018.011459932
"638",312041.000547156
"639",254388.017854534
"640",541400.38015864
"641",392906.592333063
"642",340862.97414168
"643",345683.624342889
"644",604537.30215048
"645",543616.415429823
"646",826440.38874615
"647",449188.470944285
"648",407618.859783918
"649",588761.340461172
"650",747213.359226502
"651",238877.135779873
"652",1096684.37250192
"653",633503.677310295
"654",-59919.5813971609
"655",731626.241211735
"656",-50006.2466930449
"657",115281.306805752
"658",318789.566127256
"659",500201.908826321
"660",457557.891139351
"661",465679.591985129
"662",424412.619406551
"663",789344.153911524
"664",283320.119259991
"665",230514.036799937
"666",50479.4933180884
"667",561266.013897806
"668",543982.216312669
"669",665123.721704334
"670",557578.312920727
"671",481677.250156179
"672",677546.450995907
"673",1083846.00265501
"674",537471.273897342
"675",454472.724192776
"676",728538.82981585
"677",916308.03902328
"678",180816.428172588
"679",587676.143189356
"680",383146.290938839
"681",252868.30995933
"682",222836.40391472
"683",674696.285301447
"684",575422.098253496
"685",636961.593111038
"686",663403.756791085
"687",313908.562544741
"688",470493.708806023
"689",534285.72212556
"690",377239.221165873
"691",410839.597264953
"692",1185244.88753238
"693",530533.896697611
"694",811146.75794407
"695",509332.901620932
"696",575612.51155524
"697",560181.401515812
"698",466845.226940155
"699",571351.361793257
"700",1308173.50614171
"701",689796.904433548
"702",1014171.43077187
"703",723901.213025086
"704",445768.880246423
"705",404253.357690409
"706",429114.722497359
"707",458547.903146744
"708",874150.583434179
"709",189807.178111419
"710",515467.826601632
"711",797989.362178713
"712",572790.587826043
"713",532181.837941751
"714",604397.41897437
"715",546911.605543338
"716",605216.794720724
"717",50912.954662025
"718",214506.532330491
"719",232530.112903729
"720",469794.063914448
"721",645810.715310231
"722",840198.108847685
"723",613802.980192773
"724",436289.319314584
"725",638799.877308562
"726",630832.161917754
"727",617966.927396864
"728",92854.8390366361
"729",1411050.09214447
"730",612087.691906758
"731",426245.534811936
"732",312634.551153854
"733",843707.600965679
"734",1271160.64204029
"735",852363.037454866
"736",482983.284957282
"737",926873.869963087
"738",359036.057997525
"739",698351.731910042
"740",343438.005791575
"741",369397.376217492
"742",896731.528270073
"743",586250.636681028
"744",838244.740657516
"745",259254.026010789
"746",782096.633669846
"747",447761.737274863
"748",72610.0823010057
"749",622516.450454116
"750",803112.887669764
"751",349791.62598718
"752",1175992.18400402
"753",889926.183646381
"754",444004.505383939
"755",748004.456124291
"756",187243.475062564
"757",644246.197928943
"758",830269.555175893
"759",678800.022740334
"760",339307.877754182
"761",553524.114048176
"762",223866.512801349
"763",555403.356403194
"764",42059.435122557
"765",267209.27259291
"766",276924.673315577
"767",375827.5914893
"768",981292.688938074
"769",137641.393897638
"770",793548.241168059
"771",387697.342947662
"772",1048414.20956402
"773",639983.239114434
"774",588009.804027967
"775",241247.048451893
"776",575158.792953461
"777",357211.999352627
"778",698167.215785235
"779",501957.90789713
"780",322571.563501924
"781",505666.399753071
"782",513551.869006164
"783",587853.262168683
"784",206088.558031194
"785",170720.653397083
"786",648232.229986235
"787",461155.594073609
"788",690618.518749572
"789",415352.910825588
"790",645473.087316208
"791",507548.131074443
"792",841996.605396643
"793",841969.433164567
"794",430717.917058028
"795",542533.521012314
"796",655186.952459097
"797",582709.840100616
"798",679286.859616883
"799",217753.140915222
"800",1062496.60229679
"801",89751.2037048563
"802",737215.461607896
"803",545253.260242768
"804",542519.084998794
"805",931240.21841687
"806",472421.556612872
"807",840956.602371536
"808",781636.037864231
"809",468854.17392946
"810",399650.898416735
"811",665058.623014189
"812",369150.398357481
"813",611730.225779861
"814",661481.491912387
"815",308400.985500082
"816",406810.117520161
"817",575612.656039312
"818",402118.640737295
"819",376472.371482387
"820",1028674.90147694
"821",493724.127031513
"822",630975.015676819
"823",1201686.93615234
"824",517203.966505751
"825",459094.759237699
"826",245061.482425973
"827",257936.193615422
"828",519812.09480989
"829",777266.261934258
"830",381769.31721817
"831",981607.132407255
"832",240507.48629383
"833",286857.731646448
"834",335410.184614137
"835",658915.509230897
"836",401959.108026877
"837",330648.352372639
"838",852063.424777687
"839",390644.456394792
"840",576234.335420415
"841",451153.552908853
"842",1025808.51619869
"843",1161278.64621784
"844",411602.420602806
"845",525329.043433666
"846",587580.782061629
"847",727469.592293002
"848",283493.821771756
"849",1276176.07435445
"850",453172.193267435
"851",54806.5175123215
"852",519302.360007361
"853",402707.313533165
"854",301678.131252475
"855",502089.617815435
"856",455323.130874105
"857",375278.723809771
"858",587042.772470303
"859",366769.941947393
"860",807726.631985202
"861",329096.512137398
"862",30442.3004778847
"863",545787.935907081
"864",408306.481029987
"865",446315.453874372
"866",1000680.75269807
"867",633509.231749117
"868",314761.637439661
"869",573713.996141605
"870",484834.867860854
"871",509349.644600891
"872",341636.299773648
"873",334320.978736602
"874",545455.955758259
"875",509618.615322098
"876",976848.98552686
"877",332589.190614581
"878",619821.821931899
"879",679503.341721654
"880",1376482.45917091
"881",1223219.74448637
"882",307375.706015691
"883",479062.646743588
"884",831517.800276622
"885",392754.781908147
"886",156275.151867948
"887",170752.507221378
"888",728097.344236463
"889",480277.483495593
"890",628680.759258598
"891",533673.613585338
"892",481782.139233559
"893",339291.81171561
"894",555155.583519854
"895",541530.744786769
"896",551772.655723192
"897",379419.123567864
"898",351006.28459774
"899",218259.666196987
"900",300119.479941227
"901",548315.082057744
"902",611428.933436237
"903",171812.972947896
"904",326974.873669937
"905",635617.732454889
"906",363486.464571238
"907",332238.680137508
"908",397079.560559601
"909",1280001.95285447
"910",388805.870680243
"911",533223.430831499
"912",493935.601875894
"913",463011.538192034
"914",479396.369480833
"915",165068.027966805
"916",455053.570269354
"917",682003.819994882
"918",545002.102199286
"919",895585.936494619
"920",653687.054624774
"921",512061.287216887
"922",700407.414368525
"923",788984.704323478
"924",871583.243864581
"925",506947.071980439
"926",181220.917078689
"927",472367.777475685
"928",828582.916619048
"929",260787.498508953
"930",356687.667331778
"931",706327.068615623
"932",163532.866758451
"933",922894.257053956
"934",392350.331328794
"935",636484.557366841
"936",513238.598087922
"937",217225.704569981
"938",344952.953832939
"939",272479.7493679
"940",438766.21095176
"941",573636.046504281
"942",546294.289129868
"943",554647.156530343
"944",444912.810671665
"945",235727.601590104
"946",401213.402660884
"947",-14251.0300538018
"948",117727.936476521
"949",395983.529240802
"950",784863.914570473
"951",561881.530859552
"952",822361.330310516
"953",246563.591654897
"954",399750.175163329
"955",658939.789259039
"956",137917.68478442
"957",665824.613570467
"958",247022.597556859
"959",779621.749993034
"960",654456.517753072
"961",509454.463425875
"962",813135.505098894
"963",165434.335286066
"964",292723.155139878
"965",401587.409816846
"966",710352.37930467
"967",705894.868178964
