"","x"
"1",481936.405373957
"2",959095.25500882
"3",211962.959278886
"4",590618.525463133
"5",382033.121631583
"6",646004.863786609
"7",1004638.10926044
"8",403298.219847123
"9",236071.297155998
"10",750033.592652274
"11",271303.863003121
"12",256796.032325333
"13",339469.379546282
"14",367682.100160793
"15",492360.593409707
"16",847792.687874149
"17",845817.410809131
"18",399194.451605713
"19",677504.430693829
"20",383918.262940334
"21",695379.09206837
"22",163931.14115144
"23",366768.068436919
"24",403643.86541163
"25",690312.810196418
"26",322658.159134439
"27",1105145.67479526
"28",346162.111236382
"29",273669.121205224
"30",377620.304627118
"31",123935.030697501
"32",625455.890476462
"33",756675.34640865
"34",178253.651834359
"35",365130.738709892
"36",461322.241800581
"37",240810.016508684
"38",1037594.13440792
"39",1811485.6473045
"40",342464.473683842
"41",558656.559210789
"42",1071941.2032572
"43",257931.641033626
"44",484176.292343365
"45",222107.478819942
"46",1081653.04749718
"47",1007735.28650988
"48",806912.002269764
"49",400340.910264737
"50",763788.133141743
"51",363710.089374696
"52",512516.734823049
"53",1315250.04748406
"54",1315250.04748406
"55",493799.769709944
"56",499453.21534783
"57",162931.408018415
"58",343012.321745111
"59",594517.568663378
"60",403362.408187411
"61",649365.651694502
"62",920612.257790953
"63",523992.715780649
"64",746206.139782671
"65",540327.664218554
"66",202497.521521135
"67",160023.818820469
"68",596505.483854208
"69",529349.27506487
"70",367747.854953668
"71",859553.628596438
"72",943145.276842492
"73",443753.843537912
"74",687246.23053239
"75",539995.953953125
"76",628844.183800977
"77",504504.113171285
"78",529903.383036231
"79",467096.79981422
"80",931645.186269377
"81",615997.106150209
"82",390987.874351871
"83",257868.806732625
"84",455182.087716824
"85",699938.005471256
"86",850731.200674816
"87",678699.854415801
"88",364160.317525457
"89",761886.936977703
"90",1201484.47815837
"91",721892.115327869
"92",109869.471705171
"93",87321.8444563495
"94",441545.607864405
"95",128590.058979722
"96",540280.15893693
"97",295526.71008074
"98",546716.181621561
"99",383959.918493248
"100",210454.778533981
"101",1269436.45367306
"102",392728.034295778
"103",410505.393091845
"104",528177.349291154
"105",469758.283379906
"106",800139.96642849
"107",299163.758134242
"108",396285.924436896
"109",1291474.21487162
"110",165552.504307754
"111",1662590.82433832
"112",16580.8433445904
"113",310036.398598498
"114",414540.168859538
"115",2258709.57040458
"116",443088.132169751
"117",1475148.41512068
"118",131889.937129506
"119",404364.840910142
"120",354857.544764506
"121",316627.149389856
"122",238076.377655844
"123",346293.792748027
"124",901367.984453972
"125",144810.152143115
"126",431784.185353437
"127",903782.150451103
"128",836366.636117881
"129",416960.223226989
"130",913370.885045091
"131",454926.240135419
"132",679210.731128529
"133",301609.956057412
"134",372968.566754597
"135",1062936.8344301
"136",602252.890785438
"137",1036209.78759974
"138",60661.5131248766
"139",476515.708147136
"140",412965.331763817
"141",494453.714230185
"142",693676.468677676
"143",392421.995902618
"144",492083.908022773
"145",783009.569277463
"146",725242.442795889
"147",207887.284117418
"148",365262.011289227
"149",615719.753979856
"150",291795.442240721
"151",286180.363205129
"152",291773.353968384
"153",289456.11823568
"154",1221135.31785892
"155",666828.579701116
"156",363322.417204542
"157",497815.152832455
"158",432824.038660703
"159",608368.33696673
"160",873895.140548819
"161",1425068.02996014
"162",631113.349408214
"163",404584.076961523
"164",647275.701652276
"165",254551.731909475
"166",538719.20708746
"167",408540.07899148
"168",389259.910228986
"169",331201.881212455
"170",251958.810416596
"171",496464.478175532
"172",883760.972540296
"173",397308.936899714
"174",396820.320006338
"175",197268.594574406
"176",341354.611970464
"177",410889.268456386
"178",424897.114169552
"179",687730.233569902
"180",107694.142621037
"181",502544.589686364
"182",166121.799832256
"183",1097673.91846833
"184",591284.765651108
"185",636817.351313987
"186",915442.387172924
"187",421974.485421957
"188",678772.598339873
"189",299645.245264502
"190",338700.216281169
"191",194248.319022942
"192",585014.803154487
"193",117533.55751411
"194",458882.065990227
"195",358833.10671713
"196",304088.02556714
"197",299575.274626706
"198",18224.4448106523
"199",554903.880280572
"200",154514.292349698
"201",385772.622436465
"202",236658.422481364
"203",182709.726184806
"204",285675.938793262
"205",514518.275706565
"206",318644.839396309
"207",256326.914185625
"208",242874.12735558
"209",570762.189604695
"210",244757.708753166
"211",153380.273053828
"212",536903.948717094
"213",378484.068432136
"214",506384.199769113
"215",601543.735013184
"216",173003.324718951
"217",465476.15297354
"218",313128.834518791
"219",350603.361325993
"220",434828.214853566
"221",320137.177383194
"222",799871.720167486
"223",392348.775727187
"224",105316.333775274
"225",426268.379880181
"226",143389.529603862
"227",902403.95129179
"228",599066.132257073
"229",513187.666515385
"230",725465.060869602
"231",405677.949329827
"232",396795.102322196
"233",463085.443658706
"234",408166.466759041
"235",-73217.5145116268
"236",362955.903453133
"237",430555.446234456
"238",755525.0718987
"239",517474.864708188
"240",754055.351480438
"241",404489.399976921
"242",526950.786281853
"243",487903.056035647
"244",366362.387044682
"245",661022.642323647
"246",399351.620931497
"247",327510.820157795
"248",227026.135019203
"249",347558.636865992
"250",927032.639154379
"251",941390.32990181
"252",491113.981034604
"253",644602.724119442
"254",501358.27134944
"255",261661.055511046
"256",543953.868745329
"257",202420.489881324
"258",615354.701608736
"259",653184.40849366
"260",411201.586825682
"261",1068569.31873807
"262",634067.149878153
"263",351458.228576022
"264",552976.395296791
"265",621458.928542667
"266",749406.463251786
"267",513483.519167522
"268",760476.816041096
"269",604686.198124099
"270",645295.387048787
"271",495729.24281636
"272",563969.337218314
"273",169486.03007989
"274",579511.335178118
"275",659883.991719899
"276",488098.936256701
"277",420881.714677797
"278",335074.72027875
"279",848531.71336764
"280",378429.86222228
"281",919985.868673941
"282",381436.593278414
"283",593486.208973691
"284",318577.372959975
"285",893299.779108119
"286",810567.174370422
"287",676504.00411813
"288",1444131.79695373
"289",218612.080197246
"290",479507.953166236
"291",268948.296727018
"292",428818.494585442
"293",595120.259461046
"294",1521135.83127184
"295",676729.221437497
"296",388816.755689008
"297",817422.892391979
"298",161969.91183042
"299",532905.286262078
"300",1048949.2535878
"301",457816.940423251
"302",266091.814281815
"303",858422.512864216
"304",566908.879694734
"305",527802.546769286
"306",968549.2810648
"307",382361.605544275
"308",204788.466356323
"309",599590.105947188
"310",602640.392199318
"311",435484.452120904
"312",465416.738650485
"313",128554.190343939
"314",494206.425540339
"315",807469.078379253
"316",1581194.30503311
"317",523435.387187232
"318",254160.506344989
"319",607409.059454615
"320",509449.152695457
"321",719656.288258722
"322",640699.244086466
"323",341069.861616197
"324",300345.397638061
"325",698977.040962875
"326",440137.427309595
"327",588152.360472707
"328",384717.396296631
"329",188356.762196316
"330",544023.482517011
"331",497104.422075092
"332",425998.907587092
"333",762534.287145851
"334",543457.424969372
"335",422568.450259081
"336",344691.715664942
"337",413043.34803826
"338",725109.165449678
"339",439639.109811325
"340",539247.950495197
"341",188010.06109734
"342",499840.273968907
"343",468287.220222779
"344",217287.94222455
"345",369967.753443071
"346",457588.793188477
"347",168462.773766123
"348",548919.538466437
"349",761304.488338292
"350",431339.953857162
"351",337352.737289658
"352",570308.891382294
"353",197532.470956601
"354",699397.04456041
"355",446631.148110898
"356",502020.224584109
"357",401825.716996092
"358",487245.427888414
"359",310771.259559597
"360",401683.890611895
"361",313073.774682256
"362",840232.014462334
"363",1379982.46268792
"364",527953.460915723
"365",162392.481544618
"366",630689.836685551
"367",493041.803347135
"368",410348.094940165
"369",486856.607986935
"370",715706.186671546
"371",443984.167925976
"372",604960.613615456
"373",462226.64530634
"374",689092.00612993
"375",390796.101900193
"376",1205935.33706945
"377",170672.386601831
"378",630033.883057538
"379",370356.591677775
"380",581956.753075009
"381",427384.074958405
"382",821054.863910816
"383",411614.585930492
"384",411614.585930492
"385",608529.712903983
"386",485596.222647998
"387",576135.350756237
"388",734692.269622419
"389",362290.231146029
"390",718159.029142908
"391",1490232.24125535
"392",469822.878151334
"393",644266.919556296
"394",1058772.91480854
"395",443578.374733261
"396",336396.100559106
"397",229866.032796428
"398",373428.874031078
"399",572515.323735032
"400",351758.902833017
"401",932701.879868664
"402",131551.451138222
"403",767569.645497249
"404",24021.3684963474
"405",284834.531003994
"406",1069929.83015384
"407",204094.752358384
"408",534685.800314039
"409",660882.163934842
"410",248395.9408201
"411",220322.19394334
"412",676520.117689646
"413",392798.891474584
"414",-42378.3356019382
"415",783901.475022561
"416",305353.301781055
"417",437317.34686893
"418",247398.43756998
"419",405952.454804457
"420",73956.3868610896
"421",388873.717291941
"422",997213.557130176
"423",207082.980912875
"424",774943.533809616
"425",747575.8083173
"426",685900.838343121
"427",696178.693109
"428",1334633.36964905
"429",876839.711246253
"430",678427.736547136
"431",840296.681927128
"432",471563.89799688
"433",672844.410082574
"434",590658.03194924
"435",322910.449856596
"436",777724.997485591
"437",376814.244437163
"438",525327.408647735
"439",712260.750772931
"440",333102.360696882
"441",441559.8669671
"442",180142.52973417
"443",430136.212250857
"444",664723.10204731
"445",317157.640192337
"446",423463.43444457
"447",427370.181922483
"448",546473.564083355
"449",226175.155001087
"450",681206.655234035
"451",997747.255810335
"452",398076.974041798
"453",547248.373175053
"454",501730.456513098
"455",451093.416194047
"456",657659.781399461
"457",14796.1454686339
"458",678154.390682778
"459",555877.192096337
"460",326900.732484182
"461",1148716.19687875
"462",156380.078789682
"463",727120.33156173
"464",594336.008648702
"465",354467.438199003
"466",941121.376495217
"467",259334.697258416
"468",168644.163825768
"469",140627.66256139
"470",695553.015622633
"471",1077729.39608235
"472",276500.893847237
"473",353285.187545484
"474",781585.228111258
"475",624448.222840837
"476",707215.072455615
"477",493316.986544567
"478",413368.790521525
"479",347391.875177188
"480",615878.32597447
"481",179360.227898475
"482",289321.937418733
"483",525308.275189752
"484",723923.865624334
"485",526480.206877226
"486",494697.013138704
"487",716397.666784154
"488",815189.291453279
"489",295250.948313029
"490",330831.094009139
"491",632178.038594418
"492",645424.121290434
"493",36576.2198603133
"494",267801.876775315
"495",1056419.23520446
"496",215203.500687613
"497",490681.96584586
"498",1349227.3148086
"499",1020586.55078303
"500",485481.275911872
"501",259045.406667785
"502",160236.592890232
"503",348186.187365817
"504",434869.033052273
"505",311193.05682628
"506",219120.379994495
"507",110258.94910494
"508",474352.823191001
"509",958088.616253595
"510",676932.27234767
"511",399511.66417695
"512",257988.051369156
"513",809792.787879784
"514",730583.881429635
"515",801848.594153797
"516",1265624.5024583
"517",1265624.5024583
"518",172867.396585135
"519",119200.795764471
"520",456450.599810055
"521",458297.970606736
"522",460235.514627452
"523",642709.234950303
"524",500573.295131056
"525",399809.77419098
"526",257962.725673919
"527",346193.760956319
"528",378004.012762795
"529",1055947.09448259
"530",726379.271109168
"531",487956.859010199
"532",1059738.40027304
"533",1105766.55214631
"534",809150.490123877
"535",651677.36952436
"536",604481.35610299
"537",1037538.54902786
"538",604477.342062952
"539",502801.416593628
"540",600803.556484701
"541",594121.546102026
"542",258899.603532446
"543",471039.912348214
"544",624476.260257181
"545",767375.628107592
"546",380232.084165473
"547",454728.165112017
"548",297812.523011786
"549",966461.286924905
"550",595747.438821634
"551",205705.522435164
"552",509178.062614427
"553",720458.585202056
"554",810490.156532501
"555",549476.773962293
"556",429296.205694792
"557",290017.409913221
"558",564257.747486802
"559",198299.904002529
"560",490350.956917379
"561",542471.745085988
"562",527347.944131547
"563",136144.439969639
"564",811076.447511352
"565",159189.047941992
"566",552876.43113768
"567",683585.442969697
"568",376459.595053423
"569",1028227.13510551
"570",322211.331937892
"571",354877.715782172
"572",538241.144918758
"573",223141.207373926
"574",402733.625654319
"575",463919.314293177
"576",201960.828258862
"577",509835.56738766
"578",355201.290893839
"579",1022928.96212865
"580",432153.344783014
"581",740041.988445969
"582",329392.806899323
"583",672470.164941635
"584",391504.651510323
"585",482500.593235639
"586",369278.369797015
"587",283137.447030871
"588",478641.527478114
"589",338167.733754883
"590",268163.372239525
"591",68782.2216559048
"592",20721.4409501831
"593",572574.984152302
"594",405191.434424188
"595",271933.45600262
"596",1485964.40814934
"597",663809.163091549
"598",649764.688098525
"599",563165.33473044
"600",646377.101474984
"601",652530.167650243
"602",857725.862979125
"603",582608.626121866
"604",333257.003901319
"605",299783.287753168
"606",723484.662236881
"607",115221.234325286
"608",700576.125060015
"609",369216.280262022
"610",760524.248349907
"611",1156507.98808491
"612",827367.048656125
"613",578937.848242237
"614",445752.745163658
"615",444366.167207787
"616",268914.994135462
"617",911364.209441284
"618",180542.146433392
"619",358238.771734956
"620",510875.064944758
"621",715642.677610586
"622",460703.315693965
"623",398431.917318951
"624",44366.7298948138
"625",496070.92172122
"626",618301.697624927
"627",442870.236289204
"628",1124907.54261814
"629",665641.194733078
"630",521151.059714504
"631",381841.423090336
"632",352913.136373283
"633",479755.364617818
"634",186274.616111401
"635",322479.527905998
"636",499792.827358685
"637",648968.91208746
"638",298285.609934556
"639",228128.191109211
"640",526372.352302603
"641",373207.727316896
"642",330350.642040915
"643",328860.865335782
"644",570633.214272269
"645",535505.236424718
"646",821684.756459472
"647",447768.399391576
"648",499707.937258999
"649",634073.433671411
"650",721125.708410922
"651",220141.931564914
"652",1029463.88044923
"653",614814.632822239
"654",-3442.82132045196
"655",664072.395707257
"656",-28481.5126187621
"657",141061.054035548
"658",297338.040305402
"659",495251.245260524
"660",422093.136700476
"661",435199.696303228
"662",435649.839023796
"663",746178.249844801
"664",299945.406244216
"665",209546.773363914
"666",21351.5482977048
"667",486046.242057803
"668",530119.039846577
"669",634324.788304772
"670",525560.894638872
"671",465023.388253463
"672",662138.098905797
"673",1225723.6315843
"674",508871.976948617
"675",417615.308734907
"676",699353.203364823
"677",898160.459303526
"678",171504.444337724
"679",565041.997753322
"680",402251.004894458
"681",278989.718253164
"682",227608.557364254
"683",711408.074401311
"684",520897.09478502
"685",598391.672400033
"686",648211.404526102
"687",319048.62239253
"688",407675.599522649
"689",708032.175341296
"690",489786.591573881
"691",397421.380002204
"692",1128053.93655727
"693",525468.760169054
"694",787521.942937259
"695",514307.711215603
"696",570684.744061151
"697",573549.131106061
"698",461638.10625121
