"","x"
"1",313311.710719514
"2",835101.017258028
"3",303540.612886887
"4",528221.519487527
"5",477194.014684416
"6",483842.452972802
"7",680155.678995507
"8",311309.373457334
"9",238225.466713371
"10",650826.766009522
"11",296412.663646661
"12",276795.771077272
"13",226738.598708702
"14",290598.142293569
"15",510772.709064454
"16",685982.014085906
"17",767092.709968847
"18",465851.564090163
"19",657760.539110541
"20",302031.192578539
"21",858850.170273681
"22",168371.6135282
"23",314219.432372498
"24",442793.641309026
"25",725671.376617339
"26",265559.618027129
"27",1124151.51418315
"28",482238.976664389
"29",216412.774876043
"30",299993.784238908
"31",192323.04194191
"32",965189.172860744
"33",621012.876494427
"34",141060.264987135
"35",230107.992538931
"36",441017.417460305
"37",200087.306010656
"38",1187585.84326334
"39",1649270.51056861
"40",264537.674736666
"41",648490.678572375
"42",1034469.4265853
"43",246612.095572076
"44",377956.523634693
"45",131894.438036211
"46",1102128.15754978
"47",840681.605048187
"48",538200.947428957
"49",380399.788374254
"50",678185.622115837
"51",332314.922264219
"52",361390.937334093
"53",1456976.79218365
"54",1456976.79218365
"55",557262.727833611
"56",472838.308588623
"57",193799.777996407
"58",243496.825688557
"59",939490.293311846
"60",476057.825219015
"61",1030354.6631394
"62",685803.095162038
"63",363446.738137904
"64",548228.284643513
"65",474263.799039329
"66",219684.792742055
"67",157517.04822133
"68",931674.845105365
"69",637233.19162126
"70",473886.198576983
"71",801395.084065307
"72",932936.678352984
"73",369668.697801805
"74",507256.422626299
"75",415689.949797901
"76",915456.642334922
"77",400803.332350114
"78",662391.60677891
"79",305937.854988203
"80",1308348.15369863
"81",636052.880916983
"82",466431.011913204
"83",262579.67699008
"84",590070.557304227
"85",468187.938331553
"86",667697.641653874
"87",519575.98061812
"88",451239.763139621
"89",1177847.36857069
"90",1314479.22227956
"91",787474.399079902
"92",237365.074921457
"93",117666.982895555
"94",299014.134509798
"95",229240.394072136
"96",425669.922602377
"97",257052.77218273
"98",414283.992061665
"99",242213.268409043
"100",268520.943599202
"101",1065608.46094358
"102",441284.597336745
"103",355566.701144032
"104",638381.842043362
"105",508935.996638264
"106",989309.361864182
"107",215985.727167114
"108",290503.114844572
"109",1454314.9881084
"110",249120.740520779
"111",1795958.1197018
"112",195791.375366789
"113",265727.512276952
"114",319765.048498895
"115",2720651.7280673
"116",386483.747093622
"117",1509245.58051945
"118",136584.182277206
"119",394122.788073101
"120",651748.678582135
"121",247025.123436691
"122",260169.725918715
"123",247814.370014087
"124",836740.090728193
"125",283649.400842872
"126",399710.563231859
"127",822176.77730838
"128",1114864.61942952
"129",421405.007197404
"130",588731.458110363
"131",503773.332104287
"132",609458.472929007
"133",367945.487187362
"134",329048.559606045
"135",683992.33469646
"136",429643.936905821
"137",1059406.88032969
"138",228301.86786757
"139",470513.977103195
"140",294163.888124249
"141",550392.236784136
"142",951712.747388816
"143",488105.446353163
"144",363345.988384322
"145",728329.07037911
"146",695576.371400264
"147",218072.969998019
"148",339361.192421043
"149",541151.449301873
"150",257676.651597028
"151",247155.224472097
"152",322349.770861013
"153",261602.945094349
"154",1202458.08041928
"155",558983.676325982
"156",383614.738220251
"157",540183.761624355
"158",480101.6320094
"159",635176.593786451
"160",883695.875012351
"161",1312707.53947662
"162",789226.45286476
"163",323416.526312533
"164",1137834.19185489
"165",406395.454698516
"166",567161.608572988
"167",291222.421971767
"168",496318.385750034
"169",257904.361777241
"170",192666.144800564
"171",422644.908606903
"172",672227.623552617
"173",327526.536317389
"174",308064.42748558
"175",324762.473519941
"176",292435.703668737
"177",408612.852670031
"178",298762.583445598
"179",445332.002603615
"180",168647.724855093
"181",585598.296314688
"182",226340.386678717
"183",1042956.48549317
"184",798831.724900909
"185",867255.148367581
"186",1247099.22072859
"187",305262.671263015
"188",488795.239078309
"189",240674.07713451
"190",462088.56963395
"191",187966.809832059
"192",473419.145309199
"193",244499.130048947
"194",313485.623467554
"195",286075.957440409
"196",391059.299773129
"197",182157.113714617
"198",244633.046603729
"199",445050.890854281
"200",168419.781460565
"201",357941.068216513
"202",208300.857253555
"203",160902.680400355
"204",261275.154654521
"205",590818.55669686
"206",272716.302009609
"207",368184.64820091
"208",234532.614251631
"209",516862.969736027
"210",237406.947480824
"211",125699.900005629
"212",591735.088210991
"213",443294.630594083
"214",572181.407062746
"215",837063.846640046
"216",271574.174219555
"217",716545.875064794
"218",246232.027530508
"219",301011.022269977
"220",365731.650408408
"221",246475.01662359
"222",628861.921352527
"223",215885.301608326
"224",186126.821999126
"225",364370.648669305
"226",108725.549157607
"227",956625.704430068
"228",568065.255728001
"229",453053.140557345
"230",784744.40650369
"231",367823.451368301
"232",335046.261712432
"233",407855.694373356
"234",454807.079076399
"235",171878.587466602
"236",482550.554756765
"237",493949.971385903
"238",515522.438245255
"239",422895.458618568
"240",911129.587088128
"241",371221.293010369
"242",417194.860968262
"243",530588.212342061
"244",362264.76727813
"245",762660.76802431
"246",647874.532283321
"247",312071.837743089
"248",236617.424445214
"249",390657.058708842
"250",880127.593940035
"251",676952.310746529
"252",414834.65194126
"253",412151.555440898
"254",348523.97757036
"255",228916.649188855
"256",399393.382145143
"257",173600.611002615
"258",537771.679543933
"259",436679.122503105
"260",368505.117650704
"261",1049607.69365568
"262",610825.89182333
"263",332885.008496718
"264",565644.081731013
"265",627175.315262852
"266",535398.548188387
"267",518776.792956356
"268",580864.411247578
"269",428765.856829117
"270",502331.324836014
"271",792956.997563497
"272",355225.748049699
"273",134203.308264152
"274",999932.62738467
"275",676158.768952684
"276",467461.248333329
"277",442049.883485301
"278",251329.390901836
"279",630249.141010664
"280",354774.442585131
"281",1006174.6749069
"282",292833.019128454
"283",691504.386482648
"284",300208.818356568
"285",688370.569706614
"286",590863.504002712
"287",580151.844262998
"288",1471180.19847804
"289",296475.132537783
"290",584513.614087
"291",222018.980621814
"292",334087.790622361
"293",427370.874571688
"294",1297779.64878219
"295",689280.573301524
"296",327687.481044578
"297",762095.526512908
"298",180318.775256041
"299",645522.476439754
"300",1034088.97339213
"301",316788.237875109
"302",371859.46087877
"303",782610.264168815
"304",778460.961740645
"305",489583.030448165
"306",1193014.07618711
"307",465143.32841187
"308",340021.035764043
"309",457961.462228841
"310",532648.55563181
"311",434696.41876873
"312",767243.633985822
"313",116405.334765666
"314",560644.471632382
"315",871804.105921439
"316",1498815.52186894
"317",461301.089424952
"318",242781.689477478
"319",1095286.93440293
"320",454049.874758941
"321",765750.631831036
"322",547026.232188223
"323",285015.581771757
"324",271269.906849688
"325",565304.431880079
"326",295367.649184524
"327",513262.098951746
"328",488723.354223144
"329",286242.821943164
"330",960341.514322
"331",354661.206662809
"332",475190.319457486
"333",1218851.52689096
"334",418809.331348123
"335",415026.620710229
"336",244592.905584422
"337",815007.932331817
"338",618073.200265382
"339",356256.294418603
"340",618351.090290418
"341",195210.176577699
"342",366767.70082492
"343",298891.943332694
"344",150150.485387603
"345",273574.714999782
"346",345582.307661031
"347",233238.314059295
"348",342681.229698182
"349",482661.896500657
"350",478359.272018817
"351",289461.572740488
"352",407730.739808277
"353",316149.323125284
"354",567447.102824019
"355",339729.694472504
"356",477142.238448145
"357",475012.448293497
"358",334036.406761052
"359",295243.495422475
"360",337525.624833251
"361",521326.083656252
"362",1003163.11911388
"363",1394847.76454814
"364",421632.371375589
"365",168895.02565209
"366",816448.624303553
"367",390055.148916283
"368",311463.724208004
"369",659173.192905157
"370",556238.100897959
"371",336376.145540844
"372",405434.710161793
"373",513342.958695264
"374",663928.566582242
"375",447544.358878352
"376",1610760.64164558
"377",178807.181199874
"378",617504.733518852
"379",498282.922941837
"380",459418.66375357
"381",575713.993545441
"382",765746.180309266
"383",339144.036369602
"384",339144.036369602
"385",488119.906514075
"386",552355.072142286
"387",575925.783389009
"388",885636.915628096
"389",318819.373627236
"390",798312.737664581
"391",1459934.31106418
"392",564640.492380474
"393",761295.093176213
"394",1045857.00977054
"395",588523.797787735
"396",350769.510409574
"397",181880.600573702
"398",435392.016862178
"399",807925.566070501
"400",433363.994792791
"401",932857.53352368
"402",146918.738884728
"403",602943.922384915
"404",130710.332061777
"405",217601.636217845
"406",885441.634132016
"407",187156.374092827
"408",903901.266073188
"409",614690.334500239
"410",364974.665905051
"411",338580.805752018
"412",669964.750449074
"413",308613.086735185
"414",150099.967078393
"415",1144425.76613794
"416",354613.519737468
"417",286899.506628956
"418",249382.349525898
"419",281574.324972812
"420",128974.826460978
"421",457045.058881147
"422",975612.24317467
"423",286679.210966609
"424",875790.914683965
"425",668525.280304864
"426",513125.311003726
"427",1025989.38624456
