"","x"
"1",356951.877804747
"2",894783.540713995
"3",423892.180364803
"4",545714.566256237
"5",310908.967305552
"6",585352.377016314
"7",1150120.90028891
"8",502589.040968663
"9",355417.687417403
"10",604800.527761112
"11",429063.218960314
"12",438780.730071168
"13",452265.961399868
"14",456700.349105422
"15",411342.180901824
"16",969560.365063978
"17",684970.590772739
"18",357170.73665304
"19",608947.00617079
"20",306400.577581118
"21",526540.622304946
"22",333183.311871632
"23",430644.713706213
"24",474072.367050789
"25",600464.338269101
"26",395441.232206972
"27",1011551.24983123
"28",357088.043026144
"29",431945.739276378
"30",474212.78201901
"31",280912.177701722
"32",531089.339280398
"33",571697.599802696
"34",297502.81582006
"35",429896.73658011
"36",424321.122267599
"37",403583.272569461
"38",975110.658913087
"39",1711723.48983484
"40",439148.09221167
"41",495477.180466086
"42",1091647.00257081
"43",394540.448556534
"44",559522.968683962
"45",299634.023432891
"46",1044602.90568424
"47",860112.066707773
"48",581178.69852432
"49",484947.324614317
"50",671349.571789876
"51",491555.263702827
"52",514474.80249013
"53",1414445.9884288
"54",1414445.9884288
"55",391053.970261871
"56",482808.763450993
"57",387483.513859751
"58",360613.119158815
"59",450643.59296706
"60",336685.529862546
"61",540353.952668346
"62",704727.540476145
"63",376527.968872707
"64",564462.245253555
"65",575553.173842939
"66",379529.845979795
"67",229697.222928894
"68",513601.210499999
"69",461298.544239944
"70",373260.878910353
"71",810643.377741897
"72",867663.176889664
"73",485773.106490959
"74",481822.397230972
"75",406708.528329747
"76",551954.58254233
"77",477392.315336021
"78",487999.252674452
"79",421927.066184178
"80",794576.427952806
"81",575086.24467957
"82",315269.439718038
"83",425888.924289842
"84",430392.963783361
"85",641335.342252883
"86",671035.54650929
"87",485709.033347269
"88",317069.325683726
"89",538110.635524241
"90",1093227.74717173
"91",582882.116980251
"92",347118.356135081
"93",286503.670575178
"94",350063.42449399
"95",352749.916411128
"96",594935.524243839
"97",430656.071647029
"98",521464.413247686
"99",438168.976362553
"100",235842.882530801
"101",1452187.64668301
"102",362487.596280021
"103",488127.293243706
"104",461595.28682384
"105",407679.009674124
"106",624084.908198623
"107",393430.327612608
"108",314996.222931714
"109",1382861.62915537
"110",325086.316348109
"111",2075405.3907971
"112",303308.438066072
"113",416370.729351417
"114",450546.687037743
"115",2462191.14810007
"116",496046.230718204
"117",1475467.91496693
"118",273438.026399676
"119",512525.201473814
"120",323713.821366892
"121",342741.820691355
"122",427469.175661789
"123",452300.593582493
"124",804458.50910532
"125",433752.127037529
"126",423550.541421607
"127",978425.90316578
"128",746548.977184492
"129",524542.840854562
"130",748792.954982316
"131",464269.289639273
"132",763409.762021738
"133",328822.327114858
"134",479409.362109921
"135",932159.533727403
"136",438339.075776205
"137",912957.545025946
"138",339037.731880581
"139",502589.040968663
"140",347784.747773527
"141",394059.971666563
"142",607824.0186178
"143",329160.858098817
"144",503989.765033717
"145",660283.899776181
"146",680373.931380824
"147",380515.991728027
"148",312456.146228778
"149",530872.273350747
"150",431945.739276378
"151",407949.463646
"152",333629.556036895
"153",383190.767514184
"154",1154471.39240781
"155",664382.049658152
"156",484184.047780974
"157",449958.251346394
"158",372001.461532452
"159",505237.631075433
"160",765535.139890722
"161",1366166.79990711
"162",527106.47043532
"163",380849.728015299
"164",547321.47480007
"165",326451.246848223
"166",477532.208315978
"167",345782.394279404
"168",457903.017964061
"169",446342.693492112
"170",314996.222931714
"171",426180.124445088
"172",658055.935136278
"173",461968.001088368
"174",433404.950882914
"175",333479.530942413
"176",431813.207939443
"177",396061.117232821
"178",345077.465018937
"179",510988.091136126
"180",340447.053074137
"181",408146.368375513
"182",390463.013136155
"183",892262.752609023
"184",470652.697307654
"185",492676.555478994
"186",724750.730173356
"187",357697.036338023
"188",474212.78201901
"189",358376.800841131
"190",380295.686342532
"191",382171.508877856
"192",532786.338147262
"193",333183.311871632
"194",335166.346723978
"195",488007.411314238
"196",412155.931818054
"197",403414.800937086
"198",368150.064677437
"199",652053.005034548
"200",337168.289036271
"201",481086.204179839
"202",392848.284794713
"203",270713.657781215
"204",402408.754338696
"205",394163.445305526
"206",443766.292017389
"207",301722.294927211
"208",385880.762662988
"209",485691.542620978
"210",408887.702536692
"211",290834.620130857
"212",441452.304091362
"213",395441.232206972
"214",463893.295609843
"215",451629.494765076
"216",300138.119374727
"217",369045.7452934
"218",325086.316348109
"219",304863.786894035
"220",471417.855109814
"221",431284.889463983
"222",862527.739337286
"223",337918.815254912
"224",265063.974566336
"225",420912.362893613
"226",334515.12102223
"227",740297.732854228
"228",677840.002087878
"229",565970.009424523
"230",719912.042525608
"231",346392.781694788
"232",438339.075776205
"233",511709.897425535
"234",316714.888258681
"235",300138.119374727
"236",361938.368333745
"237",461028.636422602
"238",540698.569565855
"239",443766.292017389
"240",763588.205191257
"241",417730.713535885
"242",424785.922347195
"243",486248.579989226
"244",386836.624574304
"245",556640.004433271
"246",335843.283566551
"247",363022.738514813
"248",340447.053074137
"249",383390.162675194
"250",739358.590409343
"251",1144049.20362794
"252",516948.797113377
"253",488789.919362696
"254",537439.098107203
"255",395126.411221943
"256",496743.807714442
"257",283717.006701922
"258",528125.077043491
"259",444784.604851373
"260",452265.961399868
"261",1071171.57941645
"262",463597.164052529
"263",431417.868641806
"264",566038.125411426
"265",483042.390646073
"266",806436.498141823
"267",562839.761709904
"268",516312.388513105
"269",618556.739415801
"270",674876.336577824
"271",403853.323267499
"272",388587.830993015
"273",293104.855432921
"274",463457.271072573
"275",491483.127433663
"276",498773.42635476
"277",360713.273222783
"278",432349.041712322
"279",748757.480311845
"280",375158.550837648
"281",809437.850051144
"282",481204.195747388
"283",542931.830659836
"284",304713.761799553
"285",857262.658111466
"286",549707.706226816
"287",616082.544292175
"288",1651572.23342876
"289",309677.946844582
"290",435127.526466983
"291",361643.359361505
"292",466711.411323226
"293",573901.328159113
"294",1269398.35457784
"295",538858.179663024
"296",311575.113486609
"297",750758.654758527
"298",385146.790177766
"299",431417.868641806
"300",994013.238524963
"301",327286.871108189
"302",275101.215847121
"303",717738.014882604
"304",503644.258774225
"305",409267.432274471
"306",924141.57374453
"307",428149.393379338
"308",291815.310347377
"309",631797.680202974
"310",561258.245451547
"311",523402.310851286
"312",408146.368375513
"313",291815.310347377
"314",443072.29308465
"315",673215.5773726
"316",2012325.27738642
"317",381620.30886129
"318",405080.411602702
"319",518446.813215907
"320",408146.368375513
"321",775278.338082448
"322",706092.141576007
"323",356574.997824079
"324",341645.362842466
"325",456925.773478118
"326",348310.255821824
"327",545714.566256237
"328",326859.633334673
"329",394059.971666563
"330",462223.54024077
"331",429063.218960314
"332",410386.07800415
"333",585364.811648728
"334",659511.022324786
"335",592373.295707855
"336",394745.80055697
"337",421031.779950403
"338",674897.621314903
"339",458935.767812505
"340",550435.932270415
"341",367685.264597842
"342",498590.904504259
"343",353745.751091059
"344",342866.311458612
