"","x"
"1",417879.685089406
"2",844397.734413188
"3",307912.536137078
"4",626115.861787647
"5",575476.953803789
"6",481537.36929011
"7",677233.118003774
"8",408936.503032174
"9",241237.397234682
"10",655659.954424948
"11",291080.859968752
"12",270775.711767618
"13",220737.629607793
"14",286618.877299659
"15",496335.923698545
"16",690682.711103622
"17",768381.395812768
"18",467848.471477937
"19",656612.333261576
"20",294782.525818747
"21",857375.110199399
"22",169223.313929427
"23",317558.453711957
"24",425545.664057285
"25",725530.998359129
"26",281102.58867044
"27",1104627.55427079
"28",480647.759590171
"29",212026.490661524
"30",302357.995717306
"31",192497.634286571
"32",959031.108200569
"33",621232.567271024
"34",143411.773405865
"35",227940.242010072
"36",451205.63898221
"37",199392.090321638
"38",1172485.10800252
"39",1650311.76808785
"40",260360.221301705
"41",650194.443690967
"42",1042425.01295697
"43",254983.417357497
"44",378951.166224457
"45",127687.50064002
"46",1097115.79507211
"47",824881.161152512
"48",530878.271851383
"49",384763.996005662
"50",677045.356949423
"51",322764.0288813
"52",369002.246951565
"53",1450416.12203604
"54",1450416.12203604
"55",551907.250854772
"56",463746.852454513
"57",184271.625576723
"58",235522.318805009
"59",939412.672356274
"60",468408.428662539
"61",1031177.45020809
"62",686794.346350629
"63",364826.641956855
"64",553136.171411917
"65",475840.179036401
"66",216314.752060659
"67",152910.450458229
"68",933104.583147179
"69",631453.975836277
"70",483955.204102173
"71",801093.177130148
"72",930050.936450917
"73",363915.05218577
"74",513868.443287972
"75",413005.956231169
"76",914567.899921905
"77",399414.433953352
"78",664344.811429627
"79",316557.717183653
"80",1305117.3500523
"81",630012.112503447
"82",463015.286512487
"83",265537.817914199
"84",595771.428728983
"85",458815.758712396
"86",672852.021925122
"87",518246.759913031
"88",453566.869418368
"89",1167991.91879725
"90",1313209.92443661
"91",784491.01496581
"92",253274.81085084
"93",123520.164234705
"94",305972.356691521
"95",230360.884952769
"96",424179.290787835
"97",255249.49026189
"98",415868.3843279
"99",242538.395565957
"100",262575.955606997
