"","x"
"1",395718.476666667
"2",854168.7088
"3",229833.358966667
"4",558143.75
"5",470307.3758
"6",557093.787166667
"7",583909.647266667
"8",323568.687833333
"9",251585.461633333
"10",620689.267166666
"11",329838.5061
"12",316116.038166667
"13",279501.091133333
"14",280588.882933333
"15",630769.911933333
"16",527860.529366667
"17",752975.558133333
"18",497098.615433333
"19",641115.5739
"20",412108.033433333
"21",947169.290066666
"22",220917.440033333
"23",300381.187033333
"24",415880.8647
"25",760172.516666667
"26",270133.494433333
"27",1152169.58636667
"28",444278.867133333
"29",249837.144066667
"30",328011.263066667
"31",247311.3387
"32",865929.238466667
"33",714724.278033333
"34",183743.466133333
"35",258026.0459
"36",469648.630166666
"37",234103.762266667
"38",1222764.31266667
"39",1949663.326
"40",259587.060333333
"41",721649.153166667
"42",439771.551266667
"43",232162.702433333
"44",302031.627666667
"45",202100.119866667
"46",1419667.02856667
"47",805040.123333333
"48",555611.809133333
"49",365575.813766667
"50",762569.695666666
"51",346897.2428
"52",334031.734166667
"53",1315694.671
"54",1319690.51566667
"55",563529.627633333
"56",519220.219033334
"57",240572.793633333
"58",231880.2896
"59",895814.614233334
"60",619537.139866667
"61",973193.616233333
"62",664825.667233333
"63",380090.716533333
"64",503888.6736
"65",541163.750266667
"66",242599.299833333
"67",258982.398933333
"68",867119.021766667
"69",542216.2203
"70",478863.233166667
"71",819890.0306
"72",821887.127
"73",348073.036
"74",452860.0025
"75",432523.8211
"76",890299.97
"77",414571.3749
"78",611396.817
"79",415700.466833333
"80",1312127.7014
"81",580696.516033333
"82",496394.024066667
"83",314610.3576
"84",580699.878133333
"85",458431.239933333
"86",591529.6288
"87",452029.103333333
"88",450279.239833333
"89",1148192.51106667
"90",1070463.153
"91",850295.414266667
"92",319448.873433333
"93",194651.120766667
"94",355014.4647
"95",247032.4493
"96",358388.800833333
"97",301341.339533333
"98",312872.934966667
"99",262889.387233333
"100",291665.962766667
"101",970897.7543
"102",477161.806733333
"103",333081.349133333
"104",816608.948533333
"105",542462.679
"106",1106235.97836667
"107",251390.1344
"108",336439.286533333
"109",1874964.90033333
"110",237505.042933333
"111",1433078.41
"112",262544.298733333
"113",300070.128
"114",350700.700066667
"115",3189732.81866667
"116",317768.8876
"117",1565333.587
"118",185769.963266667
"119",417547.8586
"120",630498.365166667
"121",416826.473066667
"122",320187.847033333
"123",282946.349233333
"124",715470.600133333
"125",318185.548566667
"126",368610.545266667
"127",664142.9322
"128",1102536.68773333
"129",421166.545866667
"130",603560.946333333
"131",522036.092866666
"132",499311.4882
"133",379241.828533333
"134",318855.731433333
"135",657919.218266667
"136",528394.0036
"137",963802.042033333
"138",339667.589333333
"139",439045.439866667
"140",311438.595733333
"141",538283.0891
"142",813753.975366666
"143",478360.5283
"144",401666.399533333
"145",728914.226466666
"146",782038.315133333
"147",233930.711733333
"148",335888.0122
"149",644670.540833333
"150",303667.415966667
"151",231485.889266667
"152",325332.793333333
"153",313297.0712
"154",1071436.65633333
"155",484010.825666667
"156",391179.963066667
"157",602616.272133333
"158",410434.468533334
"159",604516.9934
"160",770531.567866667
"161",1362426.0712
"162",832617.833033333
"163",447315.487266667
"164",871515.857866667
"165",425061.447766667
"166",568699.911733333
"167",319270.369666667
"168",435304.294633333
"169",260373.096
"170",222645.4885
"171",445997.25
"172",691295.015066667
"173",325110.041133333
"174",325613.614066667
"175",332418.919066667
"176",266760.139666667
"177",419207.331066667
"178",342133.368966667
"179",450807.932333333
"180",216933.898166667
"181",525591.005466667
"182",273750.5411
"183",723008.850033333
"184",680049.934
"185",894670.7329
"186",1239361.22233333
"187",356939.123966667
"188",512519.768533333
"189",253866.947366667
"190",478910.2902
"191",234860.1187
"192",604286.4236
"193",347353.047066667
"194",300513.054366667
"195",272828.062533333
"196",413443.9614
"197",261563.721266667
"198",222036.300233333
"199",380318.740333333
"200",211463.0514
"201",397902.920566667
"202",252667.7879
