"","x"
"1",361809.934996683
"2",779260.624944199
"3",372264.292132373
"4",627145.412710994
"5",267416.285306276
"6",699842.115385874
"7",1119578.74232127
"8",586806.534382727
"9",286546.953084672
"10",668570.295101494
"11",484381.697938346
"12",477694.011507223
"13",504321.110407458
"14",482902.266056351
"15",553858.770275681
"16",870746.775705446
"17",773128.757821187
"18",269986.678149248
"19",810238.421952518
"20",264367.109439349
"21",659929.150808028
"22",312651.581087659
"23",492197.385700698
"24",562305.992608311
"25",735667.995826065
"26",340289.887350799
"27",1125416.84083638
"28",287497.063962363
"29",409615.623621037
"30",498661.967430106
"31",213154.993748741
"32",711206.018047906
"33",667450.556607669
"34",177329.11330855
"35",460516.912486828
"36",370212.25658081
"37",432871.33447018
"38",1024057.19944641
"39",1046516.85554776
"40",470136.869920898
"41",591669.328299908
"42",165871.776021636
"43",393265.982486848
"44",668008.452540808
"45",219749.648014133
"46",1059216.6007584
"47",999301.123122259
"48",676071.372371284
"49",568059.286169369
"50",559054.740089923
"51",546707.910681448
"52",559507.116518429
"53",1240788.30818301
"54",1240788.30818301
"55",367449.943132093
"56",565522.62775799
"57",347508.215808217
"58",331399.839572212
"59",545388.979828369
"60",272970.111383011
"61",680538.661843675
"62",810565.758013719
"63",356567.946015963
"64",642693.63699061
"65",673042.230721836
"66",348131.890000244
"67",124454.221467279
"68",617702.26293821
"69",278162.866966951
"70",434055.749243339
"71",873746.920779608
"72",966045.635525039
"73",545461.866880963
"74",580369.755540695
"75",430499.804048366
"76",661862.996099342
"77",529595.544023022
"78",502134.137129525
"79",402081.344461766
"80",898835.290063709
"81",733279.021166607
"82",231796.925061481
"83",455440.859162854
"84",367722.205960654
"85",663110.344483396
"86",813572.642299279
"87",585713.03952455
"88",216627.16344816
"89",725890.770780681
"90",1125635.44316265
"91",665250.674344383
"92",330876.358403767
"93",201908.290263063
"94",302028.551794007
"95",296474.725717273
"96",672174.188296981
"97",482830.683587326
"98",570052.52090318
"99",369415.79662498
"100",149484.286850015
"101",1310537.53245325
"102",404728.260234085
"103",412670.639323825
"104",510720.20819035
"105",373559.974537669
"106",742022.395464468
"107",314492.982837986
"108",297726.187707166
"109",1274845.65473817
"110",262974.869887225
"111",1613578.14039551
"112",256515.153348204
"113",403678.377979265
"114",520219.863113423
"115",1446317.55298841
"116",595552.609556082
"117",1173808.6307404
"118",171564.653430581
"119",592842.652026092
"120",278873.62259319
"121",316824.755575633
"122",458495.874865641
"123",471999.077295358
"124",573435.791230009
"125",472207.654293674
"126",337336.074942789
"127",926052.328724378
"128",867556.141943187
"129",648947.67662714
"130",808044.690275885
"131",485434.81086189
"132",882102.229364481
"133",235791.565658149
"134",535183.104531348
"135",1028672.57787876
"136",571234.126654068
"137",857801.15507439
"138",248428.782465931
"139",602313.696394608
"140",286623.225637096
"141",423795.003317693
"142",477032.489277763
"143",291822.676496986
"144",496620.895591439
"145",785382.555063931
"146",799688.793066268
"147",324909.491936242
"148",229125.328923732
"149",599797.549929795
"150",462102.98229143
"151",330602.369345187
"152",236971.445179017
"153",370460.555002764
"154",1166913.94638479
"155",560276.103524978
"156",525430.585826055
"157",543685.014075891
"158",262687.199801833
"159",553438.183006311
"160",621703.95624595
"161",1093311.22591355
"162",645753.609592142
"163",387636.460335249
"164",697228.917606726
"165",278422.734164967
"166",554349.821596102
"167",281250.992850864
"168",559067.024824809
"169",484517.113393803
"170",323240.875949718
"171",379170.783493778
"172",824541.55387133
"173",522857.72481958
"174",447662.211770754
"175",250754.807076074
"176",495918.788823331
"177",311855.121131829
"178",300998.687318245
"179",614324.319092433
"180",263876.646743672
"181",440219.954506018
"182",343446.106348364
"183",784163.839667488
"184",517699.292291977
"185",594129.666385954
"186",982281.605212851
"187",315221.97393063
"188",555523.272656365
"189",285533.211824566
"190",408713.84676459
"191",330185.215348556
"192",603389.452702768
"193",330147.367311123
"194",280849.962069888
"195",521501.62626217
"196",411280.126001721
"197",479272.920453976
"198",354313.503874844
"199",793805.904698312
"200",300675.886509336
"201",445129.666965215
"202",361915.251897301
"203",156845.780245483
"204",379655.406353594
"205",453207.866718442
"206",489046.031893519
"207",188542.082362636
"208",383055.993583987
"209",467766.238874622
"210",389237.706841866
"211",211174.540666204
"212",464569.45452571
"213",431413.773931343
"214",510776.713340639
"215",543189.72181555
"216",264255.952702871
"217",390034.067414418
"218",312290.510594865
"219",244261.35610546
"220",509831.121276819
"221",447282.905811555
"222",857354.380252006
"223",206248.502387336
"224",129595.007153222
"225",344915.768205373
"226",291914.698391522
"227",853149.105854103
"228",803712.649280657
"229",665925.105559195
"230",776255.355993
"231",314837.030739587
"232",528772.402346671
"233",631592.632340183
"234",298921.382776508
"235",240199.246645607
"236",423406.129937523
"237",466202.939788716
"238",629403.968457953
"239",478801.886912614
"240",868702.287032462
"241",381981.430963737
"242",417811.241593054
"243",538271.854665729
"244",321021.178511389
"245",746059.641142177
"246",319490.603585879
"247",391987.636172419
"248",254399.762539296
"249",430498.702068813
"250",761133.947588224
"251",1054822.10388137
"252",630061.377081572
"253",595830.107157337
"254",602532.501324889
"255",421835.686432188
"256",542677.204360002
"257",223879.226337171
"258",630954.175141792
"259",513309.258146178
"260",462039.627034085
"261",1020167.87575036
"262",526752.374996681
"263",458449.855699163
"264",725533.097934904
"265",578126.11013418
"266",707406.990016372
"267",661791.413630317
"268",655993.219320755
"269",633187.975253385
"270",740151.372888389
"271",411192.420317041
"272",413932.587297529
"273",163929.170976531
"274",544904.356968553
"275",432003.713691777
"276",494776.757339896
"277",312617.846656066
"278",455725.811934331
"279",808482.069037341
"280",337293.783361421
"281",837462.880157686
"282",504626.611977736
"283",672553.49425618
"284",274811.513133338
"285",746674.444684755
"286",677344.594808677
"287",701510.731372398
"288",1475124.96083875
"289",175976.448023879
"290",537995.056584876
"291",354275.655837412
"292",547542.21867471
"293",646470.793678986
"294",486821.210578153
"295",609392.054956977
"296",222770.929285328
"297",734905.270301828
"298",302690.074023466
"299",451652.31711513
"300",1046103.22653222
"301",251724.052795707
"302",166668.235977466
"303",782677.224494589
"304",381008.071638265
"305",449124.307561883
"306",963513.495927531
"307",192949.763350095
"308",216176.275019936
"309",712479.332193656
"310",672936.913821218
"311",590624.275609752
"312",392570.725825796
"313",218363.248297869
"314",593092.474074051
"315",566874.87139621
"316",1670994.8244825
"317",364380.327839655
"318",414823.878170165
"319",656132.270652965
"320",396944.672381663
"321",786367.172414672
"322",799827.439190448
"323",287300.111187938
"324",356847.444972309
"325",507860.748970062
"326",261689.673465739
"327",603088.706653731
"328",333240.231051343
"329",391984.716254489
"330",632699.238787728
"331",436798.927850114
"332",360735.372376433
"333",684625.232626521
"334",722305.901531478
"335",652843.428783794
"336",355455.53535828
"337",207112.431206351
"338",670525.498381159
"339",454227.245210393
"340",555682.341767634
"341",347613.532708835
"342",635543.620689281
"343",350525.383473572
"344",337820.697802605
"345",241657.228830896
"346",549296.117344372
"347",383856.567145657
"348",407531.249929807
"349",592221.309127251
"350",253531.720114441
"351",215620.069691095
"352",426919.206142911
"353",419045.279621184
"354",1022969.03106929
"355",482375.25990681
"356",456114.061064033
"357",295213.990618781
"358",538238.120234136
"359",327328.548712118
"360",493908.714915041
"361",275675.441952352
"362",707831.213162495
"363",1160311.12099036
"364",527690.787015349
"365",293280.658682275
"366",576720.153929522
"367",663114.458089236
"368",493280.927117175
"369",532406.191492981
"370",598768.512308516
"371",251900.95216535
"372",592777.514456092
"373",306946.510652185
"374",631222.710385242
"375",241067.289070462
"376",976637.631262593
"377",401528.353363227
"378",431000.733540552
"379",288162.222068576
"380",637699.266098743
"381",479880.984785156
"382",746032.848525998
"383",485577.97579994
"384",485577.97579994
"385",555543.382143781
"386",527126.227140749
"387",497507.59512915
"388",682853.981427572
"389",556188.908491664
"390",742751.386557113
"391",1529965.12025511
"392",342405.278159707
"393",710574.575185984
"394",878739.601067179
"395",373094.486519795
"396",501266.09470467
"397",305155.14996582
"398",523831.084145052
"399",632143.033458887
"400",172778.267383041
"401",973182.178625467
"402",301438.906345945
"403",742266.763697296
"404",211629.542700267
"405",410795.503141905
"406",772112.299247166
"407",337057.972278368
"408",508695.056963324
"409",518905.045866185
"410",159277.121756244
"411",250152.288268382
"412",629831.278500299
"413",367574.394874653
"414",273319.796516456
"415",697406.660269273
"416",420516.75557911
"417",290470.011212315
"418",425931.530323634
"419",572121.395629222
"420",251277.277973323
"421",260919.198458908
"422",1052142.28053194
"423",161569.411934795
"424",611715.15964919
"425",705669.930521189
"426",616651.353973773
"427",621482.156127802
"428",1499306.59911654
"429",934176.547644084
"430",464605.906271217
"431",877118.014518329
"432",543446.374783264
"433",767984.833174878
"434",448496.519764016
"435",447143.854479345
"436",670672.299195963
"437",360073.850146974
"438",567565.298492597
"439",574413.685807773
"440",460371.011047561
"441",357493.173924207
"442",461972.1581709
"443",352114.245862026
"444",689459.34071921
"445",359172.073290527
"446",614406.992608435
"447",613460.206856705
"448",716507.707221916
"449",395520.424627966
"450",703626.122181306
"451",1052871.27162458
"452",463517.240977704
"453",584481.814356152
"454",402448.163082063
"455",464045.587336535
"456",584441.818442248
"457",316262.802119288
"458",613150.99536625
"459",508445.43751938
"460",452838.036471858
"461",1204699.82404359
"462",217600.522773632
"463",753463.51782737
"464",553479.464316482
"465",445213.131709976
"466",855809.813548892
"467",443028.875745957
"468",125499.163261776
"469",149480.650973261
"470",617251.374509987
"471",853705.311182944
"472",362888.611222774
"473",515490.980212995
"474",554237.746296784
"475",696152.035749961
"476",556270.169277319
"477",586407.194206049
"478",557545.687382175
"479",388730.122171719
"480",573365.696761266
"481",203505.323780562
"482",485540.127762507
"483",425549.507050521
"484",1166854.70473329
"485",573757.876080094
"486",363579.754277985
"487",460400.631873314
"488",834815.486656281
"489",454501.234268974
"490",241235.961228425
"491",683029.301088575
"492",523289.772718233
"493",222947.828654971
"494",411006.136943141
"495",933592.85292754
"496",286074.009896577
"497",679809.67075103
"498",1072337.72446718
"499",852704.351574111
"500",554412.644311337
"501",325705.144224891
"502",380578.724615105
"503",607846.072774635
"504",464456.774163227
"505",295467.631960208
"506",376010.450890372
"507",221106.426904644
"508",337809.312443257
"509",1007775.02717541
"510",877033.026147563
"511",354659.07540245
"512",381357.756771711
"513",649503.881955981
"514",635801.064885754
"515",802903.391235134
"516",1108729.28594882
"517",1108729.28594882
"518",351570.32526807
"519",291510.839400973
"520",577885.855507192
"521",355237.629803536
"522",364864.950699471
"523",670855.257443903
"524",502939.651151517
"525",550533.879120152
"526",219576.86225033
"527",204997.040397443
"528",291923.879791764
"529",1001278.52895279
"530",558611.601144294
"531",384374.924437066
"532",1019961.35555497
"533",1012124.07432341
"534",757343.862727194
"535",591083.502145314
"536",852510.429613276
"537",814295.793556063
"538",725913.008957268
"539",431770.309171845
"540",462448.132172585
"541",612742.49022775
"542",479845.635019201
"543",596986.627334765
"544",622775.690656627
"545",666439.313619041
"546",299913.160985099
"547",398196.134371556
"548",487031.844379389
"549",966086.716980076
"550",648192.095522331
"551",398330.558743118
"552",727337.256710964
"553",806767.664983445
"554",899983.455695376
"555",521183.141663116
"556",545249.928496159
"557",426487.735652475
"558",528377.816464721
"559",330947.940872793
"560",557328.516973557
"561",642353.022361748
"562",618675.622263683
"563",342093.441063693
"564",783646.342880142
"565",256864.83848165
"566",517650.866562377
"567",581099.55430052
"568",293569.339038862
"569",862753.050968176
"570",378926.415260949
"571",302344.50249586
"572",556606.062488295
"573",460400.210226862
"574",263096.60431587
"575",409126.887155381
"576",240721.717542856
"577",459699.11372995
"578",277344.057938877
"579",969934.959221089
"580",490192.176982794
"581",652423.959932399
"582",403366.540883251
"583",643663.78208578
"584",406977.761914881
"585",347950.543249206
"586",352712.356751505
"587",293002.556017854
"588",493141.875784964
"589",263425.758315449
"590",312272.27512846
"591",148654.092462593
"592",161881.249030809
"593",573158.790545141
"594",424566.580304077
"595",516751.807019844
"596",751054.819701226
"597",534555.316733482
"598",530307.420816116
"599",552693.068698012
"600",589258.315318999
"601",580763.971840337
"602",874154.909814419
"603",530741.689112297
"604",353099.889922384
"605",302546.909085416
"606",587194.067553605
"607",197951.497703828
"608",552567.220663526
"609",405869.464863038
"610",639437.057991171
"611",1123376.88741569
"612",577426.318220836
"613",525077.203215473
"614",538152.821112577
"615",591900.107214282
"616",251239.42993589
"617",880474.878249707
"618",203644.375112772
"619",409615.623621037
"620",549145.77236117
"621",533202.651448811
"622",264290.073155193
"623",245302.184294118
"624",251066.644172087
"625",640545.355043013
"626",556885.469736284
"627",364481.531134433
"628",279324.511021414
"629",674059.388816259
"630",490676.79984261
"631",250371.387511036
"632",486269.118855152
"633",372955.435187584
"634",265123.995127726
"635",307409.592106938
"636",458233.382062067
"637",528566.928048195
"638",382120.482295947
"639",217946.094301238
"640",439403.973687517
"641",390244.701215653
"642",273003.845814603
"643",198364.538094619
"644",513463.58940114
"645",370490.359245231
"646",750514.113337573
"647",327130.199645768
"648",346064.833212579
"649",564309.01380553
"650",640690.926544185
"651",133480.217243431
"652",985382.823498831
"653",580835.554309362
"654",412986.590025678
"655",618527.206114517
"656",214372.721307042
"657",302445.705790638
"658",154726.275830735
"659",556568.214450863
"660",593089.351552105
"661",499739.744280658
"662",596865.29482098
"663",971397.055012218
"664",455508.916650783
"665",336129.311097385
"666",208776.933587035
"667",867115.906477066
"668",392916.297353402
"669",715256.245232023
"670",650961.86414127
"671",319039.715157655
"672",540551.391234323
"673",1140457.92620564
"674",471268.618024538
"675",669961.63527808
"676",759690.967451736
"677",853847.4850371
"678",164101.956740334
"679",689290.668561247
"680",301049.646945046
"681",490954.902507031
"682",287275.944177317
"683",664548.292451204
"684",434293.453148336
"685",447387.323336635
"686",594752.624619157
"687",495880.940785899
"688",439964.292622199
"689",607349.165179933
"690",407537.897432848
"691",393404.134443521
"692",1218533.26263033
"693",440461.697133288
"694",707081.655310261
"695",400762.413608687
"696",467660.921974005
"697",512495.867307512
"698",389495.473301513
"699",551944.648451053
"700",1245709.79202229
"701",528103.82740614
"702",1033234.42314289
"703",556766.563517212
"704",247000.421106395
"705",393746.491740824
"706",287414.995509527
"707",538756.477525545
"708",818536.839366372
"709",247699.791373286
"710",608922.325999183
"711",745224.689711147
"712",467070.982213571
"713",545398.749853356
"714",520234.757015446
"715",386016.656099054
"716",546577.086560917
"717",240650.135073831
"718",486652.53842019
"719",292210.742209975
"720",496996.565673884
"721",660737.290435578
"722",816244.549187822
"723",651379.018137901
"724",454431.048091874
"725",553310.792158519
"726",476155.17374431
"727",496234.739525185
"728",246621.115147196
"729",1415554.21143731
"730",453220.151453328
"731",392221.040692351
"732",221658.518627645
"733",891858.099170395
"734",1316900.15930333
"735",692796.572692258
"736",309468.477765557
"737",791320.921872558
"738",359344.85905433
"739",696197.159922652
"740",423879.494772071
"741",275401.452893772
"742",964899.490435764
"743",601946.675170295
"744",701322.943559795
"745",392940.464364024
"746",737090.922557771
"747",606170.295930261
"748",146918.007612883
"749",666807.234218892
"750",689888.763012306
"751",314181.145741973
"752",1158461.96975744
"753",979100.006329452
"754",459102.912487204
"755",686545.06695293
"756",193021.34581912
"757",564594.646910108
"758",885829.034238102
"759",818987.727794596
"760",584029.62134436
"761",522026.006806153
"762",412742.22179285
"763",519343.649559522
"764",287170.627276699
"765",245163.132961907
"766",245163.132961907
"767",358371.499728857
"768",801333.150333814
"769",182048.631392022
"770",730506.551672175
"771",243971.868081691
"772",963859.978887346
"773",622645.104765834
"774",667832.655150718
"775",193227.866014516
"776",724560.343672596
"777",256447.684485019
"778",673361.212237278
"779",462975.138322125
"780",248601.568229734
"781",761457.445168656
"782",387285.343284155
"783",438457.792998953
"784",317236.16144476
"785",357680.356673645
"786",472620.273038013
"787",492450.732729753
"788",563946.033666002
"789",278806.153730005
"790",657291.197393514
"791",557748.093971731
"792",861757.947633625
"793",790341.906127939
"794",621791.66193063
"795",538700.266687628
"796",667901.445035893
"797",483027.214715298
"798",731989.30593125
"799",142716.84682082
"800",999301.123122259
"801",320603.014243561
"802",647920.732069308
"803",456136.115823905
"804",494345.408961645
"805",877622.965907997
"806",355025.178063924
"807",745356.102456421
"808",666927.958376341
"809",327964.50763903
"810",376149.502222582
"811",705952.146791449
"812",449275.241169829
"813",594058.597271738
"814",755009.297405696
"815",355666.169159515
"816",299635.058320678
"817",405102.625732961
"818",256203.31625219
"819",447143.854479345
"820",850056.242113882
"821",542202.0572128
"822",735193.731615979
"823",1179828.4417514
"824",516379.259459345
"825",388431.488373431
"826",279707.930586453
"827",272519.222954787
"828",440617.973660707
"829",797914.454971095
