"","x"
"1",319493.50612603
"2",839319.487916548
"3",271504.147730556
"4",513401.981467307
"5",522556.385523406
"6",464800.329098374
"7",616568.893472716
"8",270245.471925747
"9",232033.185334636
"10",605460.571409821
"11",313288.347477551
"12",272133.815186575
"13",191758.60041374
"14",271635.468511983
"15",512148.371417427
"16",677605.684344393
"17",738889.44684314
"18",457046.789704789
"19",649618.659054473
"20",359256.750310707
"21",822473.773400232
"22",217543.923670279
"23",272135.340839498
"24",410487.816471991
"25",739235.01166772
"26",273620.639208394
"27",1113799.11208108
"28",496279.05179228
"29",193240.095917737
"30",304431.26359767
"31",229334.206117291
"32",937129.608122377
"33",614305.039056742
"34",168764.744442352
"35",202528.728669931
"36",457033.065754068
"37",173194.062861151
"38",1201086.98226158
"39",1608062.66796991
"40",241801.18808372
"41",662948.960559091
"42",1047803.66930983
"43",239508.553198117
"44",328754.590017554
"45",170076.199462401
"46",1235622.95050679
"47",827090.505894766
"48",552824.505262895
"49",392717.502021708
"50",689945.595102297
"51",349365.975397008
"52",350633.889375153
"53",1389783.76958873
"54",1410187.54970311
"55",544690.835332173
"56",475785.032746111
"57",158667.914820099
"58",300885.21913878
"59",925916.563312649
"60",513601.979421769
"61",1013863.61521365
"62",652564.916383557
"63",352230.095742437
"64",515709.816178807
"65",457972.199377494
"66",216260.819250909
"67",137151.361209979
"68",923936.122002144
"69",683689.882065551
"70",480110.291377108
"71",792975.645436142
"72",917774.303151483
"73",345968.687736008
"74",500000.351048497
"75",394541.599748641
"76",900045.30923079
"77",385795.819131569
"78",661197.673724486
"79",308754.18870773
"80",1282800.79157617
"81",629464.341354759
"82",523469.219228175
"83",245147.089577732
"84",570084.102010306
"85",465577.77629377
"86",634771.522443701
"87",512924.342674039
"88",479289.032337685
"89",1186059.06822426
"90",1281705.25979268
"91",763346.22331067
"92",251975.645027258
"93",150934.181770673
"94",323698.944268977
"95",251820.902826194
"96",432940.508171081
"97",264394.733244019
"98",394538.245734269
"99",246522.577081703
"100",300632.021134231
"101",1133252.78966087
"102",458908.822255437
"103",346848.245612192
"104",730579.729988627
"105",511323.012700165
"106",968123.992622561
"107",181985.751378535
"108",312567.687049042
"109",1436403.15562284
"110",268504.657412693
"111",1955211.22780645
"112",217305.390479883
"113",271377.747700732
"114",334515.374274251
"115",2535404.64856722
"116",363214.429568366
"117",1500613.05338883
"118",161181.040000982
"119",385062.916510646
"120",692446.335762793
"121",277004.540909721
"122",238104.710917517
"123",247416.951790661
"124",785374.466646471
"125",252808.223464752
"126",378448.363354586
"127",812890.316871346
"128",1084645.80088553
"129",423644.349502773
"130",615834.198427741
"131",502726.018492695
"132",580000.053992259
"133",369552.306352988
"134",287411.031824816
"135",700463.362834529
"136",443397.462452351
"137",1048003.53107095
"138",256320.904626666
"139",454436.567362199
"140",296345.792913619
"141",532042.771742212
"142",941752.446757949
"143",469547.788582122
"144",364421.142618568
"145",708873.67067743
"146",708623.786374999
"147",217317.784453531
"148",350298.858892333
"149",556062.074585806
"150",246234.491356585
"151",231704.633418091
"152",332829.826947189
"153",263150.799357898
"154",1106771.89029123
"155",551872.734043971
"156",388244.210654432
"157",539294.702334724
"158",457714.814153089
"159",601121.627337781
"160",873873.539767793
"161",1259861.73459493
"162",797068.503711271
"163",337909.64494772
"164",1142180.17218935
"165",448288.142523416
"166",555360.376636488
"167",310790.823449452
"168",458249.274386977
"169",234459.388351414
"170",190791.314281598
"171",433403.105537964
"172",682137.329256524
"173",311885.969008158
"174",314042.499606718
"175",355751.631955541
"176",276709.322519861
"177",408065.415664856
"178",302901.410855184
"179",406897.528793064
"180",184498.914838122
"181",589380.797359457
"182",248382.353770392
"183",909405.954775246
"184",782599.508024834
"185",864032.618926522
"186",1211514.83212231
"187",301473.840124936
"188",485398.588491713
"189",230750.937955042
"190",452261.754739287
"191",177772.216662886
"192",554715.244541922
"193",266952.018454312
"194",299978.499382488
"195",255202.735903689
"196",364152.00978661
"197",193280.916502163
"198",233333.604836367
"199",427195.614292719
"200",204866.201003964
"201",365545.117285146
"202",216364.472183177
"203",169316.32638357
"204",242546.445921647
"205",580937.780742318
"206",293980.936433349
"207",359356.602892292
"208",214643.459286244
"209",522393.088495664
"210",258778.040768195
"211",160167.580875042
"212",566709.300245308
"213",446785.14219536
"214",580054.106988951
"215",832554.932707784
"216",305843.850423251
"217",747052.530823453
"218",271080.784628676
"219",317213.890804257
"220",372229.880214011
"221",221588.39311352
"222",625001.736415928
"223",260167.565897868
"224",174424.811128502
"225",325389.257199488
"226",145980.189243475
"227",934092.858528259
"228",579858.415113575
"229",476331.07897704
"230",779325.54048352
"231",335086.053407317
"232",317461.479070853
"233",371120.694034013
"234",485113.999321109
"235",188896.348753303
"236",454003.540999887
"237",493458.598950631
"238",475015.543083539
"239",420219.973806453
"240",905569.718283245
"241",343388.885040599
"242",429234.820722568
"243",529600.977574134
"244",386810.29326252
"245",752528.021725105
"246",668769.187285098
"247",297867.71334386
"248",251446.493167447
"249",421321.756806301
"250",876891.915091234
"251",638103.85234412
"252",421578.653333964
"253",413206.542669047
"254",338852.434955215
"255",214114.263658504
"256",372878.900718839
"257",222883.426138572
"258",534923.831017991
"259",424359.981572801
"260",378049.424481499
"261",1028789.96102317
"262",577264.396575683
"263",311332.09000794
"264",559072.599737342
"265",625402.80607438
"266",495133.130982184
"267",490329.688452652
"268",582628.152711085
"269",403510.074264501
"270",486375.494280582
"271",783516.791260237
"272",353093.224573217
"273",158613.758762466
"274",980826.550892238
"275",659503.296190325
"276",473685.304878495
"277",451157.610605509
"278",246613.679116929
"279",650169.780184502
"280",351740.39395493
"281",939486.203468994
"282",282957.596246967
"283",690736.968146351
"284",286427.607976763
"285",625163.456412816
"286",583793.912255512
"287",554131.312794811
"288",1522873.43811543
"289",296427.02619039
"290",603118.860590051
"291",264237.78229806
"292",323202.781021246
"293",450525.472046076
"294",1341145.48613711
"295",667761.72842033
"296",375858.545026953
"297",737632.756532076
"298",181924.471619278
"299",617299.7243956
"300",1042542.20892073
"301",318743.83066634
"302",409314.336536085
"303",766369.572298588
"304",801981.803360604
"305",459839.903900216
"306",1227430.83567655
"307",480357.037014232
"308",374277.434399281
"309",445524.536009282
"310",526765.059854782
"311",434893.417186547
"312",750442.196344906
"313",155831.827768961
"314",568591.69543369
"315",870222.501064344
"316",1604800.76621783
"317",499028.180583287
"318",255439.368979772
"319",1094523.99323927
"320",464712.71243373
"321",733238.307761264
"322",525279.225185591
"323",307184.339388632
"324",270478.967433836
"325",564056.891361188
"326",324503.503911485
"327",521550.435373275
"328",491253.634996885
"329",282713.368110145
"330",993423.188909898
"331",456324.328634144
"332",504376.810382048
"333",1176143.43207865
"334",380820.724494881
"335",402750.221871936
"336",223469.558276492
"337",860753.576412931
"338",596075.875179772
"339",353783.858762152
"340",608992.303101056
"341",226110.990021742
"342",364387.061381176
"343",296116.759219577
"344",245013.113274208
"345",305997.239341793
"346",315723.237232764
"347",222353.95849177
"348",338302.520888708
"349",462427.360851552
"350",467178.103525366
"351",344536.543947268
"352",383272.903751017
"353",321120.41900362
"354",526343.828002385
"355",337507.46258187
"356",493410.57922439
"357",435279.605487809
"358",288019.817941175
"359",313462.871539325
"360",298791.741565986
"361",521413.987498158
"362",1007250.81623654
"363",1461404.32366351
"364",382112.684161474
"365",122838.754463898
"366",803374.508997435
"367",351491.559717185
"368",334656.152412937
"369",650148.634316963
"370",529911.090595058
"371",307424.161656502
"372",412745.888248014
"373",533250.163237642
"374",641358.247941017
"375",452903.454429996
"376",1543041.78959071
"377",172410.980266474
"378",630885.431163252
"379",526348.209665414
"380",467341.826195894
"381",600138.397596853
"382",775991.347203786
"383",296612.170491362
"384",315022.477835955
"385",481189.786541326
"386",516855.456837099
"387",651593.455515609
"388",989182.627912624
"389",278919.294054349
"390",794158.10279265
"391",1579021.15852307
"392",656345.641615156
"393",733690.791499167
"394",1075730.27791701
"395",574457.716433284
"396",357306.108416353
"397",152586.374694537
"398",414923.29321967
"399",807476.869560044
"400",441133.787902528
"401",905099.6485335
"402",156396.775263485
"403",595464.873054942
"404",151644.245247465
"405",219483.13828965
"406",864500.068803889
"407",170503.111887987
"408",857599.176362984
"409",596030.837075268
"410",378412.917383717
"411",351561.157489822
"412",626041.261803512
"413",313387.133727092
"414",188609.204107811
"415",1131402.44690563
"416",384458.294284321
"417",327429.159334238
"418",236666.338947978
"419",295437.230970899
"420",137043.501038615
"421",454404.480016755
"422",980764.261195538
"423",269201.938357685
"424",944294.157740575
"425",683030.331814941
"426",471596.624583564
"427",1030475.581098
"428",1366139.32546848
"429",1054460.05692585
"430",661933.399083973
"431",850695.823499681
"432",326290.116982339
"433",656853.337822834
"434",585781.159193126
"435",249627.676932279
"436",689381.647680755
"437",406935.105082018
"438",1037025.34878798
"439",520095.902445539
"440",173930.997498285
