"","x"
"1",330591.782981597
"2",824918.545208067
"3",263222.214709986
"4",523667.94882002
"5",525783.764124154
"6",501627.747127889
"7",502486.764508688
"8",305046.624965578
"9",236637.353588015
"10",614793.095605609
"11",247699.901272695
"12",280014.703942711
"13",231039.269361334
"14",302406.797456234
"15",536709.419567845
"16",673551.867887524
"17",765554.343436759
"18",450429.79915678
"19",623876.333570846
"20",326394.365970942
"21",673112.557339698
"22",184214.364677456
"23",248148.827937685
"24",362073.591613194
"25",742206.676184058
"26",248042.609687189
"27",975810.477664191
"28",472144.754503595
"29",206065.023209312
"30",284223.606168568
"31",175208.572723615
"32",942194.14617339
"33",643915.9183413
"34",139206.319169878
"35",249708.615709226
"36",451813.893673735
"37",190620.300837226
"38",1210250.72027533
"39",1771831.18382577
"40",243426.339382275
"41",571230.58786472
"42",1098717.70637083
"43",239526.639520121
"44",304545.331385986
"45",115488.376515617
"46",1098313.98897992
"47",840242.116003034
"48",563256.093086785
"49",424036.969530585
"50",689619.283775232
"51",353447.895643922
"52",252017.810604075
"53",1412511.55689984
"54",1412511.55689984
"55",548186.404569079
"56",470720.302144403
"57",225918.069834629
"58",253687.392097019
"59",938473.973819989
"60",502540.571256789
"61",1048543.16047501
"62",605469.089416904
"63",408919.642460125
"64",457472.308173414
"65",485982.48608601
"66",262545.718847062
"67",111491.924798976
"68",966840.60641648
"69",667970.940159063
"70",473453.455870563
"71",759845.169152702
"72",950847.106064538
"73",340600.60514084
"74",470273.316238566
"75",402563.665881194
"76",943798.446378834
"77",409546.674506612
"78",649517.57888262
"79",375515.013791027
"80",1412750.29057739
"81",541402.158092506
"82",502916.344014276
"83",274770.060592311
"84",633050.007009373
"85",520689.054094865
"86",549851.119879932
"87",496154.853909512
"88",475215.232970284
"89",1278125.62321149
"90",1362239.56539732
"91",776654.280286738
"92",307482.313510789
"93",136667.581312359
"94",321654.039673576
"95",246151.654006413
"96",418965.104707946
"97",277097.767366052
"98",426050.403905676
"99",249745.989206792
"100",303832.35078705
"101",1073312.00002364
"102",408734.835986403
"103",399456.220760015
"104",705294.331072877
"105",512723.829449182
"106",969441.673175242
"107",237105.822967931
"108",304948.328008988
"109",1305107.43696587
"110",223362.584282809
"111",1862332.48114248
"112",206449.211678618
"113",260758.203089112
"114",339286.764837908
"115",3145653.87678055
"116",438118.128084385
"117",1449186.93334673
"118",122129.897008738
"119",385992.588203169
"120",504144.647855941
"121",200204.18719873
"122",271266.526472663
"123",251852.257597581
"124",856841.77873211
"125",292790.311046244
"126",432624.949675073
"127",852630.743414486
"128",1136643.04293332
"129",473675.430412613
"130",558384.973266617
"131",499287.957051829
"132",617275.234802021
"133",390401.393010461
"134",350298.701819263
"135",596273.969796192
