"","x"
"1",1379970.85231296
"2",860887.561454495
"3",272038.161587143
"4",946858.65815444
"5",928283.014383309
"6",492625.775229575
"7",685275.633248521
"8",1329938.19070028
"9",252032.148172626
"10",634933.327861752
"11",297805.87881102
"12",259796.595530099
"13",218034.238910494
"14",259600.851811432
"15",562131.823083948
"16",670987.622361104
"17",749557.313702682
"18",483758.045218551
"19",675232.663027505
"20",369877.051549167
"21",855081.562611633
"22",184655.155564647
"23",289665.341406873
"24",374931.73307706
"25",739455.928364755
"26",281009.496348418
"27",1144792.51746209
"28",502224.790032906
"29",207310.520985736
"30",302645.78521556
"31",175866.209523431
"32",901829.423783065
"33",582902.816778782
"34",144012.967021719
"35",233269.016591576
"36",426872.328829632
"37",204669.27483304
"38",1199584.87565148
"39",1615270.60467493
"40",248021.92291675
"41",634449.916093847
"42",998762.692405137
"43",232258.393911516
"44",335003.202006553
"45",133303.087511567
"46",1199763.9778665
"47",867803.24031754
"48",532607.898872229
"49",385635.607183743
"50",742733.839875288
"51",329874.303400817
"52",338401.822576179
"53",1446205.61250832
"54",1446205.61250832
"55",576004.921633111
"56",452042.853359749
"57",215147.283952934
"58",292211.689571327
"59",930587.967038543
"60",501771.95183511
"61",1016559.68416977
"62",659294.451636954
"63",346240.241650835
"64",498139.331962926
"65",463100.156201921
"66",237098.786058883
"67",296005.630330613
"68",914151.742497891
"69",668063.268341492
"70",521202.77026687
"71",802800.916875572
"72",938081.592348029
"73",331410.211432821
"74",455606.363020054
"75",423962.080102048
"76",856529.575657501
"77",396533.224852066
"78",665595.714652664
"79",319191.882370961
"80",1294303.09537897
"81",582271.8867146
"82",475647.046124635
"83",268833.951186113
"84",629486.497155715
"85",482851.124292432
"86",602907.745654001
"87",478717.684761242
"88",432610.957445865
"89",1181137.1947839
"90",1237186.39397892
"91",786172.065894499
"92",355499.527669972
"93",136576.182148228
"94",312255.41487206
"95",251365.745075263
"96",404093.769502296
"97",271445.333038418
"98",391805.812953852
"99",261558.235188464
"100",298620.855855907
"101",1062671.58589739
"102",475349.61117468
"103",357089.627732349
"104",726524.035979221
"105",568201.356892305
"106",962726.932100379
"107",223327.608012391
"108",305061.529765459
"109",1533035.705204
"110",237945.584627339
"111",1857788.80372896
"112",177943.840045459
"113",266012.982532471
"114",320409.668887823
"115",2536768.34846647
"116",367323.81747519
"117",1531235.46649344
"118",119760.413684303
"119",375612.126621942
"120",693498.93048905
"121",212419.511675628
"122",257295.869108116
"123",264770.0802978
"124",800650.401553345
"125",262735.089485831
"126",430844.198888863
"127",829716.325852057
"128",1066980.64737542
"129",419641.784867814
"130",567334.624673201
"131",530533.545835788
"132",591677.646982586
"133",372667.459407875
"134",325625.123585847
"135",675073.563707421
"136",426001.73369423
"137",1063975.44638244
"138",249611.782073807
"139",436924.592270149
"140",309758.305255059
"141",571166.546986544
"142",946413.661458291
"143",455248.814313477
"144",373277.398343742
"145",739645.511651935
"146",686428.113151079
"147",235525.356714799
"148",381818.414700739
"149",570767.369019471
"150",268408.766721539
"151",255138.874518243
"152",301810.598698501
"153",258014.298788446
"154",1201929.0724552
"155",566195.108213276
"156",386084.579067182
"157",556134.727864219
"158",455678.261542836
"159",628528.392918923
"160",847210.026099058
"161",1325046.64312031
"162",784850.357265942
"163",417776.798341002
"164",1091342.72456954
"165",468606.594615907
"166",573820.285389567
"167",358533.079625891
"168",440633.930281178
"169",230457.202742371
"170",194973.941537616
"171",444890.043369331
"172",681228.118778591
"173",339134.040026893
"174",292023.787274653
"175",355490.925193396
"176",303207.315635403
"177",373879.055908089
"178",295461.399368162
"179",418287.669437686
"180",191620.47705581
"181",578453.477861762
"182",234075.644274416
"183",877642.905200726
"184",773786.294468082
"185",875050.498769592
"186",1227730.41016348
"187",335723.930646462
"188",501232.907151217
"189",238112.788481001
"190",442731.91477388
"191",196761.038644521
"192",505418.831687194
"193",237277.815519704
"194",305995.153981886
"195",256209.601362652
"196",394731.098025698
"197",185511.825734593
"198",229712.42891218
"199",418737.150542031
"200",182202.482615523
"201",345359.665582707
"202",209762.544414963
"203",143582.884885421
"204",259772.806545193
"205",613577.876399945
"206",275129.132276077
"207",346344.47552654
"208",249672.138752417
"209",469557.273675876
"210",223918.874576785
"211",102604.845834659
"212",556515.940220952
"213",587038.307969038
"214",590671.143993673
"215",842673.854005921
"216",291945.850534643
"217",739687.004554557
"218",296648.511042885
"219",337727.752674075
"220",363498.665650781
"221",235889.710681678
"222",604377.41495714
"223",230237.596606091
"224",181158.471175802
"225",380595.264116747
"226",121145.005481659
"227",968408.825305191
"228",558701.957508042
"229",456120.323402793
"230",788982.949002736
"231",366235.873960057
"232",325269.022665458
