"","x"
"1",221900
"2",538000
"3",180000
"4",604000
"5",510000
"6",1225000
"7",257500
"8",291850
"9",229500
"10",323000
"11",662500
"12",468000
"13",4e+05
"14",530000
"15",395000
"16",485000
"17",189000
"18",230000
"19",385000
"20",2e+06
"21",285000
"22",252700
"23",329000
"24",937000
"25",667000
"26",438000
"27",719000
"28",280000
"29",687500
"30",322500
"31",696000
"32",550000
"33",640000
"34",240000
"35",625000
"36",861990
"37",685000
"38",309000
"39",488000
"40",210490
"41",785000
"42",450000
"43",1350000
"44",228000
"45",345000
"46",6e+05
"47",585000
"48",920000
"49",885000
"50",301000
"51",951000
"52",430000
"53",650000
"54",505000
"55",549000
"56",425000
"57",317625
"58",975000
"59",287000
"60",204000
"61",1325000
"62",1040000
"63",325000
"64",360000
"65",832500
"66",380000
"67",480000
"68",410000
"69",720000
"70",390000
"71",355000
"72",356000
"73",315000
"74",940000
"75",305000
"76",461000
"77",215000
"78",335000
"79",1099880
"80",153000
"81",430000
"82",7e+05
"83",905000
"84",199000
"85",314000
"86",437500
"87",850830
"88",555000
"89",699950
"90",1088000
"91",290000
"92",375000
"93",460000
"94",188500
"95",680000
"96",597750
"97",570000
"98",272500
"99",329950
"100",740500
"101",518500
"102",205425
"103",171800
"104",535000
"105",660000
"106",391500
"107",395000
"108",445000
"109",1450000
"110",445000
"111",260000
"112",822500
"113",430000
"114",212000
"115",660500
"116",784000
"117",453246
"118",675000
"119",199000
"120",220000
"121",452000
"122",382500
"123",665000
"124",205000
"125",5e+05
"126",921500
"127",430000
"128",258000
"129",511000
"130",532170
"131",560000
"132",2250000
"133",350000
"134",215000
"135",650000
"136",320000
"137",247000
"138",320000
"139",438000
"140",9e+05
"141",441000
"142",370000
"143",269950
"144",653000
"145",371500
"146",272000
"147",313000
"148",673000
"149",399950
"150",385000
"151",269950
"152",330000
"153",470000
"154",589000
"155",163500
"156",835000
"157",1095000
"158",269000
"159",560000
"160",615000
"161",585188
"162",305000
"163",166950
"164",799000
"165",4e+05
"166",230000
"167",256883
"168",423000
"169",465000
"170",440000
"171",385000
"172",210000
"173",470000
"174",226500
"175",425000
"176",180250
"177",464000
"178",320000
"179",625504
"180",592500
"181",465000
"182",477000
"183",1505000
"184",445838
"185",1072000
"186",467000
"187",686000
"188",527000
"189",325000
"190",328000
"191",390000
"192",235000
"193",516500
"194",655000
"195",5e+05
"196",315000
"197",213000
"198",475000
"199",416000
"200",410000
"201",8e+05
"202",472000
"203",225000
"204",210000
"205",455000
"206",225000
"207",480000
"208",363000
"209",181000
"210",250000
"211",481000
"212",455000
"213",415000
"214",349500
"215",245000
"216",592500
"217",385000
"218",315000
"219",255000
"220",693000
"221",780000
"222",237000
"223",425000
"224",290000
"225",285000
"226",415000
"227",272500
"228",2900000
"229",1365000
"230",436000
"231",236000
"232",331000
"233",365000
"234",450000
"235",770000
"236",455000
"237",405000
"238",370000
"239",467000
"240",405000
"241",675000
"242",5e+05
"243",389999
"244",630000
"245",580000
"246",879000
"247",265000
"248",446500
"249",404000
"250",267500
"251",3075000
"252",335000
"253",576000
"254",725000
"255",550000
"256",610750
"257",550700
"258",665000
"259",834000
"260",201000
"261",2384000
"262",305000
"263",487000
"264",390000
"265",268750
"266",819900
"267",240000
"268",240500
"269",274975
"270",186375
"271",790000
"272",880000
"273",279000
"274",295000
"275",260000
"276",791500
"277",245000
"278",485000
"279",684000
"280",309600
"281",165000
"282",239900
"283",320000
"284",387000
"285",315000
"286",252000
"287",375000
"288",3e+05
"289",9e+05
"290",679900
"291",463000
"292",380000
"293",329500
"294",604950
"295",465000
"296",673000
"297",785000
"298",280000
"299",530000
"300",380000
"301",297000
"302",730000
"303",275000
"304",595000
"305",435000
"306",270000
"307",950000
"308",389000
"309",560000
"310",1350000
"311",365500
"312",252350
"313",385000
"314",345000
"315",1118000
"316",330000
"317",365000
"318",378750
"319",269900
"320",557000
"321",360000
"322",437000
"323",450000
"324",278500
"325",364950
"326",840000
"327",268000
"328",517534
"329",632925
"330",577500
"331",563500
"332",355000
"333",1550000
"334",625000
"335",538000
"336",380000
"337",375000
"338",245000
"339",310000
"340",397000
"341",365000
"342",328500
"343",237000
"344",525000
"345",749000
"346",722500
"347",843000
"348",438000
"349",578000
"350",227950
"351",196000
"352",641000
"353",4e+05
"354",1030000
"355",505000
"356",475000
"357",520000
"358",1450000
"359",232000
"360",691100
"361",811000
"362",551000
"363",496500
"364",705000
"365",578000
"366",1050000
"367",230000
"368",359500
"369",330000
"370",80000
"371",465000
"372",342500
"373",868700
"374",1199000
"375",1150000
"376",859900
"377",520000
"378",460000
"379",438924
"380",590000
"381",378500
"382",328500
"383",849950
"384",525000
"385",295000
"386",1067000
"387",207950
"388",699900
"389",1280000
"390",232000
"391",669950
"392",397500
"393",490000
"394",299000
"395",437500
"396",650000
"397",475000
"398",342000
"399",280000
"400",529000
"401",442000
"402",615000
"403",1485000
"404",585000
"405",480000
"406",1095000
"407",615000
"408",3e+05
"409",308000
"410",750000
"411",890000
"412",190000
"413",515000
"414",235000
"415",275000
"416",727500
"417",650000
"418",365000
"419",662000
"420",270500
"421",2e+05
"422",970000
"423",160000
"424",452000
"425",595000
"426",249000
"427",280000
"428",530000
"429",375000
"430",910000
"431",782000
"432",259950
"433",315000
"434",215000
"435",705000
