"","s1"
"1",387444.599189267
"2",837131.104836317
"3",302530.843533946
"4",500061.822773765
"5",458386.858118687
"6",523011.684192152
"7",695715.987303784
"8",358376.913243193
"9",234984.903688645
"10",690015.889480848
"11",323858.144634737
"12",287103.73950247
"13",252475.971110567
"14",314161.745086772
"15",505697.6798191
"16",707908.797791656
"17",737220.519555748
"18",425448.850773985
"19",655399.336892539
"20",334607.056659566
"21",826217.61709846
"22",187302.159763115
"23",348952.651678565
"24",373839.238575928
"25",717576.645863256
"26",317053.915594264
"27",1110094.43555142
"28",430304.825351476
"29",247968.863691042
"30",333090.485443366
"31",215304.180209349
"32",908873.693624146
"33",603192.825128493
"34",197526.577848473
"35",272223.525604346
"36",447066.248984762
"37",206845.71908249
"38",1128801.5231974
"39",1597147.89887685
"40",281352.675771175
"41",686233.102028954
"42",1064997.40879296
"43",237819.5443916
"44",403950.447789129
"45",181045.160125788
"46",1110530.67959376
"47",834158.799820727
"48",559169.71258172
"49",406757.701048592
"50",681836.786887201
"51",340942.177307043
"52",412997.826621919
"53",1410992.16858055
"54",1421802.80110761
"55",504642.261948638
"56",447322.994426014
"57",140220.324456967
"58",284307.293582374
"59",863736.51554482
"60",447430.739587512
"61",987207.390272919
"62",696515.063479967
"63",387533.494983981
"64",581590.527345304
"65",505320.488892331
"66",218902.688614357
"67",192729.013877918
"68",915535.121430857
"69",600174.468661754
"70",475262.875899022
"71",794719.16276894
"72",947526.546143686
"73",392660.819520364
"74",554322.949808525
"75",446650.050939087
"76",883275.355647116
"77",419998.504516574
"78",619673.256564727
"79",382108.321104004
"80",1291806.54983452
"81",620442.017771967
"82",428464.407392615
"83",281286.21263857
"84",537502.53811213
"85",546262.795983537
"86",649025.046492915
"87",548712.887785398
"88",416512.223482046
"89",1145878.69558069
"90",1284625.55316363
"91",751116.940814598
"92",244948.922820977
"93",145726.684509592
"94",352761.777574607
"95",236671.688093124
"96",458867.666374328
"97",304334.763386239
"98",434447.395542536
"99",291700.03209769
"100",257240.177489376
"101",1062793.04186846
"102",416261.908257854
"103",374524.025903249
"104",654006.316572093
"105",500671.410412348
"106",952776.107146165
"107",223313.224119801
"108",339869.869917875
"109",1453962.220633
"110",269682.668695912
"111",1719513.85949822
"112",134383.694945809
"113",295378.181990612
"114",363600.684760638
"115",2589682.62852134
"116",390891.079676829
"117",1449527.40634467
"118",176883.082906487
"119",430707.395746325
"120",612364.856568028
"121",327964.93318061
"122",263279.343159453
"123",272096.273339179
"124",788638.512910741
"125",213272.346634812
"126",341739.887813515
"127",816140.844098156
"128",1069963.82604118
"129",443001.775270366
"130",645949.294099724
"131",481607.882789266
"132",610836.779522444
"133",337134.331771686
"134",271414.036976069
"135",744033.824547847
"136",484876.385165128
"137",1019815.76364704
"138",229807.545357416
"139",453968.16318477
"140",342882.883287246
"141",503851.186712822
"142",903421.140358049
"143",457807.603177586
"144",408580.18713803
"145",726890.86561247
"146",684131.512431888
"147",216868.313455387
"148",329277.502929413
"149",608027.532991782
"150",260026.447642623
"151",237556.985372078
"152",263633.483025933
"153",277347.465462207
"154",1208998.05105875
"155",574532.968648328
"156",404650.081885076
"157",509508.513802347
"158",462393.895132084
"159",579501.433630462
"160",821069.183955498
"161",1277185.47283282
"162",714000.500979978
"163",349318.649671648
"164",1124518.82484153
"165",395642.111875162
"166",529470.873497965
"167",300916.283771184
"168",413901.614878747
"169",261427.915750904
"170",245306.95485513
"171",464915.743627828
"172",704316.898524911
"173",326769.390860437
"174",340259.041087587
"175",317441.823371807
"176",289359.153459671
"177",403794.679718377
"178",311092.915193467
"179",493556.007178456
"180",185601.550329919
"181",564315.460230711
"182",233570.881427796
"183",967416.532464561
"184",772409.38129467
"185",842360.625707742
"186",1231875.60303303
"187",326512.849342502
"188",505675.113922027
"189",249428.490776527
"190",422715.61046937
"191",185973.123890477
"192",512429.36936132
"193",194125.381337869
"194",314355.631181188
"195",290913.396976069
"196",372411.783997819
"197",239491.895622923
"198",245056.953377749
"199",487127.003719934
"200",185332.217776595
"201",381999.901173058
"202",208273.642681896
"203",185222.168009588
"204",270129.417955434
"205",564509.279074535
"206",315707.98528483
"207",366833.057033423
"208",226269.963949861
"209",519997.586685235
"210",236122.245374198
"211",173928.195819403
"212",573362.151237994
"213",426319.669008206
"214",515307.104761052
"215",784999.530442167
"216",239572.324485423
"217",674641.517545609
"218",283728.811938339
"219",328332.458636735
"220",402724.166084244
"221",286049.596905651
"222",645183.409503984
"223",275303.294093218
"224",201556.266372222
"225",308546.859448698
"226",166936.903904262
"227",894212.710911477
"228",560695.128779371
"229",510305.749683203
"230",728829.606247411
"231",385004.764878522
"232",371326.374378119
"233",451740.223126963
"234",423678.572923346
"235",112619.177000964
"236",501201.974908885
"237",471919.910044764
"238",516471.855922433
"239",469802.945454809
"240",845513.760680752
"241",336792.258994611
"242",469262.458472891
"243",509641.706478936
"244",341300.62881075
"245",713601.048515242
"246",620434.426108945
"247",320558.264328209
"248",275279.232623904
"249",388011.791776498
"250",867496.313440428
"251",695610.85938582
"252",464891.572545481
"253",478365.477932344
"254",368562.485327289
"255",276796.121470124
"256",417169.066532981
"257",204932.23924779
"258",506767.725425822
"259",491683.032769979
"260",416740.61615249
"261",1049815.49086332
"262",576534.0772894
"263",336486.565898085
"264",531066.371955469
"265",629587.390324067
"266",584916.13210294
"267",482774.860162905
"268",603273.471106419
"269",484134.624259842
"270",534081.328392188
"271",718310.692626515
"272",377290.050254
"273",212738.886226159
"274",976868.921849535
"275",643980.037157246
"276",485994.05081839
"277",449511.496927339
"278",264315.477215866
"279",704989.796491652
"280",302878.007479499
"281",967905.77655503
"282",317986.239186485
"283",654501.392309406
"284",350392.536085012
"285",650310.885991524
"286",624411.819281253
"287",596880.537804319
"288",1428980.09269374
"289",281037.0999681
"290",535419.053320746
"291",259636.16413631
"292",373568.391260716
"293",482521.777241745
"294",1287650.25861428
"295",678111.834197197
"296",328228.648026493
"297",763967.958944296
"298",136985.818731587
"299",586209.762971182
"300",1002903.28726203
"301",345984.80479776
"302",336360.744349023
"303",760353.695851305
"304",756869.509548267
"305",489258.726666555
"306",1172808.39382182
"307",425100.539303439
"308",289990.976055529
"309",483115.825020198
"310",568162.157447401
"311",440452.506065377
"312",706581.006375425
"313",177542.960154822
"314",531604.074335885
"315",861960.79255582
"316",1455311.509528
"317",476725.357921128
"318",269934.901517795
"319",1060347.30156821
"320",481743.18703333
"321",749434.960597287
"322",575769.42334036
"323",303765.628478613
"324",309734.0921346
"325",579782.500080441
"326",311551.412172814
"327",523744.204237498
"328",465737.928564546
"329",280857.272435521
"330",939011.017716045
"331",436497.698557819
"332",428398.094766625
"333",1145907.39921204
"334",404278.182700914
"335",446293.109851754
"336",290792.971498594
"337",782857.755171337
"338",583875.510011104
"339",375853.640956298
"340",589085.025304204
"341",191024.016778539
"342",392879.270210299
"343",314630.274013549
"344",235603.654937584
