"","x"
"1",432363.497785415
"2",838818.498345898
"3",283162.491593153
"4",587860.420707312
"5",596050.29442102
"6",464941.498774912
"7",670898.727475306
"8",390071.873143266
"9",244942.760832114
"10",614763.172805643
"11",303380.594256102
"12",278914.133536005
"13",197845.097915941
"14",274965.135380722
"15",506861.706616452
"16",678396.174451245
"17",740355.036327351
"18",470368.346606537
"19",641666.178714825
"20",359418.146192747
"21",836949.413260843
"22",208638.811509245
"23",268351.298180831
"24",405808.853713152
"25",742217.39007816
"26",284650.557762425
"27",1140710.35617975
"28",521082.997916181
"29",201730.202486702
"30",305508.614120025
"31",233109.998904523
"32",943094.704876905
"33",608673.085876678
"34",164449.804946761
"35",209812.529162653
"36",449363.824512178
"37",178738.477929446
"38",1168354.03080203
"39",1621998.54840115
"40",239103.368966492
"41",659710.043888367
"42",1003643.20360271
"43",229337.810427517
"44",330184.359780743
"45",162823.935259284
"46",1232931.26686909
"47",835639.924093967
"48",548132.888364412
"49",397470.499356513
"50",685997.702385956
"51",347007.28465183
"52",347354.084241498
"53",1410716.71699782
"54",1431305.68731975
"55",524029.184902054
"56",478167.226929912
"57",168175.09716901
"58",283183.796097176
"59",937908.019284627
"60",500628.066711886
"61",1016529.07407783
"62",646547.14239811
"63",367364.752065245
"64",516269.558822386
"65",458659.422183198
"66",225880.137620574
"67",120761.901156948
"68",934342.855529622
"69",663969.057129273
"70",476590.24867119
"71",787435.040012971
"72",929748.961574702
"73",355852.273331672
"74",501108.363144571
"75",399435.789821212
"76",902676.370801608
"77",392130.433200716
"78",665498.261531839
"79",320661.666853496
"80",1285020.05046332
"81",620391.54449747
"82",508315.983358191
"83",253218.604748525
"84",601923.830883612
"85",477427.916703423
"86",639626.021014323
"87",514862.165013863
"88",465818.166599017
"89",1182162.17750668
"90",1292373.78421442
"91",767939.223820891
"92",258916.839488254
"93",145301.869361633
"94",337765.63841214
"95",256576.813774021
"96",425631.787909354
"97",271423.296534981
"98",399798.19479883
"99",243766.42128169
"100",309649.094968734
"101",1150575.69590434
"102",456405.852090934
"103",354089.171811171
"104",735656.813508458
"105",498466.320382479
"106",972919.76380234
"107",174640.465834296
"108",313533.921490259
"109",1520730.4688085
"110",265246.0714336
"111",1872657.21976832
"112",217096.343921331
"113",277361.725843373
"114",341922.54129239
"115",2607238.7236936
"116",367151.867483398
"117",1520977.02237389
"118",152450.30020326
"119",392571.577813733
"120",692339.90120626
"121",252769.730568722
"122",245129.374149426
"123",252208.771320684
"124",769065.509153756
"125",254601.716492585
"126",383293.92209407
"127",811760.822209487
"128",1096780.46870242
"129",432793.710674558
"130",599777.596373597
"131",506829.889491442
"132",586978.545871181
"133",386539.909776418
"134",287787.136360169
"135",705164.227284039
"136",442130.456175177
"137",1050597.1711675
"138",268171.925252959
"139",462220.276240838
"140",289946.607654251
"141",534913.748278978
"142",946325.821096992
"143",477412.717853932
"144",365630.649435178
"145",711589.685123535
"146",697054.65586568
"147",221510.549566357
"148",360095.755189259
"149",532347.416715717
"150",252956.359078467
"151",222751.312296109
"152",318572.378263797
"153",266768.155720307
"154",1150994.98744073
"155",542838.868962354
"156",390504.613116512
"157",533834.028851942
"158",468303.209040208
"159",602591.905896681
"160",864853.268781127
"161",1275330.47490948
"162",805525.623082897
"163",351258.900873182
"164",1140981.67046221
"165",443302.652688007
"166",548265.474162248
"167",308113.174248683
"168",466749.097597754
"169",222779.705307407
"170",196939.437244055
"171",444932.746639696
"172",674640.542259125
"173",312545.976720883
"174",324522.47985224
"175",355840.307302278
"176",285858.006403992
"177",398004.875719865
"178",292429.532041323
"179",412959.572576894
"180",195308.408287839
"181",590440.841963195
"182",257094.569228531
"183",842391.524673921
"184",779956.959388849
"185",867631.221307114
"186",1212438.16815882
"187",306075.503674485
"188",484307.651951473
"189",239303.778230833
"190",465832.144535519
"191",189979.095287123
"192",552573.692487165
"193",264670.792892499
"194",286471.620672059
"195",253936.31832509
"196",380778.412226923
"197",193154.38817912
"198",253861.899101666
"199",418310.059052429
"200",195616.286644426
"201",360024.965192058
"202",226037.372253281
"203",162941.749179187
"204",254677.387134508
"205",582212.122945338
"206",298638.447842684
"207",351684.476459189
"208",216292.852067053
"209",508667.814327482
"210",232354.424167734
"211",151686.123795981
"212",572958.3425875
"213",452618.499746569
"214",588292.385395294
"215",841264.077771791
"216",303838.6679046
"217",745417.241178046
"218",266518.754266791
"219",313555.135117489
"220",380269.338865802
"221",244646.704104085
"222",624002.584823148
"223",244205.391900337
"224",172865.34766801
"225",327522.258469851
"226",136462.266817372
"227",937715.620448768
"228",578947.111010458
"229",476746.392304222
"230",764194.765172777
"231",330516.916978939
"232",314467.896269672
"233",367904.056858347
"234",484106.618936713
"235",183377.073201266
"236",472117.53309747
"237",497522.652770659
"238",476106.173212561
"239",426048.719573058
"240",913773.801650943
"241",359312.35465558
"242",457738.85913785
"243",535004.209511749
