"","x"
"1",419295.437614866
"2",845551.189204152
"3",305946.04765866
"4",620203.953576414
"5",572654.019761673
"6",469122.81214105
"7",649505.403040827
"8",405305.643246611
"9",232566.674289086
"10",640855.47156471
"11",309504.753744677
"12",276381.357337707
"13",203457.942394748
"14",299164.145634806
"15",506955.083035113
"16",682490.257182042
"17",754561.821724536
"18",437915.722702373
"19",646969.886320459
"20",323579.861865649
"21",845684.796315806
"22",190384.230360807
"23",283359.368130716
"24",420132.585842626
"25",742286.478400354
"26",285037.251720666
"27",1126932.72359043
"28",479434.996074458
"29",201349.28019323
"30",305770.480374838
"31",201805.376253635
"32",948282.250606866
"33",618892.684872567
"34",155254.595739516
"35",214053.71227082
"36",458603.192827345
"37",176779.686047477
"38",1165190.42505571
"39",1626675.1492398
"40",254383.516343205
"41",664906.647964011
"42",1031359.73802065
"43",244702.038614339
"44",356922.932387055
"45",147940.138884434
"46",1217284.54674956
"47",826625.72954221
"48",554931.260573577
"49",388426.656421542
"50",679901.151771851
"51",343992.826451967
"52",369408.776715113
"53",1429369.21045542
"54",1449287.60136534
"55",544977.191879369
"56",475388.545259831
"57",162837.26910666
"58",296268.706975106
"59",936500.829794012
"60",492516.256209473
"61",1020787.21610928
"62",661699.581668657
"63",358334.60477777
"64",538623.564022916
"65",461189.554703935
"66",212084.340118205
"67",125141.399702272
"68",932599.194839201
"69",646244.416757071
"70",475748.731402994
"71",793969.653119126
"72",932769.041243611
"73",362676.588390092
"74",512345.247941032
"75",400307.771402052
"76",913777.502113421
"77",388112.953991775
"78",665184.6483869
"79",299553.580908465
"80",1291393.11163603
"81",645712.321260365
"82",487282.970119491
"83",248493.740156137
"84",580056.44437773
"85",486240.666026341
"86",669245.735173697
"87",526600.302395131
"88",453585.07207236
"89",1190191.28668899
"90",1319718.81237381
"91",778372.543458648
"92",255326.988056448
"93",111511.842083485
"94",310619.589288589
"95",236476.832549028
"96",442386.968425149
"97",256356.607343612
"98",426809.716778372
"99",282512.245467849
"100",284485.033297271
"101",1077722.76680907
"102",443448.109889174
"103",359858.676853774
"104",731361.760881064
"105",512635.277246315
"106",986790.826840541
"107",187695.998690355
"108",292494.700049718
"109",1458837.93417365
"110",261392.369383442
"111",1761909.03325828
"112",193818.132286472
"113",274967.106203108
"114",328565.552789991
"115",2687406.60704701
"116",378331.388113244
"117",1503171.08197051
"118",132242.411666068
"119",400659.387417853
"120",654900.223655863
"121",253004.688879075
"122",241123.372605132
"123",256425.063733619
"124",814109.622275938
"125",262312.271949762
"126",382949.727221008
"127",823357.147299338
"128",1104315.88567257
"129",432479.30368009
"130",604247.138171525
"131",506176.294475808
"132",588401.851242446
"133",355785.638467319
"134",298229.723843911
"135",698546.211299511
"136",433192.943772867
