"","x"
"1",425930.368553139
"2",844135.938340319
"3",311774.884321555
"4",649922.960446698
"5",603688.101135033
"6",464891.126580026
"7",645735.661686791
"8",402548.303464768
"9",235549.491289738
"10",636944.03291689
"11",311447.276188282
"12",271789.335206759
"13",198196.28038614
"14",303013.166624975
"15",510172.772109768
"16",678495.439782325
"17",759451.294826278
"18",443113.785509477
"19",650973.450916365
"20",328351.346402339
"21",844214.840299762
"22",193126.756507225
"23",286647.78522385
"24",423710.859715529
"25",739489.487815304
"26",288674.984789868
"27",1123770.35651824
"28",484024.192255677
"29",204729.909792033
"30",308862.489350721
"31",207869.268563118
"32",944265.549290347
"33",622961.949334559
"34",149677.361153475
"35",219023.037472831
"36",450900.99708192
"37",170725.73264415
"38",1169375.51535097
"39",1622997.60645344
"40",257427.724055463
"41",668811.606647194
"42",1014536.08148936
"43",247462.055652475
"44",352342.274856342
"45",142304.649990028
"46",1222816.93310905
"47",825772.243208336
"48",558332.352863327
"49",384374.522032979
"50",686002.381069264
"51",347921.157509883
"52",372500.528697076
"53",1426970.16780084
"54",1446864.72138721
"55",537968.069713145
"56",480099.383665775
"57",165702.060724542
"58",290691.738736075
"59",935341.939411786
"60",485733.156433757
"61",1016568.24991084
"62",666124.603867521
"63",363406.891183468
"64",543362.945822972
"65",456881.036394664
"66",214884.732907673
"67",112885.838484451
"68",929035.45745788
"69",638527.050620807
"70",472077.017635359
"71",797879.568668723
"72",929420.291400683
"73",357396.108356355
"74",508244.946724638
"75",404846.93576047
"76",909527.214873814
"77",384236.705081042
"78",668993.866135688
"79",303311.787926514
"80",1288968.87486944
"81",648575.4642357
"82",479613.213414044
"83",243943.591274296
"84",584963.414091342
"85",483538.079299538
"86",673175.12065118
"87",522376.130323097
"88",446492.730005386
"89",1194831.75908378
"90",1317388.8774514
"91",776114.195126182
"92",261258.383236574
"93",114573.35401461
"94",313429.560923347
"95",238032.527168174
"96",445551.387662702
"97",251045.745875412
"98",431326.062053627
"99",276860.884634848
"100",285239.99363203
"101",1074896.71490085
"102",438254.545250652
"103",363264.859476088
"104",729132.797773097
"105",505025.262282587
"106",983025.071744988
"107",177712.097119183
"108",289324.592276962
"109",1457052.47159946
"110",267128.231480389
"111",1756680.66282425
"112",199753.765997469
"113",278036.994633755
"114",324458.531991012
"115",2692133.40546576
"116",373827.767793971
"117",1509277.7717441
"118",125752.741859511
"119",395711.245315874
"120",660762.480125827
"121",246546.9542611
"122",236389.427406222
"123",259789.3516183
"124",805762.350252826
"125",265660.64239715
"126",375588.757331991
"127",827678.850374092
"128",1101028.76384336
"129",428841.338208293
"130",599909.767519192
"131",510370.497924341
"132",584120.68859037
"133",358996.751986891
"134",301306.163997974
"135",701860.109307033
"136",428344.025391137
"137",1077832.06136117
"138",248331.012026402
"139",469802.745954836
"140",275375.844090119
"141",533569.375605533
"142",938518.725709825
"143",483198.924936539
"144",364506.353658009
"145",713682.895533075
"146",704357.544333069
"147",221530.256561201
"148",327484.751402311
"149",576758.256474977
"150",249265.771025949
"151",218973.269871814
"152",303860.387744354
"153",260736.736726116
"154",1173040.26066969
"155",545411.536174183
"156",382119.802808102
"157",535966.734928333
"158",479732.017325037
"159",606556.844855866
"160",876119.118913321
"161",1300103.05379749
"162",795327.820270077
"163",337896.818605461
"164",1144336.76378608
"165",426917.233589427
"166",554785.113406506
"167",283485.074950499
"168",471290.919689155
"169",248039.533269609
"170",187740.081905302
"171",436792.281258932
"172",677598.530150169
"173",318995.171574786
"174",323843.510653683
"175",337456.232797839
"176",270990.511096851
"177",393431.76467569
"178",291987.512438766
"179",426985.577498115
"180",172860.110646808
"181",582064.867179346
"182",244108.901947129
"183",1004160.10018937
"184",801840.088909352
"185",858245.799831959
"186",1230637.10886445
"187",292864.681914472
"188",479722.074234922
"189",226160.494418339
"190",464101.423280182
"191",185212.801496951
"192",571612.112283352
"193",260933.280241684
"194",286382.932516419
"195",276429.822376226
"196",380862.398876635
"197",188128.594857043
"198",247699.530368973
"199",434752.200300612
"200",185169.417788114
"201",360608.747671014
"202",227415.380003388
"203",137712.605649723
"204",257858.243906829
"205",572113.408398722
"206",280829.613095144
"207",345339.560921493
"208",211983.365675261
"209",532071.621080259
"210",245892.630811016
"211",128671.168962783
"212",583975.777040258
"213",457736.552381702
"214",593108.439177569
"215",841714.60526553
"216",270474.253291895
"217",733229.52871488
"218",243575.239665025
"219",285421.209196046
"220",376934.099270987
"221",236662.129466728
"222",647524.340575479
"223",220910.737503257
"224",158953.059295245
"225",330292.037420222
"226",144417.675877703
"227",935121.959183141
"228",574120.830509526
"229",471891.049057978
"230",770608.228991865
"231",345914.319873601
"232",314547.530549374
"233",398952.231637224
"234",459470.534697261
"235",168563.820914518
"236",504420.322267274
"237",502111.626686838
"238",479889.33130061
"239",425950.529693913
"240",921968.117142713
"241",360950.957381433
"242",447700.06888158
"243",536750.795313135
"244",374160.133575421
"245",743328.470721983
"246",657024.821178156
"247",308498.087019243
"248",238767.625647981
"249",404540.865717779
"250",868724.413025608
"251",660120.936077003
"252",426164.160063463
"253",414940.240228977
"254",347219.627002732
"255",214974.478943802
"256",397120.477853291
"257",181883.174789789
"258",551469.596560903
"259",451377.540783268
"260",368250.139664796
"261",1042506.03366797
"262",600373.47568588
"263",315293.85593902
"264",560302.506434689
"265",618495.099198496
"266",516433.251456213
"267",509377.242106891
"268",571403.777070103
"269",418537.226154111
"270",505444.499336668
"271",780438.600892592
"272",356793.016714414
"273",135729.040307032
"274",989207.206054649
"275",664222.108901356
"276",484648.706764179
"277",442691.390417964
"278",245025.945442447
"279",662292.502591311
"280",333284.572538429
"281",992937.940254997
"282",285447.045619138
"283",685913.937122127
"284",279867.180083408
"285",652697.280156189
"286",583776.609731383
"287",557287.992455096
"288",1454601.59926211
"289",277904.526484959
"290",580242.722618472
"291",244135.170004518
"292",317085.493526355
"293",474895.33071437
"294",1346113.78894171
"295",686363.91484582
"296",323460.317136226
"297",736741.211771675
"298",168593.652211095
"299",637045.564223772
"300",1026103.9661038
"301",306759.868886611
"302",366718.207224161
"303",790538.537835396
"304",797531.619757454
"305",472287.345413016
"306",1230851.68479411
"307",455690.428376638
"308",338823.63031142
"309",460955.657911189
"310",523506.953518035
"311",441840.00906674
"312",767518.535078689
"313",144828.949008499
"314",561546.850816468
"315",878689.683531386
"316",1481481.41316142
"317",490475.241159926
"318",263560.575215317
"319",1108840.21318357
"320",476893.108654895
"321",767999.374966251
"322",535447.609215584
"323",265636.578925006
"324",256115.985132407
"325",570617.831232518
"326",297283.936824842
"327",533651.81695516
"328",472677.240757616
"329",284733.510762243
"330",984851.47579853
"331",469336.717885664
"332",478183.665741034
"333",1204881.94245289
"334",401931.553946993
"335",412462.2572372
"336",241918.804919122
"337",813452.223254836
"338",609199.532138615
"339",374179.820783758
"340",608772.519245471
"341",223394.260799191
"342",361153.498304729
"343",283209.897501107
"344",229463.138263963
"345",278534.342326836
"346",336117.299761347
"347",213074.207709964
"348",344002.57923084
"349",476470.53537187
"350",452689.162796497
"351",294683.907155706
"352",398892.714861935
"353",332536.784833435
"354",561187.457330021
"355",351815.078542747
"356",494106.499885588
"357",452071.348410398
"358",340219.384826075
"359",310469.924705675
"360",323055.079375301
"361",500414.000861619
"362",1017329.30831809
"363",1484448.83342856
"364",406378.911692942
"365",135534.658894551
"366",833940.602711063
"367",369883.452942655
"368",327921.102286749
"369",664890.930622517
"370",562276.279450583
"371",312367.454819716
"372",416369.690547585
"373",529949.868292899
"374",673678.157744978
"375",421296.576100739
"376",1598652.47985604
"377",166229.426631366
"378",632583.357144121
"379",518095.418671816
"380",455617.071697094
"381",600662.269662305
"382",776077.610852288
"383",347527.763964523
"384",365478.596798193
"385",482360.011584745
"386",537490.351216066
"387",617907.263303034
"388",997995.927097323
"389",301277.616893182
"390",805626.73616081
"391",1447709.87268655
"392",660022.207779851
"393",745958.97965458
"394",1069715.47865606
"395",581540.928966289
"396",364613.664911242
"397",178482.757878876
"398",423661.19855971
"399",823555.86191526
"400",407659.534135942
"401",907712.391092988
"402",144737.116315175
"403",594532.567623284
"404",142567.23122186
"405",229060.963073515
"406",884847.2947151
"407",174855.939805193
"408",891957.815864171
"409",610330.869913888
"410",318685.760562924
"411",333102.999518074
"412",660496.19442406
"413",327696.050635992
"414",160556.448623246
"415",1150802.81039371
"416",368572.857604436
"417",311991.924287844
"418",245396.356448252
"419",289237.454753336
"420",146907.154962754
"421",441547.159235681
"422",993055.318243605
"423",258777.208464207
"424",938199.521155187
"425",690337.380082013
"426",488632.070340004
"427",1040892.4408731
"428",1391118.77183633
"429",1109938.18374953
"430",676225.278389844
"431",835990.083757844
"432",347460.837293239
"433",665936.856101332
"434",585576.116513184
"435",262821.974542021
"436",713462.36462239
"437",399521.820817822
"438",1036553.09078317
"439",525362.078185235
"440",193904.269138291
"441",547618.109698004
"442",279810.023141176
"443",806139.711449718
"444",1266644.4282659
"445",209885.893979011
"446",350305.157049578
"447",284469.369274931
"448",409804.345995064
"449",270147.536766492
"450",669199.522948384
"451",862706.625414692
"452",263325.151223622
"453",460950.54899051
"454",438944.466114815
"455",517040.980623956
"456",527682.496067788
"457",191099.161851625
"458",665713.900489386
"459",930796.386545424
"460",200040.929257539
"461",1136910.48339403
"462",280987.488561041
"463",1241842.386896
"464",648085.152904818
"465",464569.144315755
"466",585940.647603818
"467",406973.058591555
"468",314884.490198624
"469",169930.320445424
"470",804638.317675875
"471",783891.884511487
"472",241820.281348048
"473",244736.662628816
"474",920074.392852674
"475",363520.172177275
"476",466657.774890789
"477",381025.609535866
"478",472256.271216802
"479",298474.80917205
"480",450900.701227242
"481",299313.278858381
"482",278257.377983132
"483",641913.112584333
"484",769976.605023809
"485",447035.244637607
"486",590885.98960551
"487",517696.320839041
"488",1216479.33241851
"489",260375.258825108
"490",234988.428165027
"491",401511.313355202
"492",484387.01007634
"493",118497.547781927
"494",322932.211889187
"495",1441370.85555433
"496",298186.161198874
"497",311998.015883173
"498",1360440.65548605
"499",805022.727313559
"500",407548.535212964
"501",167483.552170278
"502",276468.102639948
"503",310133.539332171
"504",481124.681734343
"505",305432.075979039
"506",213245.962555453
"507",128597.08065225
"508",529822.476458023
"509",935909.797877416
"510",636994.866724444
"511",398773.70260114
"512",213627.817408875
"513",608319.316476014
"514",766900.774543894
"515",1108948.03494506
"516",1310709.87132772
"517",1336892.93323161
"518",278861.8351195
"519",126483.62607017
"520",382323.00845646
"521",576898.09094718
"522",373220.754683702
"523",555638.16523895
"524",575593.18034145
"525",502925.861174897
"526",226047.145680974
"527",501649.584201722
"528",265704.824749017
"529",1104663.30535111
"530",564442.514797598
"531",414304.724040791
"532",1147464.1476858
"533",870311.948989271
"534",841252.886853821
"535",673441.408775361
"536",476101.374756111
"537",939875.538208193
"538",581204.161813575
"539",316921.839040928
"540",463210.641799982
"541",570077.981014532
"542",315853.063418343
"543",416325.541900013
"544",697257.128565382
"545",1050389.16915729
"546",297694.088553988
"547",417922.141605773
"548",231045.671891918
"549",822755.74755696
"550",577989.211392212
"551",173933.288477178
"552",572808.650388533
"553",688072.972210134
"554",776590.039166752
"555",607872.709203706
"556",276133.283837623
"557",249298.355506552
"558",539170.539998861
"559",169779.341150587
"560",803937.216202028
"561",557359.422002958
"562",445510.704971513
"563",308845.236313075
"564",914075.187194627
"565",188113.558074381
"566",426016.750887089
"567",673111.853827008
"568",492403.383607146
"569",1163507.7866624
"570",338681.899795037
"571",420534.039704609
"572",629330.913787679
"573",259594.766882249
"574",465546.730500053
"575",274439.8012422
"576",157026.138812909
"577",549497.88504756
"578",322879.684336401
"579",978844.486966363
"580",351477.801309819
"581",677957.183383492
"582",313812.27635448
"583",664795.406564058
"584",534822.234874735
"585",542972.598284437
"586",437636.559320061
"587",308233.51750354
"588",983664.887214228
"589",286204.195508577
"590",255613.77283513
"591",20414.8620216197
"592",158239.03761619
"593",504456.90755584
"594",458070.82246594
"595",350063.082503217
"596",1404817.75792147
"597",413175.491508484
"598",614483.891375507
"599",576274.483011852
"600",849537.639927727
"601",681685.389312745
"602",704177.680642172
"603",558918.261871393
"604",276351.756088759
"605",378727.719633376
"606",740578.72384061
"607",131645.883804836
"608",463607.918092026
"609",341067.353028938
"610",482170.749714085
"611",1810043.14852024
"612",554636.912017796
"613",605828.885816816
"614",257790.136382323
"615",401624.274233489
"616",235656.112518816
"617",1050330.20689188
"618",184507.417630842
"619",395219.725447747
"620",545631.60065022
"621",861860.384758281
"622",267875.328977551
"623",509433.946946978
"624",243072.758391784
"625",433394.07055186
"626",709752.233856665
"627",347628.283228445
"628",1031936.39885447
"629",501531.932328578
"630",473263.082278842
"631",478704.380463198
"632",262040.196318651
"633",508192.866320691
"634",128708.346179752
"635",514786.960779428
"636",565950.978358356
"637",490055.636103635
"638",463122.864155539
"639",118924.753324507
"640",456940.541571916
"641",256692.610103678
"642",496400.460849652
"643",424621.956570043
"644",430587.619008914
"645",366770.918166259
"646",1090828.16201984
"647",384865.080687547
"648",501316.344971528
"649",654473.151286041
"650",791791.118403869
"651",211980.626312628
"652",1115091.44530787
"653",637707.947428422
"654",143925.022158739
"655",996855.876956549
"656",253470.891814763
"657",177947.512888139
"658",419798.952079248
"659",360548.481600037
"660",413570.959983702
"661",378567.285003091
"662",445376.765692278
"663",710945.80502247
"664",290153.738766834
"665",176959.156243455
"666",63386.0588240581
"667",396621.608593433
"668",646537.020187623
"669",485740.863903158
"670",481025.826650734
"671",531375.076749631
"672",478979.856631104
"673",1393375.33963175
"674",471034.352544777
"675",394314.731870421
"676",726208.853188634
"677",1232463.43872891
"678",129539.410351852
"679",448134.973266925
"680",476506.194012112
"681",253135.111778417
"682",181440.440671079
"683",1123374.97368312
"684",503770.898764864
"685",404831.278535507
"686",748402.912748894
"687",414944.944388379
"688",270744.48785
"689",680279.842172123
"690",381707.449813728
"691",422391.012234084
"692",1266227.94536803
"693",661035.224838015
"694",783246.87485086
"695",644595.61510128
"696",808114.623399344
"697",479874.588415058
"698",521309.613467151
"699",289626.973252208
"700",1517141.2535765
"701",651216.490455757
"702",1532039.04516593
"703",522104.033218931
"704",258716.79559485
"705",473917.683045519
"706",506111.69449855
"707",557800.919997173
"708",843775.133205735
"709",167563.973340498
"710",502122.672583685
"711",780828.575025541
"712",877898.536544507
"713",646518.277894527
"714",409005.696369661
"715",520396.736918303
"716",631910.979785055
"717",196316.660037573
"718",354249.623908004
"719",306836.283053209
"720",495569.22333695
"721",969217.583499833
"722",734927.084249296
"723",679710.303194431
"724",511127.324289805
"725",860537.969693993
"726",367951.91845341
"727",429741.652567815
"728",144760.787364068
"729",1374898.99258685
"730",495064.600505379
"731",498923.008791298
"732",470436.907084716
"733",790202.849168625
"734",1388856.81879671
"735",666775.646268389
"736",514655.298576184
"737",745043.595808498
"738",239969.823718552
"739",557861.654983018
"740",305013.581292198
"741",811893.777059073
"742",914191.399052735
"743",515468.709883822
"744",538800.084533162
"745",385501.02208364
"746",564095.968570887
"747",236413.308265764
"748",126452.368728475
"749",541106.072734952
"750",514865.324901462
"751",383568.794834239
"752",1747296.25608461
"753",975524.238778036
"754",406604.882013374
"755",870417.347201054
"756",269031.513391084
"757",611222.725866358
"758",705999.001554958
"759",456914.850351761
"760",483562.472936873
"761",512687.767528542
"762",234414.779481421
"763",447974.191081059
"764",94994.1962726491
"765",314735.623091151
"766",326626.620637027
"767",276889.865698967
"768",716371.067812616
"769",321131.136653368
"770",1170035.58930551
"771",616440.773035327
"772",1115990.29241289
"773",1049103.51498165
"774",391189.379348695
"775",238507.665652887
"776",464914.521981521
"777",657866.396065864
"778",1003723.78046278
"779",548082.028515311
"780",290281.033183005
"781",451934.090211777
"782",521479.904967239
"783",394521.3027596
"784",178713.949953974
"785",146843.854256167
"786",391893.492124839
"787",449581.119629121
"788",523759.373753677
"789",297709.795536975
"790",731735.441055793
"791",383680.668127696
"792",743948.756660633
"793",1214029.1499463
"794",459904.474973561
"795",707186.194486588
"796",545961.906157457
"797",395455.841577263
"798",477157.197589131
"799",157519.021532995
"800",837082.796490932
"801",229929.5810783
"802",867654.565625145
"803",481705.451597433
"804",603444.89614919
"805",769118.052380606
"806",726556.48840976
"807",904710.162815907
"808",679511.476297861
"809",508557.523360902
"810",373211.060949715
"811",639919.074987283
"812",446943.431496732
"813",758109.750678046
"814",493188.513526676
"815",251596.883010332
"816",382396.186722955
"817",376607.979736496
"818",274383.866035311
"819",242396.957863447
"820",943438.58287216
"821",314984.024058743
"822",736896.543556647
"823",994102.32069815
"824",581020.116238488
"825",740873.188190697
"826",427522.458076467
"827",399150.929225102
"828",512290.193791722
"829",622899.079370463
"830",276645.901880845
"831",652539.029392423
"832",148466.124479105
"833",292877.982082208
"834",264684.360428149
"835",787061.814470604
"836",466976.94176728
"837",423417.108328566
"838",797594.170429443
"839",477386.637748413
"840",626640.02979247
"841",462930.932803809
"842",1170664.34272778
"843",2161095.34565648
"844",239317.856777366
"845",754677.483987184
"846",794735.739885777
"847",652623.041188174
"848",347587.154025537
"849",1720467.87451099
"850",272002.740164615
"851",87146.6871360001
"852",395611.062653524
"853",301402.563778542
"854",298867.120978325
"855",530134.92950193
"856",409594.623255962
"857",277163.640767431
"858",471882.633711248
"859",240773.670580418
"860",793160.510023006
"861",541067.875892733
"862",151644.15432627
"863",521324.94184416
"864",401375.42151674
"865",334448.497107964
"866",1007106.72007471
"867",396262.055927627
"868",343289.767937436
"869",810238.270621297
"870",500102.938205902
"871",552667.268388331
"872",321847.707998728
"873",250457.864063338
"874",400149.02550686
"875",452410.86033838
"876",788609.084008273
"877",381294.372882398
"878",863357.530033519
"879",670104.762790607
"880",1480865.16286253
"881",1168641.28232843
"882",376508.319151434
"883",336017.820378547
"884",834076.03978814
"885",381903.849105887
"886",285242.622866152
"887",237157.442533504
"888",576308.268338354
"889",523567.617153053
"890",358209.549115221
"891",371826.305049476
"892",307113.014600061
"893",275557.86130253
"894",416260.783368728
"895",648778.540587493
"896",706654.190913409
"897",417808.615205843
"898",347134.679126816
"899",278668.356472376
"900",403327.396039141
"901",373015.216762137
"902",645757.324371462
"903",182086.295044867
"904",245206.257393946
"905",590531.897494144
"906",212664.426202469
"907",448380.101682519
"908",370155.767321031
"909",818859.096961273
"910",303729.142302291
"911",400304.814451947
"912",605987.920447009
"913",297341.527559531
"914",285222.915517501
"915",136646.737848277
"916",366332.98336926
"917",629188.454555432
"918",478218.751687846
"919",965898.675980657
"920",692683.449673381
"921",370421.015023163
"922",435128.387859743
"923",714752.225555122
"924",1589572.77901166
"925",557093.66011542
"926",240966.089144841
"927",533449.71224725
"928",650223.277422283
"929",304315.618060081
"930",280175.721728899
"931",1565935.50159612
"932",172419.463200344
"933",881550.150872005
"934",373870.393860964
"935",438463.718081131
"936",651743.838362474
"937",209419.229986563
"938",324432.371549465
"939",230182.429482718
"940",353406.992029775
"941",637555.633050095
"942",473744.798634306
"943",616297.705349554
"944",325438.37503746
"945",268865.841460113
"946",1012210.49912277
"947",126505.633081491
"948",204204.067437746
"949",309337.404530481
"950",497609.68593574
"951",654355.130533697
"952",527610.449989443
"953",233074.23692383
"954",390363.209703756
"955",818029.213739509
"956",136684.85748915
"957",634660.707919955
"958",267436.414730688
"959",502713.432917518
"960",841319.739692495
"961",862890.461338847
"962",917085.29382805
"963",304762.208677793
"964",337224.827919635
"965",425744.738219557
"966",523835.246688225
"967",511169.687304985
"968",544967.426069841
"969",717980.384277351
"970",765951.256644278
"971",562263.250478431
"972",396874.898138114
"973",248454.187605615
"974",822356.556686951
"975",599524.873939202
"976",520276.848827235
"977",874528.173320008
"978",534611.704541364
"979",411376.300572431
"980",325929.079190899
"981",729836.383311241
"982",674441.567427365
"983",413409.047932407
"984",392145.963555873
"985",250117.231199304
"986",405782.1633063
"987",433906.918827857
"988",226226.362508788
"989",650367.149629961
"990",314365.942753557
"991",317919.285462757
"992",730916.253161627
"993",1619290.75901721
"994",300028.687278359
"995",463413.868272506
"996",472158.893393744
"997",668912.189515772
"998",775830.764089958
"999",526648.937285189
"1000",647221.103403241
"1001",570004.128900946
"1002",607735.95543059
"1003",350593.835505337
"1004",1201311.44995758
"1005",334620.231778584
"1006",579791.219813416
"1007",787470.38937615
"1008",969392.730035901
"1009",805829.744593507
"1010",621649.780496656
"1011",576174.381254895
"1012",167438.864609484
"1013",905920.489176616
"1014",375141.848000372
"1015",404286.62205567
"1016",709635.789424336
"1017",156368.861564708
"1018",100928.028487445
"1019",220610.639978723
"1020",444481.592091539
"1021",430255.911865388
