"","s1"
"1",335363.585760602
"2",852490.051058506
"3",304060.435233356
"4",598162.655153742
"5",551306.873639491
"6",476426.880019092
"7",648930.296124772
"8",318988.015485453
"9",231793.642253867
"10",643484.919223797
"11",311544.680263135
"12",271286.475917467
"13",200318.839797341
"14",295936.837433041
"15",499928.383073251
"16",699911.999723449
"17",758373.693620461
"18",438642.929317065
"19",652111.154359673
"20",318539.021750138
"21",845304.833654233
"22",193998.638081245
"23",284951.582057521
"24",406136.526738327
"25",744823.01748541
"26",292574.355925554
"27",1120057.1062055
"28",476179.901156385
"29",200347.397241669
"30",304449.899699273
"31",196005.068507185
"32",942602.615992197
"33",625078.062238669
"34",156332.560053663
"35",219560.069557703
"36",464194.185034511
"37",173532.344483022
"38",1157445.16566216
"39",1625325.51821782
"40",254217.865897941
"41",663058.574810855
"42",1043366.91307016
"43",246265.550845113
"44",354587.943624389
"45",146882.159318006
"46",1214465.0096377
"47",826170.623860358
"48",554684.790776643
"49",408793.84146484
"50",688594.734472895
"51",342828.374791953
"52",377966.476084596
"53",1431032.15887432
"54",1450545.41907428
"55",540589.771985675
"56",471897.545113745
"57",164723.748237458
"58",292766.220049343
"59",937198.068449271
"60",489355.626479715
"61",1022310.57881819
"62",661880.120482615
"63",361931.252755412
"64",537634.27180389
"65",459913.517067264
"66",211614.571053869
"67",129805.218568107
"68",932863.426697081
"69",644915.064928597
"70",480909.775644347
"71",793813.825888335
"72",938560.83755143
"73",358625.799005663
"74",522719.371670719
"75",399950.961121656
"76",910747.814656711
"77",388238.51623156
"78",664131.021544476
"79",317110.103711272
"80",1293712.57811539
"81",641087.059098066
"82",484936.322875025
"83",252441.021311057
"84",579314.814376109
"85",492132.787453905
"86",668669.522006541
"87",530830.463609697
"88",455051.558787338
"89",1193194.61448579
"90",1326689.99603112
"91",776435.208303299
"92",269890.557236498
"93",114636.545461247
"94",313428.23223094
"95",239418.797520501
"96",445063.156583312
"97",260283.119214174
"98",424839.278919066
"99",276138.487188696
"100",277576.65980444
"101",1078954.97039039
"102",437049.870661611
"103",365716.788472077
"104",729488.831260438
"105",516601.274754588
"106",984775.301843806
"107",188449.015349056
"108",293329.346681279
"109",1464550.52239659
"110",258525.471541414
"111",1765270.71832727
"112",183504.411580666
"113",270765.495101116
"114",327604.435864634
"115",2678209.77072479
"116",376786.178202497
"117",1501028.54193983
"118",137443.202742106
"119",397472.062766617
"120",653885.094787394
"121",255947.73935294
"122",240076.587021368
"123",267161.44380393
"124",812395.600703722
"125",256560.053613929
"126",383412.326490247
"127",827006.418146775
"128",1102461.21766845
"129",440708.745944281
"130",603732.36536263
"131",507322.052546524
"132",588519.879921866
"133",357285.102061339
"134",286108.63750698
"135",700954.064513235
"136",436655.108850169
"137",1065298.75274646
"138",244518.891692061
"139",472369.572611432
"140",272176.350702161
"141",527391.754645773
"142",943886.342956524
"143",475876.684563202
"144",365759.226627441
"145",712454.468985265
"146",693473.893631697
"147",240752.431811678
"148",319503.509583001
"149",580764.900412861
"150",244937.160426027
"151",226216.681645183
"152",306044.682867196
"153",252354.091908635
"154",1169938.4250668
"155",549070.705738902
"156",383654.105378442
"157",533480.573617472
"158",485518.792053686
"159",609160.198274263
"160",867621.137410734
"161",1311740.1145013
"162",792390.778323706
"163",341431.115802576
"164",1146549.97868738
"165",426053.46257154
"166",552503.655245748
"167",272084.703340128
"168",466648.03426138
"169",248204.900480126
"170",187045.459336993
"171",432379.251161779
"172",670165.333793554
"173",317050.139374153
"174",315346.361077393
"175",334599.305327602
"176",275448.436819064
"177",407520.507331271
"178",287176.437764519
"179",433393.11390121
"180",173032.718941475
"181",582896.509784947
"182",237165.756211236
"183",1005325.14045536
"184",796236.339022243
"185",862294.54781667
"186",1225328.24734189
"187",286282.56868077
"188",471778.022580415
"189",221016.389346266
"190",454791.368557087
"191",199553.630900735
"192",561717.810321605
"193",248696.515533258
"194",289436.722842945
"195",266757.180864666
"196",382567.559077957
"197",199306.658645721
"198",251015.357918868
"199",432200.236445715
"200",188051.492529272
"201",363345.401341091
"202",223732.686269877
"203",147450.680712834
"204",247689.064531187
"205",573137.805011787
"206",283909.497648779
"207",348946.768383883
"208",210629.779760198
"209",543476.584314199
"210",255502.050501246
"211",135135.507684058
"212",586136.214808033
"213",450164.606301702
"214",577406.304448019
"215",831268.526523314
"216",265593.615651633
"217",725092.843845031
"218",245023.536065111
"219",279151.065131115
"220",382453.091973545
"221",237005.28718165
"222",643755.027634298
"223",228063.237451381
"224",153977.897396476
"225",338538.186681836
"226",144986.341634634
"227",934466.467736927
"228",573065.056646766
"229",483321.209309109
"230",776556.938637261
"231",338235.750697793
"232",320844.00144942
"233",397827.117981523
"234",450959.025630056
"235",160337.035575135
"236",486020.491722301
"237",499802.268991721
"238",479777.162285039
"239",433731.134642837
"240",912092.742516344
"241",353786.333352295
"242",448100.423665646
"243",539788.097712721
"244",384798.286989337
"245",745833.244508382
"246",649477.841330876
"247",305029.440424569
"248",222605.248009638
"249",413585.726306022
"250",872443.409426871
"251",665846.071550005
"252",427264.452904996
"253",420113.670607257
"254",366435.058864666
"255",220444.235293124
"256",391796.213067372
"257",186337.494169262
"258",554851.904483174
"259",461586.416420833
"260",360772.199287042
"261",1049759.26718383
"262",591933.631638353
"263",313168.524401055
"264",554918.16268263
"265",634894.2400228
"266",527391.864253703
"267",497280.099711486
"268",573479.078542174
"269",428420.530834104
"270",508025.208930268
"271",776415.046038926
"272",350548.038155428
"273",151586.812905675
"274",988521.251503369
"275",674767.990005226
"276",478751.078598004
"277",443281.41455565
"278",243809.816884888
"279",653468.036541993
"280",335158.730110539
"281",989887.083302484
"282",284180.456462243
"283",693727.080882038
"284",285553.615451001
"285",644844.072789377
"286",595799.363325773
"287",566276.44577808
"288",1458737.91434803
"289",281523.967488678
"290",580240.355255274
"291",243551.782896144
"292",319705.035154608
"293",477983.223699979
"294",1350630.71164106
"295",691558.744618486
"296",328613.648537851
"297",741922.214167313
"298",180474.264905911
"299",626734.735836145
"300",1036500.37481631
"301",320188.264777344
"302",379804.56729458
"303",789025.182615446
"304",789155.679742364
"305",472819.694099204
"306",1219499.2522165
"307",463570.716567259
"308",332280.130442596
"309",458059.139558751
"310",531471.577857631
"311",438201.918573582
"312",756311.428900673
"313",145983.290177273
"314",551888.158757039
"315",874953.70072542
"316",1484887.11847474
"317",489931.659994588
"318",284622.745562456
"319",1105879.79215803
"320",477119.541178793
"321",769165.070837089
"322",529221.281244736
"323",276315.9073084
"324",260815.88613204
"325",573171.145613851
"326",299191.191545623
"327",528936.409402765
"328",474357.078985475
"329",280897.422996675
"330",991442.924797351
"331",459576.821279793
"332",487949.981792733
"333",1200318.17131605
