"","x"
"1",344656.495097172
"2",793974.379917026
"3",440014.089179122
"4",632714.120800803
"5",239747.516889852
"6",658888.157711838
"7",1198405.58176949
"8",544722.504956814
"9",298923.479721042
"10",709355.421133924
"11",483228.448744365
"12",436727.968566927
"13",461412.434027473
"14",514912.552500817
"15",403726.042646772
"16",868174.311986381
"17",812521.562329817
"18",275634.438562949
"19",691890.026212839
"20",234051.47983024
"21",629187.259210939
"22",289116.447810944
"23",448025.838118959
"24",565635.09169685
"25",677401.506807247
"26",391490.225198089
"27",1086538.78129378
"28",271348.73261285
"29",432152.838933869
"30",515462.909863211
"31",184207.469603625
"32",634190.051635676
"33",669740.818991622
"34",232086.829074227
"35",464225.113536371
"36",444695.634093769
"37",396750.617478653
"38",957692.029413663
"39",1030703.6524191
"40",487782.699073245
"41",585735.493214395
"42",268469.022754614
"43",427966.566026513
"44",675370.826895936
"45",235172.387256795
"46",1005935.34660253
"47",930417.277777841
"48",688227.630877364
"49",516952.4813137
"50",541008.987273103
"51",546318.491688893
"52",625492.668760309
"53",1228373.01443616
"54",1228373.01443616
"55",432293.030113688
"56",540992.442263815
"57",359789.576432349
"58",360731.75233327
"59",478530.35882043
"60",299969.109090727
"61",614294.918853431
"62",854922.678782134
"63",348292.410642134
"64",717139.069240428
"65",646545.924981565
"66",341276.227336939
"67",206757.85910325
"68",553134.112564461
"69",281219.039443669
"70",377001.648373343
"71",763629.663508107
"72",936588.394142977
"73",521198.381449299
"74",552928.843829161
"75",431900.839564377
"76",622706.526461078
"77",504610.248583427
"78",530045.633835994
"79",410553.931655892
"80",870946.605368987
"81",657310.354191275
"82",259856.852717341
"83",412043.503106381
"84",394846.337972447
"85",578958.354542729
"86",848987.910957864
"87",554055.723752833
"88",262942.410899909
"89",654699.560722602
"90",1101518.40212154
"91",676276.265085803
"92",293597.430295964
"93",193464.144151329
"94",286581.24699077
"95",292752.363355906
"96",707612.584122498
"97",421300.177654086
"98",623190.540076546
"99",475551.215919451
"100",164204.549057726
"101",1356774.66433465
"102",347424.768776516
"103",430757.414631417
"104",508912.499542815
"105",442945.128963844
"106",705171.530450361
"107",386915.095565031
"108",247408.204705478
"109",1357607.72886132
"110",270603.098715535
"111",1606854.10962581
"112",224319.725977011
"113",411398.99859595
"114",458326.875844904
"115",1583991.70848658
"116",561083.537460633
"117",1296557.67214883
"118",201231.247248545
"119",567363.393911998
"120",267517.540532966
"121",334103.515420889
"122",415129.061288949
"123",473807.87439854
"124",656043.920095972
"125",471714.737944862
"126",415235.476570539
"127",956697.729970465
"128",835610.041058284
"129",592696.011575454
"130",836727.30079236
"131",496949.560767802
"132",851037.831971125
"133",240297.874252246
"134",544923.067386441
"135",992541.13999467
"136",480979.023191912
"137",898072.124501669
"138",261896.781530224
"139",565492.890304022
"140",295140.209387248
