"","x"
"1",340399.804197197
"2",843736.29031406
"3",290947.508453258
"4",597595.639719658
"5",451171.411552046
"6",506412.396012062
"7",747658.466031737
"8",341155.404402413
"9",194289.675506406
"10",628478.938754558
"11",303356.026056107
"12",272319.028440653
"13",228850.731998228
"14",354111.730374516
"15",518119.32609361
"16",699996.217006613
"17",774402.520692171
"18",417192.853970138
"19",685879.869085765
"20",292488.349467934
"21",892375.56924429
"22",186871.685509713
"23",235268.790794823
"24",425655.007297726
"25",764750.279756819
"26",297857.228701131
"27",1036175.90461881
"28",456620.326277546
"29",220723.106366706
"30",317382.34596783
"31",132474.280661515
"32",924979.40560251
"33",693981.895220334
"34",139073.560572884
"35",267559.80527026
"36",458541.573443598
"37",153926.689043281
"38",1097696.9522531
"39",1650691.19918638
"40",279188.687044
"41",487074.51771834
"42",1094923.48994633
"43",261622.544345804
"44",377269.690573736
"45",164822.498274678
"46",1229578.16979868
"47",876117.994470861
"48",627598.696228475
"49",340839.86003289
"50",714430.006490699
"51",357617.614862443
"52",385158.219156512
"53",1206154.21451167
"54",1226127.65876122
"55",552929.285071047
"56",518097.844118505
"57",163234.223580818
"58",277683.5526139
"59",908863.674387605
"60",497918.247615103
"61",1032388.51743769
"62",635196.339981122
"63",372953.419423914
"64",489071.658314142
"65",480253.141105565
"66",217269.331613772
"67",72740.9760174795
"68",930057.095610235
"69",654635.707336275
"70",505160.381839694
"71",853642.762623955
"72",881630.178274496
"73",343720.093518544
"74",521431.172188489
"75",347859.125484469
"76",991330.816338625
"77",394061.842139938
"78",607989.012981187
"79",326504.537447704
"80",1431691.56205987
"81",654960.764051177
"82",482429.586226228
"83",244772.691232347
"84",504820.921127912
"85",600650.167727317
"86",724675.166994889
"87",542591.422216638
"88",449726.6086745
"89",1279724.99118084
"90",1093565.38382269
"91",798308.539148262
"92",238852.295346314
"93",91452.2038317794
"94",322958.910599491
"95",220701.292509873
"96",496055.575683048
"97",253297.823726595
"98",477344.557526743
"99",326281.633998426
"100",252864.804533818
"101",1236755.01345141
"102",409280.257969806
"103",396572.332716532
"104",646880.515305516
"105",525404.189538403
"106",865879.479391225
"107",223831.070258386
"108",270001.291571035
"109",1547239.01699515
"110",235364.71926191
"111",1643729.27298959
"112",163633.337100058
"113",280463.142072039
"114",347569.65483295
"115",2703508.99132859
"116",422866.180334124
"117",1493030.94733372
"118",107591.438398214
"119",382900.651768985
"120",630003.796249612
"121",233573.694101338
"122",236485.284138838
"123",285777.872150821
"124",897712.916813913
"125",221878.248344488
"126",396956.662914984
"127",892600.198663836
"128",1158760.79930675
"129",416318.851651149
"130",693680.33438329
"131",528206.545151339
"132",602262.743459866
"133",334417.088420726
"134",332950.367111482
"135",778904.926640514
"136",461231.713164933
"137",993511.189612962
"138",219199.804420459
"139",502541.530524766
"140",206747.273973395
"141",521478.879503225
"142",990667.581627075
"143",473542.524674713
"144",376740.979824578
"145",703177.326978906
"146",740527.241531891
"147",217868.334805364
"148",313978.227219249
"149",544225.968818924
