"","x"
"1",424184.573718997
"2",832666.463250335
"3",310410.944007829
"4",602251.580863162
"5",571093.466821699
"6",476304.405665294
"7",665186.527478153
"8",394160.300731064
"9",242612.976607145
"10",664284.270064266
"11",305484.671862296
"12",277905.497637787
"13",222952.349421581
"14",287831.062446589
"15",516795.5218699
"16",687662.758792327
"17",772233.415873755
"18",457248.216368069
"19",656337.232294952
"20",305813.774261515
"21",860316.630150607
"22",171080.559515943
"23",322904.201391794
"24",442638.55915301
"25",726070.22551474
"26",276253.307369145
"27",1114587.46564904
"28",461841.725640897
"29",222431.367135309
"30",292003.916141699
"31",188531.623708995
"32",962522.876649297
"33",611026.913418718
"34",151628.27220156
"35",231242.874287566
"36",445405.822690038
"37",199131.578415005
"38",1183744.15224721
"39",1622056.65396575
"40",257471.885253118
"41",662940.811966329
"42",1022142.38196153
"43",245838.088774486
"44",373190.925758777
"45",122927.007869784
"46",1179010.69784567
"47",822173.821775889
"48",533749.362258824
"49",387336.896446426
"50",676764.424009896
"51",336065.677742485
"52",361360.468761936
"53",1457424.18611828
"54",1457424.18611828
"55",555737.360461955
"56",465661.247647487
"57",191261.884935727
"58",294465.710824703
"59",939418.64638442
"60",474929.424911655
"61",1031382.85918101
"62",670408.910192874
"63",357875.6522118
"64",546283.255217911
"65",470954.327925396
"66",219440.693682562
"67",142941.056953957
"68",939550.463618655
"69",630300.550522257
"70",481590.24845327
"71",790813.610884365
"72",934054.43226795
"73",367051.192163534
"74",502959.749815916
"75",414822.658303477
"76",915156.877547264
"77",393612.532524015
"78",672238.09259772
"79",323781.919183364
"80",1299889.94550947
"81",630895.591888586
"82",459565.070957364
"83",263577.711963848
"84",585901.580107945
"85",468024.28108292
"86",652296.261078983
"87",512755.795851919
"88",448695.735408206
"89",1149741.43988651
"90",1307545.90402748
"91",794517.228623385
"92",251944.059824719
"93",118771.932992463
"94",300646.778176864
"95",232630.293252875
"96",420815.775294335
"97",259768.76476903
"98",414007.425336681
"99",294351.054814561
"100",257680.111446994
"101",1069981.50945549
"102",437084.387430776
"103",350124.497286638
"104",724952.111157614
"105",518132.008591596
"106",981710.788950696
"107",207738.27442472
"108",296549.15751796
"109",1454315.49887876
"110",239136.396816368
"111",1770326.05481394
"112",178074.852017451
"113",260279.237130433
"114",311879.900232591
"115",2687786.94077551
"116",380372.105364441
"117",1501597.35746151
"118",137017.147783137
"119",412147.665414002
"120",660829.124844899
"121",226456.585935174
"122",262336.297233197
"123",234900.231977968
"124",823426.441008401
"125",273198.691508897
"126",390674.205597776
"127",804146.928689573
"128",1116133.49189515
"129",432035.617248302
"130",590640.602479816
"131",503935.933682767
"132",609874.82191614
"133",372401.497444222
"134",321925.967455275
"135",672716.732489291
"136",419302.282128466
"137",1058443.65224837
"138",231648.719882397
"139",469340.502129899
"140",287281.264225757
"141",542595.310915346
"142",950617.219472246
"143",475797.524337022
"144",358381.248029643
"145",725233.203104051
"146",678241.661490947
"147",217371.716673449
"148",339390.653089366
"149",605088.449914667
"150",249181.074762843
"151",250472.897602404
"152",318581.494465779
"153",258686.089553881
"154",1191561.342227
"155",540849.922799702
"156",387487.751354528
"157",540077.683007003
"158",481585.982529452
"159",611227.410629082
"160",860086.48202812
"161",1293839.26468449
"162",788176.938721513
"163",323384.885845036
"164",1136345.01928891
"165",415512.874659307
"166",568698.881709431
"167",286225.012255008
"168",491998.44124631
"169",255854.324942375
"170",180761.629162392
"171",434837.712691076
"172",657599.188467833
"173",309661.393661578
"174",299906.317885193
"175",328763.142730944
"176",287350.988598148
"177",411525.510176022
"178",294239.698577729
"179",451278.569638835
"180",172377.33175752
"181",589966.770563063
"182",229427.235273861
"183",1017834.47171133
"184",800657.209290185
"185",871760.441859479
"186",1214542.2570691
"187",310631.731608289
"188",469804.372801523
"189",232779.785069177
"190",467104.863492038
"191",189271.80194796
"192",555029.648254435
"193",216419.359395373
"194",298788.601932086
"195",272625.439690508
"196",383954.972944443
"197",178715.499852205
"198",248865.7565239
"199",451468.807456242
"200",175775.990531496
"201",360162.996573429
"202",200792.266536172
"203",158933.768715265
"204",257019.016513765
"205",587866.188807092
"206",274128.080752651
"207",370703.529759879
"208",228676.647636598
"209",517091.021647243
"210",241901.612481598
"211",122049.993779494
"212",592528.49197466
"213",463300.231986341
"214",588219.85431692
"215",837713.647962279
"216",271867.442271297
"217",718137.349634033
"218",244203.28852414
"219",302472.04003007
"220",364347.889568771
"221",250733.288334674
"222",630205.180405717
"223",214747.322737706
"224",188622.035221761
"225",348483.8592876
"226",129421.903202589
"227",944727.309651215
"228",560354.845415728
"229",462080.562983558
"230",780361.269215755
"231",365714.220830764
"232",335576.837036254
"233",415946.742075672
"234",444374.840668839
"235",147800.77442283
"236",474993.359024303
"237",498267.322730167
"238",501111.798681391
"239",434124.025057192
"240",904051.413767334
"241",356180.188704462
"242",422360.746385999
"243",536634.709019933
"244",358536.038495237
"245",754011.488917923
"246",648920.051234204
"247",300861.897568808
"248",221747.918955948
"249",383142.794443681
"250",861407.745916637
"251",669056.815129294
"252",402027.853864493
"253",415517.731487674
"254",341788.048121112
"255",236036.881908026
"256",390923.201105646
"257",160924.568572688
"258",518591.110162528
"259",433217.607731031
"260",347279.328385197
"261",1056706.55976903
"262",604647.158802117
"263",324432.307939433
"264",560127.53086587
"265",639021.423920905
"266",527185.83567842
"267",526310.955268873
"268",577910.084783254
"269",424062.618401898
"270",499125.447266755
"271",781310.51025485
"272",340870.230365208
"273",136332.656031711
"274",1008268.18399692
"275",668937.479188781
"276",484284.355898332
"277",444927.396220064
"278",250931.542446565
"279",655165.663938711
"280",347798.807377048
"281",1015558.74226286
"282",294016.033428815
"283",690972.226505633
"284",305709.797868542
"285",662457.203588501
"286",585737.697122804
"287",586987.373163795
"288",1473433.26813768
"289",296285.354336663
"290",585799.814779546
"291",223508.342213206
"292",335525.855693342
"293",488319.477537535
"294",1336659.30008853
"295",692417.536099375
"296",328366.033615851
"297",765834.717255452
"298",186359.771098023
"299",643920.712104365
"300",1028553.56113496
"301",305896.54127811
"302",364590.81355866
"303",792187.17573905
"304",778234.480853112
"305",485373.235585022
"306",1207767.28434337
"307",456939.832694206
"308",348693.170493124
"309",463603.897164699
"310",532536.703608434
"311",422736.522527564
"312",781008.907568042
"313",113083.102671602
"314",553503.645767003
"315",886248.496581929
"316",1504559.8131187
"317",465505.052755181
"318",243578.029020278
"319",1098856.12147813
"320",458626.683889268
"321",766661.469403671
"322",533167.950666332
"323",289825.44495811
"324",284740.174262444
"325",557455.23382586
"326",293542.843676395
"327",516916.378608407
"328",484359.24991121
"329",282279.367888345
"330",994091.398485165
"331",439584.788061144
"332",477349.928615996
"333",1199040.46332098
"334",408231.675097257
"335",433974.947831001
"336",232839.720872971
"337",811735.060467547
"338",613156.258850958
"339",362409.285913353
"340",613040.275264005
"341",212695.010842216
"342",347192.882740666
"343",297849.926363175
"344",225192.673085024
"345",274848.124739895
"346",334055.431855165
"347",233528.691562501
"348",337916.986097495
"349",478735.805239695
"350",474288.562729504
"351",299632.39958814
"352",403702.098869162
"353",327261.13449178
"354",569541.663957469
