"","s1"
"1",290431.461856047
"2",644930.230638548
"5",404383.950657294
"6",1674013.60336421
"10",371271.863612872
"11",792269.954069149
"12",392043.558748386
"13",303531.438543865
"17",462994.453177711
"20",913680.893959221
"21",459147.880287646
"22",229171.258308617
"23",600374.427301774
"25",667321.11185752
"26",413068.852483888
"27",515783.662434038
"31",786308.101033231
"33",809932.744154913
"34",187464.130965246
"35",667470.868411936
"37",502756.03379184
"39",655998.601130852
"42",360309.036592367
"43",922539.902702986
"49",705736.823854719
"51",780744.250042198
"52",480121.775886003
"53",628097.21720686
"55",329014.11325499
"57",808182.524605075
"59",371643.837259071
"62",1566980.86444329
"63",330087.768213644
"65",1150615.40389897
"67",306187.253122952
"69",990165.122913884
"71",484229.767216155
"74",839302.333475041
"75",563706.512730566
"80",267278.894172163
"84",223016.646094042
"85",398189.874988842
"86",691887.969979537
"88",600882.600149695
"93",450782.644187043
"94",377277.638145688
"96",530918.798211707
"98",321677.942086662
"100",1288834.04746821
"102",256761.698794864
"103",320940.662412399
"104",467061.774609409
"106",279580.178286064
"107",208393.055513696
"109",932236.308553562
"110",577761.794428067
"111",491147.230171407
"112",732776.926564699
"115",440055.270387995
"119",375106.551333605
"120",382425.51012223
"123",420160.735350682
"124",355590.898859593
"125",559035.620407235
"131",326967.826107423
"132",2098172.02540765
"137",578756.118127656
"141",421962.563096947
"142",325302.86266206
"144",646865.231085932
"145",420247.514808999
"146",431069.065258789
"147",361379.534509169
"150",404679.777950376
"153",686074.610859663
"154",650815.524788445
"156",777803.966080651
"157",1102096.89772117
"160",424071.914354139
"164",647856.056669314
"165",533668.445901451
"166",304505.179240503
"167",433097.782098278
"169",458775.976023969
"171",295838.427560104
"172",225898.665345381
"174",285139.722634136
"178",366672.383416177
"182",489993.110724533
"184",483722.724041996
"186",534902.08440045
"187",902740.335700964
"190",394947.651490155
"192",342998.42969697
"193",305353.490694939
"194",647371.724075853
"195",584826.109966931
"197",193386.884583462
"199",484606.962709487
"202",972144.634459893
"203",338734.832606369
"204",235039.779889537
"206",248853.846016799
"207",461987.436112635
"208",766225.193611698
"212",794694.498070709
"213",400917.555049323
"216",596967.293337422
"225",277333.737409972
"227",525753.34615509
"230",388807.656766407
"232",362729.489133984
"234",644449.224241267
