"","x"
"1",334835.626900833
"2",852397.495911784
"3",303989.730513408
"4",600502.208128152
"5",553320.230797605
"6",476016.097293198
"7",648631.866422759
"8",318715.684608269
"9",231656.406977004
"10",642847.927048033
"11",311038.172233401
"12",271343.31561142
"13",200132.38383515
"14",295817.49098242
"15",499774.336294719
"16",699493.404514506
"17",758162.860051995
"18",438634.574220642
"19",651830.899963981
"20",318557.95529717
"21",845310.974700009
"22",193814.702557405
"23",284385.220792162
"24",406273.200448741
"25",744665.727193101
"26",292240.016307531
"27",1119958.74433538
"28",476492.103276855
"29",199947.95102104
"30",304698.375467134
"31",196184.329347248
"32",942764.654774111
"33",624989.16996271
"34",156035.042059091
"35",219112.010253161
"36",464298.440767017
"37",173519.731475614
"38",1157541.13014107
"39",1625785.15522279
"40",254022.535164444
"41",663031.395321087
"42",1042880.08131792
"43",246320.746661745
"44",354556.234186178
"45",146951.849044352
"46",1215109.16862146
"47",826224.6770296
"48",554517.159090869
"49",408414.99686249
"50",688377.294513191
"51",342652.270439022
"52",377521.687641936
"53",1430677.70751925
"54",1450236.85143442
"55",540808.052977594
"56",472116.377684181
"57",164747.535061804
"58",292956.563251291
"59",937512.151713507
"60",489459.803341179
"61",1022320.97730144
"62",661998.61103033
"63",361852.625950437
"64",537379.409545777
"65",460139.248785574
"66",211464.404839303
"67",128976.289500887
"68",932821.736808151
"69",645197.329493138
"70",480735.398850311
"71",793925.63344017
"72",938290.400088373
"73",358496.80305983
"74",522404.624440082
"75",399513.472093455
"76",910847.770579718
"77",388070.502903289
"78",664250.879662867
"79",316026.66325897
"80",1293672.39344749
"81",641195.912504849
"82",485277.009776729
"83",252336.521944758
"84",579570.089347746
"85",491558.477827232
"86",669112.802291881
"87",530596.320846788
"88",455164.618297585
"89",1193445.71855813
"90",1326794.13467383
"91",776431.554432545
"92",269239.552303531
"93",114494.858044107
"94",313311.061367834
"95",239200.013982884
"96",444984.106282369
"97",259884.929569805
"98",424928.918400094
"99",276436.88020461
"100",277837.181590752
"101",1078646.92997642
