"","x"
"1",331524.853555845
"2",848472.263625577
"3",305709.894071091
"4",616744.563566905
"5",568346.51091976
"6",471346.624375566
"7",648405.58357648
"8",317346.958463755
"9",231643.902954526
"10",641253.76740622
"11",308901.427833699
"12",274263.462977777
"13",201610.772459967
"14",297386.514531529
"15",503192.747950676
"16",688145.363972218
"17",755628.739608851
"18",438184.622855032
"19",648476.470817154
"20",321247.66737673
"21",845457.585834162
"22",191584.007568107
"23",282414.487275779
"24",413967.048193221
"25",742954.172566733
"26",287548.139032633
"27",1123488.73648962
"28",478849.344851252
"29",199822.775625535
"30",306179.982495027
"31",199763.924957045
"32",946058.038026862
"33",621452.439870372
"34",154975.51031933
"35",215350.157498051
"36",461372.305200653
"37",175330.801616416
"38",1161837.4510537
"39",1627341.04625363
"40",253816.607375756
"41",664044.968165019
"42",1035651.17538157
"43",245693.269076714
"44",355889.750026037
"45",147839.932121194
"46",1217753.34759929
"47",826555.156681857
"48",554204.674257232
"49",395595.130271974
"50",683262.508869432
"51",342895.262704381
"52",372092.820865765
"53",1428963.33742096
"54",1448820.32016041
"55",543488.072694808
"56",474480.332535682
"57",162534.320119973
"58",295273.426011019
"59",937582.298491781
"60",491224.349905567
"61",1021443.4834049
"62",662227.122849386
"63",359745.954658103
"64",538608.045931172
"65",461337.706985916
"66",211425.865901976
"67",125041.025709339
"68",932595.028632115
"69",646353.045612964
"70",477603.466014791
"71",794266.489475044
"72",934566.154789293
"73",360448.428084364
"74",516141.209388917
"75",400019.419499629
"76",912610.041525763
"77",387743.141894028
"78",665029.7626038
"79",304352.342997669
"80",1292367.25635336
"81",643860.883025847
"82",487090.400881099
"83",250115.021302327
"84",580484.474503154
"85",487283.899090859
"86",670408.887523305
"87",527733.75486004
"88",454477.715901574
"89",1192293.76170572
"90",1323267.44598862
"91",777277.769851195
"92",259978.543734962
"93",112658.983206676
"94",311625.972152445
"95",237140.747311937
"96",443517.393969039
"97",257104.92309938
"98",426225.911136264
"99",280610.78967846
"100",282385.612595562
"101",1077237.77278107
"102",441924.759146482
"103",361950.645187209
"104",732037.251065358
"105",514150.262086349
"106",986661.675948152
"107",187754.3846889
"108",292156.933077145
"109",1460501.14672103
"110",261109.559459245
"111",1766123.64955401
"112",191007.682962233
"113",273143.097651012
"114",327697.07259753
"115",2684130.03787943
"116",377501.031318516
"117",1503023.1614892
"118",133934.125439222
"119",399388.937403693
"120",654850.054626171
"121",254207.040231117
"122",240200.311998051
"123",261200.245464089
"124",813871.71316547
"125",259782.675064684
"126",383500.073087086
"127",825978.818586269
"128",1103435.66467706
"129",434570.015504433
"130",603025.755825205
"131",507231.515462856
"132",587408.086835595
"133",357008.436730472
"134",293086.612637789
"135",699288.101920765
"136",434441.328347763
"137",1070434.80769766
"138",246107.63303815
"139",473478.801926183
"140",271273.049100051
"141",527542.179267882
"142",941955.38751376
"143",475058.762876776
"144",362514.56611306
"145",714098.822092038
"146",699883.255403438
"147",227794.424729556
"148",322271.057925398
"149",581453.572803852
"150",245343.601668639
"151",227435.886694549
"152",309282.327105588
"153",255590.982467869
"154",1172864.94258642
"155",545452.334540865
"156",385426.904084711
"157",532215.178528932
"158",484512.174640427
"159",610246.60074212
"160",870866.268263871
"161",1309009.24653207
"162",797660.904884591
"163",336527.997362127
"164",1147349.16216359
"165",424476.131380908
"166",551853.208985769
"167",275944.002196537
"168",471214.86743848
"169",246688.538889891
"170",187786.837932598
"171",433057.817954873
"172",672495.652033879
"173",317498.864389588
"174",317800.00499244
"175",334590.900198675
"176",276547.738489165
"177",404693.802873762
"178",286956.723348147
"179",430768.5889802
"180",171674.118009023
"181",579744.110319941
"182",239957.270635907
"183",1004719.46979923
"184",794881.215385397
"185",861762.668727898
"186",1225669.9168563
"187",287745.061597008
"188",474670.985340263
"189",221139.071924326
"190",458488.912797956
"191",188539.751714278
"192",565232.066039213
"193",254582.123365749
"194",291213.460257105
"195",271845.570706962
"196",380199.09265357
"197",195422.592681004
"198",250126.482485277
"199",430780.264991604
"200",184287.116867786
"201",368627.334760748
"202",224811.834069331
"203",144416.508687288
"204",251943.497617282
"205",574329.337412595
"206",284391.843810427
"207",347611.357529746
"208",209320.12438091
"209",542214.495051557
"210",256153.687707456
"211",134118.798332554
"212",582366.023593625
"213",449862.476215475
"214",586059.550291618
"215",832231.410961335
"216",266439.824583386
"217",726735.335942511
"218",240121.498343714
"219",280004.812343841
"220",382522.393605424
"221",238064.339624416
"222",643404.114051952
"223",228312.125199756
"224",158538.109575028
"225",338211.957990126
"226",141187.492433412
"227",937478.409206908
"228",576310.839116051
"229",477912.018366308
"230",776569.329270443
"231",338358.387258846
"232",320045.322414014
"233",395926.159358592
"234",452753.178534275
"235",162989.108730071
"236",489576.515623283
"237",499020.178938657
"238",481715.992793662
"239",430725.838742119
"240",921354.823718649
"241",356090.263927685
"242",445606.18421799
"243",534940.020523131
"244",384495.828289139
"245",747129.537743725
"246",650699.688975544
"247",304803.92253171
"248",231319.444916271
"249",412384.653182513
"250",873188.029114749
"251",663176.932588116
"252",430116.426706287
"253",418771.58790209
"254",352165.032328822
"255",218683.620677749
"256",391422.330463423
"257",187448.090386446
"258",555046.308004813
"259",458244.282701018
"260",369110.488300794
"261",1045521.02274108
"262",593904.13696928
"263",313152.317121501
"264",556648.091455122
"265",626912.212556755
"266",523086.244466772
"267",500273.263205454
"268",574206.571042976
"269",424366.499937465
"270",508281.29278776
"271",775632.360561529
"272",351886.101420927
"273",144078.538105623
"274",990266.587080113
"275",673296.332467846
"276",479473.50449065
"277",441881.180805607
"278",243371.594092839
"279",654660.206612386
"280",338427.827814526
"281",987807.35362154
"282",282007.538503169
"283",691470.649433355
"284",282242.7161405
"285",647210.850328401
"286",589257.864359735
"287",562694.238081995
"288",1455735.18328353
"289",283072.02914753
"290",583135.431627273
"291",241168.545506295
"292",319241.780256287
"293",478805.809564657
"294",1353062.74877314
"295",688873.141915248
"296",331152.099063212
"297",740773.714595574
"298",179203.679478876
"299",629609.327703336
"300",1032552.09234329
"301",315537.764759458
"302",384139.462769821
"303",786651.609004081
"304",790726.827466923
"305",475253.276266529
"306",1224673.45800658
"307",462370.670956843
"308",333776.934762842
"309",456641.616975216
"310",528982.315934748
"311",439383.952924067
"312",758952.212025103
"313",140651.16609546
"314",556003.041238963
"315",874059.352993371
"316",1485104.01737086
"317",487802.472230496
"318",274987.801030662
"319",1110310.23267676
"320",475487.357028887
"321",775177.333530519
"322",532044.900913006
"323",274504.227897941
"324",258879.583087906
"325",569790.721519662
"326",303596.810043997
"327",528799.778681309
"328",474642.181657623
"329",281924.385426859
"330",992287.464160999
"331",464422.971562025
"332",488502.340825575
"333",1201277.34800698
"334",392609.38823856
"335",409224.011241338
"336",248996.800548373
"337",821036.189575246
"338",601752.37387397
"339",368866.144046453
"340",603716.677533369
"341",224309.391173857
"342",359288.133834398
"343",277090.416941952
"344",233884.857615103
"345",271476.143128499
"346",334415.779574822
"347",218735.137513448
"348",340651.847164482
"349",472750.563977464
"350",460863.04092423
"351",305883.388028988
"352",394479.028659927
"353",333564.126032419
"354",556429.347951847
"355",348991.712038037
"356",501747.076023159
"357",455766.386619419
"358",333666.849409766
"359",303453.514556596
"360",317479.727650809
"361",492014.357503067
"362",1012375.21918483
"363",1487649.76547754
"364",409737.359179566
"365",144011.76469957
"366",837454.003225882
"367",365255.80892239
"368",331111.55939116
"369",660898.828165033
"370",555266.174360609
"371",319110.861548341
"372",419020.705350326
"373",537419.200378492
"374",667154.756458268
"375",427758.065326588
"376",1602070.98473568
"377",161145.35655984
"378",629446.188116031
"379",509595.424073054
"380",458177.19417502
"381",599762.7624171
"382",777542.073035502
"383",349426.013358797
"384",367342.946060489
"385",486604.2829558
"386",532595.351540843
"387",613963.796020512
"388",999992.893575246
"389",298109.772878667
"390",809966.25417821
"391",1446191.28554493
"392",653468.971648616
"393",751637.473130006
"394",1071072.04571385
"395",579528.59168483
"396",360553.299981892
"397",171081.64087247
"398",424036.760347605
"399",827446.827824091
"400",421823.590651298
"401",909788.002269679
"402",140637.819384031
"403",597474.790845789
"404",135880.74607743
"405",224797.473621048
"406",878751.412587993
"407",178242.244421574
"408",889935.771250749
"409",603324.605583553
"410",339700.898924421
"411",333000.07048213
"412",654826.789776552
"413",322703.672989932
"414",156649.170039902
"415",1145577.51560119
"416",371414.755853902
"417",306404.71046452
"418",240829.713142823
"419",292945.07783999
"420",141930.418313386
"421",435606.611138981
"422",996224.10887875
"423",259800.585581162
"424",941488.464621225
"425",682780.813094324
"426",491500.427461562
"427",1034456.76199805
"428",1385075.48419466
"429",1111974.82382513
"430",685832.75597644
"431",836533.685986786
"432",342010.461764841
"433",668352.300245698
"434",591378.149772505
"435",259105.393093725
"436",705850.106248097
"437",396582.142606303
"438",1039158.92245285
"439",521957.254671725
"440",189481.420372199
"441",543208.694307178
"442",276683.184158877
"443",802270.880359213
"444",1263110.27273292
"445",205953.887558176
"446",350534.065867279
"447",292718.927838749
"448",415155.619122138
"449",265122.073555175
"450",666157.336647127
"451",855842.456689157
"452",269045.031102869
"453",455967.032989111
"454",446882.424720062
"455",511242.962220109
"456",528997.530873911
"457",187747.450618367
"458",659901.99954893
"459",925250.589488067
"460",197874.336150041
"461",1136714.93202173
"462",279256.61883231
"463",1243058.10571689
"464",653018.526847593
"465",469628.461107023
"466",590248.180177954
"467",403151.79963545
"468",316993.619374793
"469",163401.325844831
"470",807369.739752626
"471",777033.596153
"472",243734.763966784
"473",239414.113447279
"474",914498.218088311
"475",361518.435415551
"476",464580.99037235
"477",376399.066317134
"478",471810.935054633
"479",301484.627983879
"480",456852.107454391
