"","s1"
"1",482901.72368724
"2",831490.918515839
"3",294873.845888584
"4",542399.575565903
"5",383087.097207081
"6",594485.259217066
"7",845407.57566444
"8",436985.952759572
"9",278985.279017008
"10",702716.721943401
"11",341853.713779521
"12",357785.474227507
"13",344458.585910027
"14",373718.61938217
"15",543015.278850761
"16",760214.659120481
"17",730676.359194894
"18",379070.077102107
"19",657206.454987881
"20",389006.508014861
"21",637008.233648869
"22",226314.823353226
"23",448210.512038498
"24",440033.258084774
"25",627322.815198973
"26",352153.436534138
"27",985605.503449064
"28",342502.00297657
"29",313585.252123713
"30",383581.190889677
"31",238202.713846339
"32",727750.307340594
"33",651477.601701047
"34",231467.103015036
"35",357939.031620806
"36",464641.764427135
"37",291968.939020998
"38",959826.229284915
"39",1444690.69510076
"40",349086.065681697
"41",621616.780584723
"42",805631.656933244
"43",304632.700002925
"44",510604.879289714
"45",248317.501586749
"46",929442.410846029
"47",851092.761350292
"48",668089.082062354
"49",406020.251450839
"50",658073.792598707
"51",393610.473426392
"52",474260.559041613
"53",1292777.03945417
"54",1292777.03945417
"55",439956.819719001
"56",479926.822409849
"57",225692.655078977
"58",317124.043417604
"59",549521.711689547
"60",368661.87315605
"61",742698.949055555
"62",769520.565682232
"63",475210.560803817
"64",658414.452318353
"65",586914.578121112
"66",266426.195585066
"67",270986.89985782
"68",698184.141375023
"69",471964.161408457
"70",446466.021103802
"71",803350.834837471
"72",908534.747004455
"73",463372.261904427
"74",625696.673713976
"75",498737.256980783
"76",733743.890260756
"77",476115.940344604
"78",509352.775604499
"79",516775.001178114
"80",1173531.59361348
"81",641501.096524019
"82",352199.97586423
"83",360091.188407549
"84",399573.196390233
"85",653390.650277227
"86",734136.547019426
"87",616785.045707236
"88",350669.808173551
"89",1006497.19579824
"90",1174418.51621534
"91",655382.940296165
"92",269894.192116065
"93",190610.367260151
"94",445915.184908726
"95",239777.071826511
"96",504737.051920875
"97",363803.533873328
"98",497882.484718874
"99",372617.321394377
"100",225881.484957775
