"","s1"
"1",484516.395098767
"2",831884.496705228
"3",294968.393700924
"4",540325.80599815
"5",384766.642512372
"6",592402.411196808
"7",842089.84077765
"8",434255.578582691
"9",277773.797433391
"10",702895.572312676
"11",339997.270756032
"12",354539.110678422
"13",341242.273081861
"14",371238.55220281
"15",542161.3663151
"16",758746.730281053
"17",730485.289578488
"18",378081.979586326
"19",655970.426705006
"20",389762.121991685
"21",639744.81858174
"22",224648.511243208
"23",446281.653472633
"24",437514.619820291
"25",626703.434823592
"26",350804.205150322
"27",988227.442701479
"28",341572.673994329
"29",310723.615344959
"30",381611.856670174
"31",238192.909776401
"32",735536.985992657
"33",649647.463842461
"34",232838.540059705
"35",356019.154747642
"36",463578.039416627
"37",289236.212612148
"38",962800.765451324
"39",1452248.11199413
"40",346446.270820502
"41",625636.334568018
"42",815973.995046289
"43",302157.161218954
"44",507600.083472537
"45",249496.383898072
"46",931841.566676095
"47",849968.175039777
"48",667233.762654021
"49",405347.788673104
"50",659782.881788489
"51",391039.565047627
"52",472138.566629146
"53",1297604.11082132
"54",1297604.11082132
"55",440421.158199806
"56",478597.893777174
"57",222205.860519624
"58",318283.707790808
"59",555858.336196484
"60",369223.285764794
"61",751049.809369363
"62",769204.304997866
"63",474917.182156052
"64",658186.786901138
"65",584544.34873505
"66",263783.834092131
"67",271565.2386902
"68",706401.542926207
"69",474014.467702714
"70",445105.413413808
"71",802287.901921753
"72",911111.647383418
"73",460747.270975066
"74",625400.174825474
"75",498564.783495702
"76",739998.008908264
"77",474494.655372457
"78",510096.434927005
"79",515882.514560088
"80",1179446.18909962
"81",639458.45100901
"82",352539.103548312
"83",356960.689063574
"84",400099.128543598
"85",652820.808086962
"86",731944.911264769
"87",616132.625260838
"88",350837.444604102
"89",1012429.52593417
"90",1179865.49722462
"91",656646.267477326
"92",268798.808185271
"93",189164.923429787
"94",445434.588204226
"95",237745.993035088
"96",502348.844598123
"97",361768.635271672
"98",496249.229099775
"99",373255.248259955
"100",227850.030771721
"101",1068667.33369228
"102",459850.490234385
"103",428846.42886101
"104",519393.613283561
"105",407369.302707459
"106",786402.218611546
"107",293397.009747281
"108",441771.006762263
"109",1256181.46562929
"110",274256.464861432
"111",1653185.16238027
"112",177834.819442393
"113",341804.788707927
"114",425668.9316322
"115",2158489.18064042
"116",448450.39662763
"117",1234867.78831938
"118",207116.177570516
"119",505277.449539633
"120",377851.089964198
"121",402633.589670042
"122",343963.9688324
"123",339854.052887851
"124",734817.027510114
"125",259322.766905057
"126",361494.576534099
"127",832991.341072002
"128",878717.036881833
"129",447207.30706377
"130",785359.014573114
"131",471168.253692618
"132",626399.870115984
"133",371754.499654127
"134",348237.285516071
"135",921880.757781127
"136",601217.427373512
"137",958937.440743422
"138",269775.073074196
"139",513158.4475
"140",412660.646566189
"141",461834.408385487
"142",667943.921124247
"143",410265.661659652
"144",475830.708230181
"145",722499.951599987
"146",718105.711838965
"147",268121.813261959
"148",384852.089466207
"149",676546.41736274
"150",327347.760768934
"151",283952.253803384
"152",288239.009020654
"153",340119.70784917
"154",1218064.27705941
"155",613880.259402273
"156",406966.214051425
"157",478929.886936868
"158",397138.875133357
"159",553407.867204622
"160",742065.247005304
"161",1178356.19729699
"162",591704.70354501
"163",474912.071096193
"164",1005486.14392562
"165",339061.597375431
"166",519606.437700393
"167",406919.066359353
"168",458640.536791157
"169",347938.501564723
"170",325917.328983367
"171",488014.33656435
"172",778260.542490819
"173",393221.950323509
"174",383571.057527543
"175",319647.110230482
"176",343439.661152302
"177",435257.274315593
"178",435201.904481868
"179",656507.906109049
"180",222811.502014268
"181",491105.112836362
"182",266556.337609795
"183",833020.588196186
"184",561194.684918521
"185",587013.865245621
"186",1166464.49071267
"187",443007.184100054
"188",578964.426037921
"189",311627.442636278
"190",442290.469077021
"191",249870.99440801
"192",550119.020413016
"193",236867.38225422
"194",409756.845390063
"195",377021.68506281
"196",405177.886270001
"197",328833.62511644
"198",219362.300844352
"199",581806.999399312
"200",228490.320383768
"201",415455.146745325
"202",261488.631694195
"203",219618.777077942
"204",333133.686175256
"205",500831.344769507
"206",367237.580788752
"207",288682.036555902
"208",289173.114580652
"209",541287.576845884
"210",279133.378419659
"211",213093.631980114
"212",512274.494713657
"213",452320.254787342
"214",471364.162263883
"215",548550.215762734
"216",283197.506792437
"217",444506.722233056
"218",337103.278427116
"219",377999.382505788
"220",453873.08849976
"221",348955.384431108
"222",695294.047509286
"223",364391.155942276
"224",207126.579239448
"225",353137.005225137
"226",222376.717840258
"227",770105.976211222
"228",573671.401457669
"229",503802.594788941
"230",688519.500713928
"231",434954.176887459
"232",454234.908777266
"233",548759.58312993
"234",389217.498238365
"235",119048.400529631
"236",446511.362306367
"237",462246.647295812
"238",658652.088576345
"239",555781.128357666
"240",775144.174987088
"241",386886.667294363
"242",483470.678535118
"243",484116.702541038
"244",346205.922111012
"245",601957.950270241
"246",405034.165848206
"247",379081.167217451
"248",363712.813557826
"249",415041.102670974
"250",820570.740906243
"251",829225.888180387
"252",534617.52359988
"253",611418.475054106
"254",437319.326349168
"255",343196.148027353
"256",478682.042492573
"257",206917.649282824
"258",545344.9130723
"259",574295.49463873
"260",516672.026134412
"261",1025987.40548104
"262",551309.132902362
"263",381311.81973613
"264",588724.532954433
"265",604548.177637219
"266",695147.699584139
"267",485560.337489891
