"","x"
"1",507027.672983538
"2",955852.897635601
"3",341703.890059248
"4",556621.666157961
"5",401199.475414
"6",603090.256670814
"7",929290.980411798
"8",361660.523823537
"9",266871.083223108
"10",867479.663586143
"11",268215.477817338
"12",279656.095540971
"13",304140.286604248
"14",405254.767106067
"15",510559.977014128
"16",791596.738436006
"17",826182.375877507
"18",304491.252122793
"19",588287.248407047
"20",422523.795394357
"21",756570.625214584
"22",164701.448675562
"23",355031.189617857
"24",347612.725579739
"25",656417.996394947
"26",400136.533394944
"27",990825.286864493
"28",269026.757600754
"29",281182.99467783
"30",373721.391028948
"31",123982.533538878
"32",527819.115974884
"33",688444.035692766
"34",258051.596942484
"35",341070.909363963
"36",449940.643830113
"37",189229.514807634
"38",1071427.56026617
"39",1645361.20927766
"40",299193.915850766
"41",514571.963658154
"42",1071950.42994671
"43",257244.190526046
"44",448745.119657833
"45",256209.639771689
"46",1230266.14739778
"47",915725.060702644
"48",767212.438571267
"49",374203.949812539
"50",763004.318454821
"51",352398.074048799
"52",508574.980928127
"53",1196921.62456845
"54",1214248.96969815
"55",533225.845014818
"56",475807.382320099
"57",111456.607616853
"58",380525.996907718
"59",656349.455190934
"60",449086.349474903
"61",620052.643613588
"62",809751.175911091
"63",521616.358049389
"64",715661.794023626
"65",539683.49417159
"66",183273.271447726
"67",153094.974764295
"68",612319.334462225
"69",569115.10506143
"70",378152.728909153
"71",780556.088956848
"72",928185.646658078
"73",431339.998408221
"74",652431.658105865
"75",533544.674356852
"76",642720.459100273
"77",479623.895562187
"78",567747.90399079
"79",453582.220089275
"80",965902.132065319
"81",608247.063715156
"82",409415.830234766
"83",257001.609094657
"84",429221.229837216
"85",765538.696383908
"86",762218.202830125
"87",646538.76196159
"88",383468.039144598
"89",643471.377948947
"90",1184903.10945109
"91",806685.923156105
"92",131020.030193999
"93",76041.6363126636
"94",445653.153968018
"95",129394.466263626
"96",556108.124821939
"97",274006.295693178
"98",603709.488543861
"99",521439.0106332
"100",263940.105294228
"101",1353722.39836232
"102",363638.45179164
"103",417955.046731427
"104",660461.909166139
"105",560373.825424898
"106",756102.811878614
"107",250186.049480174
"108",404564.367919438
"109",1369073.84050497
"110",201056.027038001
"111",1818687.23253853
"112",12350.6117620207
"113",324205.960176181
"114",386051.702617925
"115",2306275.48312402
"116",431308.755753618
"117",1531393.98899595
"118",150426.98197398
"119",440121.376233499
"120",431969.005174477
"121",346915.76044856
"122",224908.737041518
"123",299076.298802599
"124",926282.990427546
"125",187432.892414607
"126",375994.606443062
"127",909521.284553837
"128",846066.805006608
"129",408339.271462563
"130",928240.724780299
"131",467669.926899865
"132",662211.825313408
"133",297406.593004182
"134",315041.092946786
"135",988026.338935234
"136",536232.90058193
"137",1054544.55742392
"138",124623.68931992
"139",486583.857692413
"140",323517.098093212
"141",449870.352857795
"142",757099.27447971
"143",393734.367422782
"144",471196.401079338
"145",762594.928224616
"146",657519.263901874
"147",209994.557631277
"148",365326.544127066
"149",777086.934249058
"150",242506.134697381
"151",278291.171464063
"152",291343.799854029
"153",254636.670019321
"154",1176737.60165646
"155",583013.579371504
"156",350099.434731051
"157",413644.744875543
"158",513440.19140961
"159",523924.744893491
"160",794487.030275751
"161",1352857.69524039
"162",652255.915288791
"163",392561.525143769
"164",606682.218232036
"165",281274.414601553
"166",490566.629944291
"167",313241.446289301
"168",386562.275423411
"169",284404.929611884
"170",236677.725429516
"171",529228.873268485
"172",803160.929477409
"173",332579.996611983
"174",365803.76446306
"175",204332.069055121
"176",306290.641315024
"177",377275.856010295
"178",352323.293885056
"179",692296.751868971
"180",121713.615792215
"181",446244.788480591
"182",197614.292141903
"183",1021077.91793237
"184",647587.988601211
"185",696154.038885862
"186",790690.579834629
"187",401180.050195571
"188",600635.438044265
"189",223188.360254347
"190",403056.427622184
"191",186002.219618652
"192",710540.923444808
"193",99742.8143456504
"194",413402.755417246
"195",322981.473655973
"196",355696.07652704
"197",236570.365240682
"198",182387.053363886
"199",520667.917372819
"200",164277.327334132
"201",414100.10577045
"202",229913.92527616
"203",169160.843442339
"204",319397.723549537
"205",516835.843477827
"206",312780.095934451
"207",337542.239696164
"208",183822.841841992
"209",582875.265335709
"210",285429.201901037
"211",161802.822970279
"212",502433.36674295
"213",386673.560344364
"214",515179.520829417
"215",586536.209055208
"216",134364.581461668
"217",528156.300079521
"218",261608.728700381
"219",323728.756799977
"220",492288.419149909
"221",373120.090203859
"222",924106.301434156
"223",346797.261716697
"224",147789.71401573
"225",336699.724862896
"226",138869.990870241
"227",856145.788791593
"228",575612.201497346
"229",520243.912696775
"230",784607.262211591
"231",385365.188773558
"232",347386.104979169
"233",458436.272926543
"234",377290.040383473
"235",-95261.1597024538
"236",450600.533802651
"237",449464.128927551
"238",687530.340456627
"239",543091.282590684
"240",778872.707251329
"241",370369.756648216
"242",554358.775812402
"243",445241.453435596
"244",393830.739295293
"245",541213.82230204
"246",463789.61727858
"247",278011.832612358
"248",296945.666395914
"249",325692.896099035
"250",802146.276984356
"251",991650.421537068
"252",493738.088233832
"253",608686.727382373
"254",454245.30997828
"255",277848.138357054
"256",506584.122979388
"257",190752.186102543
"258",580550.8756756
"259",638004.839129094
"260",458709.855681565
"261",1055625.21784345
"262",641492.812027946
"263",302353.166381303
"264",514192.035770308
"265",594183.097010944
"266",728271.413882915
"267",497030.265481148
"268",701387.31417191
"269",649812.701229453
"270",667504.490181342
"271",395098.600626539
"272",507725.683236737
"273",213412.541565254
"274",689109.476759326
"275",691421.560934242
"276",543169.703050654
"277",421963.061181143
"278",294517.625459876
"279",1006355.71065888
"280",346031.954874512
"281",900451.3900089
"282",342868.208281025
"283",567358.873355806
"284",290073.559063617
"285",824484.889446501
"286",723620.799987432
"287",682243.655422889
"288",1465138.53482711
"289",256447.044470884
"290",435464.311925404
"291",260337.8741179
"292",421118.796552371
"293",665358.289018091
"294",1565720.49342421
"295",756734.48607596
"296",389188.001931671
"297",791882.455171853
"298",136137.073484082
"299",573760.775008582
"300",1008804.3505402
"301",439629.762747265
"302",328214.288892604
"303",872488.812704839
"304",652964.843845747
"305",553186.985151634
