"","s1"
"1",335881.909924424
"2",853009.465944671
"3",305054.821061211
"4",595193.276668208
"5",548591.865964936
"6",476748.87264093
"7",649672.090835001
"8",319264.560371332
"9",232246.401865921
"10",645152.852272599
"11",311930.413343655
"12",271112.613973783
"13",200163.627709487
"14",295550.975352903
"15",499528.907130599
"16",701248.420550184
"17",758616.878365918
"18",438687.658011303
"19",652342.488862729
"20",318162.769936877
"21",845462.092276133
"22",194060.78057072
"23",285578.408317078
"24",405476.129825472
"25",744716.640909784
"26",292904.00105984
"27",1120521.68121562
"28",475669.526925174
"29",200550.613229163
"30",304645.381640881
"31",195671.226013843
"32",942350.787309117
"33",624983.613609409
"34",156626.244148606
"35",219994.593279564
"36",464088.540290883
"37",173336.705405912
"38",1156681.35430527
"39",1625240.47653109
"40",254159.106264231
"41",663876.902932169
"42",1043590.17079063
"43",246241.677509734
"44",354959.613859297
"45",146838.965378105
"46",1214287.77715206
"47",825917.687844502
"48",554214.945986188
"49",410096.378713637
"50",689067.240610354
"51",342860.093179413
"52",378759.748801001
"53",1431316.30318829
"54",1450785.61217214
"55",540047.091231245
"56",471514.499932983
"57",164555.793413074
"58",292596.319156879
"59",936497.281244104
"60",488672.488622515
"61",1022177.34804858
"62",662095.242014782
"63",361618.962580936
"64",539500.334375511
"65",459921.575828331
"66",211244.797294474
"67",130454.465008054
"68",932753.308101403
"69",644117.936782624
"70",480985.903218447
"71",793674.612900225
"72",938846.696416138
"73",358358.608128153
"74",523142.386615419
"75",401275.251383108
"76",910271.381075142
"77",388305.359354538
"78",664136.234624684
"79",318148.390995087
"80",1293420.55439972
"81",640989.800641786
"82",484165.79282948
"83",252682.745409143
"84",579055.140212059
"85",492322.000570793
"86",668809.373474877
"87",530795.204723282
"88",454569.018418919
"89",1192577.83388901
"90",1326890.88569287
"91",776205.843676066
"92",270111.884672283
"93",114741.949532812
"94",313213.609975715
"95",239307.770634286
"96",445364.904527558
"97",260742.714184403
"98",424667.097941275
"99",276110.928445121
"100",277102.172709822
"101",1078837.10291084
"102",436654.49590552
"103",365423.413659161
"104",729690.466106012
"105",516851.369372718
"106",984623.336587151
"107",188303.716668805
"108",293460.523925857
"109",1465645.46371306
"110",258250.281097866
"111",1764439.36387395
"112",182673.814906959
"113",270645.845358797
"114",327572.622553101
"115",2677472.33363715
"116",376419.922822081
"117",1500786.82257097
"118",137674.618339935
"119",397390.307199805
"120",653762.264518124
"121",256281.8348547
"122",240073.015103705
"123",268537.45128989
"124",811764.615614443
"125",256149.457452479
"126",383131.400413377
"127",827082.746373468
"128",1102182.8247397
"129",441133.649024607
"130",603843.486585988
"131",507264.644064927
"132",588855.917342313
"133",356944.926670027
"134",285263.183291013
"135",701391.015606585
"136",436649.259369066
"137",1064820.30835307
"138",244343.406817277
"139",472030.626300771
"140",274062.653809888
"141",527001.498306909
"142",943240.622152125
"143",475353.952262531
"144",366118.469211512
"145",712397.485557068
"146",693001.904475859
"147",241531.828654439
"148",318921.120228079
"149",582006.774349544
"150",244822.959853986
"151",226173.881211927
"152",305513.225718425
"153",252214.976248367
"154",1169998.69676831
"155",549090.753092842
"156",383912.947910765
"157",533386.948716282
"158",485086.54698917
"159",608511.647588467
"160",866835.420315778
"161",1312139.45222962
"162",791394.74634321
"163",341160.633762964
"164",1146491.75251531
"165",425843.814958481
"166",552749.771025182
"167",272021.967294997
"168",465350.308251643
"169",248688.882351981
"170",187142.441182446
"171",433306.233338522
"172",669773.610969109
"173",316839.479342491
"174",314985.78187937
"175",334764.737108125
"176",274940.711651166
"177",407575.785660436
"178",287132.575656366
"179",433631.256228305
"180",173033.304331573
"181",582971.015108767
"182",237058.829039538
"183",1005529.87772202
"184",796486.655274386
"185",862418.334117047
"186",1224739.93693549
"187",285864.824707914
"188",471272.074809554
"189",221048.590252832
"190",454069.674503298
"191",200166.436806383
"192",562095.394425839
"193",247912.454037161
"194",288938.299035837
"195",266587.666175664
"196",382171.675793716
"197",199627.414211971
"198",251319.494132923
"199",432851.89334596
"200",188270.512961612
"201",363124.298843572
"202",223290.221770689
"203",147660.245942761
"204",247232.041862569
"205",572968.043679133
"206",284030.540481476
"207",349098.137032281
"208",210367.030610538
"209",543274.06376351
"210",256700.806942559
"211",135151.895897738
"212",586110.578398719
"213",449574.749659465
"214",576125.283483082
"215",831176.571220918
"216",265195.665600642
"217",724785.611300861
"218",245252.078285845
"219",280474.649637153
"220",382489.759823356
"221",236860.476584502
"222",643660.669402741
"223",228574.403715404
"224",153916.190567692
"225",338255.994447508
"226",145375.228473084
"227",933922.381700711
"228",572951.26419848
"229",484035.632341242
"230",776071.130818458
"231",339586.287916812
"232",321442.783393912
"233",398453.879677087
"234",450328.548989529
"235",159994.018871261
"236",485899.474023616
"237",499801.096471598
"238",479434.069210495
"239",433700.111873611
"240",911317.418590024
"241",353237.42590032
"242",448616.340942195
"243",540063.939588318
"244",384436.232180026
"245",745641.978947198
"246",649119.069309367
"247",304441.348111051
"248",221966.370042639
"249",413439.015860706
"250",872237.041575778
"251",665904.308098228
"252",426923.594298741
"253",420207.765666928
"254",367609.297318327
"255",220629.590873027
"256",391590.203085347
"257",186032.759319452
"258",554404.386557519
"259",461438.854731245
"260",360374.351290368
"261",1049944.15580877
"262",591702.754251733
"263",313275.25835968
"264",554555.906411908
"265",635500.720745506
"266",527853.970350047
"267",496698.929054295
"268",573336.192397477
"269",428662.371692388
"270",507948.862507298
"271",776340.182002128
"272",350177.629325984
"273",152287.540047663
"274",988447.344784417
"275",674085.756062336
"276",478686.21564486
"277",443720.231049738
"278",243802.190861219
"279",654032.909703218
"280",334893.003076373
"281",990813.258587541
"282",284488.173016594
"283",693718.474602203
"284",286484.815345064
"285",643836.490784604
"286",596134.838063339
"287",566407.787671128
"288",1458616.66389321
"289",281153.591707192
"290",579726.414193456
"291",243716.498229606
"292",319905.940036201
"293",478378.820948372
"294",1349773.17618863
"295",691336.783890672
"296",328156.445106487
"297",741805.841793003
"298",180469.4512852
"299",626000.470648452
"300",1037155.7010984
"301",320122.631975994
"302",379091.258702185
"303",789290.279889581
"304",788800.917530082
"305",473486.431858169
"306",1218832.30681669
"307",463042.715455255
"308",331935.983780202
"309",458392.107902393
"310",532003.533370331
"311",438270.270152981
"312",755719.243381271
"313",146318.691875735
"314",551407.473880415
"315",874806.166944825
"316",1485583.99647637
"317",489655.746293303
"318",285130.298757372
"319",1105488.83888898
"320",477631.388705512
"321",769413.434872625
"322",528790.083115082
"323",276618.965032781
"324",261351.868800615
"325",575049.048475857
"326",298800.90477272
"327",528882.505682685
"328",474074.937954617
"329",280894.398486464
"330",990783.058624337
"331",459084.768862912
"332",487981.001004452
"333",1200143.96133979
"334",383280.561590103
"335",414267.493646811
"336",250041.748251353
"337",818258.781658451
"338",598697.422483352
"339",368213.350430688
"340",599755.680762914
"341",230541.000660849
"342",360539.982497023
"343",275129.480661697
"344",233148.432780717
"345",269022.23922122
"346",335572.592392616
"347",219298.244519713
"348",342867.619052613
"349",477474.560090951
"350",460855.831818729
"351",310235.963765612
"352",397244.220998845
"353",341911.14602567
"354",559648.75639494
"355",349254.237489408
"356",503431.917174281
"357",452741.659270537
"358",338215.902730526
"359",300998.380394319
"360",322057.123349028
"361",488537.895010659
"362",1010910.65068246
"363",1483755.90111275
"364",411724.962676807
"365",148474.856032118
"366",838742.636395193
"367",364805.561968511
"368",331920.287583466
"369",657164.789965796
"370",553193.260233107
"371",321253.962017746
"372",418420.961693494
"373",536030.557007205
"374",666852.057464342
"375",427665.272168939
"376",1604096.79869088
"377",160219.982543149
"378",632621.711512423
"379",503899.363590167
"380",456174.524072563
"381",600528.734762713
"382",770711.41795116
"383",352127.597189271
"384",369694.732306884
"385",485128.437223634
"386",531416.208089099
"387",610847.31967411
"388",993798.632539351
"389",303233.239606916
"390",810384.518448142
"391",1449267.5943637
"392",646306.898682929
"393",753894.018802325
"394",1071094.93441549
"395",582203.346429808
"396",357479.755900952
"397",172591.67134096
"398",418879.157497424
"399",828720.778877607
"400",417090.835558194
"401",909486.441700928
"402",136090.337605059
"403",598604.850607046
"404",135695.059872746
"405",224927.157213151
"406",877248.784103768
"407",189307.522461064
"408",888617.73099881
"409",601925.185995012
"410",333596.64884979
"411",334311.466158651
"412",654543.673401465
"413",323977.435222123
"414",154065.067018753
"415",1142253.83179677
"416",366951.41161911
"417",304788.00521058
"418",240258.053885318
"419",292229.063710901
"420",146620.276349931
"421",434076.224086425
"422",999770.446540483
"423",253854.691539471
"424",938271.369485453
"425",679630.098831463
"426",490450.243742595
"427",1034345.71681697
"428",1388307.220099
"429",1113656.16842546
"430",685169.253281999
"431",825586.402502599
"432",343503.554826204
"433",664910.144926236
"434",588863.746367614
"435",260392.480116566
"436",702878.989053347
"437",399689.921301969
"438",1039032.3712804
"439",523500.66729229
"440",189996.72598135
"441",541080.063961752
"442",275683.960511749
"443",796201.222976789
"444",1262165.69705251
"445",208103.600737882
"446",344548.09423491
"447",298286.735758376
"448",417318.325966811
"449",260134.02470159
"450",665116.778323371
"451",849799.527406246
"452",271950.996928754
"453",453757.362544656
"454",442846.175021691
"455",506488.820330365
"456",524366.728926209
"457",185235.108510194
"458",657401.308049168
"459",922066.073011857
"460",197913.603453377
"461",1145557.00368206
"462",281127.030809807
"463",1239738.94660956
"464",659705.031730935
"465",471198.482198834
"466",591837.687889932
"467",399643.952351541
"468",310346.99100396
"469",164723.232550855
"470",798462.044326501
"471",774823.988544966
"472",245378.159175688
"473",240649.63170951
"474",910325.211178296
"475",366658.344946764
"476",471014.472151834
"477",378818.418148747
"478",474652.044454486
"479",301707.558031705
"480",460700.612326959
"481",286513.84295561
"482",286363.593315028
"483",635674.242470842
"484",772784.758238362
"485",438401.077277525
"486",597223.865447494
"487",511308.852010204
"488",1211105.6910138
"489",260345.580533095
"490",241134.906897563
"491",394248.009072316
"492",497399.733454558
"493",114525.844677808
"494",323072.891302614
"495",1434753.08926021
"496",289615.365835803
"497",326355.233820914
"498",1352005.98804774
"499",800609.508571443
"500",407732.71897833
"501",160489.95531275
"502",265852.170747129
"503",322217.744575032
"504",467435.872954501
"505",299293.471989166
"506",214321.728512228
"507",119120.924202381
"508",522096.847637013
"509",943805.590111904
"510",638361.941081238
"511",392561.815651447
"512",227614.067670777
"513",602467.77882859
"514",756556.737723003
"515",1111299.05111248
"516",1313011.91775019
"517",1338635.31865422
"518",278270.718277724
"519",129152.330528249
"520",389723.680042475
"521",572255.199741864
"522",374487.731726483
"523",563870.512086997
"524",565596.525214338
"525",497906.710482064
"526",233425.155283534
"527",505852.143638138
"528",261443.051327158
"529",1097104.69693791
"530",566267.033602121
"531",411122.184399912
"532",1142954.17114736
"533",870315.970172457
"534",831229.556573234
"535",678373.468052461
"536",473205.257259064
"537",935320.59413427
"538",574871.62608303
"539",318577.733752546
"540",459540.219410845
"541",580070.973667614
"542",304001.219305354
"543",417496.358113119
"544",692106.004776064
"545",1058355.96849785
"546",296791.258076526
"547",416944.397038833
"548",241348.965099038
"549",830217.60847717
"550",580491.237658935
"551",174883.00381267
"552",581135.277174351
"553",685158.941676727
"554",775420.015885902
"555",600002.045785265
"556",276692.361816574
"557",245465.454345822
"558",550666.726938611
"559",163514.113546938
"560",810097.085292725
"561",543946.501092803
"562",439182.924763101
"563",297802.976230773
"564",908874.502607816
"565",178484.632526544
"566",428758.104996816
"567",664406.121840296
"568",483674.211045242
"569",1170225.79568802
"570",331254.847799476
