"","x"
"1",296764.552092787
"2",801687.722630564
"3",237308.063858345
"4",486454.629139548
"5",446337.156379869
"6",466380.334869095
"7",570874.132263365
"8",255352.76444817
"9",251766.683937299
"10",583192.418235713
"11",296188.911292043
"12",299926.65022294
"13",245621.518003757
"14",269117.837347938
"15",524061.78071337
"16",487855.872222305
"17",754433.46822193
"18",456429.188395799
"19",655661.605365839
"20",340514.923129796
"21",840660.029601729
"22",235113.182024257
"23",287962.248196529
"24",425146.959808846
"25",762760.857542083
"26",321654.089899255
"27",1165927.60552892
"28",468666.283376518
"29",244331.288189331
"30",314035.396643677
"31",251872.969536562
"32",875975.001373357
"33",639766.718076096
"34",182095.304483794
"35",253687.359890001
"36",468052.322502996
"37",224616.258566696
"38",1232342.89994211
"39",1635830.62674144
"40",244221.811156
"41",598415.955510224
"42",482378.631674252
"43",253134.812382429
"44",314329.60706014
"45",207420.501842755
"46",1451158.66956398
"47",861170.314804602
"48",544896.361315566
"49",340342.866823612
"50",643359.635341282
"51",355803.046853325
"52",363730.200289234
"53",1361304.24182918
"54",1411004.88276757
"55",512414.326455055
"56",513790.548995816
"57",215599.014635918
"58",266102.222853756
"59",947125.209272934
"60",473209.438278137
"61",975983.729848388
"62",634805.108468633
"63",369354.832979352
"64",523963.28665978
"65",485728.7579619
"66",249263.814556569
"67",156066.219646001
"68",860904.773125802
"69",573537.89055578
"70",472365.646853518
"71",795091.827288785
"72",895865.591255161
"73",352962.071139491
"74",463976.925641857
"75",406629.926861954
"76",833140.383369415
"77",382459.414945506
"78",646379.706469176
"79",346604.687987617
"80",1277669.08910034
"81",606258.445120006
"82",473982.984165878
"83",286263.430449542
"84",573073.027599995
"85",420213.061393549
"86",651718.723531779
"87",478432.510481262
"88",431529.893382923
"89",1164756.12716684
"90",1251157.4225504
"91",792813.46672168
"92",296043.051561582
"93",187337.593937139
"94",346395.837768812
"95",253288.827333613
"96",389819.979971671
"97",291663.668681017
"98",333536.078557973
"99",256854.666020683
"100",265846.757810242
"101",1193205.45701575
"102",437637.305319955
"103",319591.470342213
"104",722555.341828481
"105",498469.390896465
"106",947586.73855404
"107",232178.046347408
"108",328355.648719028
"109",1614814.12269995
"110",252650.778283551
"111",1903193.33071524
"112",240791.461051878
"113",296613.056128888
"114",337009.196988979
"115",2339967.13878248
"116",326112.282378366
"117",1811529.58560739
"118",191426.934936153
"119",421791.667334835
"120",593727.57621992
"121",264348.841266978
"122",281574.947392001
"123",256289.125651936
"124",761199.309466684
"125",283010.250439992
"126",409724.696654968
"127",757805.339926266
"128",1087711.07280827
"129",396507.255707064
"130",564889.628331166
"131",517405.36381931
"132",482175.91592187
"133",365974.283607674
"134",298719.845121858
"135",653821.392934134
"136",496629.63253221
"137",1054821.51905988
"138",291724.647539146
"139",467508.327692636
"140",320405.362933162
"141",509531.177880464
"142",904167.142197341
"143",428411.483433858
"144",340459.149759032
"145",736201.774045786
"146",727004.624897281
"147",236394.008464841
"148",328489.277486341
"149",527731.724179867
"150",290045.950006462
"151",260530.376161785
"152",335365.560083667
"153",305577.799387487
"154",947733.872903674
"155",436169.155297502
"156",342131.714451519
"157",535420.902878019
"158",426689.296949727
"159",602230.798349893
"160",890199.868870495
"161",1431974.21929016
"162",845242.413026863
"163",399836.591240265
"164",1014831.82858101
"165",412994.491381657
"166",531686.651254644
"167",320665.84500002
"168",496083.871294847
"169",250562.896777374
"170",209552.092525144
"171",436437.495531237
"172",677831.330745721
"173",321784.561292806
"174",345466.413438777
"175",350217.011215708
"176",293817.416450141
"177",415334.233804462
"178",310228.105102659
"179",423066.13272184
"180",227784.268919589
"181",550423.397902576
"182",275797.765188512
"183",773887.914135935
"184",698016.308365221
"185",843643.52649595
"186",1177179.80296903
"187",330206.018372096
"188",511040.22948652
"189",265992.226062617
"190",457972.64490453
"191",223431.133090331
"192",516619.179381014
"193",276082.478088844
"194",291674.449436023
"195",269970.650194683
"196",389046.496858194
"197",240118.298914659
"198",243084.784680773
"199",373020.950110504
"200",228961.885155116
"201",411775.005413875
"202",248504.787828642
"203",201712.720843451
"204",283870.022478312
"205",562419.536171027
"206",301533.814684957
"207",277848.262070808
"208",249226.940877911
"209",536358.009309649
"210",241150.041030443
"211",196852.231621374
"212",520094.256679324
"213",524968.086061907
"214",588492.691668019
"215",799491.524721038
"216",326210.515439549
"217",689560.254783351
"218",291002.228157186
"219",326353.695859925
"220",328608.900720093
"221",268628.055365214
"222",534562.708633059
"223",276190.670953735
"224",195766.302440077
"225",357721.576203419
"226",188132.028874733
"227",979513.099805466
"228",507066.160237995
"229",408090.906677339
"230",776032.414110764
"231",323446.291668502
"232",343182.446922571
"233",380991.074642304
"234",464838.534034514
"235",203821.445525132
"236",381263.721987185
"237",504476.238843624
"238",479860.388630192
"239",418736.694049508
"240",885788.282590381
"241",365041.184291091
"242",432491.771149774
"243",540595.2968324
"244",370317.437709822
"245",760450.322967325
"246",574023.121236062
"247",315462.222600241
"248",276790.73543671
"249",443271.068065302
"250",896151.645674801
"251",468910.720723294
"252",454678.295819122
"253",414835.380346
"254",319300.165861043
"255",257104.359798246
"256",370131.15473714
"257",248064.045015984
"258",525982.895317823
"259",429197.484015232
"260",373910.195739084
"261",1018044.52287312
"262",582524.991915113
"263",302010.416734618
"264",562518.513028196
"265",647010.48726011
"266",384584.559416382
"267",482789.268128051
"268",577571.833820912
"269",360969.44703909
"270",463316.228804423
"271",684839.343854878
"272",366657.673707268
"273",196302.054665683
"274",924634.921343859
"275",637010.901295212
"276",497918.599221552
"277",416801.711809246
"278",267999.15818735
"279",587345.069927507
"280",354600.608460293
"281",916094.991469638
"282",296457.104675953
"283",709218.164310536
"284",300222.529854236
"285",588867.544586506
"286",574522.621356868
"287",576291.961133003
"288",1372259.66882098
"289",256262.127071368
"290",587325.272795779
"291",281114.9843104
"292",330796.146910414
"293",391836.186314484
"294",1008799.22143211
"295",682084.593623669
"296",328572.096251244
"297",742296.72938633
"298",220108.361633602
"299",592423.754369616
"300",1011812.73699678
"301",300028.747942761
"302",324521.928709679
"303",777985.480904193
"304",697016.171374386
"305",467988.623072897
"306",1268135.5396417
"307",369538.199882451
"308",352221.116162669
"309",380445.30738317
"310",518536.223649127
"311",448542.640557542
"312",684277.754481853
"313",198651.264234528
"314",564833.113806369
"315",869981.568312407
"316",1236828.08568021
"317",469132.115932121
"318",265566.79923192
"319",1018369.1871525
"320",451721.199199504
"321",584592.942860589
"322",507843.568819434
"323",309289.000848626
"324",292109.183485065
"325",574523.90088819
"326",319209.760996221
"327",561270.621723057
"328",479019.651057105
"329",315133.722920637
"330",953578.513178739
"331",414746.391924759
"332",479689.599172377
"333",1113198.3987319
"334",355317.032495533
"335",404738.374459015
"336",248899.710131788
"337",600833.675307741
"338",556389.937507316
"339",317787.999028602
"340",550107.923184162
"341",247466.806735711
"342",357214.67947474
"343",327915.474666076
"344",258109.617341297
"345",311237.175237523
"346",318769.150220743
"347",237250.219488801
"348",348421.48965873
"349",476665.192974442
"350",466677.513410519
"351",321504.41967088
"352",402587.320911396
"353",344143.370315746
"354",466074.918247688
"355",363255.280899249
"356",467742.615038258
"357",384392.342494467
"358",293767.910129218
"359",308370.250346734
"360",341510.695354678
"361",432731.889662859
"362",1090840.58233402
"363",1646471.40418929
"364",368498.155886287
"365",188065.88120992
"366",735633.290595532
"367",347465.993474284
"368",348130.060785676
"369",651891.137229517
"370",483786.538357425
"371",295395.355169004
"372",411118.018009351
"373",502990.184315592
"374",646777.537606046
"375",425789.056280901
"376",1695872.79121727
"377",228705.557481718
"378",622256.624153868
"379",495664.618560782
"380",463498.845507135
"381",570440.091118424
"382",781792.098270008
"383",294388.123770915
"384",304068.949258898
"385",450425.517923417
"386",503074.835193758
"387",630848.942988837
"388",961530.005255078
"389",306702.250211593
"390",761983.490955508
"391",920179.93551735
"392",637272.974489225
"393",717055.965184652
"394",1145996.29572269
"395",521976.729689905
"396",359458.548244342
"397",213097.799357464
"398",462082.423517458
"399",782120.347636802
"400",333485.553792039
"401",871962.418917141
"402",212280.522446686
"403",553509.562610637
"404",179617.594967452
"405",256502.640776135
"406",738469.573870531
"407",221136.086822716
"408",749003.239416969
"409",616687.987865127
"410",328728.39576605
"411",342353.881441036
"412",656275.434141371
"413",335381.915575752
"414",224485.68962226
"415",1265179.44009913
"416",403435.344973754
"417",329551.416437881
"418",279640.452916241
"419",302336.997443484
"420",194660.172589201
"421",455734.515668912
"422",961699.522455244
"423",273392.237034845
"424",937525.832743069
"425",742251.955314075
"426",477349.88802037
"427",1050703.7930853
"428",1278439.35009376
"429",955467.112299136
"430",609462.224398171
"431",903966.393196351
"432",365529.369925509
"433",670117.147652325
"434",593886.440625139
"435",272271.246092287
"436",695631.258704704
"437",413518.557284829
"438",851277.235631512
"439",525418.137878249
"440",235930.830643226
"441",521478.014069722
"442",282292.260982873
"443",701983.150581769
"444",1289082.17887498
"445",259814.115204432
"446",328796.998854884
"447",280370.99501363
"448",369696.178287634
"449",302656.498723857
"450",669501.389638798
"451",891481.642301383
"452",252263.027098145
"453",488542.40958
"454",464918.85003282
"455",540505.125619564
"456",448897.109989583
"457",240168.020611098
"458",658648.060760239
"459",745005.994390226
"460",241451.262152817
"461",1141135.62261896
"462",298663.417921229
"463",1164520.88456483
"464",573434.813457371
"465",450419.755174857
"466",570358.412702505
"467",311833.127758504
"468",293057.877952072
"469",211151.143684685
"470",791770.939621024
"471",736569.85156047
"472",283310.175264867
"473",259177.296475848
"474",905051.114666603
"475",457848.96542146
"476",456710.934472645
"477",377977.606632926
"478",455697.446152581
"479",308681.214924247
"480",425308.004071678
"481",288773.400023476
"482",303474.152238293
"483",597240.468494321
"484",605087.37096908
"485",411157.323308778
"486",604653.036366822
"487",495713.656701508
"488",1154586.93661412
"489",293391.963086019
"490",317112.968722623
"491",356640.978432784
"492",467473.188201151
"493",187969.085460522
"494",353843.907967154
"495",1542785.74298331
"496",299936.300071371
"497",316911.741709306
"498",1518770.14744755
"499",752965.983270413
"500",373911.835144721
"501",236785.055042014
"502",273400.050200226
"503",283234.462381809
"504",410322.515192653
"505",342990.69369937
"506",261415.603538938
"507",191335.251011082
"508",514338.516259179
"509",896602.790254392
"510",565369.091013251
"511",406095.811400977
