"","x"
"1",515658.136888755
"2",926037.733366212
"3",306102.657389937
"4",585655.284053777
"5",413245.1402919
"6",643871.770126109
"7",937612.510363555
"8",394697.895546014
"9",219070.35013606
"10",834768.751729767
"11",321176.942595968
"12",243740.114385801
"13",330435.445143047
"14",355821.661697685
"15",528923.120089288
"16",821060.14214947
"17",848835.961123304
"18",388615.057179897
"19",660361.834710371
"20",408418.984822354
"21",678679.298083613
"22",190131.630302426
"23",307318.101104516
"24",389060.497206354
"25",687820.298008554
"26",311268.515814792
"27",1046865.50359235
"28",317860.047047042
"29",262302.333067589
"30",368405.381062461
"31",147315.393252567
"32",623720.837062725
"33",755738.243715176
"34",153676.54126507
"35",331520.349105874
"36",449975.630481144
"37",249025.140802192
"38",1056300.45131652
"39",1723541.22201445
"40",352776.181212606
"41",508547.971908
"42",1151871.68142352
"43",291797.792215435
"44",478697.561512534
"45",195451.711162808
"46",1142845.74982619
"47",1012311.40100741
"48",827860.013735691
"49",391526.816440264
"50",831929.354353386
"51",352115.572665262
"52",506355.920349493
"53",1257063.73612211
"54",1257063.73612211
"55",515471.091436972
"56",487573.821541626
"57",145391.445746559
"58",306849.170802093
"59",638634.214298767
"60",382652.078794298
"61",748379.2958913
"62",873399.376349232
"63",512399.925223508
"64",685364.499184213
"65",535096.376906593
"66",235789.080867729
"67",128023.748892278
"68",592507.448144936
"69",607134.651071127
"70",399994.688323875
"71",843160.468939661
"72",948884.706558122
"73",402886.34952703
"74",735762.604846459
"75",501837.354338781
"76",677371.479115161
"77",500734.274973846
"78",578602.366284849
"79",456466.646320958
"80",939879.978653284
"81",601796.549859565
"82",422351.362986237
"83",244496.6416611
"84",444516.557970145
"85",692166.420108617
"86",831311.621804992
"87",735458.084027901
"88",343953.540916494
"89",774519.319006261
"90",1217949.80586703
"91",796719.723874416
"92",127573.633779752
"93",112370.593084961
"94",426194.496522828
"95",212022.101978355
"96",587878.898782605
"97",282103.174242373
"98",576763.207065959
"99",374888.919932646
"100",183861.502847957
"101",1289700.08650672
"102",395991.018195488
"103",452399.14097613
"104",503548.368390457
"105",494349.688585519
"106",802355.221238283
"107",283740.072306419
"108",378581.464199403
"109",1351363.94461117
"110",247041.077201584
"111",1709029.26516255
"112",36587.1797267549
"113",348800.511795429
"114",404728.223194703
"115",2337597.17279959
"116",482328.740144971
"117",1575324.50858204
"118",155759.861144593
"119",353440.96780447
"120",334674.779884214
"121",325301.715814117
"122",224195.065991151
"123",335479.946517799
"124",930795.585544349
"125",174260.488592947
"126",425064.776112181
"127",909740.180759849
"128",891131.622688376
"129",404111.32994198
"130",893022.300586421
"131",446206.494687233
"132",729033.531853228
"133",283902.143276233
"134",361353.235790429
"135",1039505.87714787
"136",616130.790692934
"137",1047891.76091863
"138",35594.9032744547
"139",432910.900897996
"140",398427.34731829
"141",497717.506554185
"142",740502.946816116
"143",372607.713149036
"144",459535.930762906
"145",782847.680575124
"146",766767.750278515
"147",243819.252146729
"148",453318.564600144
"149",619190.81846469
"150",275709.482422825
"151",324693.529466892
"152",271082.573659608
"153",254544.750943285
"154",1234185.08524844
"155",734884.380380983
"156",356804.272063999
"157",501727.620488184
"158",413709.958605089
"159",615814.67444247
"160",928428.648641233
"161",1398721.45637557
"162",677777.818828027
"163",379132.242287529
"164",633051.149390308
"165",283188.726263057
"166",530960.742519775
"167",384789.863977738
"168",424598.596700372
"169",329145.006381628
"170",228545.73743636
"171",491820.850553877
"172",886128.532203484
"173",383764.203046676
"174",385600.436198035
"175",175925.830690118
"176",381530.115409535
"177",397432.609978525
"178",388721.27445987
"179",650425.918400513
"180",137437.320528669
"181",467739.119701595
"182",200607.206733162
"183",1102132.13837269
"184",656350.828878593
"185",700868.634219049
"186",859750.256432236
"187",406337.624947921
"188",724229.158021081
"189",274961.089218508
"190",327781.166771102
"191",177841.342812719
"192",546740.963359599
"193",139400.690618454
"194",490479.547131599
"195",314306.193275923
"196",284966.43495739
"197",253467.170916143
"198",101916.533602876
"199",538541.151824903
"200",182182.604253585
"201",377238.435244
"202",221243.48469961
"203",157523.466862898
"204",270798.049548183
"205",573988.442531106
"206",307926.704377322
"207",233536.085109555
"208",275572.130423772
"209",565051.445876196
"210",265867.303661446
"211",124031.531895801
"212",501110.353815669
"213",351617.690246
"214",497276.002536107
"215",555040.895337239
"216",143352.328849721
"217",447891.234085312
"218",279160.572684736
"219",329241.737057552
"220",490864.872494966
"221",311886.441618019
"222",863934.913568541
"223",378027.443858782
"224",131177.919142949
"225",406354.750189964
"226",150435.060890386
"227",960467.046605734
"228",595794.429697744
"229",508607.030384329
"230",839404.013763295
"231",415487.21199975
"232",384030.254711418
"233",456116.392351787
"234",379536.659478429
"235",-1031.27202596612
"236",307008.166102477
"237",422244.598113368
"238",757566.26726072
"239",533638.529343019
"240",807421.905102603
"241",396535.825108721
"242",503062.388354492
"243",479187.249949347
"244",388983.672166879
"245",709600.880791728
"246",379423.790962528
"247",296365.7018006
"248",206811.614347397
"249",309842.697730087
"250",911785.792465214
"251",958669.28036491
"252",481439.422134319
"253",590153.549538696
"254",496490.353337225
"255",245917.334601589
"256",499245.613622628
"257",225667.355378237
"258",614631.873574257
"259",636785.531341342
"260",404186.40672608
"261",1079384.05981072
"262",634937.961807598
"263",407986.805543636
"264",552170.943825671
"265",614746.35112222
"266",749733.007067126
"267",503033.549869807
"268",808364.407538091
"269",657984.408510119
"270",648483.486941531
"271",474935.155791035
"272",535983.222081545
"273",145706.903301845
"274",573029.706133596
"275",651232.369367379
"276",484598.259890426
"277",512046.784559157
"278",354678.301129928
"279",852944.588612295
"280",338288.779980106
"281",852788.532125336
"282",373142.6600322
"283",638650.649453076
"284",297990.45599129
"285",901122.099504194
"286",810885.8027009
"287",677225.892789114
"288",1477334.8616261
"289",303047.872220622
"290",482803.57870105
"291",300296.072054734
"292",418823.587767682
"293",554720.433063963
"294",1515803.72022507
"295",718497.396101359
"296",473321.445220142
"297",820582.232432681
"298",141685.468546955
"299",600325.959623259
"300",1017261.56966953
"301",490670.959319939
"302",240707.252703007
"303",863975.214285386
"304",553954.533688631
"305",570547.474647156
"306",915634.210035337
"307",469105.316872536
"308",179104.373674126
"309",599385.162092663
"310",599013.509239615
"311",424966.702361461
"312",455576.760524111
"313",153988.9685191
"314",448709.400552704
"315",893737.785909736
"316",1560391.34684906
"317",617681.243070689
"318",241604.358558449
"319",651907.654162255
"320",551447.488911301
"321",735202.507964303
"322",643610.083549837
"323",313900.156041503
"324",253492.790762696
"325",746249.720905614
"326",423119.232107243
"327",584692.008956835
"328",365807.124023959
"329",148623.977426302
"330",588702.147199533
"331",485807.671210846
"332",464582.282240099
"333",785978.969972105
"334",542135.447334332
"335",363846.797455634
"336",327064.10331798
"337",392358.543258377
"338",712770.001336405
"339",433385.673833188
"340",528464.921696383
"341",165283.925511447
"342",536293.788284536
"343",450422.779475833
"344",198077.510769873
"345",348758.486672472
"346",461045.188252759
"347",199833.310038891
"348",509510.605817373
"349",760029.130688069
"350",424572.969202164
"351",314980.758750698
"352",568263.356276442
"353",229658.422229563
"354",603971.956325953
"355",460550.692805345
"356",589682.586820644
"357",412694.869519428
"358",474675.557175218
"359",313251.657062279
"360",394502.085012631
"361",391593.268049944
"362",827536.026660441
"363",1422652.03625077
"364",531065.373454096
"365",142316.902710707
"366",592582.330792608
"367",488833.850082912
"368",395028.261961295
"369",528728.069217323
"370",773541.935298284
"371",480882.44476945
"372",599743.059341747
"373",478550.765860482
"374",677090.25641953
"375",371502.006894854
"376",1219132.06130443
"377",175969.773451902
"378",630563.011604211
"379",393942.867787426
"380",585847.751624114
"381",523464.985492293
"382",760879.816705417
"383",407803.992004177
"384",407803.992004177
"385",667940.794232905
"386",431432.454162938
"387",555472.362664794
"388",699768.005083439
"389",350725.740995525
"390",717369.609686153
"391",1478019.66860531
"392",460763.844924511
"393",700238.508056906
"394",1090570.36104611
"395",481741.603780886
"396",322977.126651265
"397",214142.135956233
"398",358277.023184722
"399",562699.49283999
"400",326783.429369195
"401",938708.147616557
"402",88032.6481437016
"403",769026.851512907
"404",48125.3999723935
"405",273210.560402589
"406",1042233.35378266
"407",186708.283478476
"408",635395.279687846
"409",663149.440665566
"410",333487.112466913
"411",181101.999471223
"412",641053.045666958
"413",384695.867888093
"414",-21034.7500003575
"415",833288.503097133
"416",341293.523929846
"417",420447.981657098
"418",233654.902895788
"419",398465.473261219
"420",49247.0338608617
"421",372599.253677617
"422",1005883.23081076
"423",185745.530102889
"424",777849.498456008
"425",741004.611022292
"426",636634.72229399
"427",688856.752393001
"428",1227320.95613833
"429",882912.809767451
"430",726877.01598328
"431",824062.542228868
"432",463640.888894978
"433",662135.833262569
"434",577866.994244876
"435",313089.179146758
"436",776041.708464668
"437",414462.969839892
"438",475043.697022107
"439",765219.06240327
"440",325119.995660132
"441",424612.15806258
"442",168612.171929973
"443",433858.436419584
"444",710593.165718625
"445",295964.068331199
"446",418250.961843428
"447",420447.228673721
"448",544462.544617017
"449",264323.414577503
"450",680223.663812324
"451",1012285.77098847
"452",348722.388081784
"453",499237.293033929
"454",487528.093952047
"455",432546.119481751
"456",708253.394496728
"457",39859.4644915179
"458",649677.215585041
"459",511384.868918257
"460",280119.821618733
"461",1094804.43895527
"462",236652.060043067
"463",813533.274905133
"464",585946.893038557
"465",346710.940934046
"466",883436.846833113
"467",231633.004205878
"468",251600.072049846
"469",110086.874711799
"470",801826.237549933
"471",1092613.60002473
"472",308794.016901949
"473",293289.961805041
"474",761681.000683588
"475",600788.96595834
"476",672259.348144863
"477",442432.042847156
"478",408905.132530872
"479",306535.658628088
"480",563890.491432423
"481",206631.510871161
"482",277468.378269373
"483",597060.132150522
"484",785809.205648613
"485",458402.193190832
"486",532378.219699474
"487",707346.512257741
"488",822522.86596253
"489",280599.341392273
"490",351788.777994167
"491",594317.904024844
"492",604501.26267873
"493",62192.9254010626
"494",303912.171425417
"495",1048066.17319968
"496",180705.689232602
"497",483281.900459431
"498",1311617.98799641
"499",1065427.2569003
"500",429325.654729056
"501",219313.318633238
"502",110568.037519434
"503",342356.129795667
"504",377426.616685948
"505",289804.125547471
"506",205378.939320681
"507",136290.145924719
"508",457672.931062508
"509",968579.806129501
"510",681956.983358716
"511",388582.479776476
"512",246498.82064446
"513",814391.932651694
"514",744385.112288713
"515",729849.501368406
"516",1323163.40809363
"517",1323163.40809363
"518",155713.765683986
"519",150327.789689054
"520",452413.38150392
"521",538623.013966164
"522",445866.783953877
"523",640891.534592368
"524",513573.316605406
"525",392525.293572312
"526",233684.696005465
"527",430906.475578172
"528",351781.061220244
"529",1026171.65966996
"530",747226.983418845
"531",473904.644297051
"532",1072073.92911943
"533",1091395.76194281
"534",749246.390922202
"535",658834.513021371
"536",589074.820490493
"537",980784.494183548
"538",597522.138722338
"539",467120.985434892
"540",669798.481359042
"541",639969.56327286
"542",207087.720998853
"543",488039.738310092
"544",633154.774641848
"545",834563.757929244
"546",413005.548194006
"547",449384.628139735
"548",285757.055980949
"549",894785.730854196
"550",546672.392350536
"551",141283.29654372
"552",501990.472751045
"553",721925.727621797
"554",787000.772962198
"555",601987.537930769
"556",421371.203781852
"557",331359.560422881
"558",556802.443405288
"559",231906.644481557
"560",531357.814341832
"561",592880.756407096
"562",520874.483246976
"563",226747.356318467
"564",774188.776585684
"565",134724.774095921
"566",514538.593301106
"567",644255.62117253
"568",399861.811270014
"569",993493.800831688
"570",358868.374785536
"571",348091.154937755
"572",533134.865202586
"573",173097.98678404
"574",371819.993343931
"575",450465.363684943
"576",179192.11879378
"577",472555.899934526
"578",333303.174818975
"579",1040065.78846893
"580",416034.97605315
"581",850548.911661595
"582",361406.38592256
"583",692782.168258871
"584",482655.211782787
"585",469783.51023588
"586",401752.699109073
"587",260127.819964498
"588",517995.999395846
"589",317044.707862862
"590",306700.389921581
"591",36947.2227732642
"592",98179.256321557
"593",531465.759623384
"594",355056.963002655
"595",309881.335265165
"596",1489642.46763513
"597",657520.148492428
"598",597285.119073302
"599",563557.017784256
"600",678059.245018044
"601",699782.137178113
"602",858465.978571057
"603",631782.794590217
"604",321944.699378401
"605",276170.327749795
"606",733554.164955462
"607",89749.0696937161
"608",666184.993419753
"609",355048.419231639
"610",761156.615903366
"611",1172032.77752042
"612",793477.228953931
"613",528355.634937991
"614",384828.463484303
"615",502445.201391563
"616",246215.489184079
"617",916547.467296781
"618",156280.37799479
"619",348089.852783438
"620",576380.909275959
"621",822330.164258256
"622",434121.598536245
"623",431039.243856148
"624",18455.2021825713
"625",487007.503161605
"626",684842.54669381
"627",419544.205003405
"628",1101180.30620645
"629",616366.58066785
"630",513931.866897448
"631",362501.066564413
"632",343833.352087108
"633",470930.357378096
"634",159067.497930302
"635",411462.931356693
"636",509420.348926141
"637",664155.393544261
"638",382694.888136856
"639",256309.038890654
"640",543745.107131935
"641",356292.201196156
"642",304853.04789831
"643",305869.082344
"644",564416.394867788
"645",525724.275911908
"646",902978.552084159
"647",431337.44981434
"648",475272.012401588
"649",680724.319621219
"650",686934.86836015
"651",194611.740132492
"652",1090286.34304029
"653",608869.060375315
"654",30466.2667323517
"655",721563.919639377
"656",47598.6324978921
"657",172535.321706504
"658",324677.228599765
"659",488818.029942647
"660",464972.808513949
"661",448240.207522136
"662",493148.419383273
"663",808623.10995125
"664",346170.595457659
"665",217697.518546307
"666",35680.5265857421
"667",382714.854154215
"668",627454.116281532
"669",632300.199759495
"670",520198.587674353
"671",499952.088983351
"672",665910.607371924
"673",1208633.38960906
"674",560807.192873302
"675",343219.808171111
"676",696311.269031894
"677",982605.918441979
"678",146657.059210081
"679",611268.392189482
"680",371870.631005519
"681",265732.708726483
"682",211563.512645733
"683",664902.080050834
"684",505759.972665406
"685",563190.430041146
"686",704981.550978548
"687",296727.459017686
"688",422519.5569227
"689",730942.568986917
"690",518338.953768072
"691",356504.055805872
"692",1143090.16022597
"693",584138.991233001
"694",855961.548077325
"695",611097.819742467
"696",571461.970079305
"697",594892.108257876
"698",438548.572414356
"699",476551.172283814
"700",1321026.05491132
"701",669339.764854679
"702",965312.720956792
"703",768645.700907883
"704",408940.122959988
"705",440587.958933192
"706",383778.905500506
"707",441214.296715912
"708",836979.164365779
"709",184579.286861405
"710",484565.835910784
"711",796742.418128318
"712",649591.542220101
"713",596528.763754241
"714",533213.969031007
"715",480385.850871172
"716",634118.23434613
"717",52235.7721005864
"718",239716.907896676
"719",258374.055564039
"720",565412.872621339
"721",683990.95781838
"722",812252.931825101
"723",603746.929096961
"724",461581.663802297
"725",613102.802778626
"726",586381.931363955
"727",650637.165656033
"728",89282.5869930291
"729",1327040.1283673
"730",598333.074011183
"731",432482.615391981
"732",336988.343633103
"733",860228.539710011
"734",1266226.291277
"735",842567.390685164
"736",488488.786073527
"737",1045617.78590357
"738",309991.677699403
"739",693740.982273705
"740",354577.144928031
"741",451871.433213178
"742",857924.561440108
"743",589976.055362944
"744",812041.972484626
"745",296554.000677717
"746",748090.176073233
"747",362673.49285411
"748",64749.9916368733
"749",552545.706170507
"750",788901.271615539
"751",315616.87999083
"752",1327162.84003105
"753",990835.201376164
"754",442280.401067845
"755",726238.637254734
"756",275733.220366062
"757",593097.552678839
"758",766459.369820214
"759",637887.497094131
"760",461220.277724185
"761",573682.443011927
"762",266489.533158845
"763",477530.691427841
"764",44191.4579706678
"765",222644.522209849
"766",222644.522209849
"767",326361.773495916
"768",1024609.24629558
"769",158460.118772693
"770",771651.163263388
"771",331004.374264444
"772",1049598.27615379
"773",713993.578738003
"774",497620.422964962
"775",292344.53284514
"776",532244.578345915
"777",324289.713528499
"778",747064.756469078
"779",476947.231038726
"780",317003.775247793
"781",460558.383930447
"782",495757.017037347
"783",602828.127263735
"784",198458.213577383
"785",171433.641963543
"786",588143.689890187
"787",482316.585012671
"788",663422.916859024
"789",456169.036287295
"790",833614.094523022
"791",447072.588493916
"792",836812.716921196
"793",760479.586089585
"794",431704.466804172
"795",617065.303941918
"796",607931.819909546
"797",505678.1775155
"798",603665.272056386
"799",195079.485864814
"800",1011168.15490255
"801",77011.8605574191
"802",903478.695757727
"803",555666.514819297
"804",530834.608078583
"805",876982.693710585
"806",462436.976848434
"807",774978.849638319
"808",686229.883908111
"809",443500.286930496
"810",361784.583719222
"811",655482.765437428
"812",321495.917807972
"813",693224.772356332
"814",630143.110911256
"815",273543.507764742
"816",413012.75384887
"817",562547.203456465
