"","s1"
"1",331524.853555395
"2",848472.263625537
"3",305709.894071034
"4",616744.563567024
"5",568346.510919888
"6",471346.624375562
"7",648405.583576532
"8",317346.958463324
"9",231643.902954398
"10",641253.767406206
"11",308901.427833622
"12",274263.46297778
"13",201610.772459999
"14",297386.514531549
"15",503192.747950751
"16",688145.363972277
"17",755628.739608899
"18",438184.622855081
"19",648476.470817194
"20",321247.667376742
"21",845457.585834097
"22",191584.007568096
"23",282414.487275772
"24",413967.048193283
"25",742954.172566783
"26",287548.139032621
"27",1123488.73648965
"28",478849.344851107
"29",199822.77562555
"30",306179.982495041
"31",199763.924957003
"32",946058.038026991
"33",621452.4398704
"34",154975.510319252
"35",215350.157498021
"36",461372.30520056
"37",175330.801616466
"38",1161837.45105378
"39",1627341.04625351
"40",253816.607375797
"41",664044.968164979
"42",1035651.17538114
"43",245693.269076742
"44",355889.750026105
"45",147839.932121139
"46",1217753.34759918
"47",826555.156681835
"48",554204.674257251
"49",395595.130271986
"50",683262.50886931
"51",342895.262704348
"52",372092.820865793
"53",1428963.33742078
"54",1448820.32016023
"55",543488.072694764
"56",474480.332535686
"57",162534.320120026
"58",295273.426010963
"59",937582.298491811
"60",491224.349905455
"61",1021443.48340494
"62",662227.122849405
"63",359745.954658066
"64",538608.045931181
"65",461337.706985958
"66",211425.865902014
"67",125041.025709287
"68",932595.028632209
"69",646353.045612814
"70",477603.466014832
"71",794266.489475121
"72",934566.154789276
"73",360448.428084368
"74",516141.209388839
"75",400019.419499626
"76",912610.041525887
"77",387743.141894036
"78",665029.762603772
"79",304352.342997571
"80",1292367.25635331
"81",643860.88302583
"82",487090.400881151
"83",250115.021302308
"84",580484.474503061
"85",487283.899090884
"86",670408.887523378
"87",527733.754859957
"88",454477.715901467
"89",1192293.76170564
"90",1323267.44598846
"91",777277.769851072
"92",259978.543734887
"93",112658.983206682
"94",311625.97215239
"95",237140.747311875
"96",443517.393969069
"97",257104.923099364
"98",426225.911136321
"99",280610.789678463
"100",282385.612595314
"101",1077237.77278113
"102",441924.75914655
"103",361950.645187232
"104",732037.251065284
"105",514150.26208629
"106",986661.675948189
"107",187754.384688902
"108",292156.933077121
"109",1460501.14672103
"110",261109.559459133
"111",1766123.64955392
"112",191007.68296223
"113",273143.097651045
"114",327697.072597513
"115",2684130.03787909
"116",377501.031318559
"117",1503023.16148917
"118",133934.125439187
"119",399388.93740374
"120",654850.054626064
"121",254207.040231092
"122",240200.311998035
"123",261200.24546408
"124",813871.713165449
"125",259782.675064688
"126",383500.07308703
"127",825978.818586344
"128",1103435.66467721
"129",434570.015504414
"130",603025.755825186
"131",507231.515462787
"132",587408.08683567
"133",357008.436730475
