"","x"
"1",245988.832357167
"2",851230.79924362
"3",285810.002038665
"4",478460.521717587
"5",470762.318554772
"6",460222.68603294
"7",702002.966973162
"8",210815.692407158
"9",243185.413401246
"10",624771.38854838
"11",298224.581266745
"12",276426.256754871
"13",199555.446461967
"14",279057.148741477
"15",494814.711372559
"16",691148.426899839
"17",745847.686926524
"18",467203.188023203
"19",626324.829070488
"20",345248.309123402
"21",840011.998516871
"22",205430.647808046
"23",285670.589843695
"24",403303.111382452
"25",724077.661956937
"26",310546.29134586
"27",1112440.07390939
"28",516979.858723357
"29",204481.877304876
"30",306693.348097781
"31",231631.33676047
"32",948906.665982931
"33",610636.066934839
"34",171796.250319388
"35",207760.249478934
"36",470843.457184531
"37",182351.80606089
"38",1174725.90682088
"39",1303892.59290122
"40",235941.652620415
"41",647713.504703685
"42",827263.246706258
"43",248050.359320947
"44",338696.686195002
"45",173610.223406749
"46",1160743.14228628
"47",807112.26555252
"48",542372.164973226
"49",382939.522501499
"50",676715.455160804
"51",343872.392359966
"52",372600.389845098
"53",1409937.26934428
"54",1429839.81296756
"55",536039.845645243
"56",468226.807382811
"57",174933.704585518
"58",216756.401652866
"59",918235.442503801
"60",502630.399450613
"61",1026087.51101895
"62",657433.082888587
"63",355264.966245391
"64",532573.411672296
"65",455096.421013471
"66",222464.905218577
"67",148140.637250528
"68",941111.813843548
"69",641932.653941643
"70",475570.087236232
"71",758691.501501635
"72",920696.050817147
"73",358469.509778816
"74",488007.053100008
"75",392983.962710306
"76",920472.367124833
"77",392079.609646495
"78",666906.666622539
"79",318481.915800807
"80",1272821.95857594
"81",625160.418452733
"82",510471.010218493
"83",249794.493192472
"84",588089.484110014
"85",444522.227773854
"86",636738.902516793
"87",503947.975996482
"88",477558.251702096
"89",1153036.38258443
"90",1277261.30595438
"91",760570.241177404
"92",237202.037913645
"93",147379.662700726
"94",331474.701088163
"95",259082.984390904
"96",427588.617817657
"97",263423.245524644
"98",396440.975822802
"99",209004.712916934
"100",301895.388164629
"101",1142728.12204915
"102",457062.739554038
"103",397449.220356127
"104",626372.351120741
"105",482876.432949755
"106",967039.651586591
"107",196725.965747985
"108",311857.381498702
"109",1515691.12111633
"110",277213.987695481
"111",1935787.97579457
"112",219873.138408156
"113",276249.70625709
"114",331842.367866545
"115",2328537.32382386
"116",363815.700872513
"117",1542451.77548654
"118",157612.768287079
"119",374598.824724232
"120",693425.685860642
"121",265088.638684729
"122",244199.331354858
"123",242032.588284184
"124",1096283.95018207
"125",261123.323238636
"126",398681.841385361
"127",785521.349830544
"128",1106362.08900979
"129",419557.875392759
"130",612118.503017742
"131",504804.172831655
"132",573433.046338853
"133",395049.866561282
"134",292426.844292319
"135",708538.613033152
"136",434743.632981408
"137",1038490.22543327
"138",269249.260245031
"139",457367.292498086
"140",297595.007911112
"141",519043.496929768
"142",949248.226121656
"143",473819.62951959
"144",396481.656695674
"145",699588.759041083
"146",751448.619054707
"147",228358.954263846
"148",360921.729159621
"149",522139.902701057
"150",240492.19738066
"151",255018.974334584
"152",335662.390146149
"153",272142.164150037
"154",1144437.79484292
"155",554076.995592831
"156",398569.165576096
"157",520578.80610813
"158",470121.057119722
"159",611497.613357711
"160",1173003.13390484
"161",1605204.25510922
"162",792853.450785154
"163",334166.31330996
"164",1129789.19043686
"165",446038.924427952
"166",543436.370965136
"167",316282.697852675
"168",466538.780987893
"169",232842.026491421
"170",185653.077262931
"171",454041.076511949
"172",668975.952043063
"173",312354.34293612
"174",318633.721116325
"175",361152.560491631
"176",282420.568031219
"177",425113.239349043
"178",310925.834755734
"179",414569.89179749
"180",194876.296993743
"181",587740.792358409
"182",254602.408465488
"183",1040881.05417821
"184",785214.794697815
"185",842832.266477164
"186",1177337.72810028
"187",312262.988380354
"188",473295.380959988
"189",237309.163515266
"190",472847.224816561
"191",192537.376357047
"192",471557.898088873
"193",262983.073159731
"194",294567.337359674
"195",264380.943781522
"196",389984.46709492
"197",190583.562794108
"198",245999.514439844
"199",425721.658018295
"200",199860.884149573
"201",379739.469125463
"202",228065.556166457
"203",174929.943571569
"204",259029.608056956
"205",562265.383958931
"206",296872.256741793
"207",360299.052633439
"208",213963.702884691
"209",538417.846988713
"210",253152.861972991
"211",154866.937564088
"212",573454.385866827
"213",428845.701479568
"214",551941.053226371
"215",829092.345005827
"216",302057.851287789
"217",745076.85744086
"218",256716.391613765
"219",317297.642737882
"220",390088.121756504
"221",244079.32757028
"222",643030.39064708
"223",261930.986627478
"224",195190.049226282
"225",340177.617252526
"226",127567.604466075
"227",930115.344631232
"228",569012.007499514
"229",467537.53594356
"230",774641.031262917
"231",340207.57807922
"232",314227.491739286
"233",389866.942957205
"234",468065.254356377
"235",196231.217928875
"236",460509.524740373
"237",500969.877045816
"238",481420.426703713
"239",434330.383695921
"240",906703.542358609
"241",360866.325848624
"242",443379.296821885
"243",531464.699705256
"244",386875.4658718
"245",725017.390377346
"246",656309.597327826
"247",310210.448371649
"248",273003.949681646
"249",423842.306482867
"250",866576.806772508
"251",685946.863046982
"252",408756.815066868
"253",407148.966052445
"254",330357.765863942
"255",218295.712904078
"256",375021.159411151
"257",225549.507835975
"258",525876.208583025
"259",411871.172281638
"260",404450.640768124
"261",1028734.42940725
"262",564072.566450343
"263",310051.548938878
"264",552824.593643867
"265",620657.333369497
"266",522562.193737224
"267",488449.12970284
"268",558829.318117513
"269",442025.113165864
"270",503057.033736181
"271",782262.24785544
"272",348067.35083035
"273",187191.69830383
"274",987701.482417952
"275",693670.561211801
"276",498364.549009681
"277",457720.208140361
"278",249303.089432162
"279",655844.997705309
"280",346106.575932041
"281",970853.673624528
"282",287556.917377235
"283",669844.691520516
"284",288167.49419564
"285",675228.476512259
"286",573573.562525803
"287",564512.472654871
"288",1517264.52327889
"289",302729.824303699
"290",590341.274178187
"291",262887.404244059
"292",318652.420907144
"293",390732.852246064
"294",966411.41786184
"295",664728.39018693
"296",373337.134771195
"297",720908.754817317
"298",185035.16806724
"299",611698.653360046
"300",1025926.9188712
"301",311018.67949963
"302",407555.551778345
"303",779877.132869896
"304",781268.157350963
"305",475121.567949753
"306",1192399.9504661
"307",458279.969291478
"308",381586.000109517
"309",445182.685187382
"310",522761.017885397
"311",424502.210223127
"312",760607.638349902
"313",162457.627192253
"314",555497.76082698
"315",855107.934015303
"316",1749682.7129666
"317",498469.307010217
"318",266451.106010323
"319",1103508.55279943
"320",472249.049173995
"321",761627.64714198
"322",523324.930489097
"323",306698.743674341
"324",265114.759450273
"325",536126.301689293
"326",334893.456430516
"327",540505.21298988
"328",493182.047694703
"329",281603.58395581
"330",960803.824167761
"331",369818.076034611
"332",509519.68269244
"333",1177944.07187774
"334",388977.642773339
"335",397404.70457554
"336",224280.634788856
"337",849168.993934536
"338",567780.430003613
"339",371051.322369529
"340",580053.885731044
"341",209633.95759292
"342",334845.229296273
"343",288890.519555645
"344",163459.5024075
"345",302565.729284827
"346",315751.699138972
"347",219445.633893931
"348",340206.330840481
"349",459509.620043712
"350",489242.42516381
"351",346227.507085165
