"","s1"
"1",362616.963317335
"2",848474.62720237
"3",305591.660667353
"4",616552.37952965
"5",568345.867077119
"6",471330.107197698
"7",648366.813553638
"8",348284.640296841
"9",231604.195994151
"10",641343.644525835
"11",308938.935337643
"12",274174.471668386
"13",201435.192565757
"14",297258.140857053
"15",503220.533241678
"16",689397.507787391
"17",755699.56904165
"18",438191.860572802
"19",648483.085141095
"20",321263.963069239
"21",845441.787597804
"22",191494.663581684
"23",282435.238732476
"24",413925.500886857
"25",742960.795868242
"26",287529.981659177
"27",1123514.73584952
"28",478827.468615114
"29",199736.563388319
"30",305992.822466866
"31",199669.397367868
"32",946027.061362716
"33",621473.950818357
"34",154971.838820138
"35",215318.699004004
"36",461411.941820398
"37",175184.607394518
"38",1161849.17400918
"39",1627223.03052822
"40",253721.939279528
"41",664086.5086925
"42",1035587.24213942
"43",245556.328139007
"44",355770.097194193
"45",147740.574868595
"46",1218024.80691565
"47",826568.317936725
"48",554275.202179867
"49",396877.82653239
"50",683275.793675685
"51",342910.965074673
"52",372107.033809467
"53",1429007.16472284
"54",1448869.12647682
"55",543481.774932278
"56",474378.298000195
"57",163729.930088065
"58",295360.768032051
"59",937609.925856441
"60",491220.346264694
"61",1021443.42748999
"62",662166.574906561
"63",359722.195676996
"64",538596.070523482
"65",461316.370280495
"66",211381.174720288
"67",125079.233466168
"68",932543.421829361
"69",646308.282686472
"70",477581.399665844
"71",794158.473409022
"72",934687.406603996
"73",360370.023992326
"74",516203.596084825
"75",400009.439381202
"76",912572.655489474
"77",387727.604897305
"78",665057.701669545
"79",304540.862013704
"80",1292258.1723242
"81",643828.046539335
"82",487093.744409859
"83",250034.864131496
"84",580465.326297274
"85",487295.787510866
"86",670305.183298844
"87",527805.257405489
"88",454467.992415339
"89",1192208.40788539
"90",1323319.71910351
"91",777348.619746053
"92",260137.438746509
"93",112550.018647928
"94",311571.019890562
"95",237140.771033395
"96",443473.661457482
"97",257064.697786204
"98",426218.029358598
"99",280643.282448485
"100",282318.517848103
"101",1077372.35075609
"102",441839.386803128
"103",361951.566169495
"104",732236.542741219
"105",514155.782918093
"106",986643.294260371
"107",187694.857175841
"108",292167.88832849
"109",1460577.45774039
"110",260991.923831477
