"","x"
"1",533509.520796581
"2",923553.440035718
"3",329160.921836725
"4",575987.468292914
"5",423159.791496167
"6",635669.215745474
"7",915687.72469209
"8",377986.580037117
"9",246232.29425212
"10",864715.797250865
"11",314435.302065765
"12",253446.507638554
"13",331244.082901358
"14",370524.876867915
"15",548205.3040076
"16",791804.789616436
"17",843705.482968572
"18",341263.060491029
"19",653485.526310157
"20",426029.731925074
"21",732822.78154385
"22",181545.498057194
"23",317449.689488412
"24",383996.082500203
"25",675831.752288362
"26",335568.03453333
"27",1039931.12885152
"28",288076.169253852
"29",274279.888792494
"30",372657.8383783
"31",131347.681585253
"32",604071.534766278
"33",729885.069612016
"34",206306.906850298
"35",354790.828682559
"36",427118.553782312
"37",231107.026204279
"38",1101499.72456405
"39",1687338.02417108
"40",333305.489740568
"41",520952.328492022
"42",1137740.86412203
"43",263344.648683261
"44",457163.760829242
"45",237913.154077735
"46",1086981.24131888
"47",992762.169759591
"48",813277.662898579
"49",391473.780240871
"50",841634.274998714
"51",348027.451065726
"52",500355.293453646
"53",1244171.90083702
"54",1244171.90083702
"55",543602.14184987
"56",500842.895111305
"57",124167.379909688
"58",272526.073561547
"59",683654.67248969
"60",425363.137383278
"61",725354.465595736
"62",847769.331945706
"63",529232.45796442
"64",685843.499393122
"65",531699.266378975
"66",217386.954329359
"67",137303.415370064
"68",629645.184033334
"69",628924.093926626
"70",387240.073151174
"71",830260.592056709
"72",951482.153340312
"73",415982.441219556
"74",715416.371348488
"75",535536.009928051
"76",674516.483125989
"77",489565.168612671
"78",583430.716607101
"79",451541.484249571
"80",988459.136254027
"81",600668.669726039
"82",425199.140747636
"83",250864.604037021
"84",440996.399713474
"85",748666.735144991
"86",806162.553567171
"87",707842.389796761
"88",363369.585513715
"89",754024.694806998
"90",1230964.36443398
"91",830376.103604889
"92",152965.326315435
"93",95319.8074771227
"94",435562.912853418
"95",176292.012105887
"96",571568.562918361
"97",281696.239717882
"98",594311.132237337
"99",376062.642649059
"100",237016.336400277
"101",1339266.59723561
"102",375639.315263905
"103",425076.616295785
"104",456221.624229945
"105",557393.653907392
"106",783800.333659091
"107",266267.15947065
"108",376646.393852619
"109",1377460.53689832
"110",220106.03309177
"111",1792481.6047897
"112",19783.0835233752
"113",336925.950741472
"114",394144.000781121
"115",2340067.7295835
"116",462996.203805891
"117",1571582.34233014
"118",167015.662338474
"119",401292.170238128
"120",394964.205531679
"121",346183.068656376
"122",220158.27018844
"123",317882.983046743
"124",946259.897038396
"125",196090.87995811
"126",400879.984646244
"127",906808.639118895
"128",897333.720043419
"129",411542.400640602
"130",896338.059892698
"131",458725.761188846
"132",723321.814742492
"133",283381.800695021
"134",349455.081294973
"135",1006458.39968851
"136",593900.827828739
"137",1041600.55214098
"138",48249.8954277435
"139",462938.911318199
"140",344919.333501991
"141",499290.374720496
"142",772633.932038275
"143",383675.009838988
"144",478460.644318959
"145",786678.065316037
"146",732293.078493088
"147",220626.410503062
"148",431944.132311034
"149",592079.294849149
"150",276717.056803064
"151",304771.134456146
"152",281457.641695467
"153",246777.74667326
"154",1228065.178449
"155",687767.162213515
"156",330595.008858886
"157",477277.34094935
"158",466138.76276508
"159",589004.865457078
"160",884155.132937377
"161",1360326.64442175
"162",682770.946774862
"163",408439.1892088
"164",629091.179608119
"165",273539.623300066
"166",534158.212546073
"167",320913.393275304
"168",420631.058697599
"169",303857.862235833
"170",232434.934307548
"171",492863.191600628
"172",851489.334898032
"173",367430.276903254
"174",372975.326977912
"175",161729.800689901
"176",371897.038811849
"177",367635.599425875
"178",338099.787342433
"179",671811.417345843
"180",126791.821012287
"181",461763.759862407
"182",191656.272182386
"183",1027820.26736451
"184",673688.312617944
"185",752642.769719753
"186",891290.43628121
"187",395572.621878297
"188",697997.64258868
"189",237905.28425784
"190",361269.920585148
"191",177634.628182687
"192",503492.237428027
"193",120416.671065349
"194",477289.655343128
"195",311236.848510198
"196",325651.497191131
"197",242539.373017377
"198",163443.393034442
"199",534402.464573953
"200",170852.010871409
"201",379399.674883364
"202",214158.430645447
"203",167327.799240626
"204",295089.601656513
"205",581337.484991641
"206",299393.875721081
"207",301246.867721246
"208",244529.846619331
"209",542392.496428137
"210",268407.293771054
"211",148539.175830504
"212",505430.415597113
"213",396681.396770156
"214",480662.109319328
"215",593555.245413304
"216",142787.183479706
"217",501161.041171582
"218",282014.93642391
"219",329488.455378391
"220",508534.109775968
"221",354807.402896054
"222",884635.841304085
"223",330256.29261829
"224",142435.410887295
"225",375016.906386876
"226",105119.48837994
"227",926710.727629211
"228",583996.5010583
"229",509750.159136622
"230",831669.17635122
"231",399760.97255619
"232",370335.158982403
"233",434569.38147809
"234",391884.838189389
"235",-49538.1750877029
"236",382528.60402691
"237",427219.872393629
"238",727088.843908696
"239",523595.269215401
"240",801427.868677129
"241",377850.888115422
"242",543383.328913378
"243",466095.309829856
"244",394947.91437233
"245",677211.936477024
"246",440263.614873841
"247",288420.069271545
"248",234484.640401393
"249",325851.730521484
"250",887102.797468364
"251",939327.459352912
"252",482736.181965108
"253",597594.66147837
"254",489373.013056073
"255",263012.381773401
"256",510102.017440506
"257",233179.04417404
"258",601552.664341132
"259",650316.306442909
"260",389736.035756556
"261",1071824.41501835
"262",663863.936364009
"263",377006.443762105
"264",550516.987434717
"265",625608.555451308
"266",735740.710637182
"267",524680.068813405
"268",789691.522681456
"269",681051.758942537
"270",628021.259189815
"271",426020.149983565
"272",536946.245587344
"273",167226.264218976
"274",660355.944718463
"275",713000.843833664
"276",480959.459387626
"277",483896.101762501
"278",352611.110677561
"279",919354.102135014
"280",344816.287088483
"281",852626.575256081
"282",355201.180801207
"283",627129.423777118
"284",293548.406189332
"285",862950.795584579
"286",778994.985489417
"287",675568.590039103
"288",1504284.22567908
"289",290504.122582299
"290",476772.409511186
"291",295270.334347988
"292",429574.500169881
"293",497927.35553958
"294",1489461.1524067
"295",752076.644072462
"296",451522.755624574
"297",810325.819752731
"298",126255.327670306
"299",621086.708710634
"300",1036691.60468018
"301",483859.676629518
"302",298764.706511073
"303",858715.452705563
"304",604658.328970005
"305",557454.898833713
"306",904856.511577339
"307",475876.451592184
"308",187927.692858116
"309",603948.765725427
"310",599602.708864321
"311",438014.049974635
"312",545068.335884359
"313",133587.446277754
"314",471289.562273305
"315",971883.274845257
"316",1539617.17986973
