"","x"
"1",481848.720869701
"2",992767.810131971
"3",238086.826828424
"4",529075.950393472
"5",362686.609536149
"6",588261.248022914
"7",878853.005944397
"8",397111.137417041
"9",229227.267326586
"10",742669.364608031
"11",286769.196228046
"12",309281.140363045
"13",286624.69605929
"14",328143.992147602
"15",535298.293430723
"16",882698.636089742
"17",759169.936737817
"18",368808.891215
"19",659199.066883624
"20",373386.780692741
"21",644168.822271019
"22",151997.380070787
"23",437789.05446272
"24",409158.083143439
"25",624891.247538522
"26",322190.412353467
"27",941821.047777817
"28",316317.031527866
"29",260257.737994879
"30",337371.666123971
"31",181525.352980744
"32",960751.520708445
"33",668810.753102835
"34",175362.971817624
"35",309750.775732044
"36",466690.95868817
"37",231750.319622971
"38",916525.592050962
"39",1288813.0270535
"40",300915.7926507
"41",532759.71807057
"42",548285.864283841
"43",250976.23642898
"44",492912.706456829
"45",188279.837628711
"46",1011538.41466368
"47",881715.256968725
"48",692360.234375719
"49",355778.610644799
"50",779770.464023806
"51",342913.4027602
"52",460342.182913516
"53",1270031.94391599
"54",1270031.94391599
"55",428399.523013219
"56",450515.896463159
"57",153893.278851137
"58",264801.662272956
"59",541203.095088404
"60",343270.668919496
"61",980559.067388609
"62",814255.284206159
"63",478119.429550719
"64",691929.613659468
"65",584490.772388145
"66",204477.681315709
"67",237994.320008587
"68",930265.834924601
"69",538128.528633539
"70",429932.356772114
"71",906486.654747628
"72",856611.994715564
"73",445058.698121563
"74",655348.017575774
"75",500917.49423321
"76",974371.399678007
"77",458273.242922354
"78",503613.587740406
"79",530857.310301077
"80",1413980.22854305
"81",655616.445396449
"82",329378.397507709
"83",315859.32930563
"84",381503.22755184
"85",723801.953212492
"86",767141.508723613
"87",641931.890522122
"88",331959.242015176
"89",1215008.09557321
"90",1025809.75900767
"91",676272.590235371
"92",206109.491601478
"93",123941.529636513
"94",448187.917430498
"95",177384.593208395
"96",473212.814955734
"97",312657.840271268
"98",482123.657679513
"99",338404.863935761
"100",167832.494158775
"101",1134889.46392149
"102",458815.483439218
"103",447063.936897039
"104",513452.517464496
"105",381002.881477751
"106",724862.117392711
"107",251278.964871764
"108",445569.143101808
"109",1557944.47304419
"110",224402.271954097
"111",1688726.28176837
"112",96178.308738865
"113",300641.230545428
"114",392065.40752881
"115",2201911.94215752
"116",411056.151586838
"117",1353721.89132461
"118",142663.845873863
"119",496593.219639357
"120",347610.131154679
"121",380617.409698844
"122",299592.13496533
"123",290708.018684041
"124",917061.593135897
"125",177910.600534506
"126",336022.34718658
"127",934840.184171606
"128",1125224.72569102
"129",398155.183544062
"130",838943.823511388
"131",456727.765889723
"132",603380.370256245
"133",364348.045695495
"134",287261.238354485
