"","x"
"1",307265.136978007
"2",856045.380501632
"3",304423.995147459
"4",510663.348621753
"5",465123.678984543
"6",482522.616008641
"7",668753.598278948
"8",299112.027827744
"9",214488.149195962
"10",634144.313296996
"11",304171.363002334
"12",273328.16633233
"13",202824.428845114
"14",324349.688950817
"15",497380.069698978
"16",700326.551861254
"17",764434.844287027
"18",455396.243548585
"19",659329.335381133
"20",311249.965192339
"21",871199.588348892
"22",186272.530351491
"23",290700.785517778
"24",410913.750077707
"25",756416.788132667
"26",300185.47064813
"27",1146612.12880126
"28",495815.967705212
"29",198919.429351436
"30",298771.272260049
"31",191117.522556525
"32",950703.412432086
"33",628241.147936172
"34",181229.301775366
"35",230425.229253677
"36",459895.063825491
"37",174411.485007993
"38",1172200.7326405
"39",1690510.2855466
"40",286800.703985697
"41",660518.771815121
"42",1063718.55256785
"43",238487.998329983
"44",383557.529449153
"45",135516.740140638
"46",1124926.83756269
"47",828769.591218275
"48",552827.633407396
"49",415661.159191483
"50",676786.905998934
"51",349469.101802731
"52",389551.089065942
"53",1438899.26662045
"54",1457492.192222
"55",536111.753245244
"56",472391.210693822
"57",169653.698609945
"58",228737.996370663
"59",561371.692472802
"60",487179.697221343
"61",1022050.02539781
"62",674799.590208962
"63",357153.33553465
"64",543108.870799565
"65",464917.436928848
"66",206730.632663167
"67",113604.263050179
"68",935689.921237661
"69",626312.578705218
"70",480117.795065581
"71",790432.374623538
"72",932098.768526832
"73",364046.936887822
"74",517490.664367205
"75",400662.236992954
"76",908036.906557753
"77",391417.630985373
"78",668914.695633144
"79",324947.072117288
"80",1304487.42862223
"81",643283.359175011
"82",482249.988791088
"83",254181.356402238
"84",602363.339781484
"85",471182.226144699
"86",664592.786962897
"87",526990.192050918
"88",454836.740718694
"89",1208364.19398553
"90",1326537.18717371
"91",771560.820872181
"92",266206.334893461
"93",143527.804839935
"94",302000.568314465
"95",231769.67291593
"96",438382.238122847
"97",262090.016190311
"98",444233.277287067
"99",211632.84981821
"100",276130.988486708
"101",1064170.8971477
"102",433633.019456161
"103",362061.10724838
"104",667077.196330679
"105",518449.600229319
"106",1004609.65498084
"107",191603.147045243
"108",294287.619204549
"109",1461684.07579883
"110",252922.415529369
"111",1739679.90580796
"112",200568.797264033
"113",270780.160312675
"114",335660.311279364
"115",2754364.55902418
"116",407439.246317595
"117",1488995.04312587
"118",137610.222297918
"119",400144.912458793
"120",678421.90934423
"121",254848.910094667
"122",245869.772988003
"123",280008.122047873
"124",803532.439052534
"125",270114.003544477
"126",396267.202441354
"127",787725.358231214
"128",1102919.09005378
"129",450825.300272021
"130",604761.596796439
"131",508613.74132323
"132",589730.369446353
"133",354511.790698511
"134",287635.798377682
"135",701881.846645424
"136",425880.332379189
"137",1059225.73010598
"138",208650.104203572
"139",470894.355067548
"140",286944.5315941
"141",537804.199391415
"142",554701.368707386
"143",486987.393268663
"144",361796.185582153
"145",712083.565169785
"146",677980.432787869
"147",233081.067146482
"148",359511.663712656
"149",527824.889653439
"150",248202.032405965
"151",235672.671141311
"152",310305.768043146
"153",248520.668326353
"154",1165821.4878546
"155",535763.642147243
"156",389769.634587723
"157",539356.184138034
"158",486958.688157745
"159",619721.034283336
"160",864102.155635651
"161",1318845.6345375
"162",788208.585391399
"163",334073.635985962
"164",1166581.30782606
"165",422554.215298191
"166",555869.900988003
"167",285065.201787674
"168",466731.07450061
"169",244227.917765574
"170",217883.060466294
"171",434805.591888218
"172",672888.012624272
"173",312097.886639344
"174",323009.263893511
"175",338279.143312763
"176",271777.178084182
"177",403168.484070552
"178",294380.662325641
"179",429223.693380648
"180",165897.536630288
"181",602084.482660729
"182",235374.679791018
"183",632993.99033938
"184",801347.375819364
"185",867822.66617966
"186",1241876.69551165
"187",281279.371411657
"188",475557.870192427
"189",227177.011028194
"190",460598.038958869
"191",197056.739812053
"192",488327.35849071
"193",261524.457052538
"194",336028.064311853
"195",262979.236483014
"196",383134.871628892
"197",201484.983568876
"198",258156.450536292
"199",465872.043853402
"200",181061.732749098
"201",367518.077334616
"202",218418.970208647
"203",149692.66120185
"204",244574.104831525
"205",571399.575795562
"206",284562.299195853
"207",351424.594620756
"208",206942.490480252
"209",535875.987973197
"210",259569.655986816
"211",138965.51818052
"212",602327.358360983
"213",441412.07976172
"214",546352.442257897
"215",850123.476322088
"216",266377.752329705
"217",749603.168981225
"218",252824.737388711
"219",284539.328246869
"220",365354.795928333
"221",245446.744508699
"222",634888.903877662
"223",237172.717702504
"224",151870.850873964
"225",352814.639716581
"226",129252.505591001
"227",954327.942603351
"228",580604.782510129
"229",486475.430895869
"230",768630.593165914
"231",345468.004954918
"232",316036.725683208
"233",403421.589960111
"234",454269.680377105
"235",178918.810657613
"236",482366.666590478
"237",503134.665915788
"238",533358.655296156
"239",439311.383683245
"240",910182.725760799
"241",361368.925290212
"242",445032.913597495
"243",550967.21661179
"244",382126.738376896
"245",752126.371508675
"246",656919.427854828
"247",307073.041463492
"248",220635.396662571
"249",409863.077257397
"250",878162.719456197
"251",669117.92800543
"252",429457.78066755
"253",417771.361387183
"254",365849.656969403
"255",250514.918157725
"256",400674.387551079
"257",197160.512895617
"258",560038.87904767
"259",464683.592093568
"260",366602.043015687
"261",1043449.57456968
"262",589946.161676349
"263",310588.172591779
"264",556325.43676692
"265",640389.450738532
"266",524810.853768421
"267",507477.412548035
"268",576123.916415291
"269",426871.91719202
"270",505940.123939765
"271",420700.556233247
"272",396103.467027669
"273",167889.435453067
"274",986034.684080951
"275",667021.139329436
"276",472989.938988951
"277",435766.930687887
"278",240258.954603731
"279",647086.578311551
"280",341498.976175302
"281",1009001.89700762
"282",286683.707377256
"283",700438.782937073
"284",294905.175893416
"285",649374.057270304
"286",656374.150686242
"287",559515.150136539
"288",1457439.27518757
"289",273277.654795038
"290",580781.497183123
"291",250865.421353517
"292",327102.412678286
"293",410441.624928342
"294",1412982.68530844
"295",697498.035825498
"296",367912.801090136
"297",733166.391804526
"298",181285.694117623
"299",621367.017448449
"300",1047562.1277914
"301",316362.859566249
"302",376982.820764902
"303",794096.581319867
"304",805402.534346228
"305",471796.908324601
"306",1191514.06680611
"307",451989.820527613
"308",340200.433768105
"309",464403.226158161
"310",532022.796205577
"311",403422.512130755
"312",375761.102636846
"313",157143.582922407
"314",556864.005117587
"315",859809.965806539
"316",1489113.66432103
"317",482020.70363079
"318",274759.33825414
"319",1106941.72492468
"320",471369.54480862
