"","x"
"1",330371.278376932
"2",841785.593638558
"3",301857.566784414
"4",610110.786109024
"5",562176.732674374
"6",477943.59473635
"7",656767.209399141
"8",316935.709279548
"9",230675.550106318
"10",631887.977402508
"11",298527.616550209
"12",273936.289130679
"13",203238.570786701
"14",294246.17397403
"15",503394.896232919
"16",685192.492010059
"17",756468.344870916
"18",442284.52256805
"19",654352.549407642
"20",319686.433787588
"21",869277.921150954
"22",189879.331138945
"23",280999.015476757
"24",412314.849386325
"25",748537.333482301
"26",294301.093215554
"27",1138564.18201188
"28",484201.860194079
"29",196081.352224014
"30",303364.081913776
"31",195497.363519008
"32",944969.327070236
"33",622982.038603144
"34",152070.981380142
"35",225379.488906711
"36",457146.326451046
"37",176916.422318246
"38",1172674.90829114
"39",1682902.61956348
"40",252582.293694739
"41",655730.960645429
"42",1055946.42404494
"43",243464.990084448
"44",357240.198373649
"45",138056.870905541
"46",1201136.32619752
"47",826498.58781553
"48",551334.393728505
"49",404451.850511622
"50",669083.039830439
"51",342558.993282008
"52",378795.297726873
"53",1424199.86439437
"54",1443561.55931514
"55",539959.690435548
"56",475544.36559748
"57",166762.108462994
"58",282805.990318175
"59",901064.060377867
"60",489156.098642126
"61",1014120.94852442
"62",671768.995932326
"63",360223.471415137
"64",539234.649486495
"65",466473.909329602
"66",208182.911882939
"67",141487.225934511
"68",929180.214737719
"69",631862.963778507
"70",480781.863959136
"71",792067.239701753
"72",925497.150008707
"73",364454.182099434
"74",512892.527419589
"75",399910.03672361
"76",906090.002897901
"77",385776.739391897
"78",663233.828543748
"79",307238.05478742
"80",1302464.00342616
"81",643246.407313207
"82",486644.76114285
"83",251563.79129976
"84",590791.537414674
"85",471985.921815951
"86",670394.504451342
"87",523556.407042025
"88",454022.136827389
"89",1206322.23211622
"90",1325913.50534637
"91",769362.335117018
"92",253781.557622932
"93",113080.353178755
"94",307127.711107335
"95",228759.170354197
"96",438381.93294091
"97",256685.532027406
"98",423431.463662775
"99",261098.611000362
"100",282315.49147185
"101",1059748.01996779
"102",443355.43740765
"103",359288.894290148
"104",733555.977045743
"105",516800.119604514
"106",1002570.89059612
"107",189492.319813671
"108",294989.415747899
"109",1445807.78399927
"110",256077.363975521
"111",1743213.12158021
"112",197791.551881033
"113",272855.713775159
"114",332247.675451536
"115",2750698.93763814
"116",377378.819807851
"117",1485125.27605914
"118",133346.242020893
"119",401092.24942229
"120",678240.009606639
"121",256518.626609677
"122",241297.505071344
"123",270894.915340284
"124",801801.506986496
"125",266707.954404158
"126",385610.067530966
"127",817580.711622483
"128",1097861.64080482
"129",442161.554950005
"130",600009.050619977
"131",510994.688254594
"132",584677.929384629
"133",357863.232233177
"134",291223.274175541
"135",700437.218545734
