"","x"
"1",271228.965492099
"2",814991.751215108
"3",235110.997703617
"4",438528.447759886
"5",413775.831783006
"6",466665.625042894
"7",553897.109851024
"8",224742.453172579
"9",249351.833412151
"10",586168.75052134
"11",299951.856098224
"12",301250.693927811
"13",246803.83571499
"14",261139.196773102
"15",531550.56718388
"16",498975.030277373
"17",761473.29250516
"18",469546.200378821
"19",655276.883579842
"20",345451.188420818
"21",863268.158398401
"22",237847.469123979
"23",289025.059696902
"24",427942.586327928
"25",760287.26964313
"26",315569.693886871
"27",1182433.44922387
"28",474441.858911313
"29",246865.806594665
"30",315427.755325397
"31",253489.458287258
"32",864866.904758427
"33",636551.217723124
"34",185000.243957835
"35",252007.329294098
"36",455825.031117362
"37",225845.067474004
"38",1224379.25936289
"39",1580069.27584632
"40",243521.238802028
"41",619439.808902308
"42",497955.746537539
"43",253455.466447644
"44",311810.402435005
"45",210393.145083419
"46",1468676.86541536
"47",885288.363963171
"48",536708.124433263
"49",339789.518132869
"50",671983.92225104
"51",355276.141055085
"52",368570.743173809
"53",1304255.96797686
"54",1351643.5334853
"55",513121.826236561
"56",513807.146857534
"57",208473.175504751
"58",270627.129336348
"59",916814.10747547
"60",469981.979858271
"61",987912.376467043
"62",620082.637950246
"63",358569.397786996
"64",518495.337039042
"65",483702.670891522
"66",244020.793552773
"67",157807.311237877
"68",861786.209104825
"69",583368.4454629
"70",477971.894289266
"71",793185.544396128
"72",909329.342315671
"73",353712.501628131
"74",465298.0322641
"75",406305.935687094
"76",843358.728022561
"77",380340.611380425
"78",648864.089547027
"79",348309.585140473
"80",1305775.60399823
"81",606403.824672448
"82",477748.469992107
"83",288036.596183241
"84",568756.387233796
"85",423443.64418678
"86",650304.356985836
"87",474009.036372727
"88",428542.559367095
"89",1152096.79627242
"90",1261550.35398214
"91",782116.979085123
"92",284118.931486189
"93",189906.959372799
"94",342608.527868767
"95",249783.433536323
"96",395358.663686826
"97",293361.475676872
"98",327323.307378035
"99",257953.892613863
"100",266111.195047846
"101",1278928.58696208
"102",441387.622766853
"103",309192.351467632
"104",725987.906137429
"105",513057.230353958
"106",936487.642780011
"107",226049.248421629
"108",328791.424922983
"109",1709043.69972741
"110",251758.357411392
"111",1903821.63918438
"112",240700.594178071
"113",301413.187617792
"114",335793.141365711
"115",2657140.16476853
"116",315902.190136299
"117",1835149.89910656
"118",196154.510745387
"119",423684.096986394
"120",601330.465289891
"121",275483.480311166
"122",282390.561430278
"123",256443.333549708
"124",763258.07028093
"125",277827.482167453
"126",402011.73377985
"127",771719.996528116
"128",1117480.48812436
"129",381583.672298678
"130",579195.864460657
"131",516876.496726325
"132",495114.840655565
"133",361783.848848298
"134",287619.794509458
"135",645061.540903514
"136",489829.791458336
"137",1055532.30771209
"138",287969.549246499
"139",462101.650400704
"140",340919.360134761
"141",511063.041834683
"142",906399.000135166
"143",416789.029565621
"144",338634.683874607
"145",742541.094081529
"146",722383.40046913
"147",232026.379294912
"148",327559.523301658
"149",520579.29589704
"150",291769.686303367
"151",255479.865755853
"152",335465.83873091
"153",305189.074258719
"154",998856.969986871
"155",435337.044035466
"156",340063.37176814
"157",536910.11883827
"158",415723.266964299
"159",588498.825056067
"160",881810.869879035
"161",1432982.63898265
"162",820763.54184208
"163",379100.842402913
"164",1021869.04752759
"165",416888.711479474
"166",545369.633722192
"167",328192.594602401
"168",471468.681551495
"169",254107.431989371
"170",208020.237756508
"171",439432.828593304
"172",676936.277804867
"173",310514.118149839
"174",345895.930804013
"175",361536.680011963
"176",283889.09453065
"177",409001.406773832
"178",309809.238493758
"179",418001.608312435
"180",226191.044804229
"181",548586.331704685
"182",281437.031524285
"183",965169.772297025
"184",722570.290306295
"185",869295.267580942
"186",1164839.77859713
"187",325894.118261628
"188",512455.077147288
"189",271008.225109911
"190",452627.932095106
"191",217657.410145766
"192",532459.462101879
"193",274424.275407419
"194",293670.490918327
"195",269194.310950575
"196",374997.403078179
"197",239251.100099335
"198",243864.196864236
"199",371253.55538988
"200",231323.101099376
"201",405653.459327679
"202",241517.538323776
"203",205179.745629244
"204",276863.153859086
"205",571207.35355047
"206",302502.372437862
"207",284237.605223032
"208",244429.407729729
"209",519455.086468689
"210",246800.552608877
"211",199859.920985064
"212",518512.527871831
"213",504633.349215939
"214",564662.720154492
"215",785095.599256488
"216",327428.236602226
"217",692672.409475264
"218",290802.464574804
"219",333481.990921239
"220",336454.180781171
"221",264545.121356362
"222",533468.304654339
"223",297851.240280658
"224",198505.566685973
"225",358109.745152835
"226",191361.305388911
"227",988982.301432138
"228",508384.211051498
"229",408918.215730313
"230",772268.731393677
"231",324829.933411488
"232",347970.332728726
"233",373635.103466683
"234",462905.386594768
"235",203631.063669826
"236",369583.393463378
"237",503175.051861764
"238",475440.072204519
"239",417579.518359972
"240",883925.838041758
"241",359990.710541697
"242",430794.49248786
"243",533716.748973438
"244",368424.575186754
"245",752589.328327176
"246",578565.158029469
"247",308391.337406641
"248",275239.56879888
"249",439132.963937956
"250",899797.675581784
"251",498255.462158768
"252",452633.103099896
"253",419678.41650765
"254",319374.42699717
"255",254851.17264029
"256",364829.78060334
"257",253767.145810017
"258",521269.482789807
"259",429031.480137074
"260",373649.293607126
"261",1041918.71871756
"262",582467.802737532
"263",305367.151647938
"264",557764.942837114
"265",645475.49876674
"266",385925.867966261
"267",454889.61589913
"268",581056.853849908
"269",364681.597346802
"270",465866.017903579
"271",694257.073599217
"272",364083.05243891
"273",200097.908527988
"274",919513.123435779
"275",621297.006789159
"276",496541.497617603
"277",410937.77772603
"278",267324.765046441
"279",602571.191751742
"280",359382.123149042
"281",875501.112471065
"282",296311.252166355
"283",707066.620568791
"284",298803.437988871
"285",564458.125600482
"286",568084.013857199
"287",578819.725631086
"288",1401513.79666749
"289",256226.334365579
"290",595682.225164066
"291",278486.191130294
"292",331809.867636959
"293",393942.273827813
"294",1000802.16978968
"295",683893.664802867
"296",336553.598571678
"297",743363.005711665
"298",217831.543498828
"299",580529.648517969
"300",1032683.86876239
"301",300643.347981663
"302",327613.966056564
"303",788287.949964046
"304",719020.755544258
"305",450816.775096859
"306",1256716.28114437
"307",372421.819274243
"308",358041.492294751
"309",381163.767215028
"310",518865.528490987
"311",448889.611544436
"312",674844.320026787
"313",198661.311666909
"314",564042.266246925
"315",908299.586592207
"316",1350010.41998748
"317",457441.555128926
"318",257207.302403159
"319",1016958.43310114
"320",442701.79045988
"321",562385.01701265
"322",506164.039444395
"323",311211.038237428
"324",291891.269121096
"325",555619.87696746
"326",323163.265222208
"327",559083.93530827
"328",474066.682405193
"329",313602.817042223
"330",932106.984279074
"331",407628.938905363
"332",498219.17380633
"333",1095263.22683151
"334",361123.860411561
"335",421541.132830617
"336",243469.813699686
"337",610253.943156145
"338",552982.479605395
"339",303654.308178332
"340",553255.94677567
"341",248714.424494064
"342",367121.407359701
"343",324741.381908087
"344",258266.045719342
"345",311588.621120328
"346",320404.314203196
"347",232457.468606987
"348",349948.171317598
"349",476809.055550504
"350",478063.909144049
"351",327762.517168085
"352",416772.767227105
"353",335659.528175518
"354",443579.185609985
"355",365117.336804096
"356",448078.197015916
"357",385528.98184765
"358",296430.327511945
"359",315080.84713714
"360",343801.875619539
"361",431318.468061002
"362",1067358.19547794
"363",1800596.75519747
"364",369626.751730107
"365",183429.283880226
"366",742092.448663542
"367",346345.298186442
"368",336628.024289146
"369",624413.390651918
"370",484058.640286957
"371",293651.494493499
"372",410398.631118618
"373",506965.543348775
"374",640070.983076943
"375",428206.077635945
"376",1692841.8381968
"377",231792.685794107
"378",638226.398714237
"379",487726.836504306
"380",465292.654405648
"381",577690.665163948
"382",775931.004857861
"383",289292.978068443
"384",298760.327927498
"385",451090.965230699
"386",510022.396375651
"387",643546.237476513
"388",975387.601018302
"389",299265.390517953
"390",757508.920804085
"391",895923.28578644
"392",619499.021572114
"393",718747.902532702
"394",1144683.88782783
"395",515293.817188038
"396",347233.653095206
"397",213848.197416546
"398",457192.144025651
"399",740196.91479286
"400",335901.999277084
"401",876061.478516013
"402",215525.742090935
"403",554175.499729477
"404",181857.616688402
"405",259158.64478158
"406",749870.815079018
"407",215460.705389725
"408",721170.346143186
"409",628594.602894141
"410",335193.45234806
"411",337774.327533065
"412",635953.205061599
"413",330563.639302281
"414",227959.643483457
"415",1174405.63433012
"416",392481.473720771
"417",337776.548376452
"418",281005.284449725
"419",301983.897970822
