"","x"
"1",362249.862349967
"2",839002.391817123
"3",282622.445031722
"4",528094.06726742
"5",539719.379853373
"6",465020.126483038
"7",657061.861337213
"8",301889.211080392
"9",236942.886816873
"10",617259.872388777
"11",313237.655901682
"12",280212.764713146
"13",204795.181123206
"14",265959.043667222
"15",527379.733980004
"16",681793.784440217
"17",746566.537182545
"18",479320.035626956
"19",641495.996722175
"20",358217.480704513
"21",846717.679642201
"22",213445.555876175
"23",264390.102619471
"24",405610.906656264
"25",739444.596187395
"26",273531.736229882
"27",1155913.3401777
"28",509071.515241887
"29",212066.078124895
"30",313997.519746783
"31",227646.166961962
"32",936808.327977484
"33",613164.249542017
"34",173454.896950052
"35",203651.691888644
"36",444721.837882265
"37",171402.990712845
"38",1179059.49337515
"39",1606471.01857211
"40",235862.719071917
"41",683590.198610857
"42",1023161.11177062
"43",232309.518193409
"44",329025.130074443
"45",173420.560503225
"46",1238911.29427256
"47",830023.496348611
"48",541616.528883964
"49",398662.673253738
"50",703901.067733606
"51",350324.075337959
"52",349753.318908978
"53",1394965.20793514
"54",1415552.72374315
"55",531332.983563375
"56",482279.468273543
"57",150114.907439928
"58",297246.899649199
"59",915282.944602168
"60",500057.522014341
"61",1023421.41580615
"62",638199.703234039
"63",350574.7434607
"64",513631.455722801
"65",453313.994221688
"66",214478.594509444
"67",129098.902667972
"68",937229.294838619
"69",670291.34781209
"70",486086.044496805
"71",786718.149859555
"72",927335.855642848
"73",343556.141828274
"74",493887.810833414
"75",394433.433887115
"76",906614.229408502
"77",389944.887060341
"78",678785.214868087
"79",324400.360361511
"80",1287607.21134471
"81",628415.140297484
"82",514227.057975452
"83",254801.084921979
"84",597883.854312902
"85",480832.000032905
"86",651710.664042407
"87",503976.128211005
"88",461827.219748764
"89",1179754.5591101
"90",1288854.1592625
"91",754800.639368874
"92",249531.106775274
"93",145269.806592237
"94",326685.39022632
"95",246975.456090852
"96",436092.756789207
"97",272936.587696809
"98",393389.101483767
"99",268584.705323013
"100",302977.227361366
"101",1152749.90570706
"102",453464.583688231
"103",336896.402519052
"104",735665.338013755
"105",523325.474757917
"106",970960.834556229
"107",175890.292727668
"108",311557.463195529
"109",1530015.06410886
"110",262925.773734907
"111",1877475.93675258
"112",208801.000362395
"113",291077.088168983
"114",338303.312620631
"115",2591707.26703433
"116",350515.126853524
"117",1520120.95682788
"118",161527.543484804
"119",386741.315503515
"120",691184.987702943
"121",277374.914747399
"122",244889.943389976
"123",258765.191333697
"124",784670.643393027
"125",251862.634906496
"126",391104.593446646
"127",812448.123906654
"128",1099539.53042566
"129",413248.48400361
"130",610709.1997276
"131",509852.668607454
"132",592446.623568102
"133",372897.475783632
"134",272100.65901405
"135",703945.525266329
"136",434188.403379795
"137",1052399.99559443
"138",254902.751628844
"139",446193.585409912
"140",320388.093474605
"141",527190.526303774
"142",936939.591720575
"143",461515.27382865
"144",357726.59220587
"145",713126.937303827
"146",697117.989134367
"147",211429.016712056
"148",352845.340422529
"149",548866.732143317
"150",260374.443611182
"151",223034.366352958
"152",322844.696636743
"153",259373.366386075
"154",1143828.47860038
"155",537090.630058455
"156",387655.278778549
"157",530875.295765914
"158",460661.11690044
"159",587114.779218804
"160",856807.605731603
"161",1289242.83160345
"162",788754.430673782
"163",336005.022051495
"164",1138051.47291906
"165",443939.332283132
"166",554039.179986658
"167",309179.624304236
"168",447310.87507698
"169",230342.206048943
"170",194636.624336683
"171",451979.789417637
"172",675133.939833277
"173",296070.642150021
"174",331383.980297259
"175",364792.190736668
"176",268732.318702753
"177",394478.069733952
"178",283971.142701544
"179",410303.567738275
"180",185274.587071149
"181",582592.878558701
"182",266845.250029242
"183",976584.770967223
"184",796201.758341539
"185",874519.137576541
"186",1213558.32870649
"187",295090.528651738
"188",493755.810219693
"189",242439.277938455
"190",461102.97044018
"191",175055.059936984
"192",570005.691019717
"193",259242.747681848
"194",297652.605992561
"195",247170.932424956
"196",370713.671579172
"197",188095.416088545
"198",252634.932926715
"199",419381.359327644
"200",199760.7044352
"201",375754.818094379
"202",212835.956063343
"203",168322.517250388
"204",243688.343005695
"205",584151.701257336
"206",299039.418978145
"207",364173.908497465
"208",206254.045464108
"209",504410.937892327
"210",253991.561008054
"211",159386.397001653
"212",566085.285083089
"213",444510.313551321
"214",569873.87465107
"215",825185.698791338
"216",295446.950038388
"217",745131.556544084
"218",260157.297438526
"219",318624.147715863
"220",376451.020355057
"221",236849.47340255
"222",618637.688376485
"223",288211.756531523
"224",174237.633924002
"225",340928.706642511
"226",140423.652489445
"227",935997.911435398
"228",573835.787786862
"229",478306.844684805
"230",763195.797276014
"231",327284.543931134
"232",315926.269452414
"233",372631.102454827
"234",474490.366251009
"235",176346.348935225
"236",447021.375669962
"237",498986.996323825
"238",472471.962109202
"239",414597.76950313
"240",909956.954871949
"241",356283.085106618
"242",451589.292490392
"243",532506.115798466
"244",384604.09139447
"245",745709.509029136
"246",671140.577715963
"247",293407.172281465
"248",255922.954566581
"249",415099.965487678
"250",878214.538889003
"251",653771.536482681
"252",424237.597903933
"253",408592.530842817
"254",340623.942773447
"255",218420.503811446
"256",365516.507671646
"257",225920.355741728
"258",524758.528829597
"259",426424.163923802
"260",380429.115784504
"261",1038213.43955774
"262",575862.30516011
"263",306472.484953252
"264",539230.446310746
"265",638757.423477152
"266",489979.128445088
"267",483085.890745238
"268",591403.851892622
"269",416153.524921009
"270",485149.996846831
"271",776620.518022295
"272",352814.046198484
"273",157623.379329629
"274",992362.360234268
"275",660259.882839351
"276",477924.527442492
"277",451252.583551786
"278",245914.854777314
"279",654381.962660797
"280",340767.587058997
"281",941557.744589134
"282",286268.9770855
"283",690470.873552921
"284",296265.168939333
"285",601339.900674415
"286",584109.427543251
"287",551953.491853144
"288",1505336.43774568
"289",288237.658887009
"290",597965.03167619
"291",261444.27631413
"292",328468.908919332
"293",455804.550275159
"294",1343189.27786245
"295",677869.035693299
"296",371856.246659273
"297",735990.573851017
"298",173447.480694544
"299",606367.548932558
"300",1047950.78362124
"301",313944.308754752
"302",402103.825509554
"303",774288.876650487
"304",811938.544225271
"305",449289.085207739
"306",1214858.04628499
"307",477131.248821083
"308",370719.804837377
"309",451904.675361576
"310",531899.44820883
"311",437482.191459025
"312",744959.05488415
"313",153568.799538643
"314",559994.641076287
"315",898554.868393785
"316",1696602.7285638
"317",487406.857588291
"318",253713.364592848
"319",1107317.06335453
"320",462236.187204711
"321",734367.612036222
"322",510460.00129938
"323",291910.02974119
"324",265100.079383194
"325",553777.703632821
"326",319037.824092493
"327",523513.568842511
"328",488527.312737766
"329",274390.565530763
"330",983980.993384917
"331",453639.841942599
"332",511198.911121033
"333",1171310.02019453
"334",383897.594590686
"335",413417.117549108
"336",230200.812891475
"337",853146.599562632
"338",590075.967144669
"339",345975.81917523
"340",601078.156445702
"341",220941.526964614
"342",375148.658701686
"343",294642.6562683
"344",261220.494392844
"345",301200.99833963
"346",311783.742388974
"347",216235.721120345
"348",333622.682304309
"349",469063.392401866
"350",497475.080323038
"351",334993.579797527
"352",412398.085995838
"353",316815.89061193
"354",565972.932888818
"355",344195.527726124
"356",476455.295500591
"357",438166.942975283
